Rk,Player,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,School
12.0,Martin Kawa,G,18,0,6.8,0.3,1.3,0.25,0.2,0.9,0.235,0.1,0.4,0.286,0.333,0.4,0.5,0.778,0.0,0.6,0.6,0.2,0.1,0.0,0.1,0.7,1.3,,Marist
13.0,Trace Salton,F,18,3,6.0,0.2,0.7,0.25,0.1,0.4,0.286,0.1,0.3,0.2,0.333,0.2,0.2,0.75,0.3,0.5,0.8,0.1,0.1,0.3,0.2,0.4,0.6,,Marist
14.0,Antoni Vlogianitis,G,8,0,2.3,0.0,0.4,0.0,0.0,0.0,,0.0,0.4,0.0,0.0,0.0,0.0,,0.1,0.3,0.4,0.1,0.0,0.0,0.4,0.4,0.0,,Marist
,Team Totals,,26,26,201.0,25.8,57.7,0.447,6.5,20.2,0.321,19.3,37.4,0.515,0.503,12.0,15.1,0.796,9.6,26.2,35.8,15.2,7.0,2.8,11.2,16.8,70.0,,Marist
1.0,Nigel James Jr.,G,27,24,28.6,6.1,12.6,0.482,1.3,3.3,0.389,4.8,9.3,0.516,0.534,2.7,3.9,0.692,0.7,2.4,3.2,4.9,1.7,0.3,2.7,2.2,16.1,,Marquette
2.0,Chase Ross,G,27,27,33.0,4.7,11.5,0.405,1.2,4.2,0.283,3.5,7.3,0.475,0.457,4.0,5.4,0.745,0.4,3.7,4.2,3.5,2.3,0.3,2.1,2.3,14.5,,Marquette
3.0,Royce Parham,F,27,16,28.1,4.6,9.1,0.51,1.0,3.3,0.311,3.6,5.7,0.626,0.567,2.1,3.2,0.663,2.0,2.8,4.8,0.9,0.7,0.9,1.3,2.1,12.4,,Marquette
4.0,Ben Gold,F,26,21,27.3,3.0,7.3,0.407,1.2,4.7,0.256,1.8,2.6,0.676,0.489,1.2,1.7,0.682,1.4,4.2,5.6,0.8,0.7,0.4,0.6,1.7,8.3,,Marquette
5.0,Zaide Lowery,F,11,9,23.2,3.0,8.1,0.371,1.2,4.0,0.295,1.8,4.1,0.444,0.444,0.9,1.1,0.833,1.3,1.6,2.9,1.7,1.1,0.1,1.2,1.8,8.1,,Marquette
6.0,Adrien Stevens,G,27,18,25.1,2.6,5.8,0.439,1.6,4.1,0.393,0.9,1.7,0.556,0.58,0.6,0.7,0.789,0.7,1.5,2.3,1.6,1.3,0.1,1.0,2.1,7.3,,Marquette
7.0,Sean Jones,G,8,3,21.3,1.9,6.0,0.313,1.1,3.5,0.321,0.8,2.5,0.3,0.406,1.4,2.0,0.688,0.0,1.4,1.4,3.9,1.0,0.0,1.5,2.5,6.3,,Marquette
8.0,Damarius Owens,F,25,0,14.6,1.6,3.8,0.415,0.5,1.8,0.295,1.0,2.0,0.52,0.484,1.0,1.4,0.694,0.8,1.8,2.6,0.6,0.6,0.2,0.7,1.0,4.6,,Marquette
9.0,Caedin Hamilton,F,27,17,13.5,1.1,2.6,0.414,0.0,0.1,0.0,1.1,2.5,0.426,0.414,0.9,1.3,0.639,1.3,1.9,3.1,0.6,0.4,0.3,0.9,1.9,3.0,,Marquette
10.0,Michael Phillips II,F,23,0,8.0,0.7,2.2,0.3,0.7,1.7,0.385,0.0,0.5,0.0,0.45,0.2,0.6,0.357,0.6,0.9,1.4,0.2,0.2,0.4,0.3,1.5,2.2,,Marquette
11.0,Tre Norman,G,25,0,8.1,0.8,1.7,0.488,0.0,0.2,0.167,0.8,1.5,0.541,0.5,0.4,0.8,0.579,0.6,0.8,1.4,0.8,0.6,0.0,0.7,1.1,2.2,,Marquette
12.0,Josh Clark,F,20,0,6.0,0.7,1.5,0.448,0.0,0.0,,0.7,1.5,0.448,0.448,0.2,0.7,0.231,0.8,1.4,2.2,0.0,0.2,0.4,0.1,0.5,1.5,,Marquette
13.0,Braeden Brenn,F,2,0,1.0,0.5,0.5,1.0,0.0,0.0,,0.5,0.5,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,,Marquette
14.0,Casey O'Malley,G,2,0,1.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,,Marquette
15.0,Jonah Lucas,G,2,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,Marquette
,Team Totals,,27,27,202.8,26.9,61.7,0.436,8.2,25.5,0.321,18.7,36.2,0.517,0.502,13.7,20.1,0.68,11.4,23.1,34.6,15.6,9.1,3.1,11.3,17.3,75.7,,Marquette
1.0,Wyatt Fricks,F,28,27,28.4,5.7,10.4,0.545,1.6,4.6,0.354,4.0,5.8,0.698,0.623,2.2,3.1,0.705,1.5,4.1,5.6,1.4,0.8,1.4,1.1,3.0,15.2,,Marshall
2.0,Jalen Speer,G,28,28,32.4,5.1,13.5,0.378,2.9,8.0,0.368,2.2,5.5,0.394,0.487,1.9,2.4,0.806,0.3,3.9,4.2,5.8,1.1,0.1,2.3,2.3,15.1,,Marshall
3.0,Noah Otshudi,G,28,28,31.3,5.1,11.5,0.449,0.7,2.3,0.297,4.5,9.2,0.486,0.478,3.1,3.6,0.843,0.8,2.7,3.5,3.5,0.8,0.0,2.7,2.3,14.0,,Marshall
4.0,Matthew Van Komen,C,22,20,21.0,3.2,4.3,0.737,0.0,0.0,,3.2,4.3,0.737,0.737,1.5,1.9,0.762,2.6,5.0,7.6,0.6,0.2,2.6,1.6,2.0,7.8,,Marshall
5.0,Landen Joseph,G,27,2,15.9,2.5,5.2,0.482,1.1,2.9,0.403,1.4,2.4,0.578,0.592,1.2,1.7,0.696,0.5,1.6,2.1,2.0,1.2,0.2,1.0,1.4,7.4,,Marshall
6.0,Caleb Hollenbeck,G,28,26,18.6,2.0,5.1,0.394,1.8,4.6,0.388,0.2,0.5,0.462,0.57,0.2,0.4,0.417,0.6,1.1,1.7,1.2,0.3,0.0,0.5,1.7,6.0,,Marshall
7.0,Wilson Dubinsky,G,28,0,18.6,1.6,4.4,0.355,1.3,3.4,0.385,0.3,1.0,0.25,0.504,0.8,1.0,0.793,1.2,2.0,3.2,1.3,0.5,0.0,0.5,1.5,5.3,,Marshall
8.0,Erich Harding,F,28,8,14.5,1.6,2.5,0.652,0.0,0.0,0.0,1.6,2.4,0.662,0.652,0.9,1.9,0.481,1.4,1.3,2.7,0.5,0.3,0.6,0.8,2.4,4.1,,Marshall
9.0,Shamarrie Hugie,G,22,1,10.2,1.3,2.5,0.519,0.4,0.9,0.45,0.9,1.5,0.559,0.602,0.6,1.0,0.591,0.5,1.4,1.9,0.4,0.4,0.1,0.7,1.5,3.5,,Marshall
10.0,Andrew Fuquay,F,26,0,7.5,1.0,1.7,0.614,0.2,0.4,0.455,0.8,1.3,0.667,0.67,0.6,0.8,0.714,0.6,1.3,1.8,0.2,0.3,0.3,0.3,1.6,2.8,,Marshall
11.0,Bryce Slay,G,22,0,8.6,0.6,2.0,0.318,0.5,1.2,0.385,0.2,0.8,0.222,0.432,0.5,0.6,0.786,0.4,0.7,1.1,0.5,0.5,0.1,0.3,1.2,2.2,,Marshall
12.0,Grant Moore,F,2,0,3.5,0.5,1.5,0.333,0.5,1.5,0.333,0.0,0.0,,0.5,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,1.5,,Marshall
13.0,Kai Spears,G,12,0,5.5,0.4,1.3,0.313,0.0,0.2,0.0,0.4,1.2,0.357,0.313,0.7,0.8,0.889,0.4,0.8,1.2,0.5,0.5,0.0,0.1,1.0,1.5,,Marshall
