 
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%▼,FT/FGA
31,Kennesaw State NCAA,35,21,14,.600,0.46,-1.33,,10,10,,13,3,,4,8,,2898,2659,,72.3,113.6,.436,.431,.555,53.0,51.2,9.8,14.2,.519,13.7,36.3,.302
32,Fairfield,34,21,13,.618,-8.10,-9.10,,11,9,,12,4,,7,8,,2528,2432,,67.6,109.6,.277,.359,.521,52.7,45.0,9.8,9.6,.491,12.5,36.1,.197
33,UT Arlington,32,18,14,.563,-1.87,-1.84,,9,9,,9,4,,8,8,,2240,2134,,67.3,102.7,.416,.304,.527,53.9,48.1,11.2,9.9,.481,17.3,36.1,.299
34,UNC Wilmington,34,27,7,.794,2.01,-4.49,,15,3,,15,4,,12,2,,2594,2313,,66.9,114.1,.406,.382,.543,54.3,51.4,8.0,7.3,.509,12.4,36.0,.277
35,Texas NCAA,36,21,15,.583,16.82,11.22,,9,9,,12,5,,4,6,,2979,2742,,68.7,119.6,.435,.357,.588,55.1,44.1,8.1,7.6,.547,13.2,36.0,.323
36,Rice,31,13,18,.419,-4.51,0.25,,7,11,,8,8,,4,9,,2291,2311,,67.2,108.3,.340,.440,.527,50.9,48.3,9.8,10.5,.496,14.8,36.0,.233
37,Lamar,31,12,19,.387,-5.93,-3.86,,7,15,,7,8,,5,10,,2167,2143,,66.3,105.0,.278,.345,.516,52.9,56.3,9.7,13.0,.486,15.0,36.0,.195
38,George Washington,35,19,16,.543,8.29,2.58,,8,10,,12,4,,4,8,,2848,2597,,70.3,115.4,.344,.469,.576,53.7,55.7,10.5,10.8,.546,15.4,35.9,.249
39,Connecticut NCAA,38,33,5,.868,23.06,11.14,,17,3,,15,2,,9,2,,2930,2477,,65.8,116.4,.301,.403,.576,54.1,65.4,10.5,15.2,.550,14.2,35.8,.217
40,Pacific,33,18,15,.545,4.02,2.50,,8,10,,11,3,,4,11,,2399,2271,,65.9,109.9,.298,.355,.563,56.3,58.0,8.2,7.1,.530,16.8,35.8,.225
41,Houston NCAA,37,30,7,.811,26.31,11.77,,14,4,,15,1,,6,3,,2844,2306,,64.8,118.3,.263,.407,.551,52.4,52.6,11.6,12.5,.519,10.7,35.7,.203
42,Seton Hall,33,21,12,.636,13.32,8.32,,10,10,,12,5,,6,5,,2321,2156,,66.5,105.8,.353,.268,.517,51.7,51.6,13.9,18.7,.476,14.0,35.6,.255
43,New Orleans,33,15,18,.455,-4.18,-1.02,,12,10,,5,6,,9,11,,2459,2563,,69.7,106.2,.464,.337,.548,51.6,52.5,8.2,10.2,.496,17.4,35.6,.345
44,Winthrop,34,23,11,.676,-0.80,-4.57,,13,3,,13,1,,7,9,,2844,2566,,72.1,115.6,.432,.444,.555,54.0,52.4,9.7,8.6,.512,12.6,35.5,.315
45,Southern Methodist NCAA,34,20,14,.588,16.09,9.97,,8,10,,15,3,,3,8,,2858,2650,,70.6,118.2,.304,.359,.585,52.4,54.9,9.8,11.0,.556,13.4,35.4,.226
46,Campbell,34,16,18,.471,-3.20,-0.45,,8,10,,10,4,,3,13,,2691,2639,,70.8,111.8,.424,.368,.557,51.9,46.6,9.5,4.4,.515,14.8,35.4,.308
47,Florida International,32,15,17,.469,-1.98,-0.63,,8,12,,12,6,,3,10,,2580,2492,,72.8,109.5,.390,.334,.548,50.9,52.4,12.4,13.6,.515,15.0,35.4,.268
48,Hofstra NCAA,35,24,11,.686,4.17,-1.95,,12,6,,10,2,,9,8,,2641,2336,,65.7,114.0,.311,.434,.555,53.4,48.8,7.6,10.6,.521,13.5,35.3,.231
49,Tennessee State NCAA,33,23,10,.697,-4.92,-7.78,,15,5,,10,2,,10,7,,2651,2455,,72.2,110.9,.337,.306,.549,52.6,45.7,12.9,10.4,.509,14.4,35.3,.257
50,Kent State,34,24,10,.706,-0.82,-2.45,,14,4,,14,3,,7,6,,2866,2707,,72.7,113.9,.422,.447,.569,53.6,58.0,9.1,9.8,.527,15.0,35.3,.313
51,Memphis,32,13,19,.406,3.86,5.33,,8,10,,10,6,,3,10,,2407,2454,,71.4,104.6,.347,.337,.526,49.8,49.8,11.7,12.7,.487,16.0,35.3,.250
52,Longwood,32,16,16,.500,-8.34,-7.99,,8,8,,11,4,,4,10,,2486,2370,,70.0,108.1,.408,.335,.556,53.9,47.0,12.1,7.3,.512,16.6,35.3,.302
53,St. John's (NY) NCAA,37,30,7,.811,22.67,11.40,,18,2,,15,2,,9,1,,2994,2577,,70.6,114.3,.402,.352,.551,52.6,57.9,10.9,12.1,.511,12.2,35.2,.290
54,Iowa State NCAA,37,29,8,.784,26.69,10.34,,12,6,,16,1,,5,5,,3033,2428,,68.5,119.7,.345,.388,.583,53.1,59.0,13.1,8.3,.562,12.7,35.2,.233
55,Troy NCAA,34,22,12,.647,-1.18,-3.96,,12,6,,10,3,,9,7,,2696,2488,,67.9,112.6,.357,.459,.560,52.3,58.6,11.2,9.1,.522,14.5,35.1,.265
56,UCF NCAA,33,21,12,.636,12.98,10.67,,9,9,,13,5,,5,5,,2662,2586,,70.6,113.3,.305,.348,.556,52.8,53.7,7.8,8.1,.526,13.6,35.0,.223
57,Georgia NCAA,33,22,11,.667,18.47,8.90,,10,8,,14,4,,6,4,,2951,2635,,73.6,119.7,.369,.443,.579,50.2,48.1,11.2,14.9,.542,12.1,34.9,.277
58,Michigan NCAA,38,35,3,.921,32.65,14.52,,19,1,,14,1,,11,0,,3333,2644,,71.4,122.4,.381,.419,.618,56.3,61.4,7.7,16.8,.588,14.2,34.9,.283
59,Missouri NCAA,33,20,13,.606,12.48,8.72,,10,8,,15,3,,5,7,,2615,2491,,68.3,115.1,.421,.364,.580,52.2,51.2,9.6,10.6,.550,15.2,34.9,.291
60,Gonzaga NCAA,35,31,4,.886,23.97,5.85,,16,2,,15,0,,8,2,,2950,2316,,70.2,119.7,.310,.308,.581,55.4,57.5,11.9,11.1,.556,11.7,34.8,.219
