 
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%▼,FT/FGA
131,Saint Joseph's,36,24,12,.667,2.99,1.73,,13,5,,13,3,,8,8,,2633,2529,,68.4,106.5,.301,.447,.532,51.9,60.0,8.1,12.6,.497,14.5,32.5,.223
132,UC Irvine,35,23,12,.657,3.33,-1.49,,15,5,,12,5,,7,5,,2704,2402,,71.5,106.9,.353,.275,.541,52.4,56.7,11.0,15.0,.509,15.1,32.5,.245
133,Alabama NCAA,35,25,10,.714,23.06,14.60,,13,5,,12,3,,7,3,,3192,2896,,74.2,122.1,.360,.543,.590,50.5,54.3,8.6,11.2,.552,11.2,32.4,.276
134,Marshall,32,19,13,.594,-3.05,-4.63,,11,7,,13,4,,6,8,,2596,2497,,70.7,114.7,.291,.444,.577,50.3,57.4,8.7,13.4,.551,14.2,32.4,.213
135,Northern Illinois,30,9,21,.300,-15.08,-2.54,,4,14,,6,7,,3,14,,2086,2334,,69.7,99.7,.381,.450,.519,50.6,52.8,8.7,5.3,.486,18.2,32.4,.253
136,Oregon,32,12,20,.375,8.67,11.76,,5,15,,10,7,,2,8,,2267,2366,,66.5,106.1,.350,.428,.534,49.9,59.0,9.1,11.7,.495,15.1,32.3,.255
137,Nevada,37,24,13,.649,10.38,5.89,,12,8,,17,2,,4,9,,2813,2647,,66.8,112.4,.448,.323,.552,52.4,57.6,9.7,11.8,.500,12.7,32.2,.339
138,Villanova NCAA,33,24,9,.727,15.91,10.03,,15,5,,13,3,,9,3,,2545,2351,,66.5,114.7,.309,.457,.562,49.6,56.8,11.0,5.9,.538,12.8,32.2,.213
139,Southern Indiana,30,7,23,.233,-16.56,-9.31,,4,16,,3,10,,4,11,,2061,2210,,68.8,99.1,.365,.405,.485,48.4,44.3,9.1,9.8,.449,14.4,32.2,.240
140,Furman NCAA,35,22,13,.629,-2.90,-5.37,,10,8,,11,5,,7,5,,2671,2479,,66.7,113.3,.323,.471,.576,53.6,57.2,7.0,9.5,.552,15.2,32.2,.224
141,Little Rock,32,12,20,.375,-13.30,-8.03,,9,11,,7,6,,5,13,,2257,2372,,68.5,103.0,.283,.309,.526,48.1,53.1,11.5,12.6,.501,16.0,32.2,.191
142,UC Santa Barbara,32,18,14,.563,0.87,-2.10,,11,9,,11,4,,5,8,,2483,2328,,67.5,113.2,.376,.432,.587,53.7,54.2,9.3,6.8,.549,16.3,32.2,.287
143,Youngstown State,32,15,17,.469,-4.60,-4.80,,8,12,,10,5,,4,11,,2495,2338,,69.0,112.5,.316,.489,.577,51.0,54.2,10.4,9.4,.547,15.8,32.1,.234
144,Hawaii NCAA,33,24,9,.727,4.49,-3.06,,14,6,,16,3,,6,5,,2626,2328,,72.2,109.4,.419,.402,.565,54.1,51.0,9.0,9.8,.522,16.0,32.1,.309
145,Tennessee Tech,31,13,18,.419,-13.59,-8.23,,8,12,,8,6,,5,12,,2272,2308,,69.6,105.4,.359,.377,.546,51.7,47.8,8.5,7.7,.503,16.5,32.1,.273
146,Arkansas NCAA,37,28,9,.757,21.51,12.35,,13,5,,17,1,,5,5,,3337,2998,,72.8,122.2,.359,.330,.597,51.2,53.1,10.0,13.0,.564,10.6,32.0,.270
147,Texas A&M NCAA,34,22,12,.647,16.18,9.03,,11,7,,14,4,,6,5,,2927,2684,,72.0,117.1,.371,.462,.574,49.5,61.2,11.0,8.5,.538,12.6,32.0,.273
148,Southern,34,17,17,.500,-11.20,-7.16,,11,7,,8,4,,7,12,,2707,2650,,72.5,108.7,.395,.325,.546,50.2,54.0,12.7,10.6,.510,14.1,32.0,.276
149,Tarleton State,32,14,18,.438,-4.93,-1.64,,5,13,,10,6,,4,11,,2385,2349,,71.4,103.2,.409,.246,.538,48.8,42.8,14.3,9.8,.490,17.2,32.0,.305
150,South Carolina State,32,10,22,.313,-21.95,-8.78,,7,7,,6,5,,3,16,,2147,2522,,70.2,95.6,.410,.329,.506,47.0,52.9,9.9,11.3,.468,18.2,32.0,.274
151,Virginia Tech,32,19,13,.594,12.76,8.85,,8,10,,14,3,,3,7,,2521,2396,,68.0,112.8,.340,.397,.558,49.8,52.4,9.2,8.7,.522,12.9,31.9,.253
152,West Georgia,32,15,17,.469,-11.29,-6.12,,8,10,,10,5,,4,11,,2450,2547,,70.5,107.4,.291,.333,.531,50.7,45.1,9.1,13.0,.503,13.5,31.9,.204
153,Portland State,31,20,11,.645,-0.29,-3.01,,13,5,,11,3,,8,7,,2376,2179,,69.6,109.3,.357,.345,.550,53.0,52.8,10.9,11.5,.517,14.3,31.9,.253
154,North Carolina A&T,30,11,19,.367,-9.79,-5.18,,4,14,,6,6,,4,11,,2252,2335,,69.6,107.4,.451,.325,.555,52.8,46.5,7.6,10.5,.512,15.9,31.9,.323
155,Siena NCAA,35,23,12,.657,-3.63,-8.17,,13,7,,9,4,,9,7,,2463,2304,,64.2,109.2,.334,.322,.546,51.8,53.2,9.0,9.1,.504,13.7,31.8,.257
156,San Francisco,33,17,16,.515,4.03,3.87,,8,10,,9,6,,4,7,,2464,2414,,67.1,110.4,.394,.459,.553,51.8,56.2,7.9,7.8,.516,13.9,31.7,.281
157,Providence,33,15,18,.455,10.69,9.38,,7,13,,10,6,,3,8,,2815,2772,,72.3,115.0,.367,.405,.586,51.7,47.5,7.2,9.6,.550,14.5,31.7,.278
158,Drexel,33,17,16,.515,-4.97,-4.72,,10,8,,12,4,,4,9,,2247,2221,,65.7,103.6,.312,.401,.532,50.9,54.4,9.3,9.9,.508,16.4,31.7,.206
159,Oakland,32,16,16,.500,-1.53,-0.30,,12,8,,7,6,,8,9,,2642,2614,,71.4,115.7,.380,.339,.572,49.0,54.4,10.7,9.6,.533,12.7,31.6,.285
160,Virginia Commonwealth NCAA,36,28,8,.778,13.19,4.14,,15,3,,15,2,,7,3,,2910,2584,,69.2,116.4,.420,.438,.576,51.2,51.9,10.6,11.2,.536,13.0,31.6,.309
161,George Mason,33,23,10,.697,5.99,1.09,,11,7,,17,3,,4,6,,2418,2237,,64.9,112.9,.420,.348,.571,52.9,49.6,7.8,9.1,.531,14.1,31.6,.308
162,Monmouth,34,19,15,.559,-2.40,-3.43,,11,7,,10,4,,6,9,,2471,2409,,67.5,106.4,.327,.343,.537,49.7,53.8,11.4,12.2,.498,14.4,31.6,.244
163,Jacksonville State,32,15,17,.469,-3.58,-2.93,,10,10,,10,7,,5,8,,2325,2188,,66.7,108.2,.426,.391,.544,52.4,49.6,9.2,9.6,.509,14.6,31.5,.292
164,North Alabama,30,9,21,.300,-15.94,-5.80,,4,14,,5,8,,4,12,,2082,2328,,65.9,104.4,.378,.338,.523,49.5,41.1,9.8,11.4,.487,14.7,31.5,.260
165,SIU Edwardsville,32,19,13,.594,-8.78,-10.57,,12,8,,10,5,,8,7,,2271,2070,,66.5,105.9,.307,.363,.534,51.2,51.1,11.3,11.3,.508,15.0,31.5,.207
166,Saint Louis NCAA,35,29,6,.829,17.65,2.77,,15,3,,19,0,,7,3,,3053,2466,,72.2,120.8,.332,.453,.624,54.8,60.2,9.9,9.8,.599,15.0,31.5,.246
167,Eastern Washington,33,14,19,.424,-2.32,-0.82,,11,7,,8,4,,5,13,,2576,2606,,69.1,112.2,.357,.348,.574,50.3,49.0,8.5,9.6,.539,15.3,31.5,.265
168,South Dakota State,32,14,18,.438,-3.45,-3.31,,7,9,,9,4,,4,9,,2413,2331,,67.9,110.6,.300,.393,.555,53.5,52.2,8.4,7.5,.528,14.0,31.4,.213
169,Middle Tennessee,32,17,15,.531,0.08,1.22,,11,9,,11,4,,5,8,,2414,2329,,67.3,109.6,.320,.459,.551,51.5,54.0,8.9,11.3,.523,14.4,31.4,.225
170,Coppin State,31,7,24,.226,-24.92,-8.19,,5,9,,3,6,,4,15,,2032,2493,,69.4,94.0,.378,.352,.500,47.7,51.4,9.2,10.7,.463,19.0,31.4,.255
171,Radford,32,16,16,.500,-7.29,-6.36,,9,7,,12,5,,4,8,,2604,2523,,72.3,110.9,.401,.455,.561,49.3,47.7,10.7,9.4,.526,14.7,31.3,.283
172,Morgan State,30,14,16,.467,-19.40,-11.06,,10,4,,9,6,,5,9,,2258,2347,,71.3,105.1,.418,.357,.532,48.7,52.7,6.9,9.1,.483,15.1,31.3,.310
173,UNC Asheville,32,15,17,.469,-6.24,-3.97,,8,8,,9,7,,4,9,,2349,2334,,67.5,107.5,.394,.352,.550,50.9,42.8,8.0,9.9,.517,15.3,31.3,.271
174,Grand Canyon,32,20,12,.625,10.99,4.02,,13,7,,13,4,,6,5,,2420,2197,,69.0,109.2,.395,.389,.560,53.6,49.6,9.5,10.5,.517,15.3,31.3,.298
175,Pepperdine,32,9,23,.281,-6.22,3.08,,4,14,,7,10,,2,11,,2312,2546,,69.5,103.2,.331,.385,.529,48.6,56.0,8.6,7.7,.488,15.8,31.3,.248
176,Vanderbilt NCAA,36,27,9,.750,22.24,11.49,,11,7,,13,3,,8,4,,3086,2699,,70.4,120.9,.381,.442,.596,50.3,56.4,11.2,12.4,.553,11.7,31.2,.300
177,North Carolina NCAA,33,24,9,.727,18.56,10.47,,12,6,,18,0,,4,6,,2631,2364,,68.8,115.5,.371,.422,.569,52.7,57.2,7.9,8.5,.543,12.1,31.2,.253
178,Cornell,28,15,13,.536,-1.97,-3.12,,8,6,,7,4,,8,8,,2477,2335,,72.1,121.5,.290,.526,.621,51.2,68.7,8.2,7.4,.599,14.1,31.2,.215
179,Notre Dame,31,13,18,.419,8.51,9.38,,4,14,,10,7,,2,9,,2308,2335,,66.7,109.9,.341,.435,.552,52.1,47.4,6.6,7.3,.523,14.6,31.2,.237
180,Southern Illinois,32,16,16,.500,2.77,0.54,,10,10,,8,6,,7,8,,2336,2226,,69.8,103.4,.315,.296,.522,52.2,49.2,11.4,10.4,.493,14.7,31.2,.214
181,Western Michigan,31,10,21,.323,-8.57,-2.40,,4,14,,7,8,,3,13,,2318,2464,,69.7,106.9,.335,.351,.540,51.2,48.1,6.5,7.9,.502,14.9,31.2,.249
182,North Carolina Central,32,14,18,.438,-18.31,-8.67,,8,6,,8,5,,4,12,,2299,2415,,68.2,104.9,.388,.337,.537,46.1,54.8,12.8,10.5,.495,15.4,31.2,.283
183,Army,32,11,21,.344,-15.64,-7.50,,5,13,,6,10,,5,10,,2309,2471,,67.6,104.8,.256,.534,.526,50.4,59.7,8.5,4.8,.498,14.8,31.1,.183
184,Duquesne,33,18,15,.545,3.28,2.25,,9,9,,12,6,,5,7,,2584,2481,,69.7,110.6,.378,.438,.566,50.9,56.2,11.0,8.9,.532,15.3,31.1,.270
185,UCLA NCAA,36,24,12,.667,17.68,11.65,,13,7,,17,1,,4,6,,2775,2558,,65.8,116.0,.331,.355,.571,49.1,59.2,10.0,9.8,.534,11.7,31.0,.252
186,Wofford,32,19,13,.594,-7.51,-7.31,,11,7,,10,5,,9,7,,2520,2468,,68.1,115.2,.363,.439,.562,50.5,51.8,8.5,8.6,.531,11.8,31.0,.256
187,UTSA,30,5,25,.167,-14.23,1.42,,1,17,,2,12,,2,12,,2084,2422,,70.2,99.0,.290,.406,.491,46.6,43.9,9.4,12.1,.459,14.5,31.0,.200
188,Rhode Island,32,16,16,.500,2.30,0.62,,7,11,,10,6,,4,7,,2236,2182,,66.0,105.0,.384,.435,.541,49.2,47.9,12.6,12.0,.501,16.5,31.0,.277
189,Pennsylvania NCAA,30,18,12,.600,-1.02,-0.98,,9,5,,12,2,,4,8,,2277,2231,,69.3,108.6,.353,.352,.540,49.7,52.5,9.4,8.6,.508,13.2,30.9,.245
190,Nevada-Las Vegas,35,18,17,.514,5.46,6.13,,11,9,,10,6,,7,7,,2761,2742,,70.6,110.5,.399,.363,.563,49.6,51.3,10.6,13.3,.534,14.8,30.9,.271
191,James Madison,33,18,15,.545,-5.20,-5.48,,9,9,,11,4,,5,10,,2460,2437,,67.0,110.5,.359,.424,.560,51.5,48.4,7.7,11.6,.529,14.9,30.9,.253
192,Florida A&M,31,15,16,.484,-14.30,-9.23,,11,7,,8,4,,5,11,,2183,2312,,70.3,99.7,.374,.376,.532,49.9,52.4,11.5,8.1,.497,18.6,30.9,.261
193,Denver,32,15,17,.469,-6.07,-2.34,,8,8,,9,5,,6,11,,2650,2650,,69.5,119.2,.344,.386,.590,49.8,40.0,6.6,5.2,.553,12.3,30.8,.266
194,New Mexico,37,26,11,.703,14.30,5.14,,13,7,,17,3,,7,5,,3004,2624,,70.7,114.8,.359,.429,.570,51.8,53.8,11.3,9.5,.536,12.8,30.8,.262
195,Florida State,33,18,15,.545,11.11,8.68,,10,8,,11,6,,6,5,,2652,2572,,71.8,111.9,.347,.506,.555,48.0,52.5,11.0,11.6,.523,13.1,30.8,.247
196,Oklahoma State,35,20,15,.571,10.70,10.04,,6,12,,15,6,,2,7,,2935,2912,,74.0,112.1,.394,.355,.562,50.6,50.4,9.4,7.2,.520,13.6,30.8,.294
197,Grambling,33,14,19,.424,-12.47,-10.24,,7,11,,7,5,,4,13,,2321,2314,,69.9,100.7,.410,.380,.536,49.8,50.8,11.5,8.0,.490,18.2,30.8,.300
198,West Virginia,33,19,14,.576,12.56,8.10,,9,9,,15,3,,3,6,,2296,2149,,64.0,107.1,.356,.425,.540,50.8,52.0,9.8,8.7,.510,14.8,30.7,.244
199,San Diego State,33,22,11,.667,13.64,8.14,,14,6,,14,2,,5,5,,2580,2342,,69.5,110.4,.383,.332,.568,51.0,54.2,10.8,15.2,.532,14.9,30.7,.280
200,Cal State Bakersfield,32,8,24,.250,-13.03,-1.59,,2,18,,6,11,,2,13,,2339,2629,,73.0,100.2,.425,.288,.515,47.6,44.7,10.5,13.3,.462,16.0,30.7,.313
201,Toledo,34,19,15,.559,0.54,-1.81,,11,7,,11,4,,5,9,,2755,2603,,69.8,116.0,.297,.323,.579,49.3,53.9,11.0,8.2,.548,12.7,30.6,.225
202,Cincinnati,33,18,15,.545,15.16,9.61,,9,9,,15,3,,2,8,,2413,2230,,69.2,105.3,.294,.438,.531,51.6,63.7,9.0,12.1,.505,14.6,30.6,.200
203,Austin Peay,31,22,9,.710,-2.50,-6.95,,15,3,,12,1,,9,7,,2530,2269,,71.0,115.0,.377,.388,.575,50.8,57.4,13.0,7.0,.538,13.2,30.5,.280
204,Charleston Southern,32,15,17,.469,-6.81,-6.78,,6,10,,10,4,,5,11,,2670,2563,,74.1,110.1,.302,.515,.567,51.6,56.9,6.4,10.8,.550,15.9,30.5,.196
205,Houston Christian,32,12,20,.375,-9.96,-3.83,,8,14,,9,5,,3,13,,2147,2309,,65.2,102.5,.364,.365,.532,48.8,58.8,10.2,11.2,.497,16.5,30.5,.254
206,Loyola (IL),33,9,24,.273,-6.24,2.73,,4,14,,6,10,,1,9,,2204,2500,,65.9,101.0,.348,.477,.528,50.4,60.8,6.1,11.6,.498,17.1,30.5,.234
207,Ohio State NCAA,34,21,13,.618,18.65,11.91,,12,8,,14,3,,5,6,,2697,2468,,66.4,118.1,.372,.401,.601,51.4,52.6,7.2,7.0,.562,13.5,30.4,.289
208,Bethune-Cookman,32,17,15,.531,-9.66,-6.72,,14,4,,10,1,,7,11,,2412,2462,,71.2,104.7,.411,.298,.550,50.1,51.1,9.8,11.4,.516,16.8,30.4,.284
209,South Dakota,32,16,16,.500,-8.96,-5.23,,8,8,,12,5,,3,10,,2547,2566,,71.3,110.0,.448,.356,.557,50.0,46.3,8.6,5.8,.510,14.2,30.3,.330
210,Brown,27,9,18,.333,-10.15,-4.91,,3,11,,6,8,,3,10,,1900,1892,,67.3,102.7,.277,.370,.528,50.5,59.5,11.7,12.1,.503,16.2,30.3,.189
211,Iowa NCAA,37,24,13,.649,19.24,10.97,,10,10,,14,3,,3,8,,2758,2452,,62.8,118.4,.351,.430,.599,50.4,57.7,10.9,6.4,.564,13.3,30.2,.270
212,College of Charleston,32,21,11,.656,-1.42,-2.84,,14,4,,11,4,,8,4,,2413,2348,,68.5,109.2,.409,.378,.545,50.0,52.2,8.1,12.5,.501,13.4,30.2,.300
213,Cal Poly,33,14,19,.424,-4.48,-0.52,,10,10,,8,6,,6,11,,2710,2805,,76.3,107.2,.350,.524,.563,50.3,50.6,8.6,5.8,.519,17.2,30.2,.275
214,Wake Forest,35,18,17,.514,11.71,9.83,,7,11,,13,7,,2,7,,2759,2693,,69.4,112.4,.352,.436,.568,48.8,53.5,11.0,11.2,.527,13.6,30.1,.273
215,Washington State,32,12,20,.375,3.12,4.73,,7,11,,9,6,,1,11,,2435,2480,,69.2,110.0,.307,.448,.579,51.5,51.8,8.1,7.7,.549,16.5,30.1,.228
216,Queens (NC) NCAA,35,21,14,.600,-3.73,-4.38,,13,5,,12,2,,6,10,,2957,2924,,70.9,118.4,.365,.468,.597,48.4,55.2,8.4,7.9,.565,13.0,30.0,.270
217,San Jose State,33,9,24,.273,-2.02,6.38,,3,17,,6,10,,1,12,,2376,2591,,66.0,108.7,.334,.382,.542,46.1,42.8,8.7,6.6,.505,13.2,30.0,.245
218,DePaul,32,16,16,.500,7.34,6.65,,8,12,,11,7,,4,7,,2248,2226,,67.7,103.7,.353,.390,.531,49.2,60.9,10.2,9.4,.498,15.4,30.0,.244
219,Colorado State,34,21,13,.618,8.23,4.96,,11,9,,12,6,,6,5,,2574,2416,,64.7,117.1,.393,.490,.616,51.9,62.9,8.3,6.6,.579,16.1,30.0,.302
220,Southern Utah,32,10,22,.313,-9.38,-0.41,,6,12,,7,6,,2,15,,2442,2544,,72.0,105.6,.334,.365,.556,49.9,51.4,7.7,9.5,.523,17.1,30.0,.241
221,Temple,32,16,16,.500,0.99,-0.82,,8,10,,10,6,,5,6,,2366,2264,,65.6,112.2,.408,.360,.553,50.1,49.2,8.6,11.2,.508,11.9,29.9,.305
222,South Carolina Upstate,32,13,19,.406,-10.37,-5.68,,5,11,,10,5,,3,13,,2376,2357,,70.0,104.5,.327,.363,.530,49.8,48.1,9.4,12.3,.500,15.1,29.9,.224
223,Georgia Tech,31,11,20,.355,2.59,6.23,,2,16,,10,9,,1,9,,2287,2400,,71.6,102.6,.333,.332,.534,50.3,59.9,8.4,11.4,.500,16.2,29.9,.237
224,Mississippi State,32,13,19,.406,6.96,11.15,,5,13,,8,8,,4,6,,2484,2618,,71.5,107.4,.307,.401,.538,49.8,45.1,8.0,11.1,.515,13.9,29.8,.202
225,Arizona State,33,17,16,.515,10.47,12.47,,7,11,,10,5,,2,9,,2519,2585,,70.6,108.1,.395,.384,.556,47.8,53.0,9.9,12.8,.511,14.9,29.8,.298
226,Central Michigan,31,10,21,.323,-8.74,-2.74,,6,12,,8,5,,1,15,,2275,2384,,69.3,105.9,.319,.339,.551,48.1,56.0,9.5,11.9,.523,16.0,29.8,.223
227,Rutgers,34,14,20,.412,4.44,9.24,,6,14,,10,7,,2,9,,2398,2561,,66.7,104.5,.363,.342,.517,47.6,50.1,9.0,9.6,.472,12.9,29.7,.269
228,Central Arkansas,34,22,12,.647,-1.70,-5.01,,15,3,,14,1,,6,10,,2749,2541,,69.7,113.9,.301,.492,.569,50.9,57.2,12.4,6.7,.543,13.2,29.7,.213
229,Marquette,32,12,20,.375,9.06,9.69,,7,13,,10,7,,2,10,,2405,2425,,70.1,106.0,.328,.422,.533,47.0,58.1,13.2,8.4,.505,13.9,29.7,.221
230,Southeast Missouri State,33,20,13,.606,-7.16,-8.13,,14,6,,10,5,,8,7,,2460,2331,,70.5,105.3,.383,.363,.540,50.9,47.4,9.6,10.0,.505,14.6,29.7,.267
231,Jackson State,33,12,21,.364,-19.74,-6.23,,10,8,,7,3,,4,15,,2318,2764,,71.0,98.1,.374,.433,.508,45.8,45.8,8.8,8.1,.457,16.8,29.7,.284
232,Canisius,31,10,21,.323,-16.99,-7.86,,5,15,,7,8,,3,13,,1951,2184,,64.5,97.1,.311,.397,.504,49.5,55.0,7.6,8.4,.467,16.9,29.7,.224
233,Texas-Rio Grande Valley,33,19,14,.576,0.78,-2.35,,14,8,,10,5,,8,8,,2505,2293,,66.6,112.6,.292,.441,.586,50.5,61.4,9.0,8.0,.557,15.7,29.6,.222
234,Oral Roberts,33,10,23,.303,-10.46,-2.56,,4,12,,7,8,,1,13,,2420,2558,,69.8,104.3,.366,.461,.544,49.6,48.3,8.5,9.0,.502,16.5,29.6,.272
235,Idaho NCAA,36,21,15,.583,-0.53,-2.17,,9,9,,9,4,,7,9,,2800,2618,,69.5,111.6,.338,.470,.560,52.7,46.8,8.4,6.6,.526,13.2,29.5,.248
236,Manhattan,32,12,20,.375,-15.17,-7.98,,8,12,,7,7,,3,12,,2369,2526,,68.3,107.1,.343,.373,.535,46.4,50.7,11.3,6.0,.486,13.4,29.5,.273
237,Sacred Heart,33,14,19,.424,-11.37,-8.15,,9,11,,8,5,,5,13,,2482,2528,,68.4,109.6,.302,.507,.562,49.7,58.6,8.3,8.5,.525,15.3,29.5,.234
238,East Tennessee State,34,23,11,.676,-0.78,-7.46,,13,5,,13,4,,8,6,,2638,2356,,66.9,115.1,.339,.379,.585,51.2,50.7,13.0,11.3,.553,13.3,29.4,.252
239,Chicago State,32,7,25,.219,-16.46,-5.10,,5,13,,5,6,,2,19,,2105,2434,,65.9,99.4,.302,.313,.496,46.2,49.9,12.3,4.8,.455,13.6,29.4,.224
240,IU Indy,32,7,25,.219,-12.62,-4.32,,3,17,,5,9,,2,15,,2673,2825,,76.1,109.3,.211,.429,.551,45.9,64.0,11.6,8.4,.529,13.7,29.4,.154
241,Marist,31,19,12,.613,-3.71,-8.68,,12,8,,11,4,,7,7,,2160,1979,,66.5,104.3,.253,.347,.533,51.2,59.3,10.5,9.0,.498,14.6,29.4,.198
242,Eastern Illinois,33,13,20,.394,-13.82,-6.19,,8,12,,9,6,,3,13,,2214,2321,,66.6,99.6,.332,.301,.517,48.1,51.1,11.5,9.4,.476,16.1,29.4,.244
243,Texas Southern,30,12,18,.400,-14.41,-8.33,,10,8,,9,5,,3,12,,2251,2339,,71.2,103.7,.388,.321,.542,50.0,42.8,9.4,10.1,.503,16.5,29.4,.278
244,Loyola (MD),32,12,20,.375,-13.62,-8.79,,8,10,,8,6,,3,13,,2407,2466,,68.5,108.1,.303,.470,.541,49.9,50.1,8.9,9.9,.512,13.6,29.3,.213
245,Bowling Green,32,18,14,.563,0.22,-3.81,,9,9,,10,7,,6,6,,2602,2290,,71.9,112.6,.377,.340,.570,51.9,49.3,13.5,10.9,.535,13.9,29.3,.275
246,Utah,32,10,22,.313,5.85,10.60,,2,16,,8,9,,1,10,,2379,2531,,68.0,108.8,.317,.375,.554,49.0,51.7,7.8,8.4,.520,14.6,29.3,.234
247,Arkansas-Pine Bluff,32,13,19,.406,-15.09,-7.22,,10,8,,7,4,,6,14,,2472,2593,,72.4,106.4,.363,.372,.556,48.2,58.1,9.9,7.8,.515,16.2,29.3,.274
248,Portland,34,15,19,.441,-2.49,3.54,,6,12,,12,6,,1,12,,2530,2669,,70.5,104.8,.355,.348,.556,49.8,62.1,8.3,9.0,.518,17.0,29.3,.262
249,Kansas NCAA,35,24,11,.686,20.45,14.40,,12,6,,14,2,,5,6,,2629,2417,,68.3,109.2,.322,.352,.552,51.5,52.3,7.8,15.6,.512,13.6,29.2,.247
250,Syracuse,32,15,17,.469,9.77,9.02,,6,12,,12,6,,2,7,,2400,2376,,67.8,108.5,.351,.372,.548,48.0,47.1,9.0,15.4,.526,13.9,29.2,.228
251,Kansas State,32,12,20,.375,8.26,10.54,,3,15,,10,8,,1,10,,2546,2619,,73.8,107.8,.269,.409,.557,47.7,57.7,9.5,9.1,.533,15.3,29.2,.191
252,Belmont,32,26,6,.813,8.59,-0.77,,16,4,,13,2,,11,3,,2684,2347,,70.2,118.6,.319,.461,.622,52.2,61.8,8.7,11.2,.607,15.7,29.2,.218
253,Wisconsin NCAA,35,24,11,.686,18.91,12.05,,14,6,,15,2,,6,4,,2904,2664,,69.0,118.6,.315,.521,.582,50.4,57.3,8.0,8.6,.545,11.2,29.1,.248
254,North Dakota,35,18,17,.514,-9.28,-3.87,,10,6,,9,7,,7,8,,2680,2705,,69.6,109.2,.365,.403,.539,47.8,43.0,12.1,8.2,.504,12.1,29.1,.257
255,Nicholls State,33,14,19,.424,-7.02,-2.30,,12,10,,6,6,,7,12,,2388,2471,,68.7,105.3,.343,.442,.537,46.5,52.2,13.1,8.0,.510,15.0,29.1,.229
256,San Diego,33,12,21,.364,-3.79,2.24,,5,13,,9,8,,2,11,,2458,2570,,69.3,106.2,.257,.431,.551,47.0,60.0,11.2,8.0,.521,15.6,29.1,.195
257,Cleveland State,33,11,22,.333,-13.27,-3.23,,6,14,,7,8,,3,13,,2633,2836,,71.5,111.6,.366,.496,.583,47.4,58.4,7.9,7.8,.547,15.8,29.1,.276
258,Southeastern Louisiana,31,9,22,.290,-9.53,-3.07,,6,16,,5,7,,2,15,,2016,2184,,65.8,98.4,.396,.397,.510,48.1,52.4,10.5,8.5,.470,16.3,29.1,.271
259,Colorado,33,17,16,.515,10.51,10.12,,7,11,,13,5,,2,8,,2645,2632,,70.5,112.9,.367,.352,.569,49.8,55.2,8.9,8.7,.529,12.8,29.0,.279
260,Georgia Southern,37,21,16,.568,-6.69,-6.23,,8,10,,9,5,,7,8,,2994,2949,,71.3,112.3,.390,.488,.561,46.8,42.0,11.2,10.2,.520,12.6,28.9,.291
261,Western Illinois,31,5,26,.161,-23.74,-8.45,,1,19,,4,11,,1,15,,2011,2381,,67.2,96.2,.367,.333,.492,46.7,37.2,7.7,5.2,.455,15.1,28.9,.244
262,UC Riverside,32,10,22,.313,-8.06,-0.60,,5,15,,7,7,,3,15,,2334,2492,,70.7,103.1,.345,.388,.536,49.4,50.2,7.6,10.2,.495,16.1,28.9,.256
263,The Citadel,33,11,22,.333,-16.66,-6.06,,7,11,,7,8,,3,12,,2322,2558,,65.1,106.1,.288,.497,.529,47.9,51.7,8.4,7.6,.505,13.5,28.8,.194
264,Ohio,32,15,17,.469,-4.94,-1.64,,9,9,,10,6,,4,8,,2492,2515,,70.4,109.7,.370,.380,.553,48.2,48.9,8.6,9.1,.520,13.4,28.7,.261
265,Davidson,34,20,14,.588,4.23,2.88,,10,8,,11,7,,7,5,,2447,2309,,64.8,109.9,.317,.446,.555,49.5,54.2,10.1,12.7,.535,13.6,28.7,.207
266,Illinois State,36,23,13,.639,6.53,1.48,,12,8,,14,2,,7,7,,2688,2466,,67.3,110.6,.312,.431,.567,52.2,51.3,8.2,6.4,.541,14.7,28.7,.220
267,Saint Francis (PA),31,7,24,.226,-19.09,-6.05,,5,13,,5,8,,2,14,,2216,2510,,70.3,101.2,.305,.381,.525,47.3,52.5,10.5,6.0,.495,16.0,28.7,.212
268,UNC Greensboro,34,15,19,.441,-11.43,-6.15,,9,9,,8,6,,4,9,,2673,2736,,69.0,112.6,.408,.396,.565,50.4,48.0,8.0,5.6,.530,12.8,28.6,.288
269,Northern Colorado,32,20,12,.625,-0.09,-2.85,,10,8,,11,3,,8,7,,2640,2449,,70.0,116.0,.267,.429,.594,53.4,54.8,6.1,6.8,.568,13.5,28.6,.203
270,Utah Tech,34,19,15,.559,-3.70,-1.44,,11,7,,11,3,,6,10,,2612,2548,,68.9,108.8,.320,.385,.570,48.6,52.9,10.2,7.8,.540,15.5,28.6,.233
