Rk,Team,Conf,W-L,NetRtg,ORtg,,DRtg,,AdjT,,Luck,,NetRtg,,ORtg,,DRtg,,NetRtg,
190,South Dakota St.,Sum,7-Jul,-2.75,107,178,109.8,218,69.1,182,-0.13,357,-0.74,197,105.5,293,106.2,91,-0.74,196
191,Louisiana Tech,CUSA,4-Jun,-2.83,100.7,297,103.5,87,64.8,351,-0.036,252,-6.71,340,103.4,345,110.1,306,-6.71,338
192,Southern Miss,SB,6-Jul,-2.88,106.9,181,109.8,219,68.3,216,-0.029,239,-0.74,198,107.3,210,108,192,1.57,134
193,Navy,PL,5-Jul,-2.95,103.6,251,106.6,140,68.6,204,-0.012,216,-7.82,352,103.2,350,111,345,-7.82,350
194,Illinois Chicago,MVC,7-Apr,-2.97,106.2,194,109.2,203,68.4,209,-0.122,351,-1.68,230,107.4,200,109.1,260,-5.1,314
195,Northern Kentucky,Horz,4-Sep,-3.06,105.8,202,108.8,196,70.6,101,0.064,76,-5.02,313,108,162,113.1,364,-3.94,291
196,Charleston,CAA,6-Jun,-3.09,107.4,174,110.5,231,67.9,239,0.005,179,-1.21,212,108.6,128,109.8,293,-1.21,211
197,Indiana St.,MVC,5-Jul,-3.17,103,256,106.2,133,70.8,84,0.007,171,-4.4,305,103.7,338,108.1,198,-5.1,313
198,South Alabama,SB,4-Sep,-3.2,105.1,217,108.3,176,66.5,308,0.117,18,-5.29,321,104.7,320,110,299,-4.26,300
199,Charlotte,Amer,7-May,-3.23,108.7,146,111.9,270,64,359,-0.1,340,-1.06,206,106.9,233,107.9,189,-1.06,206
200,Tulane,Amer,4-Aug,-3.34,109.3,136,112.7,288,67.2,273,0.218,1,-3.61,289,105.2,308,108.8,241,-3.61,285
,,,,,,,,,,,,,Strength of Schedule,,,,,,NCSOS,
Rk,Team,Conf,W-L,NetRtg,ORtg,,DRtg,,AdjT,,Luck,,NetRtg,,ORtg,,DRtg,,NetRtg,
201,Ohio,MAC,7-May,-3.46,106.9,185,110.3,227,69.9,134,0.014,158,3.37,81,108.4,144,105,45,3.55,89
202,Fordham,A10,4-Aug,-3.62,104.3,233,107.9,169,65,349,-0.119,349,-14.13,365,100.9,365,115,365,-14.13,365
203,Queens,ASun,7-May,-3.71,114.6,74,118.3,350,69.5,163,-0.049,280,4.23,63,111.6,40,107.4,151,4.23,73
204,Tennessee Martin,OVC,4-Sep,-3.81,104.2,237,108,170,66.5,306,0.077,54,-1.25,214,106.5,247,107.8,176,-0.58,192
205,Valparaiso,MVC,5-Jun,-3.91,103.4,254,107.3,156,67.3,269,0.001,192,-5.22,318,105,312,110.2,308,-5.22,318
206,James Madison,SB,6-Jul,-4.04,110.2,128,114.2,321,66.6,297,0.045,101,-3.58,287,106.2,262,109.8,292,-4.53,307
207,Rice,Amer,6-Jun,-4.22,105.7,205,109.9,221,66.7,293,0.016,154,-1.31,220,107,223,108.3,210,-1.31,217
208,Northeastern,CAA,6-Apr,-4.26,103.7,248,108,171,70.2,119,-0.039,254,-0.98,204,107.9,171,108.9,249,-0.98,204
209,Weber St.,BSky,6-May,-4.28,106.7,187,111,242,70,129,-0.085,328,-0.51,192,105.6,288,106.1,81,-0.51,190
210,Montana,BSky,7-Jun,-4.31,107.5,172,111.8,262,70.5,102,0.027,136,2.58,102,109.8,88,107.2,143,2.58,105
211,LIU,NEC,6-Jun,-4.32,105.6,207,109.9,222,71.2,67,0.092,38,-0.4,187,108.4,143,108.8,239,-0.4,185
212,CSUN,BW,5-Jul,-4.51,107,180,111.5,254,73.4,15,0.091,41,-1.19,211,105.3,303,106.5,107,-0.29,181
213,Eastern Michigan,MAC,6-Jun,-4.7,103.9,241,108.6,186,66.8,289,0.045,100,2.07,120,109.8,91,107.7,172,-0.28,180
214,Southern,SWAC,7-Apr,-4.72,103.8,245,108.5,181,73.1,21,-0.005,206,10,16,113.7,8,103.7,22,10,20
215,Abilene Christian,WAC,5-Jul,-4.79,101.5,281,106.3,136,66.9,288,0.13,13,3.31,87,108.7,127,105.4,56,3.31,96
216,Georgia Southern,SB,5-Oct,-4.79,108.5,150,113.3,300,72.2,41,0.057,84,-6.47,337,103.5,343,110,301,-4.96,310
217,Old Dominion,SB,9-Apr,-5.09,105.4,213,110.5,230,69.6,155,-0.109,346,3.69,76,109.8,92,106.1,78,6.98,35
218,UTEP,CUSA,6-Mar,-5.15,101.3,287,106.4,137,66,325,-0.031,240,9.14,19,110.4,67,101.3,3,9.14,24
219,San Diego,WCC,6-May,-5.28,107,179,112.3,281,69.9,135,0.054,87,-1.96,241,107.4,201,109.3,270,-1.96,239
220,Campbell,CAA,6-May,-5.31,104,238,109.3,207,72.3,36,0.079,52,8.37,23,111.9,35,103.5,21,8.37,28
221,Southeast Missouri,OVC,7-Jun,-5.4,104.8,223,110.2,226,71.9,47,-0.008,211,3.2,91,109.4,105,106.2,89,5.62,53
222,Portland,WCC,5-Jul,-5.44,104,239,109.4,211,71.8,51,0.086,45,-2.27,251,107.4,203,109.6,285,-2.27,252
223,New Orleans,Slnd,8-Mar,-5.57,106.9,183,112.5,283,71.2,69,0.001,190,10.05,15,113.1,20,103,17,14.45,5
224,Stony Brook,CAA,4-Aug,-5.6,103.8,244,109.4,209,67.4,265,0.106,24,-3.95,295,104.8,318,108.8,237,-3.95,292
225,Texas A&M Corpus Chris,Slnd,6-Apr,-5.63,100.5,299,106.1,131,67.8,244,-0.017,223,12.56,5,113.1,18,100.6,1,16.64,1
226,Wofford,SC,5-Jul,-5.7,105.5,212,111.2,246,68.7,201,0.118,17,-2.65,261,108.3,153,110.9,340,-2.65,260
227,Purdue Fort Wayne,Horz,6-Jul,-5.82,108,160,113.8,315,70.1,125,0.065,72,1.54,136,109.3,110,107.7,173,5.42,58
228,Brown,Ivy,7-May,-5.93,99.2,325,105.2,116,67.2,274,-0.102,341,-6.45,336,104,334,110.5,323,-6.45,335
229,Nicholls,Slnd,7-Mar,-6.08,102.8,261,108.9,199,69.9,138,-0.033,246,5.79,43,111.9,33,106.1,80,10.81,16
230,UNC Asheville,BSth,7-Jun,-6.17,105.2,216,111.3,252,67.4,261,-0.046,273,-1.24,213,107.4,198,108.7,228,-1.24,212
231,Lindenwood,OVC,4-Aug,-6.17,102.1,270,108.2,175,73.3,16,0.107,23,-2.02,244,106.1,271,108.1,196,4.03,78
232,American,PL,5-Jul,-6.26,104.9,222,111.2,248,70.1,126,0.037,113,-3.96,296,104.8,317,108.8,240,-3.96,293
233,Cal Poly,BW,8-May,-6.31,105.6,206,111.9,266,76.9,2,0.05,93,3.99,69,110.8,51,106.8,124,6.91,36
234,Milwaukee,Horz,6-May,-6.35,107.5,168,113.9,317,70.4,110,0.087,44,2.39,108,109.8,90,107.4,157,3.76,83
235,Grambling St.,SWAC,6-May,-6.47,101.9,275,108.4,177,68.6,203,0.041,108,0.44,165,107.8,182,107.3,147,0.44,164
236,Jacksonville St.,CUSA,6-May,-6.57,101.4,282,108,173,65.3,343,-0.05,282,-5.14,315,104.6,322,109.8,290,-5.14,315
237,Coastal Carolina,SB,6-Jul,-6.67,99.8,311,106.5,138,71.1,73,0.093,36,-1.8,237,106.9,231,108.7,234,-1.91,236
238,Central Arkansas,ASun,7-May,-6.72,100.7,296,107.4,159,70.7,92,-0.124,352,2.04,121,108.8,123,106.7,119,2.04,118
239,Samford,SC,6-Jul,-6.72,106.3,192,113,294,67.2,271,0.11,21,-0.43,188,107.8,174,108.3,207,-0.43,187
240,Monmouth,CAA,7-May,-6.74,104.3,234,111,243,68.2,224,0.011,162,-2.77,262,105.3,299,108.1,194,-2.77,262
,,,,,,,,,,,,,Strength of Schedule,,,,,,NCSOS,
Rk,Team,Conf,W-L,NetRtg,ORtg,,DRtg,,AdjT,,Luck,,NetRtg,,ORtg,,DRtg,,NetRtg,
241,Cal St. Fullerton,BW,7-May,-6.77,104.5,227,111.3,250,75.6,3,-0.09,332,0.65,161,108.3,149,107.6,169,0.82,155
242,Charleston Southern,BSth,5-Aug,-6.83,103.7,249,110.5,232,71.3,66,-0.051,284,-7.79,350,103.8,337,111.6,356,-7.79,349
243,Eastern Washington,BSky,9-Feb,-6.89,107.6,167,114.5,325,70.4,107,-0.177,362,4.15,66,109.4,107,105.2,52,4.15,75
244,SIUE,OVC,5-Jul,-6.91,101.1,291,108,172,66.6,305,0.004,180,-5.36,324,105.1,310,110.5,320,-4.81,308
245,Tennessee St.,OVC,5-Jul,-6.91,100.9,294,107.8,167,72.2,39,0.147,5,2.26,113,108.8,122,106.5,111,5.95,46
246,Nebraska Omaha,Sum,7-Jun,-6.97,106.3,191,113.3,299,68.3,214,0.003,184,2.58,104,110.4,66,107.8,180,2.58,106
247,Penn,Ivy,4-Jun,-6.97,106.3,193,113.2,297,71,75,0.145,6,-3.23,279,106,274,109.3,267,-3.23,275
248,Norfolk St.,MEAC,8-May,-7.07,99.4,319,106.5,139,67.7,251,-0.053,288,3.35,83,110,84,106.6,114,3.35,92
249,Appalachian St.,SB,6-Aug,-7.13,101.4,284,108.6,184,63.7,362,0.064,77,-4.72,309,105.7,284,110.5,319,-2.2,248
250,Radford,BSth,8-May,-7.14,104.8,224,111.9,267,73.2,19,-0.133,359,-2.85,266,106.9,229,109.8,291,-2.85,264
251,Lamar,Slnd,5-May,-7.16,99.8,312,106.9,148,68,232,0.022,145,-2.05,245,106,273,108.1,195,1.06,148
252,UC Riverside,BW,6-Jun,-7.18,105.5,210,112.7,286,68.4,210,0.064,78,0.91,153,106.9,228,106,76,0.44,163
253,Utah Tech,WAC,6-Jun,-7.29,102.6,265,109.8,220,66.9,287,0.029,130,0.64,162,108,163,107.4,152,0.64,159
254,Texas St.,SB,6-Aug,-7.33,101.1,288,108.5,180,67.2,275,0.081,49,-6.41,335,103.3,348,109.7,286,-6.77,340
255,Dartmouth,Ivy,6-May,-7.33,103.6,252,110.9,241,71.8,50,-0.056,293,-5.87,331,104.6,324,110.5,322,-5.87,327
256,Hampton,CAA,7-Jun,-7.37,103.9,242,111.3,249,67.4,264,-0.059,295,-5.34,323,103.5,342,108.9,247,-5.34,322
257,Sacred Heart,MAAC,7-May,-7.45,106.1,198,113.5,305,69.8,139,-0.036,250,-3.09,274,106.9,230,110,304,-2.12,246
258,Chattanooga,SC,7-May,-7.45,106.9,184,114.3,323,66.3,315,-0.051,286,-1.34,223,107.7,191,109,257,-1.34,220
259,Eastern Kentucky,ASun,8-Apr,-7.55,105.5,208,113.1,295,69.7,146,-0.003,202,1.64,131,108.8,121,107.2,139,1.64,130
260,Bethune Cookman,SWAC,8-Mar,-7.63,103.6,253,111.2,247,67.6,253,-0.047,275,10.87,12,113.4,10,102.6,12,10.87,15
261,USC Upstate,BSth,7-Aug,-7.69,102,273,109.7,217,69.4,168,0.026,137,-1.9,238,105.9,278,107.8,181,-1.9,235
262,Bellarmine,ASun,6-May,-7.72,108.3,153,116,336,67.2,272,-0.013,218,1.84,127,110.7,54,108.8,245,1.84,124
263,La Salle,A10,8-Apr,-7.84,101.6,279,109.4,210,65.6,338,-0.104,343,-1.27,216,108.5,130,109.8,294,-1.27,215
264,Green Bay,Horz,7-Jun,-7.92,105.8,203,113.7,313,65.6,337,0.06,82,3.2,92,110.6,56,107.4,156,6.35,41
265,Long Beach St.,BW,9-Mar,-7.94,105.9,201,113.9,316,68.1,225,-0.035,248,1.56,134,108.9,119,107.4,153,0.67,158
266,Howard,MEAC,5-Sep,-8.28,100.1,306,108.4,179,69.3,175,0.13,12,-5.58,328,104.6,325,110.2,307,-5.58,323
267,East Carolina,Amer,7-May,-8.44,99.1,328,107.6,163,70.8,89,0.017,152,-4.39,304,105.5,296,109.9,296,-4.39,303
268,Princeton,Ivy,10-Mar,-8.44,100.1,305,108.6,185,67.5,257,-0.108,345,-0.31,184,108.3,148,108.6,223,-0.31,184
269,Central Connecticut,NEC,5-Jun,-8.46,102.1,269,110.6,233,67.3,270,0.072,62,-0.01,174,106.2,266,106.2,84,-0.01,171
270,North Alabama,ASun,6-May,-8.53,102.8,262,111.3,251,67.7,248,0.104,26,3.69,77,109.6,97,105.9,74,3.69,86
271,Northern Arizona,BSky,6-May,-8.59,100.6,298,109.2,202,67.6,254,0.031,127,-0.12,178,108.4,141,108.5,217,-0.12,176
272,Delaware,CUSA,7-Apr,-8.67,102.9,259,111.5,257,66.5,307,0.023,143,-5.16,316,104.3,331,109.5,278,-5.16,316
273,Fairfield,MAAC,5-Jul,-8.83,104.5,228,113.3,301,68.8,194,0.105,25,-7.81,351,103.1,352,110.9,341,-8.04,351
274,Alabama St.,SWAC,8-Mar,-8.94,105.2,215,114.1,319,68.9,186,-0.041,259,6.36,37,110.6,55,104.3,28,6.36,40
275,Missouri St.,CUSA,5-May,-8.96,101.4,285,110.4,228,65.7,333,0.076,57,-0.43,189,107.9,168,108.4,211,-0.43,188
276,Southeastern Louisiana,Slnd,8-Apr,-8.97,99.7,315,108.7,188,66.6,296,0.014,159,0.23,171,107.6,194,107.3,148,5.78,49
277,Alabama A&M,SWAC,5-Jun,-9.02,100.4,300,109.5,212,66.4,312,0.098,33,1.57,133,107,224,105.5,59,1.57,133
278,Merrimack,MAAC,7-Jun,-9.04,101.6,280,110.6,235,65.4,341,0.125,14,-1.45,224,106.8,240,108.2,205,1.85,123
279,Sacramento St.,BSky,6-Apr,-9.32,101.1,289,110.4,229,71.7,52,0.015,156,8.68,21,113.2,15,104.5,34,8.68,26
280,Evansville,MVC,8-Apr,-9.4,100.2,302,109.6,216,69.7,149,-0.039,255,4.17,65,110.6,61,106.4,99,3.58,88
,,,,,,,,,,,,,Strength of Schedule,,,,,,NCSOS,
Rk,Team,Conf,W-L,NetRtg,ORtg,,DRtg,,AdjT,,Luck,,NetRtg,,ORtg,,DRtg,,NetRtg,
281,Western Carolina,SC,7-Apr,-9.42,102,271,111.5,253,71.8,49,0.063,79,9.43,17,112.2,32,102.7,14,9.43,21
282,Western Michigan,MAC,7-May,-9.43,105,220,114.4,324,69.6,152,0.076,56,-3.64,291,105.5,292,109.2,263,-3.25,276
283,Tennessee Tech,OVC,7-Jun,-9.5,102.7,263,112.2,278,70.6,99,-0.048,277,1.13,145,108.2,155,107.1,136,4.56,68
284,Pepperdine,WCC,8-Apr,-9.6,99.9,308,109.5,214,67.5,258,-0.07,314,-3.6,288,106.6,243,110.2,310,-3.6,284
285,UMBC,AE,5-Jun,-9.61,103.9,240,113.5,306,68.1,229,0.05,91,-6.38,334,104.6,326,110.9,342,-6.38,334
286,Presbyterian,BSth,7-Jun,-9.74,99.6,318,109.3,206,63.2,364,-0.001,196,-1.74,234,106.2,261,107.9,190,-1.74,232
287,South Dakota,Sum,7-Jul,-9.75,106.2,196,115.9,335,72.8,27,0.042,106,-4.16,299,105.6,289,109.7,287,-4.16,297
288,Houston Christian,Slnd,7-May,-9.78,105,221,114.7,329,64.9,350,-0.044,264,-3.39,282,106.4,255,109.8,289,-4.49,305
289,Denver,Sum,7-Jul,-9.79,112.2,104,122,365,68.8,192,0.123,15,6.09,39,111.5,41,105.4,57,6.09,44
290,UNC Greensboro,SC,9-Mar,-10.03,104.2,235,114.3,322,68.1,227,-0.054,290,-0.18,181,108.7,126,108.9,246,-0.18,178
291,UTSA,Amer,7-Apr,-10.11,99.4,320,109.5,215,70.2,123,0.048,96,2.42,107,110.6,59,108.2,202,2.42,109
292,East Texas A&M,Slnd,5-Jun,-10.35,100.2,303,110.6,234,70.6,98,0.138,10,2.58,103,107.3,208,104.7,36,1.18,144
293,Oral Roberts,Sum,9-May,-10.43,104.2,236,114.6,327,69.5,161,0.006,176,5.29,49,111.4,42,106.1,82,5.29,59
294,Northwestern St.,Slnd,8-Mar,-10.52,106.1,199,116.6,342,66.6,304,-0.048,278,8.33,24,110.5,63,102.2,10,8.77,25
295,Detroit Mercy,Horz,7-May,-10.7,102.9,258,113.6,309,69.3,174,0.007,172,-0.15,179,108.5,135,108.6,224,5.57,54
296,UMass Lowell,AE,8-May,-10.83,103.1,255,114,318,71.1,72,-0.061,299,2.37,109,107.1,216,104.8,38,2.37,110
297,Saint Peter's,MAAC,5-Apr,-10.89,99.8,313,110.7,236,66.2,322,0.028,134,-6.96,344,103.3,346,110.3,316,-0.47,189
298,Drexel,CAA,7-May,-10.9,101.1,290,112,271,67.1,281,-0.063,303,-8.31,355,102.5,358,110.8,338,-8.31,354
299,Boston University,PL,8-Apr,-11.29,107.8,162,119.1,353,64,360,0.028,133,-1.93,239,105.3,302,107.2,141,-1.93,237
300,Loyola Chicago,A10,9-Apr,-11.48,105.7,204,117.2,344,66.2,321,0.075,58,-5.34,322,105.2,309,110.5,324,-5.34,321
301,Albany,AE,9-Apr,-11.53,102,272,113.6,307,70.1,128,-0.044,266,5.55,46,110.6,57,105.1,47,5.55,55
302,Wagner,NEC,6-Apr,-11.66,101.7,278,113.4,303,68.5,205,-0.044,267,4.88,55,109.7,96,104.8,39,4.88,62
303,Longwood,BSth,7-Jul,-11.81,101.9,276,113.7,314,71,80,0.069,66,-8.93,359,102.2,360,111.1,349,-8.93,359
304,Mount St. Mary's,MAAC,9-Mar,-12.07,99.6,317,111.6,260,69.6,151,-0.004,203,-1.69,231,105.4,298,107.1,133,-1.09,208
305,Bryant,AE,9-Mar,-12.31,99.2,326,111.5,256,66.9,285,-0.011,214,2.16,116,106.5,253,104.3,29,2.16,116
306,Lehigh,PL,8-Apr,-12.36,100.3,301,112.6,284,68.3,213,-0.042,261,-0.93,202,106.3,259,107.2,138,-0.93,200
307,North Carolina A&T,CAA,4-Jul,-12.44,99.7,314,112.2,277,71.4,59,0.077,55,-9.19,360,102.6,356,111.8,358,-9.19,360
308,Le Moyne,NEC,7-May,-12.46,106.6,188,119.1,354,69.5,159,0.03,128,-2.91,268,105.7,283,108.7,227,-2.91,265
309,Prairie View A&M,SWAC,6-May,-12.53,99.7,316,112.2,279,72.9,25,-0.047,274,4.74,57,111.2,45,106.4,104,4.74,64
310,Jacksonville,ASun,7-May,-12.58,100.2,304,112.7,290,66.3,313,0.14,9,3.14,93,109.3,108,106.2,87,3.14,99
311,Bucknell,PL,10-Mar,-12.58,99,330,111.6,259,67.5,259,-0.032,243,1.51,137,109,117,107.5,160,1.51,136
312,Morehead St.,OVC,7-May,-12.6,99.2,327,111.8,261,68.2,223,0.064,74,1.85,126,109.3,109,107.4,159,7.51,33
313,West Georgia,ASun,5-Jun,-12.82,101.3,286,114.2,320,69.2,176,0.168,3,-1.08,207,107.5,196,108.6,221,-1.08,207
314,Cal St. Bakersfield,BW,8-May,-13.41,99.8,310,113.2,296,70.9,81,0.015,157,-0.32,185,107.2,215,107.5,162,-1.26,214
315,Little Rock,OVC,9-Mar,-13.48,99.9,307,113.4,304,67.1,277,0.003,186,1.09,148,107.4,204,106.3,94,3.59,87
316,Northern Illinois,MAC,7-May,-13.74,102.5,266,116.2,339,68.8,189,0.024,141,1,150,107.7,187,106.7,118,3.37,91
317,Ball St.,MAC,9-Mar,-13.86,98.2,336,112,272,66.2,323,-0.074,317,-5.52,326,104.7,321,110.2,311,-6.29,333
318,Mercyhurst,NEC,8-May,-13.88,97.7,340,111.6,258,65.8,331,-0.051,285,0.43,166,108.3,146,107.9,184,0.43,165
319,Southern Utah,WAC,9-Apr,-14.03,99.3,322,113.3,302,70.8,87,-0.054,289,4.67,58,110.3,71,105.6,65,4.67,65
320,Manhattan,MAAC,8-Apr,-14.22,103.9,243,118.1,348,70,130,0.041,107,-2.29,252,105.2,305,107.5,165,-1.6,228
,,,,,,,,,,,,,Strength of Schedule,,,,,,NCSOS,
Rk,Team,Conf,W-L,NetRtg,ORtg,,DRtg,,AdjT,,Luck,,NetRtg,,ORtg,,DRtg,,NetRtg,
321,Eastern Illinois,OVC,8-Mar,-14.29,97.6,341,111.9,265,66.6,300,0.018,151,5.27,50,109.5,102,104.3,27,11.82,11
322,Central Michigan,MAC,8-Apr,-14.46,102,274,116.4,341,67.1,280,-0.095,337,-2.41,257,106.2,265,108.6,220,-1.46,223
323,Cleveland St.,Horz,9-Apr,-14.68,104.7,225,119.4,355,71,76,-0.019,225,2.23,115,110.4,64,108.2,204,4.58,67
324,Air Force,MWC,9-Mar,-14.81,97.3,342,112.1,276,65.1,347,0.017,153,-4.24,301,106,276,110.2,312,-6.16,331
325,Lafayette,PL,10-Mar,-14.9,100.7,295,115.6,333,68.4,211,-0.083,327,-3.53,285,106,275,109.5,280,-3.53,282
326,North Dakota,Sum,9-May,-14.93,98.7,333,113.6,311,70.2,120,0.032,125,-2.33,255,107.7,192,110,302,-2.33,255
327,Louisiana,SB,11-Feb,-15,94.4,357,109.4,208,64.5,356,-0.04,257,-1.29,218,106.3,258,107.6,167,-0.09,175
328,Texas Southern,SWAC,8-Jan,-15.26,99.3,324,114.5,326,71.4,60,-0.06,298,14.46,2,115.9,1,101.5,5,14.46,4
329,VMI,SC,7-May,-15.29,102.1,268,117.4,346,68.1,226,0.012,161,-0.68,196,108,166,108.7,229,-0.68,195
330,Holy Cross,PL,8-May,-15.29,100.9,293,116.2,338,65.9,326,0.037,114,1.12,146,108.2,156,107.1,135,1.12,146
331,Georgia St.,SB,10-Mar,-15.52,96.6,343,112.1,275,70.4,111,0.006,173,0.93,152,107.3,205,106.4,101,1.43,138
332,Alcorn St.,SWAC,10-Jan,-15.95,99.3,323,115.2,332,70.8,86,-0.002,201,11.81,8,113.5,9,101.7,6,11.81,12
333,Jackson St.,SWAC,11-Jan,-16.07,96.5,344,112.6,285,70.7,91,0.001,189,11.98,7,114.5,5,102.5,11,11.98,10
334,Army,PL,7-May,-16.16,98.6,334,114.8,330,67.4,260,0.068,68,-1.57,227,107.8,184,109.3,269,-1.57,226
335,Kansas City,Sum,11-Feb,-16.28,95.7,349,111.9,269,70.9,83,-0.024,231,5.47,47,111.2,44,105.7,69,5.47,56
336,Southern Indiana,OVC,9-Mar,-16.39,95.5,353,111.9,264,70.7,94,-0.045,270,-5.25,320,105.5,297,110.7,335,-1.97,241
337,New Hampshire,AE,7-Apr,-16.41,94.3,358,110.7,238,68.7,195,0.001,191,0.17,173,107.8,176,107.7,171,0.17,170
338,Loyola MD,PL,8-Apr,-16.43,101.8,277,118.3,349,69.3,172,-0.071,316,-8.16,354,102.5,359,110.7,330,-8.16,353
339,Canisius,MAAC,7-May,-16.72,94.8,355,111.5,255,65,348,0.075,59,-3.02,272,105.2,307,108.2,203,-3.76,288
340,Stonehill,NEC,9-Mar,-16.88,94.2,359,111.1,245,67.9,241,-0.065,309,-2.81,263,105.3,301,108.1,197,-2.81,263
341,New Haven,NEC,6-May,-16.92,95.7,348,112.7,287,65.3,342,0.003,187,1.3,140,106.2,260,104.9,42,1.3,141
342,Stetson,ASun,8-Apr,-16.96,98.8,332,115.8,334,67.9,240,-0.002,198,1.04,149,107.2,212,106.2,85,1.04,149
343,Florida A&M,SWAC,6-Mar,-17.02,96.2,347,113.3,298,70.8,90,0.024,142,4.86,56,111,47,106.1,79,4.86,63
344,Maine,AE,12-Jan,-17.18,91.7,364,108.9,198,65.8,329,-0.07,313,-1.97,242,106.4,254,108.4,212,-1.97,240
345,North Florida,ASun,9-Feb,-17.61,104.3,232,121.9,364,72,45,-0.081,325,7.98,29,110.8,52,102.8,15,7.98,30
346,Chicago St.,NEC,11-Feb,-17.68,98.9,331,116.6,343,69,183,0.002,188,11.15,11,113.1,17,102,7,11.15,14
347,Arkansas Pine Bluff,SWAC,10-Mar,-17.86,98.2,337,116,337,73.8,11,0.038,111,12.62,3,114.8,4,102.2,9,12.62,7
348,Maryland Eastern Shore,MEAC,12-Apr,-17.93,95.6,350,113.6,308,63.1,365,-0.05,281,3.34,85,109.2,111,105.9,73,3.34,94
349,IU Indy,Horz,9-Apr,-17.95,102.5,267,120.4,357,77.9,1,0.038,112,-3.94,294,105.6,290,109.5,279,-2.12,245
350,Rider,MAAC,9-Jan,-19.09,91.8,363,110.8,240,67,282,-0.095,338,4.55,59,109.9,87,105.3,54,6.48,39
351,North Carolina Central,MEAC,10-Apr,-19.13,95.6,351,114.7,328,67.8,243,-0.064,307,9.31,18,112.8,23,103.5,20,9.31,23
352,NJIT,AE,8-Apr,-19.53,92.3,361,111.8,263,69.3,169,0.097,34,-3.26,280,106,277,109.2,265,-3.26,277
353,Western Illinois,OVC,8-Apr,-19.87,98.1,338,118,347,65.7,336,-0.044,268,-2.13,246,105.7,286,107.8,179,-2.23,249
354,Delaware St.,MEAC,9-Apr,-20.08,92,362,112.1,274,68,230,0.025,139,-1.96,240,106.2,264,108.1,200,-1.96,238
355,Niagara,MAAC,9-Mar,-20.69,95.6,352,116.2,340,65.5,339,-0.04,258,-4.67,308,104.8,316,109.5,276,-5.89,328
356,The Citadel,SC,10-Mar,-21.18,99.4,321,120.6,359,66.7,294,-0.056,294,-1.26,215,106.9,235,108.1,199,-1.26,213
357,Louisiana Monroe,SB,10-Mar,-21.61,98.5,335,120.1,356,70.9,82,-0.075,320,-4.33,303,104.5,327,108.8,242,-1.54,224
358,Fairleigh Dickinson,NEC,8-Mar,-21.72,99,329,120.7,360,69.6,157,-0.063,304,0.76,159,107.4,199,106.7,117,0.76,156
359,Gardner Webb,BSth,12-Feb,-22.64,96.2,346,118.9,352,72.5,32,-0.018,224,3.5,80,110.6,60,107.1,132,3.5,90
360,Morgan St.,MEAC,9-Feb,-22.86,98,339,120.9,361,69.8,141,-0.094,335,-6.64,339,103.6,340,110.3,313,-6.64,337
,,,,,,,,,,,,,Strength of Schedule,,,,,,NCSOS,
Rk,Team,Conf,W-L,NetRtg,ORtg,,DRtg,,AdjT,,Luck,,NetRtg,,ORtg,,DRtg,,NetRtg,
361,Saint Francis,NEC,11-Feb,-22.98,94.4,356,117.4,345,70.6,97,-0.022,227,6.01,40,111,46,105,46,6.01,45
362,South Carolina St.,MEAC,12-Jan,-23.41,95,354,118.4,351,70.4,105,-0.061,300,0.26,170,110.3,73,110,303,0.26,169
363,Binghamton,AE,10-Mar,-24.2,96.3,345,120.5,358,67.8,247,-0.028,235,-8.07,353,103,353,111.1,347,-8.07,352
364,Coppin St.,MEAC,13-Feb,-29.04,92.4,360,121.4,363,70.3,114,0.03,129,1.88,125,108.3,150,106.4,102,1.88,122
365,Mississippi Valley St.,SWAC,11-Jan,-33.17,88.2,365,121.4,362,68.9,185,-0.042,262,2.93,96,109.7,94,106.8,120,2.93,101
