Rank,Team,oRB%,Last 3,Last 1,Home,Away,2024
321,Mercyhurst,23.80%,13.20%,12.90%,28.00%,20.90%,20.80%
322,New Hampshire,23.70%,21.90%,18.20%,24.30%,23.30%,23.50%
323,Cleveland St,23.60%,19.60%,16.70%,21.60%,24.80%,33.00%
324,Miami OH,23.50%,28.00%,25.00%,25.90%,21.70%,25.50%
325,VMI,23.40%,25.50%,27.30%,22.90%,23.80%,22.90%
326,Long Beach St,23.30%,20.20%,13.00%,24.50%,22.30%,25.10%
327,Lafayette,23.30%,18.00%,7.70%,22.10%,24.50%,22.40%
328,NW State,23.30%,25.00%,32.40%,21.30%,24.60%,31.20%
329,E Texas A&M,23.10%,24.70%,18.50%,24.00%,22.60%,25.30%
330,Old Dominion,23.00%,23.90%,29.00%,23.10%,22.90%,34.20%
331,Le Moyne,22.90%,21.20%,32.60%,24.00%,22.20%,24.40%
332,Richmond,22.90%,21.60%,23.50%,22.90%,22.90%,17.70%
333,Indiana St,22.80%,28.20%,38.50%,21.60%,23.90%,23.80%
334,Green Bay,22.60%,18.70%,12.00%,24.40%,21.60%,16.30%
335,UMBC,22.60%,25.00%,18.80%,22.90%,22.30%,17.40%
336,Omaha,22.60%,15.20%,6.70%,22.70%,22.50%,28.30%
337,UC Davis,22.50%,12.10%,11.60%,25.90%,20.10%,25.70%
338,California,22.50%,29.70%,27.00%,22.60%,22.40%,32.20%
339,Merrimack,22.50%,23.50%,13.90%,22.00%,22.70%,18.40%
340,N Florida,22.50%,20.00%,17.10%,24.00%,21.70%,25.50%
341,Samford,22.40%,22.00%,16.10%,20.70%,23.40%,32.10%
342,UL Monroe,22.10%,19.80%,12.90%,21.50%,22.40%,27.30%
343,Seattle,22.00%,13.50%,0.00%,22.00%,22.00%,27.60%
344,N Arizona,21.90%,19.50%,14.80%,23.20%,21.00%,29.30%
345,Dartmouth,21.90%,19.60%,21.20%,22.00%,21.90%,21.00%
346,S Alabama,21.90%,24.10%,20.00%,17.10%,24.60%,26.20%
347,Niagara,21.60%,23.70%,31.80%,22.40%,21.10%,21.00%
348,CS Fullerton,21.60%,17.30%,10.30%,21.80%,21.40%,23.90%
349,Lehigh,21.20%,26.60%,30.80%,21.90%,20.70%,18.70%
350,Bellarmine,20.80%,23.70%,25.00%,21.40%,20.40%,17.80%
351,Gardner-Webb,20.70%,23.50%,21.20%,19.60%,21.10%,31.80%
352,Purdue FW,20.30%,27.50%,19.20%,20.00%,20.50%,19.80%
353,Evansville,20.30%,14.30%,17.20%,18.90%,21.20%,19.90%
354,St Thomas,20.20%,27.20%,27.30%,18.70%,21.10%,18.60%
355,Chattanooga,20.10%,24.50%,24.00%,21.70%,18.80%,23.20%
356,N Iowa,19.50%,17.90%,11.40%,20.60%,18.60%,21.70%
357,Air Force,19.30%,8.80%,17.60%,20.80%,17.50%,19.90%
358,New Haven,19.20%,13.40%,9.70%,18.50%,19.80%,--
359,Tulane,19.20%,21.40%,17.60%,19.30%,19.00%,23.20%
360,Holy Cross,19.20%,19.80%,13.30%,19.60%,18.90%,21.40%
361,Delaware,18.30%,14.10%,17.10%,18.50%,18.10%,19.80%
362,Binghamton,18.10%,12.90%,12.00%,17.80%,18.30%,24.00%
363,Montana,17.90%,13.60%,10.00%,18.80%,17.10%,19.70%
364,Maine,16.50%,12.60%,10.30%,15.40%,17.20%,18.70%
365,Liberty,16.40%,22.60%,17.60%,18.00%,15.30%,17.70%
