Rank,Team,TOV%,Last 3,Last 1,Home,Away,2024
325,Evansville,18.70%,16.00%,21.60%,17.50%,19.60%,17.30%
326,Tenn Tech,18.70%,17.40%,11.80%,19.80%,18.00%,17.00%
327,Longwood,18.70%,14.10%,12.80%,18.50%,18.90%,17.70%
328,Bethune,18.70%,20.70%,17.50%,16.00%,20.10%,19.10%
329,Rhode Island,18.70%,23.00%,22.70%,18.20%,19.20%,17.50%
330,Le Moyne,18.80%,15.20%,15.50%,18.50%,18.90%,19.30%
331,Columbia,18.80%,18.50%,11.70%,19.60%,18.20%,15.10%
332,Presbyterian,18.80%,18.20%,18.30%,19.70%,18.30%,15.80%
333,E Texas A&M,18.80%,16.50%,19.20%,18.50%,19.10%,21.90%
334,Texas A&M-CC,18.90%,24.40%,27.50%,17.10%,19.90%,17.30%
335,Jackson St,19.00%,18.90%,27.80%,16.00%,20.20%,19.00%
336,Stonehill,19.00%,13.70%,14.60%,16.90%,20.10%,17.90%
337,Brown,19.00%,24.70%,31.00%,19.60%,18.50%,16.60%
338,Indiana St,19.10%,24.30%,22.70%,18.20%,19.90%,19.10%
339,Canisius,19.10%,18.60%,10.20%,16.50%,21.40%,18.10%
340,Alcorn St,19.10%,17.60%,16.20%,18.10%,19.50%,19.00%
341,Montana,19.20%,18.20%,19.20%,18.50%,19.70%,15.70%
342,Portland,19.20%,17.60%,23.20%,18.00%,20.50%,17.60%
343,Loyola Chi,19.30%,19.20%,19.00%,17.30%,21.20%,16.80%
344,Cal Poly,19.40%,13.80%,15.80%,17.20%,20.80%,20.30%
345,Gardner-Webb,19.40%,18.50%,17.90%,18.00%,20.20%,20.30%
346,Arkansas St,19.40%,18.90%,18.60%,18.50%,20.20%,14.30%
347,Delaware St,19.50%,20.50%,26.10%,19.70%,19.50%,17.70%
348,Pacific,19.50%,16.80%,14.20%,20.90%,18.60%,18.80%
349,Tarleton St,19.50%,19.50%,16.50%,19.10%,19.90%,24.60%
350,Utah Valley,19.60%,19.10%,17.10%,18.50%,20.30%,16.90%
351,Bryant,19.70%,18.80%,20.20%,18.10%,20.60%,15.90%
352,S Utah,19.80%,16.90%,18.80%,18.30%,20.60%,21.10%
353,New Orleans,19.80%,17.20%,12.70%,19.10%,20.20%,18.20%
354,UT Arlington,20.20%,17.90%,16.70%,19.20%,20.80%,18.80%
355,Abl Christian,20.20%,17.00%,18.10%,18.40%,21.20%,20.30%
356,S Carolina St,20.30%,21.40%,27.20%,17.80%,21.40%,19.30%
357,Grambling,20.70%,17.80%,19.50%,21.90%,20.20%,18.80%
358,UT Martin,20.90%,22.40%,22.40%,19.40%,21.90%,19.00%
359,Florida A&M,21.00%,19.60%,24.80%,19.90%,21.70%,20.10%
360,N Illinois,21.30%,18.90%,17.20%,21.00%,21.50%,15.90%
361,Miss Valley St,21.40%,23.10%,26.20%,19.70%,22.20%,23.70%
362,Air Force,21.50%,18.60%,23.40%,21.30%,21.70%,20.30%
363,Coppin St,21.70%,17.80%,16.30%,20.10%,22.30%,21.10%
364,Mt St Mary's,22.00%,19.20%,15.90%,20.40%,22.90%,21.00%
365,Maryland ES,23.30%,26.80%,22.60%,21.70%,23.90%,19.30%
