 
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
133,Kansas NCAA,35,24,11,.686,20.45,14.40,,12,6,,14,2,,5,6,,2629,2417,,68.3,100.3,.274,.418,.482,48.5,47.3,9.5,8.1,.450,11.7,29.9,.188
134,Kansas City,31,4,27,.129,-20.04,-2.29,,1,15,,3,11,,1,15,,2149,2600,,71.9,116.2,.303,.386,.577,54.5,52.3,11.0,9.5,.553,14.1,35.0,.214
135,Kansas State,32,12,20,.375,8.26,10.54,,3,15,,10,8,,1,10,,2546,2619,,73.8,110.9,.352,.386,.558,52.3,56.5,10.0,11.0,.525,14.7,33.9,.254
136,Kennesaw State NCAA,35,21,14,.600,0.46,-1.33,,10,10,,13,3,,4,8,,2898,2659,,72.3,104.3,.451,.377,.525,47.0,48.9,10.6,11.9,.469,14.3,30.3,.337
137,Kent State,34,24,10,.706,-0.82,-2.45,,14,4,,14,3,,7,6,,2866,2707,,72.7,107.6,.383,.435,.549,46.4,54.7,9.5,9.2,.511,14.2,28.4,.276
138,Kentucky NCAA,36,22,14,.611,19.14,12.98,,10,8,,14,4,,4,6,,2898,2676,,69.7,106.3,.364,.399,.531,48.0,55.4,9.7,8.5,.489,13.4,30.0,.267
139,La Salle,32,9,23,.281,-4.20,3.90,,5,13,,7,6,,1,13,,2148,2370,,66.5,111.3,.305,.423,.565,49.7,61.0,10.0,12.0,.541,14.9,31.7,.210
140,Lafayette,32,11,21,.344,-13.10,-6.84,,8,10,,6,10,,5,11,,2222,2381,,67.2,110.3,.301,.386,.561,52.0,59.0,8.1,10.3,.530,13.9,28.5,.222
141,Lamar,31,12,19,.387,-5.93,-3.86,,7,15,,7,8,,5,10,,2167,2143,,66.3,103.8,.426,.371,.536,47.1,57.4,11.3,8.3,.499,15.6,28.9,.293
142,Le Moyne,32,15,17,.469,-11.07,-9.48,,10,8,,9,4,,5,12,,2336,2341,,69.4,105.4,.322,.394,.527,50.2,54.9,10.9,9.3,.490,13.5,28.9,.236
143,Lehigh NCAA,35,18,17,.514,-10.06,-7.48,,11,7,,13,4,,4,11,,2545,2582,,67.0,106.7,.313,.318,.536,52.7,44.1,12.0,8.3,.498,14.1,30.9,.236
144,Liberty,34,26,8,.765,2.56,-1.08,,17,3,,14,2,,11,3,,2641,2397,,64.8,108.0,.260,.367,.546,53.7,46.5,8.0,10.4,.518,14.7,30.7,.189
145,Lindenwood,33,18,15,.545,-9.42,-8.75,,11,9,,9,5,,7,9,,2566,2398,,73.7,98.6,.355,.329,.508,48.4,47.7,11.3,8.9,.474,16.5,31.1,.239
146,Lipscomb,32,19,13,.594,-4.50,-5.10,,12,6,,13,1,,6,11,,2549,2423,,70.9,106.4,.280,.400,.548,51.0,45.8,9.2,9.7,.522,15.7,29.7,.199
147,Little Rock,32,12,20,.375,-13.30,-8.03,,9,11,,7,6,,5,13,,2257,2372,,68.5,108.2,.323,.401,.545,51.9,52.7,11.0,5.7,.516,16.1,35.9,.225
148,Long Beach State,32,10,22,.313,-5.80,-0.03,,6,14,,7,9,,3,13,,2396,2489,,71.3,107.8,.413,.348,.573,50.7,52.3,9.2,6.8,.530,16.1,26.7,.310
149,Long Island University NCAA,35,24,11,.686,-5.13,-7.04,,15,3,,14,1,,10,9,,2577,2510,,68.2,104.8,.347,.329,.532,49.2,49.2,10.4,8.6,.500,16.0,33.0,.239
150,Longwood,32,16,16,.500,-8.34,-7.99,,8,8,,11,4,,4,10,,2486,2370,,70.0,103.0,.394,.430,.554,46.1,49.8,10.9,8.9,.521,18.1,27.5,.273
151,Louisiana,33,11,22,.333,-12.26,-5.26,,7,11,,7,8,,3,13,,2101,2332,,64.1,110.2,.458,.362,.569,53.3,49.7,7.8,8.0,.526,15.9,32.3,.333
152,Louisiana State,32,15,17,.469,12.28,9.35,,3,15,,9,8,,3,7,,2606,2512,,68.6,111.3,.378,.379,.543,48.4,46.3,9.5,8.3,.509,12.0,31.7,.264
153,Louisiana Tech,34,20,14,.588,-3.03,-3.10,,11,9,,14,3,,4,10,,2375,2210,,65.1,98.7,.348,.468,.507,46.2,55.6,10.1,9.7,.469,16.0,30.0,.243
154,Louisiana-Monroe,32,4,28,.125,-18.75,-5.08,,1,17,,3,11,,1,15,,2318,2685,,71.1,117.1,.270,.411,.579,55.2,56.5,10.4,11.8,.558,13.5,34.8,.190
155,Louisville NCAA,35,24,11,.686,22.47,10.72,,11,7,,15,2,,4,7,,2949,2538,,71.0,102.2,.330,.395,.523,46.6,49.3,9.5,12.5,.487,14.6,27.5,.236
156,Loyola (IL),33,9,24,.273,-6.24,2.73,,4,14,,6,10,,1,9,,2204,2500,,65.9,114.6,.336,.443,.560,49.6,61.3,10.9,13.9,.520,11.2,29.7,.258
157,Loyola (MD),32,12,20,.375,-13.62,-8.79,,8,10,,8,6,,3,13,,2407,2466,,68.5,110.7,.325,.389,.565,50.1,55.4,8.8,8.1,.534,13.5,28.0,.236
158,Loyola Marymount,32,15,17,.469,0.79,1.21,,6,12,,10,8,,4,7,,2376,2306,,68.6,103.8,.322,.369,.525,51.2,51.0,8.8,7.1,.484,14.6,31.1,.241
159,Maine,32,8,24,.250,-17.09,-9.77,,6,10,,4,8,,4,14,,2001,2190,,65.4,104.6,.335,.369,.535,56.8,52.5,9.6,8.7,.505,16.9,34.0,.230
160,Manhattan,32,12,20,.375,-15.17,-7.98,,8,12,,7,7,,3,12,,2369,2526,,68.3,114.2,.255,.382,.560,53.6,61.1,8.2,10.4,.535,14.1,36.3,.186
161,Marist,31,19,12,.613,-3.71,-8.68,,12,8,,11,4,,7,7,,2160,1979,,66.5,95.6,.367,.369,.496,48.8,46.1,9.8,8.2,.455,16.6,28.0,.256
162,Marquette,32,12,20,.375,9.06,9.69,,7,13,,10,7,,2,10,,2405,2425,,70.1,106.9,.320,.395,.545,53.0,60.2,9.7,10.0,.506,16.4,34.7,.244
163,Marshall,32,19,13,.594,-3.05,-4.63,,11,7,,13,4,,6,8,,2596,2497,,70.7,110.3,.407,.399,.542,49.7,46.0,10.0,7.8,.499,14.0,33.3,.295
164,Maryland,33,12,21,.364,4.60,11.48,,4,16,,7,8,,2,10,,2300,2527,,66.7,114.4,.358,.431,.576,48.5,61.2,9.5,11.6,.544,13.1,29.1,.260
165,Maryland-Baltimore County NCAA,33,24,9,.727,-4.67,-11.80,,14,2,,15,2,,9,6,,2522,2230,,67.0,100.1,.251,.368,.507,48.4,41.6,7.9,6.6,.483,13.3,25.4,.170
166,Maryland-Eastern Shore,32,9,23,.281,-17.64,-8.51,,5,9,,6,4,,2,18,,2060,2265,,64.9,107.0,.416,.396,.548,49.7,55.2,13.6,8.3,.502,15.7,32.9,.308
167,Massachusetts,33,17,16,.515,-2.38,-3.48,,7,11,,11,5,,2,8,,2648,2562,,71.1,106.7,.438,.428,.564,46.1,58.5,10.3,7.6,.522,15.2,25.3,.318
168,Massachusetts-Lowell,33,15,18,.455,-14.33,-8.63,,9,7,,10,4,,5,14,,2471,2518,,69.4,109.9,.268,.362,.550,46.8,47.4,11.4,9.8,.524,12.6,28.3,.192
169,McNeese NCAA,34,28,6,.824,7.68,-1.51,,19,3,,14,0,,9,5,,2709,2271,,67.2,98.3,.402,.477,.532,49.0,56.4,6.6,6.3,.487,21.1,34.1,.293
170,Memphis,32,13,19,.406,3.86,5.33,,8,10,,10,6,,3,10,,2407,2454,,71.4,106.6,.424,.432,.535,50.2,54.7,11.3,10.4,.487,15.7,35.6,.310
171,Mercer,32,19,13,.594,-3.03,-5.37,,11,7,,14,1,,5,11,,2646,2416,,70.9,106.5,.283,.416,.536,49.2,46.3,8.7,8.5,.502,15.3,32.5,.212
172,Mercyhurst,34,17,17,.500,-10.04,-9.64,,10,8,,12,3,,5,14,,2358,2291,,65.0,102.2,.415,.341,.533,51.4,51.6,7.7,6.2,.495,16.7,29.0,.287
173,Merrimack,34,23,11,.676,-4.33,-6.39,,17,3,,11,0,,9,8,,2330,2260,,63.7,103.2,.371,.326,.513,57.1,56.9,7.2,13.0,.467,16.8,39.9,.273
174,Miami (FL) NCAA,35,26,9,.743,17.71,7.45,,13,5,,15,3,,8,2,,2853,2494,,69.2,103.0,.295,.409,.547,44.2,55.2,9.7,10.2,.517,16.2,25.9,.210
175,Miami (OH) NCAA,34,32,2,.941,5.64,-4.14,,18,0,,16,0,,14,0,,3047,2566,,71.7,103.7,.286,.373,.533,49.0,47.4,8.4,7.2,.500,15.3,28.3,.211
176,Michigan NCAA,38,35,3,.921,32.65,14.52,,19,1,,14,1,,11,0,,3333,2644,,71.4,97.1,.259,.427,.486,43.7,47.6,8.9,8.7,.449,13.1,27.3,.193
177,Michigan State NCAA,35,27,8,.771,23.32,12.86,,15,5,,15,2,,6,4,,2758,2392,,66.8,101.5,.302,.462,.526,41.6,57.2,9.7,8.2,.489,13.4,22.4,.225
178,Middle Tennessee,32,17,15,.531,0.08,1.22,,11,9,,11,4,,5,8,,2414,2329,,67.3,105.7,.346,.350,.538,48.5,47.0,9.3,8.0,.499,14.1,28.2,.256
179,Milwaukee,32,12,20,.375,-7.72,-2.46,,8,12,,8,6,,3,14,,2440,2548,,69.5,114.6,.364,.406,.586,48.7,56.2,8.2,9.3,.554,14.1,28.5,.266
180,Minnesota,33,15,18,.455,9.76,8.88,,8,12,,13,4,,2,9,,2289,2260,,62.9,107.7,.269,.414,.547,51.2,60.4,8.8,12.0,.519,14.6,29.5,.196
181,Mississippi,35,15,20,.429,10.83,11.06,,4,14,,7,9,,3,7,,2656,2664,,68.3,109.5,.412,.426,.546,52.0,57.4,8.6,7.9,.505,14.1,32.6,.296
182,Mississippi State,32,13,19,.406,6.96,11.15,,5,13,,8,8,,4,6,,2484,2618,,71.5,113.2,.323,.395,.547,50.2,52.1,9.5,11.0,.509,11.0,30.7,.243
183,Mississippi Valley State,33,3,30,.091,-28.66,-8.19,,2,16,,2,9,,1,18,,2120,2739,,70.0,117.8,.501,.423,.597,54.7,59.4,12.3,8.9,.551,15.0,35.0,.377
184,Missouri NCAA,33,20,13,.606,12.48,8.72,,10,8,,15,3,,5,7,,2615,2491,,68.3,109.7,.355,.430,.553,47.8,52.5,9.6,9.7,.515,14.2,31.7,.262
185,Missouri State,34,16,18,.471,-2.78,-1.53,,8,12,,11,7,,3,10,,2551,2502,,66.9,108.4,.384,.352,.549,49.4,49.4,9.7,13.0,.513,14.6,31.2,.273
186,Monmouth,34,19,15,.559,-2.40,-3.43,,11,7,,10,4,,6,9,,2471,2409,,67.5,103.8,.318,.385,.534,50.3,50.6,9.2,8.6,.499,17.1,32.1,.231
187,Montana,34,18,16,.529,-2.72,-0.85,,10,8,,11,6,,5,9,,2627,2535,,71.2,104.8,.317,.385,.524,49.6,48.1,10.9,8.5,.491,12.7,27.3,.224
188,Montana State,32,18,14,.563,0.74,-1.40,,12,6,,11,2,,6,11,,2493,2285,,67.6,104.9,.277,.340,.541,49.7,43.1,7.8,7.3,.506,14.5,27.2,.211
189,Morehead State,33,20,13,.606,-11.50,-7.93,,15,5,,11,2,,7,10,,2484,2466,,67.4,110.0,.338,.390,.537,48.4,55.5,10.1,8.6,.503,13.6,34.2,.240
190,Morgan State,30,14,16,.467,-19.40,-11.06,,10,4,,9,6,,5,9,,2258,2347,,71.3,109.3,.500,.320,.551,51.3,55.9,9.2,9.5,.510,14.6,33.3,.344
191,Mount St. Mary's,32,15,17,.469,-10.41,-7.28,,11,9,,8,5,,7,11,,2178,2244,,67.7,103.2,.365,.450,.518,47.4,53.7,12.6,8.4,.470,13.9,29.3,.276
192,Murray State,33,20,13,.606,3.27,0.39,,12,8,,12,3,,5,7,,2742,2647,,72.3,111.0,.322,.274,.555,49.2,44.1,9.5,8.1,.524,13.6,31.3,.231
193,Navy,34,26,8,.765,-1.09,-9.53,,17,1,,15,2,,10,5,,2537,2187,,65.2,97.6,.258,.464,.511,45.8,52.8,9.3,7.6,.476,16.4,26.6,.194
194,NC State NCAA,34,20,14,.588,17.44,10.53,,10,8,,11,6,,6,4,,2828,2593,,69.5,108.6,.369,.449,.558,50.9,49.3,7.4,9.4,.527,15.7,30.5,.258
195,Nebraska NCAA,35,28,7,.800,21.40,10.58,,15,5,,16,2,,7,3,,2694,2315,,66.8,98.3,.251,.502,.512,49.5,61.1,7.6,9.2,.481,16.5,27.4,.183
196,Nevada,37,24,13,.649,10.38,5.89,,12,8,,17,2,,4,9,,2813,2647,,66.8,105.7,.389,.423,.548,47.6,54.7,8.7,9.5,.511,15.0,26.9,.276
197,Nevada-Las Vegas,35,18,17,.514,5.46,6.13,,11,9,,10,6,,7,7,,2761,2742,,70.6,109.8,.447,.367,.562,50.4,56.5,9.2,7.8,.519,15.5,31.8,.324
198,New Hampshire,30,9,21,.300,-17.19,-7.47,,5,11,,8,5,,1,16,,2076,2238,,67.7,107.5,.357,.365,.559,51.1,48.0,8.7,11.0,.522,14.4,25.9,.263
199,New Haven,31,14,17,.452,-13.86,-7.89,,9,9,,9,6,,5,11,,2013,2055,,64.2,103.2,.275,.379,.542,51.3,48.0,8.9,7.2,.509,15.7,26.0,.208
200,New Mexico,37,26,11,.703,14.30,5.14,,13,7,,17,3,,7,5,,3004,2624,,70.7,100.2,.334,.478,.530,48.2,54.9,8.6,9.2,.491,16.8,27.4,.245
201,New Mexico State,32,16,16,.500,-1.35,-1.42,,8,12,,10,5,,3,8,,2403,2303,,68.1,104.5,.436,.419,.524,48.5,47.8,8.8,8.9,.476,13.9,29.9,.314
202,New Orleans,33,15,18,.455,-4.18,-1.02,,12,10,,5,6,,9,11,,2459,2563,,69.7,110.7,.395,.402,.532,48.4,60.3,11.1,9.7,.490,12.5,34.5,.284
203,Niagara,30,8,22,.267,-16.32,-7.91,,5,15,,6,7,,2,14,,1916,2137,,63.1,112.4,.332,.404,.567,53.5,52.4,10.5,9.3,.527,14.5,32.5,.258
204,Nicholls State,33,14,19,.424,-7.02,-2.30,,12,10,,6,6,,7,12,,2388,2471,,68.7,109.0,.369,.385,.581,53.5,56.1,9.1,9.9,.539,18.3,33.2,.288
205,NJIT,33,16,17,.485,-15.98,-8.48,,10,6,,8,6,,8,11,,2212,2417,,68.3,107.2,.373,.406,.534,52.4,52.5,9.4,9.0,.499,14.3,31.7,.259
206,Norfolk State,32,15,17,.469,-13.68,-10.64,,8,6,,9,4,,5,10,,2445,2362,,70.1,105.2,.436,.425,.553,48.6,57.9,10.0,9.5,.511,17.0,30.4,.314
207,North Alabama,30,9,21,.300,-15.94,-5.80,,4,14,,5,8,,4,12,,2082,2328,,65.9,116.7,.299,.433,.583,50.5,55.7,10.9,9.5,.552,13.0,31.3,.228
208,North Carolina NCAA,33,24,9,.727,18.56,10.47,,12,6,,18,0,,4,6,,2631,2364,,68.8,103.8,.238,.370,.509,47.3,47.8,8.3,9.1,.483,11.8,27.8,.167
209,North Carolina A&T,30,11,19,.367,-9.79,-5.18,,4,14,,6,6,,4,11,,2252,2335,,69.6,111.4,.370,.380,.554,47.2,57.4,9.7,7.9,.523,12.4,28.1,.256
210,North Carolina Central,32,14,18,.438,-18.31,-8.67,,8,6,,8,5,,4,12,,2299,2415,,68.2,110.2,.377,.406,.565,53.9,57.4,9.1,11.3,.531,18.2,38.4,.269
211,North Dakota,35,18,17,.514,-9.28,-3.87,,10,6,,9,7,,7,8,,2680,2705,,69.6,110.2,.431,.428,.587,52.2,59.0,7.4,8.5,.556,17.9,30.8,.303
212,North Dakota State NCAA,35,27,8,.771,2.02,-5.23,,14,2,,13,1,,10,5,,2812,2458,,68.7,100.8,.280,.439,.548,46.8,55.1,9.2,8.7,.516,17.6,25.0,.209
213,North Florida,32,7,25,.219,-15.70,-3.27,,5,13,,5,8,,2,14,,2547,2821,,72.5,121.1,.306,.391,.580,54.8,51.6,10.8,11.9,.557,11.7,37.1,.215
214,North Texas,33,19,14,.576,2.01,1.07,,9,9,,12,5,,5,7,,2341,2225,,66.5,99.1,.443,.386,.527,50.0,49.3,9.3,10.9,.481,19.1,32.3,.315
215,Northeastern,31,7,24,.226,-9.17,-3.10,,2,16,,2,10,,3,13,,2322,2510,,69.6,115.8,.419,.352,.600,52.5,50.2,9.3,9.5,.564,14.8,30.2,.309
216,Northern Arizona,32,10,22,.313,-11.06,-1.54,,4,14,,9,7,,1,13,,2282,2445,,66.6,114.8,.315,.396,.585,54.2,49.6,8.5,8.3,.558,15.1,32.2,.229
217,Northern Colorado,32,20,12,.625,-0.09,-2.85,,10,8,,11,3,,8,7,,2640,2449,,70.0,107.6,.366,.350,.543,46.6,37.0,8.5,7.0,.498,11.7,23.7,.278
218,Northern Illinois,30,9,21,.300,-15.08,-2.54,,4,14,,6,7,,3,14,,2086,2334,,69.7,111.6,.367,.387,.581,49.4,53.6,11.6,13.9,.549,14.8,28.9,.267
219,Northern Iowa NCAA,36,23,13,.639,7.87,1.81,,11,9,,12,5,,6,6,,2500,2223,,63.6,96.4,.290,.419,.503,51.1,49.3,8.9,8.1,.469,16.1,26.3,.208
220,Northern Kentucky,34,20,14,.588,-2.61,-4.83,,10,10,,12,5,,7,8,,2827,2634,,71.8,107.1,.351,.388,.559,49.6,51.8,8.9,7.2,.527,16.6,31.3,.250
221,Northwestern,34,15,19,.441,12.34,11.16,,5,15,,9,7,,3,8,,2487,2447,,65.3,109.8,.348,.402,.548,53.2,63.8,7.3,6.4,.510,14.9,34.7,.258
222,Northwestern State,32,10,22,.313,-9.52,-2.69,,8,14,,8,6,,2,15,,2185,2317,,65.7,109.8,.356,.378,.556,52.2,52.0,10.4,9.4,.526,14.8,32.0,.248
223,Notre Dame,31,13,18,.419,8.51,9.38,,4,14,,10,7,,2,9,,2308,2335,,66.7,111.2,.362,.474,.558,47.9,55.4,9.1,8.8,.518,12.3,26.7,.272
224,Oakland,32,16,16,.500,-1.53,-0.30,,12,8,,7,6,,8,9,,2642,2614,,71.4,114.5,.243,.416,.565,51.0,65.7,7.7,11.4,.542,13.4,34.1,.176
225,Ohio,32,15,17,.469,-4.94,-1.64,,9,9,,10,6,,4,8,,2492,2515,,70.4,110.7,.374,.344,.560,51.8,48.6,8.5,7.2,.524,14.4,32.1,.272
226,Ohio State NCAA,34,21,13,.618,18.65,11.91,,12,8,,14,3,,5,6,,2697,2468,,66.4,108.1,.347,.403,.542,48.6,53.3,8.1,8.9,.502,13.5,30.0,.257
227,Oklahoma,35,20,15,.571,14.62,9.02,,7,11,,11,5,,4,7,,2903,2707,,68.8,111.6,.349,.397,.550,49.5,50.3,8.2,9.8,.510,13.2,32.9,.262
228,Oklahoma State,35,20,15,.571,10.70,10.04,,6,12,,15,6,,2,7,,2935,2912,,74.0,111.2,.315,.430,.559,49.4,56.4,9.1,10.3,.531,13.5,30.4,.223
229,Old Dominion,33,12,21,.364,-7.42,-4.42,,7,11,,7,6,,4,14,,2514,2570,,70.4,109.8,.416,.363,.547,51.6,51.4,9.1,10.9,.502,12.7,29.9,.308
230,Omaha,33,16,17,.485,-7.63,-3.87,,8,8,,10,4,,5,10,,2507,2522,,68.7,110.8,.315,.468,.554,49.7,53.5,9.1,9.7,.522,12.6,27.9,.230
231,Oral Roberts,33,10,23,.303,-10.46,-2.56,,4,12,,7,8,,1,13,,2420,2558,,69.8,110.2,.385,.369,.552,50.4,45.9,10.9,10.0,.519,13.5,30.7,.268
232,Oregon,32,12,20,.375,8.67,11.76,,5,15,,10,7,,2,8,,2267,2366,,66.5,110.8,.320,.421,.551,50.1,52.9,10.3,9.5,.509,13.5,32.3,.252
233,Oregon State,33,17,16,.515,0.43,3.46,,9,9,,12,5,,4,7,,2347,2447,,66.2,110.3,.351,.415,.543,51.8,55.7,10.7,9.3,.503,13.1,32.1,.260
234,Pacific,33,18,15,.545,4.02,2.50,,8,10,,11,3,,4,11,,2399,2271,,65.9,104.0,.361,.425,.531,43.8,49.8,9.8,10.1,.495,13.7,24.7,.254
235,Penn State,32,12,20,.375,3.75,9.41,,3,17,,9,8,,2,9,,2358,2539,,67.5,117.6,.275,.434,.610,53.3,60.4,8.6,9.8,.584,15.5,31.1,.211
236,Pennsylvania NCAA,30,18,12,.600,-1.02,-0.98,,9,5,,12,2,,4,8,,2277,2231,,69.3,106.4,.276,.399,.539,50.3,53.4,8.6,9.5,.517,15.0,30.9,.186
237,Pepperdine,32,9,23,.281,-6.22,3.08,,4,14,,7,10,,2,11,,2312,2546,,69.5,113.6,.283,.407,.568,51.4,55.6,10.9,10.2,.542,14.1,33.5,.205
238,Pittsburgh,33,13,20,.394,8.05,9.35,,5,13,,8,10,,3,8,,2327,2370,,64.5,110.4,.309,.410,.569,48.1,51.8,9.5,9.2,.534,14.3,28.1,.238
239,Portland,34,15,19,.441,-2.49,3.54,,6,12,,12,6,,1,12,,2530,2669,,70.5,110.6,.321,.464,.561,50.2,66.8,10.5,6.2,.527,14.7,31.4,.240
240,Portland State,31,20,11,.645,-0.29,-3.01,,13,5,,11,3,,8,7,,2376,2179,,69.6,100.2,.421,.400,.531,47.0,52.7,9.1,6.9,.482,16.2,25.7,.312
241,Prairie View A&M NCAA,37,19,18,.514,-13.13,-9.07,,9,9,,10,3,,3,13,,2883,2831,,73.5,103.8,.405,.347,.541,53.2,49.0,8.7,7.8,.500,17.6,33.8,.292
242,Presbyterian,33,15,18,.455,-8.45,-5.35,,7,9,,10,4,,3,13,,2388,2382,,66.7,106.9,.372,.360,.540,47.1,48.6,10.3,8.1,.506,13.9,29.3,.257
243,Princeton,29,9,20,.310,-7.19,-2.23,,5,9,,8,4,,1,12,,1989,2087,,64.7,110.3,.334,.417,.550,50.2,50.1,10.1,10.2,.516,12.5,28.1,.242
244,Providence,33,15,18,.455,10.69,9.38,,7,13,,10,6,,3,8,,2815,2772,,72.3,113.2,.327,.385,.547,48.3,54.7,10.4,8.6,.514,11.2,30.8,.236
245,Purdue NCAA,39,30,9,.769,25.11,14.01,,13,7,,12,5,,8,3,,3184,2751,,65.2,107.8,.255,.438,.549,44.8,57.2,8.0,6.4,.524,13.5,27.1,.185
246,Purdue Fort Wayne,32,17,15,.531,-7.44,-2.89,,11,9,,11,4,,6,11,,2499,2467,,70.2,109.8,.273,.438,.575,54.8,55.1,7.1,8.2,.546,17.1,32.8,.208
247,Queens (NC) NCAA,35,21,14,.600,-3.73,-4.38,,13,5,,12,2,,6,10,,2957,2924,,70.9,117.0,.381,.393,.577,51.6,48.1,9.1,9.3,.542,13.1,33.7,.279
248,Quinnipiac,32,19,13,.594,-5.57,-7.12,,12,8,,10,5,,9,7,,2411,2303,,70.0,102.1,.301,.357,.521,48.8,52.4,9.2,11.1,.486,15.1,31.3,.220
249,Radford,32,16,16,.500,-7.29,-6.36,,9,7,,12,5,,4,8,,2604,2523,,72.3,107.4,.380,.379,.558,50.7,53.5,9.9,9.6,.522,16.5,31.5,.274
250,Rhode Island,32,16,16,.500,2.30,0.62,,7,11,,10,6,,4,7,,2236,2182,,66.0,102.5,.426,.415,.544,50.8,54.1,11.9,10.2,.504,18.3,31.8,.300
251,Rice,31,13,18,.419,-4.51,0.25,,7,11,,8,8,,4,9,,2291,2311,,67.2,109.2,.387,.364,.540,49.1,47.1,11.1,10.4,.498,14.0,33.2,.282
252,Richmond,32,15,17,.469,2.13,0.17,,5,13,,11,7,,3,8,,2455,2366,,68.6,107.3,.358,.458,.551,52.3,47.9,7.7,7.6,.516,15.5,30.4,.256
253,Rider,29,4,25,.138,-19.17,-5.03,,3,17,,4,9,,0,16,,1840,2204,,65.9,115.3,.325,.401,.570,51.2,54.1,9.9,8.0,.541,13.3,33.1,.232
254,Robert Morris,33,22,11,.667,-1.46,-4.88,,13,7,,14,3,,8,7,,2555,2379,,66.4,106.6,.395,.365,.544,44.8,52.2,10.5,9.3,.496,14.5,28.2,.301
255,Rutgers,34,14,20,.412,4.44,9.24,,6,14,,10,7,,2,9,,2398,2561,,66.7,111.6,.317,.392,.565,52.4,58.5,8.3,10.0,.530,14.7,32.8,.239
256,Sacramento State,31,10,21,.323,-8.12,-0.41,,6,12,,10,4,,0,16,,2408,2542,,72.9,112.0,.348,.435,.566,53.7,58.3,9.2,8.3,.533,14.6,32.0,.253
257,Sacred Heart,33,14,19,.424,-11.37,-8.15,,9,11,,8,5,,5,13,,2482,2528,,68.4,111.6,.268,.435,.555,50.3,60.0,10.1,9.0,.532,13.0,30.6,.187
258,Saint Francis (PA),31,7,24,.226,-19.09,-6.05,,5,13,,5,8,,2,14,,2216,2510,,70.3,114.7,.366,.405,.594,52.7,55.6,9.3,10.3,.566,15.8,31.8,.261
259,Saint Joseph's,36,24,12,.667,2.99,1.73,,13,5,,13,3,,8,8,,2633,2529,,68.4,102.3,.262,.405,.500,48.1,51.8,10.0,10.6,.472,12.7,30.2,.181
260,Saint Louis NCAA,35,29,6,.829,17.65,2.77,,15,3,,19,0,,7,3,,3053,2466,,72.2,97.6,.369,.418,.493,45.2,51.3,10.1,10.8,.445,14.0,26.7,.268
261,Saint Mary's NCAA,33,27,6,.818,17.10,5.57,,16,2,,17,0,,8,2,,2552,2129,,66.3,97.4,.258,.367,.496,42.1,53.1,8.4,9.0,.463,13.7,23.8,.185
262,Saint Peter's,29,17,12,.586,-7.48,-7.62,,14,6,,13,1,,4,10,,2054,1984,,65.9,103.0,.460,.354,.533,49.2,53.7,9.2,9.8,.478,17.6,34.2,.343
263,Sam Houston,34,22,12,.647,2.99,-0.11,,13,7,,13,1,,6,10,,2797,2554,,71.2,105.5,.349,.423,.529,45.6,50.4,9.2,8.0,.494,13.9,29.3,.245
264,Samford,32,18,14,.563,-5.40,-6.23,,11,7,,11,3,,6,9,,2525,2409,,68.7,108.3,.314,.359,.542,49.4,46.1,7.6,9.8,.507,11.7,25.2,.233
265,San Diego,33,12,21,.364,-3.79,2.24,,5,13,,9,8,,2,11,,2458,2570,,69.3,111.1,.372,.400,.573,53.0,57.1,10.2,9.6,.538,16.4,33.7,.273
266,San Diego State,33,22,11,.667,13.64,8.14,,14,6,,14,2,,5,5,,2580,2342,,69.5,100.2,.384,.474,.524,49.0,58.1,9.5,6.1,.479,17.4,30.6,.279
267,San Francisco,33,17,16,.515,4.03,3.87,,8,10,,9,6,,4,7,,2464,2414,,67.1,108.2,.294,.356,.538,48.2,52.6,9.2,8.8,.504,12.6,28.4,.218
268,San Jose State,33,9,24,.273,-2.02,6.38,,3,17,,6,10,,1,12,,2376,2591,,66.0,118.5,.350,.392,.601,53.9,57.4,8.2,8.1,.564,14.9,35.4,.274
269,Santa Clara NCAA,35,26,9,.743,15.51,6.13,,15,3,,14,1,,8,3,,2901,2552,,69.6,104.4,.375,.385,.554,48.3,60.7,9.1,8.9,.516,17.5,31.8,.275
270,Seattle,35,21,14,.600,4.63,2.75,,8,10,,14,4,,5,8,,2525,2354,,69.2,96.9,.324,.379,.518,52.7,53.8,9.5,9.0,.479,18.6,30.6,.239
271,Seton Hall,33,21,12,.636,13.32,8.32,,10,10,,12,5,,6,5,,2321,2156,,66.5,98.3,.421,.422,.519,48.3,58.3,9.4,8.7,.473,18.5,31.9,.300
272,Siena NCAA,35,23,12,.657,-3.63,-8.17,,13,7,,9,4,,9,7,,2463,2304,,64.2,102.2,.275,.394,.518,48.2,48.3,10.2,9.5,.485,14.7,29.5,.201
