 
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
30,Brigham Young NCAA,35,23,12,.657,20.40,12.29,,9,9,,12,3,,3,6,,2924,2640,,70.4,106.8,.289,.390,.540,47.4,54.0,8.9,8.1,.512,14.2,29.6,.204
31,Brown,27,9,18,.333,-10.15,-4.91,,3,11,,6,8,,3,10,,1900,1892,,67.3,102.3,.360,.425,.545,49.5,55.5,11.2,9.1,.502,17.3,28.3,.272
32,Bryant,31,9,22,.290,-18.35,-8.08,,5,11,,8,5,,1,17,,2010,2246,,65.0,110.2,.325,.356,.547,51.3,50.4,12.2,8.1,.516,12.8,30.6,.232
33,Bucknell,33,10,23,.303,-14.65,-5.71,,6,12,,6,8,,4,12,,2223,2518,,66.9,112.8,.353,.457,.582,52.7,61.8,11.1,11.5,.547,15.6,31.3,.265
34,Buffalo,32,17,15,.531,-3.76,-4.22,,7,11,,7,8,,8,6,,2497,2438,,67.4,112.2,.313,.417,.577,51.3,58.8,9.8,8.1,.548,15.5,30.5,.229
35,Butler,32,16,16,.500,10.30,8.46,,7,13,,10,7,,3,8,,2540,2481,,70.0,109.1,.249,.375,.544,47.6,53.7,9.5,11.9,.519,13.1,30.0,.179
36,Cal Poly,33,14,19,.424,-4.48,-0.52,,10,10,,8,6,,6,11,,2710,2805,,76.3,111.0,.330,.416,.563,49.7,52.5,9.5,11.4,.532,14.2,30.1,.239
37,Cal State Bakersfield,32,8,24,.250,-13.03,-1.59,,2,18,,6,11,,2,13,,2339,2629,,73.0,112.6,.426,.384,.571,52.4,53.4,10.3,8.6,.533,15.7,35.0,.307
38,Cal State Fullerton,34,18,16,.529,-2.15,-0.27,,12,8,,10,4,,6,10,,2822,2778,,76.3,107.1,.346,.459,.571,52.0,58.7,8.0,7.9,.535,17.4,28.0,.260
39,Cal State Northridge,34,20,14,.588,-2.30,-1.61,,12,8,,12,3,,7,8,,2767,2713,,75.6,105.2,.342,.486,.547,46.6,58.5,10.4,9.8,.507,14.9,26.3,.258
40,California,34,22,12,.647,11.17,6.84,,9,9,,17,5,,4,6,,2658,2493,,69.4,104.8,.361,.409,.528,51.3,56.6,7.5,11.1,.500,14.2,30.3,.238
41,California Baptist NCAA,34,25,9,.735,2.61,-2.45,,13,5,,15,0,,7,7,,2470,2298,,67.5,99.0,.366,.316,.507,45.1,45.5,9.9,9.6,.463,14.8,27.2,.264
42,Campbell,34,16,18,.471,-3.20,-0.45,,8,10,,10,4,,3,13,,2691,2639,,70.8,109.7,.356,.296,.565,48.1,49.0,9.8,9.9,.529,15.1,30.6,.262
43,Canisius,31,10,21,.323,-16.99,-7.86,,5,15,,7,8,,3,13,,1951,2184,,64.5,108.8,.351,.440,.552,50.5,56.1,10.3,9.9,.517,14.3,29.5,.253
44,Central Arkansas,34,22,12,.647,-1.70,-5.01,,15,3,,14,1,,6,10,,2749,2541,,69.7,105.2,.285,.526,.566,49.1,61.7,9.2,10.4,.539,17.3,26.2,.208
45,Central Connecticut State,30,18,12,.600,-11.53,-10.14,,12,6,,10,4,,8,8,,2215,2127,,66.0,107.0,.255,.400,.529,49.0,54.5,9.5,6.1,.496,12.3,28.8,.195
46,Central Michigan,31,10,21,.323,-8.74,-2.74,,6,12,,8,5,,1,15,,2275,2384,,69.3,111.0,.382,.392,.560,51.9,58.4,11.4,8.4,.530,15.1,33.9,.262
47,Charleston Southern,32,15,17,.469,-6.81,-6.78,,6,10,,10,4,,5,11,,2670,2563,,74.1,105.7,.414,.314,.508,48.4,38.6,10.8,9.7,.461,10.8,29.3,.294
48,Charlotte,34,17,17,.500,-0.22,1.06,,9,9,,11,6,,4,8,,2492,2530,,64.5,113.3,.356,.406,.546,48.5,50.8,10.2,9.5,.512,11.7,32.3,.253
49,Chattanooga,32,13,19,.406,-11.07,-7.14,,7,11,,7,8,,6,9,,2454,2408,,68.1,110.5,.407,.438,.538,51.8,52.1,8.3,7.8,.498,11.9,30.3,.287
50,Chicago State,32,7,25,.219,-16.46,-5.10,,5,13,,5,6,,2,19,,2105,2434,,65.9,114.9,.372,.516,.599,53.8,72.2,8.4,8.5,.566,17.4,34.2,.278
51,Cincinnati,33,18,15,.545,15.16,9.61,,9,9,,15,3,,2,8,,2413,2230,,69.2,97.3,.300,.399,.508,48.4,54.5,8.3,6.8,.473,16.0,27.3,.213
52,Clemson NCAA,35,24,11,.686,16.34,9.31,,12,6,,13,3,,6,5,,2582,2336,,65.1,101.7,.339,.432,.530,48.9,46.0,8.4,10.1,.488,15.4,26.3,.254
53,Cleveland State,33,11,22,.333,-13.27,-3.23,,6,14,,7,8,,3,13,,2633,2836,,71.5,120.2,.352,.440,.591,52.6,58.1,9.5,13.3,.557,13.3,35.1,.266
54,Coastal Carolina,32,19,13,.594,-7.69,-5.95,,11,7,,8,5,,10,7,,2346,2323,,68.9,103.0,.340,.366,.499,48.9,37.7,8.0,7.4,.459,10.6,26.8,.241
55,Colgate,33,18,15,.545,-6.24,-5.62,,11,7,,9,5,,6,10,,2522,2462,,66.9,109.0,.328,.410,.544,50.0,54.1,8.5,6.1,.511,13.3,29.0,.235
56,College of Charleston,32,21,11,.656,-1.42,-2.84,,14,4,,11,4,,8,4,,2413,2348,,68.5,106.2,.258,.434,.515,50.0,52.7,9.1,8.5,.488,12.7,32.2,.180
57,Colorado,33,17,16,.515,10.51,10.12,,7,11,,13,5,,2,8,,2645,2632,,70.5,112.4,.366,.364,.564,50.2,51.2,8.4,9.2,.526,13.3,29.6,.272
58,Colorado State,34,21,13,.618,8.23,4.96,,11,9,,12,6,,6,5,,2574,2416,,64.7,109.9,.338,.431,.553,48.1,46.7,10.4,8.7,.525,13.6,29.0,.235
59,Columbia,28,16,12,.571,-2.85,-4.24,,5,9,,9,5,,7,7,,2146,2007,,67.6,105.2,.328,.363,.534,43.8,58.2,10.0,10.2,.495,13.1,25.9,.243
60,Connecticut NCAA,38,33,5,.868,23.06,11.14,,17,3,,15,2,,9,2,,2930,2477,,65.8,98.4,.405,.360,.508,45.9,50.4,8.6,9.6,.460,15.7,28.6,.291
61,Coppin State,31,7,24,.226,-24.92,-8.19,,5,9,,3,6,,4,15,,2032,2493,,69.4,115.4,.420,.435,.588,52.3,62.3,12.8,11.7,.549,15.4,34.4,.312
62,Cornell,28,15,13,.536,-1.97,-3.12,,8,6,,7,4,,8,8,,2477,2335,,72.1,114.6,.355,.384,.578,48.8,56.8,9.4,9.4,.548,13.6,29.5,.255
63,Creighton,33,16,17,.485,10.60,10.12,,9,11,,10,6,,4,8,,2486,2470,,68.7,108.6,.250,.316,.532,50.4,50.5,10.1,10.5,.507,12.0,29.6,.177
64,Dartmouth,27,11,16,.407,-8.51,-3.19,,5,9,,5,8,,6,8,,2047,2071,,69.7,109.5,.289,.397,.543,50.3,51.6,10.5,10.2,.514,12.0,28.1,.206
65,Davidson,34,20,14,.588,4.23,2.88,,10,8,,11,7,,7,5,,2447,2309,,64.8,103.7,.366,.363,.532,50.5,48.5,9.1,9.1,.498,15.4,29.4,.253
66,Dayton,37,25,12,.676,9.03,4.19,,12,6,,14,4,,8,5,,2743,2564,,67.6,101.5,.355,.409,.544,50.6,50.7,9.9,11.4,.510,18.4,28.8,.250
67,Delaware,31,10,21,.323,-8.80,-2.60,,6,14,,5,10,,4,10,,2098,2293,,64.2,112.9,.303,.430,.550,53.1,59.8,11.5,10.3,.512,11.9,30.8,.235
68,Delaware State,31,8,23,.258,-22.67,-10.93,,2,12,,5,7,,2,14,,1896,2185,,66.5,105.1,.386,.351,.561,52.4,55.3,9.9,10.1,.526,17.4,30.2,.275
69,Denver,32,15,17,.469,-6.07,-2.34,,8,8,,9,5,,6,11,,2650,2650,,69.5,119.2,.354,.373,.582,50.2,42.8,8.5,7.4,.556,11.3,31.7,.247
70,DePaul,32,16,16,.500,7.34,6.65,,8,12,,11,7,,4,7,,2248,2226,,67.7,102.7,.378,.339,.532,50.8,57.5,10.8,10.7,.493,16.2,31.1,.270
71,Detroit Mercy,32,17,15,.531,-5.79,-3.36,,12,8,,9,5,,7,9,,2471,2475,,70.0,110.4,.378,.426,.549,47.9,58.0,8.9,7.8,.513,12.8,30.0,.268
72,Drake,34,14,20,.412,-1.32,1.06,,6,14,,6,11,,4,7,,2552,2544,,68.1,109.1,.308,.442,.544,50.7,55.4,8.8,8.3,.519,13.1,29.0,.209
73,Drexel,33,17,16,.515,-4.97,-4.72,,10,8,,12,4,,4,9,,2247,2221,,65.7,102.4,.345,.339,.513,49.1,46.8,11.2,9.3,.468,14.3,30.5,.259
74,Duke NCAA,38,35,3,.921,30.15,12.15,,17,1,,15,0,,10,1,,3102,2418,,66.8,95.2,.228,.450,.490,42.1,52.3,9.7,9.6,.462,15.1,25.2,.162
75,Duquesne,33,18,15,.545,3.28,2.25,,9,9,,12,6,,5,7,,2584,2481,,69.7,106.2,.382,.399,.556,49.1,54.4,10.1,12.5,.518,16.2,29.3,.279
76,East Carolina,31,11,20,.355,-5.78,0.39,,6,12,,7,10,,4,8,,2217,2401,,69.3,110.5,.318,.389,.552,49.6,54.0,10.3,8.0,.520,14.0,32.3,.230
77,East Tennessee State,34,23,11,.676,-0.78,-7.46,,13,5,,13,4,,8,6,,2638,2356,,66.9,102.8,.342,.478,.537,48.8,54.7,8.7,7.5,.502,16.5,28.4,.244
78,East Texas A&M,32,11,21,.344,-11.18,-2.22,,6,16,,6,8,,4,13,,2246,2385,,69.3,107.5,.346,.375,.546,52.8,55.4,10.4,10.6,.516,15.4,32.0,.241
79,Eastern Illinois,33,13,20,.394,-13.82,-6.19,,8,12,,9,6,,3,13,,2214,2321,,66.6,104.4,.333,.424,.537,51.9,57.7,9.4,11.3,.499,17.0,33.4,.247
80,Eastern Kentucky,32,11,21,.344,-10.41,-4.81,,7,11,,8,7,,3,13,,2568,2619,,69.8,115.5,.382,.414,.588,49.7,54.0,10.1,8.6,.556,14.2,31.0,.276
81,Eastern Michigan,31,10,21,.323,-6.00,-1.80,,4,14,,7,7,,3,14,,2191,2279,,68.4,106.6,.353,.353,.535,50.0,50.9,9.5,9.6,.498,13.8,28.8,.253
82,Eastern Washington,33,14,19,.424,-2.32,-0.82,,11,7,,8,4,,5,13,,2576,2606,,69.1,113.5,.362,.387,.584,49.7,49.1,10.7,7.8,.548,14.3,30.6,.274
83,Elon,32,14,18,.438,-5.72,-3.26,,6,12,,8,8,,6,9,,2500,2492,,68.1,112.7,.334,.443,.563,49.9,55.8,9.2,10.6,.534,14.3,32.8,.235
84,Evansville,32,7,25,.219,-9.20,3.30,,3,17,,5,10,,1,12,,2143,2447,,67.5,112.4,.311,.429,.569,53.3,57.6,11.2,7.1,.537,13.7,29.5,.232
85,Fairfield,34,21,13,.618,-8.10,-9.10,,11,9,,12,4,,7,8,,2528,2432,,67.6,105.4,.298,.358,.540,47.3,52.2,8.5,10.5,.507,15.0,28.6,.220
86,FDU,32,11,21,.344,-15.18,-7.63,,8,10,,8,6,,3,15,,2150,2245,,64.5,108.4,.361,.405,.565,47.5,50.3,9.7,9.4,.535,15.0,26.0,.255
87,Florida NCAA,35,27,8,.771,27.76,12.16,,16,2,,14,1,,8,2,,3050,2504,,72.0,99.3,.340,.341,.504,40.3,44.6,9.0,7.0,.461,13.4,24.8,.248
88,Florida A&M,31,15,16,.484,-14.30,-9.23,,11,7,,8,4,,5,11,,2183,2312,,70.3,105.6,.402,.347,.554,50.1,49.6,12.4,9.3,.509,16.9,30.6,.303
89,Florida Atlantic,33,18,15,.545,3.71,1.87,,9,9,,11,4,,4,8,,2596,2453,,70.4,104.4,.360,.361,.530,47.2,46.2,10.5,7.4,.490,13.9,27.8,.260
90,Florida Gulf Coast,34,16,18,.471,-6.60,-5.22,,8,10,,11,6,,3,11,,2631,2598,,69.3,109.1,.379,.455,.563,48.0,52.9,9.1,8.4,.527,14.8,27.4,.276
91,Florida International,32,15,17,.469,-1.98,-0.63,,8,12,,12,6,,3,10,,2580,2492,,72.8,105.8,.350,.445,.546,49.1,62.0,10.9,8.2,.514,17.5,33.7,.248
92,Florida State,33,18,15,.545,11.11,8.68,,10,8,,11,6,,6,5,,2652,2572,,71.8,108.5,.327,.449,.552,52.0,55.7,9.4,12.8,.522,16.2,34.1,.232
93,Fordham,32,17,15,.531,0.11,-1.10,,8,10,,11,7,,4,6,,2235,2095,,65.7,99.3,.295,.429,.520,45.5,61.0,9.0,8.2,.492,15.8,25.1,.202
94,Fresno State,32,13,19,.406,3.42,4.58,,7,13,,10,8,,2,10,,2331,2330,,69.4,104.9,.287,.444,.539,50.5,51.0,10.6,9.5,.509,15.8,30.3,.208
