Team, Net, AdjOff, AdjDef, AdjPace, NetSOS, OffSOS, DefSOS
Tennessee State,-11.64,106.15,117.79,71.15,-13.47,114.76,101.3
Green Bay,-11.67,108.9,120.57,63.61,-7.28,115.58,108.3
Eastern Michigan,-11.94,100.56,112.5,67.01,-5.37,113.14,107.78
Georgia Southern,-12.06,107.95,120.01,70.84,-10.62,114.83,104.21
Florida Gulf Coast,-12.18,105.03,117.21,67.9,-8.97,116.29,107.32
Abilene Christian,-12.22,97.7,109.93,68.17,-3.84,111.07,107.23
Western Carolina,-12.39,106.95,119.34,68.12,-7.33,114.86,107.53
Charleston Southern,-12.47,104.76,117.23,71.95,-10.99,115.63,104.65
Sacramento State,-12.59,105.29,117.89,72.42,-2.85,112.35,109.49
Wofford,-12.7,105.91,118.61,68.16,-11.87,118.2,106.33
UC Riverside,-13.1,101.18,114.28,69.0,-2.21,110.17,107.96
Nicholls,-13.11,102.88,116.0,68.77,-5.39,111.52,106.14
Coastal Carolina,-13.34,102.06,115.4,67.09,-10.29,114.89,104.61
Omaha,-13.4,104.04,117.45,67.37,-7.61,114.34,106.73
Texas State,-13.45,101.15,114.6,66.75,-12.13,115.81,103.68
Colgate,-13.69,106.64,120.33,67.5,-13.33,117.48,104.15
Southeast Missouri State,-13.78,100.4,114.17,68.6,-14.35,115.72,101.38
Loyola Chicago,-13.85,103.44,117.29,65.91,1.0,108.89,109.9
Iona,-14.22,101.92,116.15,69.84,-15.34,116.98,101.63
Incarnate Word,-14.25,105.64,119.89,65.44,-6.39,111.88,105.48
Milwaukee,-14.32,105.03,119.35,67.76,-7.41,115.58,108.17
Purdue Fort Wayne,-14.37,102.45,116.82,68.22,-6.55,115.36,108.81
Saint Peter's,-14.4,101.62,116.01,65.69,-14.19,115.92,101.73
Dartmouth,-14.51,103.04,117.55,69.55,-7.09,114.56,107.47
Vermont,-14.59,103.71,118.3,65.12,-19.84,119.07,99.23
American University,-14.76,102.06,116.82,67.51,-11.53,115.69,104.16
North Dakota,-14.86,104.63,119.5,67.53,-7.9,114.52,106.63
Longwood,-14.98,103.92,118.9,69.32,-14.65,116.65,101.99
Fairfield,-15.02,102.81,117.83,67.8,-16.18,116.86,100.68
Presbyterian,-15.12,101.26,116.38,64.8,-9.19,114.93,105.74
Western Michigan,-15.22,104.88,120.1,68.26,-6.11,113.24,107.14
South Dakota,-15.33,104.75,120.08,70.64,-10.61,115.88,105.28
Southern Utah,-15.4,102.66,118.06,71.09,-1.89,109.29,107.39
Hampton,-15.47,100.48,115.95,66.09,-8.98,113.59,104.61
Northeastern,-15.56,104.54,120.1,70.31,-6.28,113.22,106.95
Boston University,-15.84,109.67,125.52,63.33,-16.08,117.75,101.67
Delaware,-15.99,104.09,120.08,63.49,-6.13,112.68,106.55
Lindenwood,-16.04,96.59,112.63,72.95,-14.38,115.36,100.98
SIU Edwardsville,-16.13,96.59,112.73,65.18,-18.11,117.57,99.45
SE Louisiana,-16.17,97.4,113.57,66.13,-7.7,112.55,104.85
Northwestern State,-16.17,100.67,116.84,65.22,-7.62,112.42,104.81
Central Michigan,-16.3,102.48,118.78,67.7,-6.65,113.35,106.7
Oral Roberts,-16.31,100.34,116.65,68.29,-5.91,114.45,108.54
Evansville,-16.47,99.29,115.76,67.56,2.74,108.25,110.99
North Carolina A&T,-16.5,102.38,118.88,69.42,-9.88,115.21,105.32
South Carolina Upstate,-16.6,99.31,115.91,68.37,-9.31,114.46,105.15
Bethune-Cookman,-16.82,101.22,118.05,69.52,-11.47,115.37,103.9
Brown,-16.84,95.61,112.45,67.52,-10.05,115.85,105.81
Princeton,-17.14,101.29,118.43,64.16,-7.42,114.58,107.16
Mercyhurst,-17.15,99.0,116.15,65.18,-17.8,118.26,100.46
Chattanooga,-17.21,102.85,120.06,67.73,-11.86,118.09,106.23
Houston Christian,-17.4,99.6,116.99,64.96,-8.56,113.78,105.22
Southern,-17.42,102.67,120.08,70.36,-11.53,115.34,103.81
Le Moyne,-17.65,98.95,116.6,69.8,-16.92,118.15,101.23
Mount St. Mary's,-17.69,95.76,113.45,68.71,-13.83,115.87,102.04
Northern Arizona,-17.72,101.92,119.64,64.65,-4.47,113.25,108.79
Eastern Kentucky,-17.8,107.06,124.85,67.94,-9.44,116.59,107.15
Lehigh,-18.01,100.59,118.6,67.36,-13.65,117.12,103.48
Grambling,-18.32,94.09,112.42,67.73,-16.23,117.6,101.37
Bellarmine,-18.4,112.48,130.88,64.64,-9.7,116.47,106.77
UNC Greensboro,-18.58,107.19,125.76,68.28,-10.96,116.92,105.96
West Georgia,-18.65,99.73,118.39,69.76,-10.99,118.79,107.8
Jacksonville,-18.77,103.26,122.03,63.45,-8.62,115.82,107.2
Ball State,-18.88,94.81,113.69,64.23,-8.7,115.58,106.88
Georgia State,-19.01,96.05,115.06,68.2,-8.97,114.35,105.39
East Texas A&M,-19.11,97.47,116.58,69.39,-5.46,111.73,106.27
IU Indianapolis,-20.04,103.1,123.14,74.21,-8.84,116.03,107.19
Morehead State,-20.17,103.15,123.32,65.96,-13.99,115.47,101.48
Central Connecticut,-20.28,102.37,122.65,65.63,-18.3,117.97,99.67
Sacred Heart,-20.36,104.48,124.84,68.92,-15.33,115.96,100.63
Louisiana,-20.64,96.44,117.08,63.95,-9.76,114.41,104.65
Norfolk State,-21.07,99.11,120.18,68.57,-17.27,116.94,99.67
UTSA,-21.09,97.37,118.46,68.94,0.89,109.51,110.4
Eastern Illinois,-21.13,94.73,115.87,66.53,-11.47,114.42,102.95
Stetson,-21.56,100.98,122.54,67.7,-8.94,115.89,106.95
Cleveland State,-21.69,105.97,127.66,69.95,-7.54,115.41,107.86
Cal State Bakersfield,-21.7,98.36,120.06,71.03,-5.28,111.23,105.95
Alabama A&M,-21.91,98.85,120.75,66.0,-17.73,118.12,100.4
Northern Illinois,-22.17,95.43,117.59,67.89,-6.3,113.77,107.47
Prairie View A&M,-22.34,97.64,119.98,70.74,-15.12,117.48,102.36
Tennessee Tech,-22.45,97.38,119.83,67.65,-14.48,115.34,100.86
Lafayette,-22.54,97.7,120.24,66.69,-12.46,116.53,104.07
Alabama State,-22.63,96.22,118.85,69.78,-14.19,115.66,101.47
Florida A&M,-22.7,92.35,115.05,68.8,-15.24,118.06,102.82
Little Rock,-22.74,96.95,119.69,67.05,-13.62,114.5,100.88
Holy Cross,-23.26,97.93,121.19,66.39,-12.3,116.75,104.45
Arkansas-Pine Bluff,-23.34,99.62,122.96,69.6,-11.97,115.98,104.02
Wagner,-23.63,100.2,123.83,66.05,-16.78,117.04,100.27
Bucknell,-23.98,93.54,117.51,67.78,-11.4,116.36,104.96
North Florida,-24.06,104.01,128.07,70.97,-6.74,114.2,107.46
Air Force,-24.11,93.54,117.65,66.84,4.38,108.25,112.63
Texas Southern,-24.14,100.62,124.76,68.72,-13.42,115.93,102.51
Loyola Maryland,-24.15,99.79,123.94,69.53,-15.15,117.59,102.44
UMass Lowell,-24.6,97.33,121.93,69.92,-16.27,118.15,101.88
New Haven,-24.9,92.14,117.04,63.98,-13.93,115.75,101.83
Southern Indiana,-25.0,92.39,117.39,68.69,-16.14,116.93,100.78
Stonehill,-25.42,91.32,116.75,66.12,-17.17,117.57,100.4
Fairleigh Dickinson,-25.47,96.39,121.86,64.44,-13.84,115.86,102.02
UAlbany,-25.72,98.15,123.87,65.55,-15.72,117.52,101.8
Manhattan,-25.98,101.8,127.78,68.6,-15.53,116.53,101.0
North Alabama,-26.43,97.56,123.99,65.41,-10.34,117.48,107.14
NJIT,-26.94,91.69,118.63,68.35,-15.78,116.65,100.87
Army,-27.12,99.8,126.92,67.13,-13.92,117.39,103.46
The Citadel,-27.2,99.52,126.73,65.41,-10.2,116.0,105.8
Maine,-27.39,87.18,114.57,65.39,-17.58,118.43,100.85
Maryland Eastern Shore,-28.13,92.24,120.38,63.92,-14.81,117.32,102.51
Niagara,-28.22,95.17,123.39,62.99,-14.71,116.43,101.72
Canisius,-28.45,91.67,120.12,64.79,-14.58,116.63,102.05
