Team, Net, AdjOff, AdjDef, AdjPace, NetSOS, OffSOS, DefSOS
Duke,46.52,134.57,88.05,65.56,15.59,101.7,117.29
Houston,44.71,131.18,86.47,61.82,20.61,98.83,119.44
Auburn,43.11,134.72,91.61,67.56,22.63,98.19,120.82
Florida,41.65,131.57,89.92,69.59,19.84,99.7,119.54
Alabama,37.6,132.71,95.11,75.03,24.57,98.03,122.59
Tennessee,37.01,125.25,88.24,63.59,21.43,99.89,121.32
Gonzaga,36.8,132.39,95.59,69.36,12.33,103.01,115.34
Texas Tech,36.74,133.15,96.41,65.85,16.6,99.86,116.46
Arizona,34.32,128.52,94.2,70.24,20.95,99.1,120.05
Maryland,34.14,123.5,89.36,69.39,14.0,102.73,116.72
Iowa State,33.0,125.17,92.17,68.47,15.65,101.37,117.02
Michigan State,32.89,123.55,90.66,67.05,18.47,100.24,118.72
Illinois,32.14,127.94,95.8,70.64,20.26,99.09,119.36
Purdue,32.13,129.65,97.52,64.54,21.29,98.84,120.14
St. John's,32.13,120.84,88.71,69.98,13.97,101.9,115.87
Wisconsin,31.77,127.88,96.11,67.53,18.33,100.27,118.6
Kentucky,31.51,129.16,97.66,70.66,22.84,98.27,121.11
Missouri,29.98,129.33,99.35,68.4,17.22,100.73,117.95
Baylor,29.32,129.35,100.03,64.46,21.37,97.58,118.96
Kansas,29.29,122.45,93.16,68.02,21.05,98.74,119.79
Texas A&M,28.75,121.96,93.2,66.52,20.63,99.13,119.76
UConn,28.75,128.42,99.68,63.59,14.07,102.05,116.13
BYU,28.6,129.35,100.75,67.76,15.39,100.93,116.33
Saint Mary's,28.56,121.18,92.62,61.51,10.56,105.33,115.88
Michigan,28.46,121.52,93.06,69.7,21.33,98.37,119.69
UCLA,28.1,120.89,92.8,64.84,15.65,101.54,117.18
Oregon,27.5,122.37,94.87,68.02,17.99,100.22,118.21
Ohio State,27.23,126.85,99.63,66.71,18.78,99.88,118.66
Mississippi State,27.21,124.46,97.25,68.48,21.36,99.26,120.63
Marquette,27.07,121.82,94.75,67.92,17.68,99.97,117.65
Clemson,27.05,123.2,96.15,64.53,11.9,103.05,114.95
Ole Miss,26.92,122.26,95.34,67.75,20.17,99.46,119.64
Louisville,26.91,121.71,94.79,68.91,13.97,102.2,116.17
North Carolina,25.52,124.03,98.51,70.69,16.61,100.81,117.41
Creighton,25.36,121.75,96.38,67.64,17.0,100.2,117.2
Arkansas,24.43,118.5,94.06,68.96,18.32,100.36,118.68
Georgia,24.13,119.6,95.47,66.39,16.4,100.87,117.28
Texas,23.88,123.8,99.93,67.35,15.46,101.15,116.62
Xavier,23.74,121.27,97.54,68.63,14.97,101.3,116.28
VCU,23.11,116.85,93.73,66.39,2.79,106.74,109.53
Villanova,22.86,124.79,101.92,63.22,12.62,102.01,114.63
Boise State,22.5,121.66,99.17,65.2,8.89,103.6,112.49
Oklahoma,22.32,121.47,99.15,68.49,16.96,100.93,117.89
New Mexico,21.7,116.36,94.66,72.69,9.8,102.8,112.6
Northwestern,21.57,119.31,97.74,64.81,16.71,100.94,117.64
Vanderbilt,21.53,121.98,100.45,69.27,16.93,100.59,117.52
Indiana,21.29,117.47,96.18,68.21,17.96,100.64,118.6
SMU,21.11,120.15,99.04,69.31,8.6,104.59,113.19
Utah State,21.03,123.72,102.69,67.77,8.2,103.5,111.69
Colorado State,21.02,120.0,98.99,66.01,9.5,103.47,112.98
West Virginia,20.74,113.91,93.17,64.38,17.54,99.81,117.35
Santa Clara,20.64,120.15,99.51,69.17,6.62,106.46,113.09
Cincinnati,20.17,114.06,93.89,65.78,15.64,101.1,116.73
USC,19.88,120.81,100.93,68.17,16.1,101.53,117.62
Iowa,19.72,123.78,104.07,70.13,15.2,101.82,117.02
UC San Diego,19.65,115.42,95.77,65.86,-3.42,109.89,106.47
San Diego State,19.27,114.32,95.05,64.9,12.6,102.41,115.01
Penn State,18.92,117.04,98.12,69.95,12.54,103.15,115.69
Pittsburgh,18.78,119.97,101.19,66.02,12.8,103.1,115.9
Utah,18.67,118.13,99.46,68.16,13.29,102.19,115.48
Nebraska,18.5,117.85,99.35,67.92,16.05,101.45,117.5
Kansas State,17.27,114.1,96.83,66.91,14.44,100.84,115.27
Drake,17.09,117.83,100.75,59.0,3.67,107.48,111.16
Memphis,16.81,116.91,100.11,70.54,8.06,105.39,113.45
Butler,16.38,120.61,104.23,67.58,16.63,100.25,116.88
Rutgers,16.13,119.96,103.83,68.35,17.04,100.21,117.25
San Francisco,15.84,114.2,98.36,67.16,6.2,106.5,112.7
UCF,15.84,120.21,104.38,71.89,16.3,99.73,116.03
Arizona State,15.63,117.08,101.45,68.62,20.06,98.85,118.91
South Carolina,15.59,114.35,98.76,65.39,18.5,100.13,118.63
McNeese,15.51,115.64,100.14,65.5,-1.79,108.06,106.26
TCU,14.93,110.57,95.64,65.63,16.67,100.82,117.5
Nevada,14.66,116.87,102.21,64.09,8.06,104.18,112.24
Wake Forest,14.6,111.65,97.05,66.87,12.2,102.89,115.09
Oregon State,14.42,119.5,105.08,64.09,4.44,106.39,110.83
Colorado,13.8,111.96,98.16,67.71,17.17,100.17,117.34
LSU,13.63,114.17,100.54,67.86,15.21,101.81,117.02
Stanford,13.14,115.19,102.05,66.19,9.05,103.9,112.94
North Texas,12.69,110.72,98.03,60.67,1.33,108.17,109.5
Minnesota,12.55,114.85,102.31,63.08,15.19,101.23,116.42
Providence,12.51,115.8,103.29,66.12,12.86,102.35,115.21
Dayton,12.49,120.06,107.56,65.08,7.54,104.23,111.77
Liberty,12.08,112.73,100.65,65.2,-0.97,108.07,107.1
UC Irvine,11.98,110.37,98.39,69.2,-0.34,108.89,108.54
Florida State,11.95,112.17,100.22,69.11,9.04,104.29,113.34
Georgetown,11.43,109.98,98.55,67.89,9.95,103.81,113.76
George Mason,11.17,109.86,98.69,64.72,1.63,107.67,109.29
Saint Joseph's,11.09,111.31,100.22,68.32,2.23,107.12,109.35
