Team, Net, AdjOff, AdjDef, AdjPace, NetSOS, OffSOS, DefSOS
Notre Dame,10.94,116.64,105.69,64.56,9.79,104.37,114.16
Bradley,10.78,114.16,103.38,66.15,1.53,108.91,110.43
Northern Iowa,10.29,112.46,102.17,65.27,1.62,108.48,110.1
Oklahoma State,10.07,110.18,100.11,71.56,15.19,101.19,116.38
UNLV,10.01,111.24,101.23,65.85,10.62,103.36,113.97
DePaul,9.73,114.54,104.81,67.42,12.76,101.73,114.49
Yale,9.47,114.65,105.18,68.05,-5.0,111.67,106.67
Washington State,8.73,117.32,108.6,69.83,9.0,104.79,113.79
Arkansas State,8.49,112.9,104.41,69.27,-3.96,109.7,105.74
Georgia Tech,8.46,109.26,100.8,69.03,9.56,104.48,114.04
High Point,8.35,117.56,109.22,66.73,-7.03,112.3,105.27
California,8.3,116.34,108.03,67.94,9.82,104.25,114.07
Washington,8.21,112.64,104.43,67.62,15.44,101.42,116.86
NC State,8.17,110.36,102.19,65.16,9.57,104.71,114.28
Syracuse,7.79,114.76,106.97,68.24,11.83,103.72,115.56
Lipscomb,7.41,111.41,104.0,65.89,-6.66,113.27,106.61
Virginia,6.84,111.4,104.56,60.67,11.12,103.03,114.15
UAB,6.56,117.05,110.49,69.4,-0.51,108.65,108.14
Loyola Chicago,5.92,110.31,104.39,66.71,0.47,107.76,108.23
Troy,5.44,106.24,100.81,66.49,-3.43,110.54,107.11
Grand Canyon,5.23,108.05,102.83,70.2,-4.44,108.12,103.67
Florida Atlantic,4.87,114.12,109.25,69.22,3.52,107.0,110.52
Akron,4.83,113.57,108.74,71.26,-5.34,111.22,105.89
Illinois State,4.75,114.79,110.04,65.53,0.75,108.62,109.37
Middle Tennessee,4.75,113.84,109.09,67.88,2.35,106.47,108.81
Belmont,4.31,113.61,109.3,71.07,0.42,108.54,108.95
George Washington,4.07,108.86,104.79,67.17,-1.94,108.59,106.65
Saint Louis,4.05,109.94,105.88,68.01,3.72,106.03,109.75
Robert Morris,3.91,108.96,105.05,68.07,-6.85,113.53,106.68
St. Bonaventure,3.57,104.86,101.29,64.62,-0.43,108.67,108.25
Chattanooga,3.44,118.58,115.14,65.92,-3.34,109.55,106.2
Jacksonville State,3.3,109.74,106.44,64.94,0.78,107.77,108.55
Utah Valley,3.29,106.97,103.68,68.57,-4.63,109.81,105.18
Louisiana Tech,3.25,110.31,107.06,64.51,-0.38,108.08,107.7
Milwaukee,3.16,111.33,108.17,68.04,-4.05,111.49,107.43
Virginia Tech,3.15,109.69,106.53,65.2,9.1,104.28,113.38
Wichita State,3.15,108.09,104.94,69.0,2.34,106.91,109.25
UNC Wilmington,3.03,112.09,109.06,65.67,-5.61,111.99,106.38
Rhode Island,3.01,110.56,107.55,70.51,-0.16,108.05,107.89
Kent State,2.94,107.29,104.36,66.0,-3.98,111.12,107.15
South Alabama,2.69,109.8,107.1,63.61,-5.45,110.53,105.09
South Dakota State,2.52,111.18,108.66,69.22,-3.08,111.7,108.62
Davidson,2.36,111.18,108.82,65.64,-0.44,108.25,107.81
North Dakota State,1.96,118.59,116.63,64.91,-5.46,113.1,107.64
Murray State,1.95,110.0,108.05,64.58,1.94,107.31,109.26
Cal State Northridge,1.9,107.73,105.83,72.7,-5.89,110.78,104.89
Tulane,1.62,109.32,107.7,66.65,-1.36,109.36,108.01
Duquesne,1.59,107.44,105.86,65.21,1.76,106.64,108.4
Kennesaw State,1.57,107.41,105.84,70.33,1.9,106.6,108.5
Loyola Marymount,1.57,107.61,106.04,66.29,4.97,106.6,111.57
Samford,1.54,112.35,110.81,70.89,-4.95,111.02,106.07
North Alabama,1.44,110.93,109.5,67.13,-7.71,113.01,105.3
San José State,1.37,110.69,109.32,66.34,5.78,104.87,110.65
New Mexico State,1.29,106.37,105.08,64.02,2.24,106.26,108.5
St. Thomas-Minnesota,0.98,113.39,112.42,68.01,-6.31,113.29,106.98
Seton Hall,0.92,102.64,101.72,64.58,14.98,101.42,116.4
Northern Colorado,0.73,113.02,112.29,68.55,-7.5,112.8,105.31
Furman,0.69,110.61,109.91,66.14,-5.81,111.46,105.65
Miami,0.67,115.8,115.13,67.29,12.44,101.83,114.27
UC Santa Barbara,0.66,109.39,108.73,65.41,-3.99,109.52,105.54
Cleveland State,0.53,104.91,104.39,65.85,-5.79,111.96,106.17
Wofford,0.35,112.71,112.37,63.9,-3.0,110.0,107.0
Temple,0.34,114.0,113.66,68.34,-0.23,108.58,108.34
Cornell,0.26,114.14,113.88,70.35,-5.99,111.42,105.43
UIC,0.16,109.81,109.65,69.13,1.91,107.35,109.26
UTEP,0.08,105.66,105.59,68.42,0.7,107.38,108.08
Boston College,-0.31,109.96,110.28,66.68,7.71,104.83,112.54
Purdue Fort Wayne,-0.51,111.98,112.49,69.86,-4.54,111.28,106.73
Seattle U,-0.51,104.3,104.82,65.72,-2.02,107.02,105.0
East Carolina,-0.59,110.61,111.2,66.09,-1.07,109.77,108.7
UC Riverside,-0.61,111.91,112.52,67.56,1.53,107.43,108.96
Western Kentucky,-0.73,103.34,104.07,71.73,2.16,106.53,108.68
UNC Greensboro,-0.84,105.98,106.82,64.03,-5.82,111.98,106.16
Wyoming,-1.16,104.23,105.39,64.77,6.57,105.73,112.3
East Tennessee State,-1.25,106.03,107.27,65.35,-6.91,112.82,105.91
Bryant,-1.28,106.26,107.54,72.15,-10.4,113.63,103.23
California Baptist,-1.35,106.57,107.92,65.56,-3.58,108.39,104.81
Miami (OH),-1.75,108.61,110.37,68.55,-7.62,111.84,104.22
Charleston,-1.76,107.59,109.36,69.84,-4.65,110.91,106.26
Texas A&M-Corpus Christi,-1.81,105.09,106.9,67.0,-4.96,109.72,104.76
Indiana State,-2.01,111.78,113.78,72.17,0.25,108.06,108.3
Towson,-2.07,106.83,108.9,63.65,-4.99,111.24,106.25
Oakland,-2.12,110.27,112.39,63.27,-0.99,109.96,108.98
Pepperdine,-2.13,109.29,111.42,67.91,5.21,105.8,111.01
Omaha,-2.22,110.1,112.32,67.39,-3.88,111.55,107.67
Southern Illinois,-2.24,106.71,108.95,67.99,2.44,108.37,110.81
Radford,-2.3,109.29,111.59,63.18,-5.45,112.13,106.68
Winthrop,-2.34,108.76,111.1,72.76,-5.74,112.04,106.3
Lamar,-2.37,101.91,104.28,65.77,-3.21,109.09,105.88
Nicholls,-2.4,106.01,108.4,68.73,-1.88,107.55,105.67
Montana,-2.48,110.33,112.81,67.43,-1.39,110.36,108.97
James Madison,-2.74,110.46,113.2,64.85,-3.62,109.48,105.86
Montana State,-2.83,106.77,109.6,65.89,-3.45,110.68,107.23
Cal Poly,-2.92,110.92,113.84,74.5,-0.47,107.38,106.91
Valparaiso,-2.92,108.17,111.09,67.96,1.19,107.68,108.87
Rice,-2.99,105.98,108.97,65.86,-3.05,109.76,106.71
App State,-3.11,100.3,103.41,63.57,-6.01,112.13,106.13
Marshall,-3.17,106.52,109.69,68.01,-6.53,112.31,105.78
Norfolk State,-3.23,107.71,110.95,66.13,-11.58,114.28,102.71
Sam Houston,-3.39,111.29,114.68,67.75,3.21,105.21,108.43
UTSA,-3.52,108.01,111.53,69.87,1.42,107.58,109.0
Ohio,-3.92,106.87,110.79,70.52,-6.27,112.77,106.5
South Florida,-3.99,103.64,107.63,68.4,-1.47,110.4,108.93
Youngstown State,-4.12,103.26,107.38,68.73,-5.96,112.48,106.51
Massachusetts,-4.16,105.04,109.2,70.23,0.24,107.15,107.39
Florida Gulf Coast,-4.64,105.7,110.34,65.32,-8.8,113.75,104.95
Central Michigan,-5.0,105.8,110.8,66.8,-4.37,111.15,106.78
Drexel,-5.02,105.19,110.21,63.13,-8.21,113.12,104.92
Fordham,-5.04,107.85,112.89,69.69,1.3,106.6,107.9
SE Louisiana,-5.23,104.7,109.93,66.97,-6.24,110.6,104.36
Central Connecticut,-5.33,99.26,104.59,65.65,-16.57,116.32,99.75
La Salle,-5.39,104.81,110.2,67.92,1.65,106.83,108.48
Texas State,-5.4,112.47,117.87,65.4,-5.01,109.56,104.55
Hawai'i,-5.41,104.29,109.7,65.52,-2.21,108.91,106.7
Hofstra,-5.42,99.0,104.43,64.21,-4.97,110.82,105.85
Idaho State,-5.45,106.51,111.96,65.65,-5.6,111.34,105.74
Northeastern,-5.73,103.34,109.07,67.93,-7.07,111.35,104.27
Abilene Christian,-5.9,98.93,104.83,69.18,-2.9,108.55,105.64
Hampton,-5.93,104.66,110.59,65.07,-5.99,111.87,105.87
Northern Kentucky,-6.06,104.74,110.8,65.67,-3.22,110.68,107.45
Wright State,-6.07,110.29,116.36,67.32,-5.9,112.35,106.45
Missouri State,-6.09,105.29,111.38,63.86,1.61,108.99,110.6
Jacksonville,-6.23,101.64,107.87,66.95,-5.81,113.26,107.45
Merrimack,-6.34,98.69,105.03,64.41,-9.05,112.72,103.67
Elon,-6.38,107.53,113.9,64.77,-6.5,111.65,105.15
Northwestern State,-6.51,103.35,109.86,63.82,-1.87,108.45,106.57
South Carolina State,-6.52,101.97,108.49,69.27,-13.27,115.42,102.16
Portland State,-6.73,99.41,106.14,69.0,-8.45,114.1,105.66
Princeton,-6.8,103.09,109.89,66.3,-5.06,111.34,106.28
Eastern Kentucky,-6.84,109.21,116.04,67.81,-7.05,112.39,105.34
Brown,-6.96,104.86,111.82,65.8,-8.01,112.52,104.51
Longwood,-7.31,105.12,112.44,68.95,-7.28,113.45,106.18
Dartmouth,-7.53,100.05,107.57,70.56,-9.29,114.09,104.8
Campbell,-7.65,101.95,109.6,65.58,-6.83,112.06,105.23
Incarnate Word,-7.72,106.25,113.96,64.83,-6.61,110.64,104.03
UNC Asheville,-7.83,109.09,116.92,67.85,-6.7,112.83,106.13
Evansville,-7.87,97.44,105.32,67.05,1.7,109.05,110.75
Queens University,-7.87,107.85,115.73,67.71,-7.01,112.28,105.27
Fresno State,-7.89,104.93,112.82,71.05,6.73,105.0,111.73
Southeast Missouri State,-8.04,100.48,108.51,68.51,-11.68,113.08,101.4
Bucknell,-8.19,106.91,115.1,67.4,-9.4,112.95,103.55
Charlotte,-8.22,106.93,115.15,64.49,-0.61,109.42,108.81
UT Arlington,-8.33,109.67,118.01,67.24,-4.26,107.94,103.68
Toledo,-8.35,111.14,119.49,68.37,-3.43,110.32,106.9
Kansas City,-8.38,100.67,109.05,64.17,-3.46,112.59,109.13
SIU Edwardsville,-8.42,100.15,108.57,66.29,-10.81,113.66,102.85
Florida International,-8.43,99.94,108.37,68.18,-2.1,109.51,107.41
Delaware,-8.44,108.83,117.27,70.39,-5.41,110.34,104.93
UT Rio Grande Valley,-8.48,104.48,112.96,70.27,-3.41,109.06,105.65
Cal State Bakersfield,-8.69,105.99,114.68,65.82,-2.46,108.99,106.53
Maine,-8.74,99.19,107.94,66.34,-11.79,114.28,102.49
South Dakota,-8.87,108.27,117.14,74.8,-5.11,112.81,107.7
Quinnipiac,-8.9,101.08,109.98,71.05,-11.61,112.71,101.1
Richmond,-8.91,105.12,114.02,63.73,2.68,106.7,109.38
Tulsa,-8.99,103.89,112.88,66.57,-1.76,109.72,107.96
Presbyterian,-9.02,104.0,113.02,64.53,-5.88,112.6,106.72
Portland,-9.09,108.24,117.33,67.39,4.76,106.6,111.36
Georgia State,-9.25,107.37,116.62,69.56,-3.78,110.2,106.42
UC Davis,-9.36,96.44,105.8,67.63,-2.17,109.63,107.46
Southern,-9.45,99.61,109.06,67.48,-12.93,113.78,100.85
Pacific,-9.74,103.09,112.83,67.23,4.74,106.8,111.53
Little Rock,-9.74,97.08,106.82,67.2,-11.29,113.25,101.97
William & Mary,-10.0,105.37,115.37,71.71,-5.99,111.46,105.47
Northern Arizona,-10.17,104.8,114.97,66.48,-8.72,113.61,104.89
North Dakota,-10.37,107.24,117.6,68.77,-2.39,111.18,108.79
Georgia Southern,-11.01,103.19,114.19,69.39,-7.76,112.36,104.6
Colgate,-11.07,103.11,114.17,67.49,-10.24,113.53,103.29
Ball State,-11.12,105.29,116.41,66.26,-8.96,113.14,104.18
Vermont,-11.31,96.93,108.24,62.67,-10.92,113.65,102.73
Stephen F. Austin,-11.49,96.02,107.52,67.74,-3.25,108.85,105.6
Gardner-Webb,-11.5,102.65,114.15,68.84,-6.22,113.39,107.16
UMass Lowell,-11.51,107.83,119.33,68.42,-10.74,111.91,101.16
American University,-11.74,102.51,114.24,63.48,-10.5,113.76,103.27
Mount St. Mary's,-11.77,99.86,111.63,67.52,-9.53,112.29,102.76
Houston Christian,-11.78,99.66,111.44,64.73,-3.75,108.96,105.22
Mercer,-11.86,100.19,112.05,71.2,-7.32,112.87,105.55
Siena,-12.1,103.19,115.3,66.92,-11.52,113.69,102.17
San Diego,-12.29,100.24,112.53,69.83,3.37,106.93,110.3
Manhattan,-12.34,108.37,120.71,67.62,-12.54,113.51,100.96
Air Force,-12.65,99.46,112.11,64.17,6.46,105.48,111.94
Western Michigan,-12.7,101.86,114.57,67.54,-5.59,111.9,106.31
Iona,-12.77,97.66,110.43,68.3,-11.94,113.46,101.51
Marist,-12.86,97.49,110.36,63.94,-15.79,115.63,99.83
Tennessee State,-12.87,103.5,116.37,70.94,-12.5,113.07,100.57
Sacred Heart,-13.04,102.13,115.17,70.92,-12.34,113.62,101.28
Eastern Washington,-13.31,101.78,115.09,66.84,-3.79,111.32,107.53
Jackson State,-13.34,99.93,113.26,68.46,-8.82,111.89,103.07
Bowling Green,-13.38,99.06,112.44,69.17,-8.85,113.89,105.03
UAlbany,-13.62,103.76,117.38,67.19,-13.05,114.48,101.43
North Florida,-13.62,108.56,122.18,72.22,-6.38,112.58,106.2
Alabama State,-13.66,100.67,114.33,67.85,-13.11,113.52,100.41
Eastern Michigan,-13.78,103.69,117.48,67.22,-7.31,112.83,105.52
Austin Peay,-13.88,101.2,115.09,66.88,-4.99,112.96,107.97
Columbia,-13.97,104.09,118.05,71.08,-8.88,113.15,104.27
Harvard,-13.99,99.89,113.89,65.85,-7.79,112.01,104.22
Monmouth,-14.27,103.53,117.8,66.88,-5.84,110.97,105.12
Old Dominion,-14.29,100.68,114.97,65.13,-5.68,111.34,105.65
Idaho,-14.39,106.9,121.29,65.94,-5.01,110.41,105.4
Texas Southern,-14.9,95.19,110.09,70.09,-12.92,113.91,100.99
Utah Tech,-14.94,100.95,115.88,67.19,-1.45,107.58,106.13
Bethune-Cookman,-15.08,95.57,110.66,68.95,-10.85,112.92,102.07
Navy,-15.09,100.21,115.3,67.15,-13.63,114.66,101.03
Southern Miss,-15.13,96.67,111.8,71.39,-4.86,110.5,105.65
Long Island University,-15.17,94.85,110.02,64.86,-16.25,116.32,100.07
Denver,-15.29,101.4,116.69,65.91,-4.18,112.96,108.77
Weber State,-15.66,101.38,117.04,65.89,-4.23,111.01,106.78
Lehigh,-15.66,99.54,115.2,66.95,-10.32,113.43,103.11
Saint Peter's,-15.71,94.86,110.56,63.75,-13.16,115.5,102.34
VMI,-16.08,98.48,114.56,68.28,-6.61,112.52,105.91
Long Beach State,-16.18,99.59,115.77,64.25,-0.39,108.13,107.73
Fairleigh Dickinson,-16.23,98.71,114.94,69.17,-12.44,113.92,101.48
Lafayette,-16.32,99.02,115.34,65.51,-13.47,115.4,101.93
Tennessee Tech,-16.4,100.08,116.47,67.95,-11.09,112.6,101.51
IU Indianapolis,-16.66,109.14,125.8,64.46,-5.01,111.04,106.02
UMBC,-16.77,107.37,124.14,70.18,-11.94,112.86,100.92
Boston University,-16.83,98.96,115.79,63.06,-12.74,114.48,101.74
Southern Utah,-16.85,94.98,111.84,69.56,-2.56,107.93,105.37
Louisiana,-17.09,97.16,114.24,66.4,-3.05,108.91,105.85
Charleston Southern,-17.15,99.21,116.37,67.19,-4.04,111.79,107.75
East Texas A&M,-17.16,95.51,112.66,67.85,-2.0,108.43,106.44
Pennsylvania,-17.29,101.22,118.5,67.13,-4.84,110.63,105.79
Oral Roberts,-17.32,103.11,120.43,67.25,-1.21,111.04,109.83
Tarleton State,-17.45,90.32,107.78,66.02,0.75,107.21,107.96
Loyola Maryland,-17.49,98.22,115.71,66.66,-12.45,114.41,101.95
Grambling,-18.06,95.35,113.41,63.62,-10.9,112.84,101.94
Green Bay,-18.13,101.19,119.33,68.77,-2.29,110.29,108.0
Delaware State,-18.23,101.48,119.71,69.54,-15.64,116.18,100.54
Army,-18.27,101.16,119.43,67.95,-11.0,114.39,103.38
Rider,-18.49,99.17,117.65,65.17,-10.97,113.1,102.13
UT Martin,-18.79,101.14,119.93,65.71,-12.41,112.71,100.29
St. Francis (PA),-18.94,99.91,118.85,67.24,-11.63,112.33,100.69
North Carolina A&T,-19.02,95.9,114.92,69.92,-6.12,111.2,105.09
Detroit Mercy,-19.09,95.97,115.06,67.4,-3.59,111.85,108.26
Binghamton,-19.14,97.57,116.72,65.63,-14.28,115.8,101.52
Eastern Illinois,-19.41,91.25,110.66,65.49,-8.93,112.31,103.38
New Orleans,-19.44,101.33,120.77,69.21,-0.26,107.33,107.07
Coastal Carolina,-19.49,99.87,119.37,63.64,-8.05,111.84,103.8
North Carolina Central,-19.54,103.22,122.76,66.72,-11.87,114.27,102.4
Lindenwood,-19.57,94.93,114.5,68.75,-10.78,113.55,102.77
Niagara,-19.73,102.29,122.02,64.52,-12.73,113.49,100.77
Florida A&M,-19.89,99.45,119.34,67.15,-8.62,111.04,102.42
Holy Cross,-19.96,99.25,119.21,66.29,-10.83,113.29,102.46
Stony Brook,-20.09,101.4,121.49,64.26,-5.67,110.64,104.97
South Carolina Upstate,-20.25,98.06,118.31,73.04,-3.12,110.56,107.44
Southern Indiana,-20.32,97.56,117.87,67.61,-13.49,114.34,100.86
Stonehill,-20.77,97.89,118.66,65.28,-13.49,113.9,100.4
Alcorn State,-20.83,96.42,117.25,64.67,-9.91,112.29,102.38
Morehead State,-20.92,96.78,117.7,64.14,-11.78,111.97,100.19
Buffalo,-21.01,94.9,115.91,70.63,-4.94,111.45,106.51
Howard,-21.04,99.65,120.69,69.4,-9.88,113.78,103.9
Sacramento State,-21.82,94.59,116.41,65.43,-6.61,112.37,105.77
Fairfield,-22.07,97.31,119.38,65.91,-11.42,112.79,101.36
Western Carolina,-22.08,93.33,115.41,70.31,-4.23,111.29,107.06
Morgan State,-22.39,101.24,123.63,70.67,-12.65,114.58,101.93
Central Arkansas,-22.61,98.48,121.09,66.54,-6.87,112.95,106.08
Bellarmine,-22.99,102.68,125.67,66.06,-7.86,112.78,104.93
West Georgia,-23.06,96.22,119.28,67.18,-7.29,112.91,105.63
Northern Illinois,-23.23,93.92,117.16,69.06,-6.13,111.94,105.81
Cal State Fullerton,-23.27,92.61,115.88,68.07,0.38,107.68,108.06
UL Monroe,-23.28,94.57,117.85,68.24,-6.34,111.44,105.11
Wagner,-23.77,90.61,114.37,60.31,-15.22,114.79,99.58
Mercyhurst,-24.35,98.27,122.62,64.21,-14.38,114.24,99.86
Western Illinois,-24.71,97.02,121.73,63.59,-11.84,113.25,101.41
Stetson,-24.9,99.77,124.66,66.66,-7.04,113.22,106.17
NJIT,-26.02,91.94,117.96,66.39,-11.1,113.64,102.54
Prairie View A&M,-26.44,96.68,123.12,69.12,-10.11,112.5,102.39
The Citadel,-27.34,93.38,120.72,64.98,-6.27,112.06,105.79
Le Moyne,-27.45,101.57,129.03,68.65,-12.36,113.3,100.94
New Hampshire,-28.66,91.44,120.1,67.63,-10.67,113.56,102.89
Canisius,-29.65,96.54,126.18,66.22,-7.93,110.9,102.97
Maryland Eastern Shore,-30.71,91.68,122.39,66.27,-6.65,112.0,105.36
Alabama A&M,-31.31,91.75,123.06,69.98,-13.34,114.05,100.71
Coppin State,-31.58,86.33,117.91,68.19,-9.46,113.56,104.1
Chicago State,-31.65,88.72,120.37,68.9,-8.43,112.02,103.59
Arkansas-Pine Bluff,-33.95,93.87,127.82,70.95,-12.7,113.7,101.0
Mississippi Valley State,-51.15,78.58,129.72,65.19,-8.17,111.54,103.37
