Player,Team,O_BAPM,D_BAPM,Total_BAPM
Yaxel Lendeborg,Michigan,4.9,4.66,9.56
Flory Bidunga,Kansas,3.02,5.03,8.05
Motiejus Krivas,Arizona,2.58,5.37,7.95
Cameron Boozer,Duke,4.95,2.87,7.82
Koa Peat,Arizona,3.63,3.76,7.39
Ja'Kobi Gillespie,Tennessee,5.13,2.02,7.15
Fletcher Loyer,Purdue,4.29,2.65,6.94
Jaden Bradley,Arizona,3.32,3.56,6.88
Henri Veesaar,North Carolina,2.87,4.01,6.88
Jeremy Fears Jr.,Michigan St,3.19,3.61,6.8
MJ Collins Jr.,Utah State,4.0,2.44,6.44
Brayden Burries,Arizona,4.06,2.26,6.32
C.J. Cox,Purdue,4.78,1.44,6.22
Jaxon Kohler,Michigan St,2.42,3.75,6.17
Joshua Jefferson,Iowa State,2.67,3.47,6.14
Ivan Kharchenkov,Arizona,3.85,2.27,6.12
Isaiah Evans,Duke,3.24,2.86,6.1
Aday Mara,Michigan,2.69,3.35,6.04
DeSean Goode,Robert Morris,5.95,0.06,6.01
Dame Sarr,Duke,2.18,3.76,5.94
Pryce Sandfort,Nebraska,2.15,3.7,5.85
Elliot Cadeau,Michigan,3.28,2.49,5.77
Boogie Fland,Florida,3.96,1.74,5.7
Trey Kaufman-Renn,Purdue,4.5,1.19,5.69
Emanuel Sharp,Houston,1.58,3.96,5.54
Graham Ike,Gonzaga,3.32,2.19,5.51
Zvonimir Ivisic,Illinois,3.24,2.22,5.46
Emmanuel Innocenti,Gonzaga,2.13,3.32,5.45
Michael Belle,VCU,4.18,1.26,5.44
Jasper Floyd,West Virginia,0.91,4.49,5.4
Tyon Grant-Foster,Gonzaga,2.85,2.53,5.38
Jalen Warley,Gonzaga,2.29,3.05,5.34
Somtochukwu Cyril,Georgia,3.2,2.12,5.32
Kingston Flemings,Houston,3.44,1.88,5.32
Chris Cenac Jr.,Houston,2.38,2.94,5.32
Cayden Boozer,Duke,2.51,2.79,5.3
Izaiyah Nelson,South Florida,2.27,3.02,5.29
RJ Godfrey,Clemson,2.39,2.85,5.24
Meleek Thomas,Arkansas,4.62,0.61,5.23
Oscar Cluff,Purdue,3.71,1.52,5.23
Killyan Toure,Iowa State,2.25,2.97,5.22
Tre Donaldson,Miami,4.12,1.08,5.2
Trey McKenney,Michigan,3.18,1.99,5.17
Joseph Tugler,Houston,1.68,3.44,5.12
Rueben Chinyelu,Florida,1.95,3.15,5.1
Patrick Ngongba II,Duke,1.56,3.53,5.09
Bennett Stirtz,Iowa,3.31,1.78,5.09
Quadir Copeland,NC State,3.19,1.89,5.08
Khadim Mboup,BYU,2.32,2.71,5.03
AJ Dybantsa,BYU,3.46,1.51,4.97
Robbie Avila,Saint Louis,2.72,2.23,4.95
Dallin Hall,Virginia,1.91,3.04,4.95
Alex Karaban,UConn,2.42,2.53,4.95
Alex Condon,Florida,2.91,2.02,4.93
Thomas Haugh,Florida,2.98,1.93,4.91
Milan Momcilovic,Iowa State,1.7,3.19,4.89
Bruce Thornton,Ohio State,3.64,1.24,4.88
Sam Hoiberg,Nebraska,0.54,4.31,4.85
Trevon Brazile,Arkansas,3.92,0.92,4.84
Jestin Porter,Clemson,2.13,2.71,4.84
Melvin Council Jr.,Kansas,1.67,3.11,4.78
Dillon Mitchell,St John's,2.57,2.2,4.77
Will Tschetter,Michigan,2.2,2.54,4.74
Xaivian Lee,Florida,1.46,3.22,4.68
Keaton Wagler,Illinois,3.07,1.6,4.67
Mohamed Wague,Oklahoma,2.06,2.59,4.65
Ben Humrichous,Illinois,2.67,1.97,4.64
Joshua Dent,Saint Mary's,2.21,2.39,4.6
Jayden Ross,UConn,1.58,3.0,4.58
Blake Buchanan,Iowa State,2.39,2.19,4.58
Tristan Smith,Northern Iowa,2.39,2.17,4.56
Cam Cole,Navy,1.97,2.57,4.54
Richard Goods,Stony Brook,4.5,0.04,4.54
Braden Smith,Purdue,4.02,0.5,4.52
Kylan Boswell,Illinois,2.49,2.02,4.51
Ali Dibba,Texas A&M,2.49,2.02,4.51
Bryce Hopkins,St John's,3.1,1.41,4.51
Garry Clark,Utah State,2.61,1.87,4.48
Adam Clark,Seton Hall,1.78,2.66,4.44
Jake Ensminger,Santa Clara,2.48,1.95,4.43
Donovan Atwell,Texas Tech,3.05,1.38,4.43
Taj DeGourville,San Diego St,2.15,2.24,4.39
Tarris Reed Jr.,UConn,2.62,1.77,4.39
Jacob Crews,Missouri,2.8,1.59,4.39
Kur Teng,Michigan St,2.05,2.34,4.39
Malique Ewin,Arkansas,3.77,0.61,4.38
Malachi Moreno,Kentucky,2.65,1.73,4.38
Mason Falslev,Utah State,2.18,2.18,4.36
Javohn Garcia,McNeese,1.65,2.69,4.34
Skyy Clark,UCLA,2.85,1.45,4.3
Mark Mitchell,Missouri,2.99,1.29,4.28
Hannes Steinbach,Washington,2.9,1.37,4.27
Uriah Tenette,New Mexico,1.71,2.54,4.25
Richie Saunders,BYU,3.02,1.23,4.25
Samet Yigitoglu,SMU,1.74,2.51,4.25
Jabez Jenkins,Belmont,0.79,3.44,4.23
Thijs De Ridder,Virginia,1.69,2.54,4.23
Duke Miles,Vanderbilt,2.56,1.67,4.23
Milos Uzan,Houston,0.08,4.14,4.22
Terry Anderson,High Point,3.44,0.76,4.2
Andrej Stojakovic,Illinois,2.54,1.66,4.2
Caleb Wilson,North Carolina,2.76,1.43,4.19
David Mirkovic,Illinois,1.77,2.4,4.17
Morez Johnson Jr.,Michigan,1.05,3.11,4.16
Cam Manyawu,Iowa,1.33,2.82,4.15
Elijah Crawford,UIC,2.26,1.88,4.14
Marcus Hill,Texas A&M,1.91,2.19,4.1
Jaron Pierre Jr.,SMU,2.74,1.36,4.1
Nikolas Khamenia,Duke,1.13,2.92,4.05
Paulius Murauskas,Saint Mary's,1.9,2.12,4.02
Treysen Eaglestaff,West Virginia,1.02,3.0,4.02
Trevor Mullin,Yale,2.83,1.18,4.01
B.J. Edwards,SMU,2.62,1.37,3.99
Corey Washington,SMU,3.62,0.37,3.99
Jayden Pierre,TCU,1.93,2.06,3.99
Chaze Harris,South Alabama,2.11,1.87,3.98
Aiden Sherrell,Alabama,2.51,1.46,3.97
Chad Baker-Mazara,USC,1.72,2.25,3.97
Devin McGlockton,Vanderbilt,2.03,1.94,3.97
Franck Kepnang,Washington,1.55,2.42,3.97
Zuby Ejiofor,St John's,1.6,2.36,3.96
Christian Coleman,Oklahoma St,3.28,0.67,3.95
Nate Heise,Iowa State,1.8,2.15,3.95
JT Toppin,Texas Tech,1.31,2.61,3.92
Andrija Grbovic,Arizona St,2.09,1.83,3.92
Elijah Price,Nevada,1.5,2.41,3.91
Elyjah Freeman,Auburn,2.18,1.72,3.9
Denzel Aberdeen,Kentucky,2.17,1.73,3.9
Eric Mahaffey,Akron,2.55,1.34,3.89
Zoom Diallo,Washington,2.54,1.34,3.88
Chase Walker,Illinois St,1.95,1.92,3.87
Kam Williams,Kentucky,1.7,2.17,3.87
Jacob Cofie,USC,2.05,1.81,3.86
Silas Demary Jr.,UConn,2.15,1.69,3.84
Blue Cain,Georgia,3.57,0.26,3.83
Coen Carr,Michigan St,2.75,1.07,3.82
Jarin Stevenson,North Carolina,2.32,1.49,3.81
Isaac McKneely,Louisville,1.31,2.49,3.8
Mikey Lewis,Saint Mary's,3.06,0.74,3.8
Robert Wright III,BYU,2.74,1.05,3.79
BJ Davis,San Diego St,1.23,2.56,3.79
Jaden Schutt,Virginia Tech,2.58,1.19,3.77
Nolan Minessale,St Thomas (MN),2.08,1.67,3.75
Tucker DeVries,Indiana,2.5,1.25,3.75
Nate Ament,Tennessee,1.02,2.72,3.74
Oziyah Sellers,St John's,1.99,1.75,3.74
Garwey Dual,McNeese,1.26,2.48,3.74
Mario Saint-Supery,Gonzaga,1.55,2.18,3.73
De'Shayne Montgomery,Dayton,1.72,2.01,3.73
Drake Allen,Utah State,3.0,0.71,3.71
Kenyon Goodin,Bellarmine,5.03,-1.33,3.7
John Bol,UCF,1.69,2.01,3.7
Isaia Howard,Iowa,2.28,1.42,3.7
Nijel Pack,Oklahoma,3.38,0.31,3.69
Caleb Foster,Duke,2.44,1.24,3.68
Austin Maurer,Seattle U,0.68,2.99,3.67
Aden Holloway,Alabama,3.72,-0.06,3.66
Bahsil Laster,UT Arlington,0.93,2.72,3.65
Tyler Tanner,Vanderbilt,2.31,1.34,3.65
Nana Owusu-Anane,Grand Canyon,1.8,1.85,3.65
David Green,Tulsa,1.96,1.69,3.65
Boopie Miller,SMU,2.52,1.12,3.64
Cameron Carr,Baylor,2.61,1.02,3.63
Nolan Winter,Wisconsin,2.45,1.18,3.63
Duke Brennan,Villanova,1.48,2.14,3.62
Justice Shoats,Siena,2.63,0.98,3.61
Bishop Boswell,Tennessee,2.22,1.38,3.6
Damien Mayo Jr.,S Illinois,2.18,1.42,3.6
Reece Robinson,North Texas,1.38,2.22,3.6
