Player,Team,O_BAPM,D_BAPM,Total_BAPM
Carson Cooper,Michigan St,0.91,2.68,3.59
Luke Haupt,New Mexico,1.13,2.46,3.59
Isaiah Watts,Maryland,1.43,2.16,3.59
John Blackwell,Wisconsin,2.09,1.49,3.58
Dylan Darling,St John's,0.44,3.14,3.58
Nick Boyd,Wisconsin,2.47,1.11,3.58
Jordan Scott,Michigan St,2.12,1.45,3.57
Tyler Hendricks,Utah Valley,1.8,1.77,3.57
Koree Cotton,UT Rio Grande,1.16,2.41,3.57
Trent Perry,UCLA,2.77,0.79,3.56
Rienk Mast,Nebraska,0.98,2.58,3.56
Patrick Wessler,UNC Wilmington,1.74,1.8,3.54
Brigham Rogers,Belmont,0.96,2.58,3.54
Braden Huff,Gonzaga,1.93,1.6,3.53
Malik Reneau,Miami,2.67,0.85,3.52
Baba Miller,Cincinnati,0.78,2.74,3.52
Ishan Sharma,Saint Louis,3.07,0.45,3.52
Adam Miller,Gonzaga,1.68,1.84,3.52
Amani Hansberry,Virginia Tech,2.11,1.4,3.51
Tyler Behrend,Tulsa,3.21,0.3,3.51
Otega Oweh,Kentucky,2.33,1.17,3.5
Eric Dailey Jr.,UCLA,2.71,0.78,3.49
Garrett Nuckolls,Portland,1.48,2.01,3.49
Isaiah Brown,Florida,2.86,0.63,3.49
Musa Sagnia,NC State,1.36,2.13,3.49
Jordan Pope,Texas,2.27,1.21,3.48
Cam Morris III,ETSU,1.89,1.56,3.45
Jackson Holcombe,Utah Valley,1.67,1.76,3.43
Dailyn Swain,Texas,3.49,-0.06,3.43
Matas Vokietaitis,Texas,2.51,0.9,3.41
Lazar Djokovic,VCU,1.56,1.84,3.4
Jaden Henley,Grand Canyon,1.64,1.75,3.39
Sean Craig,Toledo,2.48,0.9,3.38
Jaden Daughtry,Richmond,1.09,2.28,3.37
Roddy Gayle Jr.,Michigan,2.17,1.19,3.36
Will Berg,Wichita St,1.78,1.58,3.36
Evan Mahaffey,Akron,1.89,1.47,3.36
Amare Bynum,Ohio State,2.39,0.96,3.35
Ernest Udeh Jr.,Miami,1.98,1.36,3.34
Cam Ward,Michigan St,2.32,1.01,3.33
Pablo Tamba,LSU,3.12,0.19,3.31
L.J. Cason,Michigan,1.69,1.62,3.31
Jo'el Emanuel,William & Mary,2.78,0.52,3.3
Chrishawn Christmas,SF Austin,1.29,2.01,3.3
Drayton Jones,Butler,0.8,2.5,3.3
Brady Dunlap,Saint Louis,2.12,1.17,3.29
Latrell Wrightsell,Alabama,1.51,1.78,3.29
Jordan McCullum,ETSU,1.5,1.78,3.28
Parsa Fallah,Oklahoma St,0.4,2.88,3.28
Quentin Jones,Saint Louis,0.99,2.28,3.27
Joseph Pinion,South Florida,1.48,1.79,3.27
Christian Anderson,Texas Tech,2.92,0.35,3.27
Luke Northweather,Missouri,1.9,1.36,3.26
Owen Aquino,High Point,2.09,1.17,3.26
Tyler Nickel,Vanderbilt,3.38,-0.12,3.26
Jadon Jones,Oklahoma,1.41,1.85,3.26
Larry Johnson,McNeese,2.93,0.32,3.25
Tae Simmons,San Diego St,2.46,0.79,3.25
Kyan Evans,North Carolina,0.57,2.68,3.25
Steven Jamerson II,UCLA,0.78,2.47,3.25
Trevian Carson,N Dakota St,1.85,1.38,3.23
John Camden,California,1.58,1.65,3.23
Chance Mallory,Virginia,3.01,0.22,3.23
Jahmere Tripp,Rhode Island,1.0,2.22,3.22
Antwone Woolfolk,Miami OH,1.29,1.93,3.22
Brandon Jennings,VCU,1.99,1.23,3.22
Ty'Reek Coleman,Illinois St,0.49,2.73,3.22
J.P. Estrella,Tennessee,2.31,0.9,3.21
Oswin Erhunmwunse,Providence,1.37,1.84,3.21
Lucas Scroggins,Saint Peter's,2.12,1.09,3.21
Andrew McKeever,Saint Mary's,1.87,1.34,3.21
Christoph Tilly,Ohio State,2.38,0.82,3.2
Tavion Banks,Iowa,1.91,1.29,3.2
Khani Rooths,Louisville,0.91,2.28,3.19
Ethan Burg,Tennessee,1.07,2.12,3.19
Rikus Schulte,Fordham,0.96,2.23,3.19
Jahari Long,George Mason,1.82,1.37,3.19
Damon Nicholas Jr.,Sam Houston,1.55,1.63,3.18
Billy Richmond III,Arkansas,2.38,0.8,3.18
Nick Townsend,Yale,2.89,0.28,3.17
Tyler Harris,Vanderbilt,0.65,2.5,3.15
Marcus Millender,Georgia,3.06,0.09,3.15
Shelton Henderson,Miami,1.54,1.6,3.14
Jaylen Carey,Tennessee,0.66,2.47,3.13
Urban Klavzar,Florida,2.56,0.57,3.13
Eli Shetlar,Drake,1.77,1.36,3.13
Gavin Walsh,UNC Wilmington,2.04,1.09,3.13
Houston Mallette,Alabama,2.37,0.75,3.12
Xavier Edmonds,TCU,2.05,1.06,3.11
Braeden Smith,Gonzaga,1.55,1.56,3.11
Jamier Jones,Providence,2.05,1.05,3.1
Austin Herro,St Thomas (MN),0.95,2.15,3.1
DeWayne Brown II,Tennessee,1.25,1.85,3.1
Pharaoh Compton,San Diego St,2.0,1.09,3.09
Moustapha Thiam,Cincinnati,0.22,2.87,3.09
Justice Ajogbor,Saint Joseph's,0.45,2.63,3.08
KJ Lewis,Georgetown,1.9,1.18,3.08
Miles Byrd,San Diego St,0.77,2.3,3.07
Jayden Ndjigue,UMass,0.51,2.56,3.07
Mahmoud Fofana,CSU Northridge,1.1,1.97,3.07
Jordan Clayton,Northwestern,1.84,1.22,3.06
Myles Corey,Rhode Island,1.5,1.56,3.06
RJ Smith,DePaul,0.53,2.52,3.05
Elijah Mahi,Santa Clara,2.36,0.69,3.05
Adrian Wooley,Louisville,1.23,1.81,3.04
Jamarques Lawrence,Nebraska,1.17,1.86,3.03
London Jemison,Alabama,1.11,1.91,3.02
Isaac Johnson,Hawai'i,1.33,1.68,3.01
Brock Harding,TCU,0.98,2.03,3.01
Jaylen Lawal,Tulsa,1.07,1.93,3.0
Christian Jones,G Washington,0.93,2.07,3.0
Harlan Obioha,West Virginia,-0.44,3.44,3.0
Paul McNeil Jr.,NC State,2.37,0.62,2.99
Jayden Hastings,Boston College,0.6,2.39,2.99
Tae Davis,Oklahoma,2.56,0.43,2.99
Austin Goode,Cal Poly,4.03,-1.05,2.98
Tyler Bilodeau,UCLA,2.5,0.47,2.97
Martin Somerville,Florida St,0.81,2.15,2.96
James Scott,Ole Miss,0.21,2.74,2.95
KC Ugwuakazi,Merrimack,1.71,1.24,2.95
Bryson Tiller,Kansas,1.0,1.95,2.95
Deyton Albury,New Mexico,1.49,1.45,2.94
Michael Ajayi,Butler,2.04,0.9,2.94
Aidan Kehoe,Navy,0.26,2.66,2.92
Mouhamed Dioubate,Kentucky,1.72,1.2,2.92
Day Day Thomas,Cincinnati,0.33,2.59,2.92
Tamin Lipsey,Iowa State,0.96,1.95,2.91
Jerald Colonel,SF Austin,-0.21,3.12,2.91
RJ Keene II,Boise St,0.45,2.46,2.91
Jake Wahlin,Clemson,1.48,1.43,2.91
Tasman Goodrick,Siena,2.63,0.27,2.9
Markus Burton,Notre Dame,1.24,1.66,2.9
Naithan George,Syracuse,2.38,0.52,2.9
Dillon Tingler,Drexel,0.68,2.21,2.89
Tre'Von Spillers,Wake Forest,1.62,1.27,2.89
Dedan Thomas Jr.,LSU,1.96,0.92,2.88
Corey Camper Jr.,Nevada,2.37,0.51,2.88
Tyrone Riley IV,San Francisco,2.01,0.87,2.88
Shawn Phillips Jr.,Missouri,1.14,1.74,2.88
Caden Powell,Baylor,1.21,1.67,2.88
Abdul Momoh,UIC,0.97,1.9,2.87
Federiko Federiko,Texas A&M,1.38,1.48,2.86
Isaac Asuma,Minnesota,1.51,1.34,2.85
Griffen Goodbary,Drake,2.05,0.8,2.85
Armani Mighty,Mercer,2.11,0.73,2.84
Luka Bogavac,North Carolina,0.8,2.04,2.84
Kyle Evans,UC Irvine,1.58,1.23,2.81
Ryan Prather Jr.,Robert Morris,3.7,-0.9,2.8
Sean Newman Jr.,San Diego St,2.04,0.76,2.8
Jacob Bannarbie,UNLV,2.7,0.09,2.79
David Punch,TCU,0.77,2.02,2.79
Sam Lewis,Virginia,0.8,1.99,2.79
Carter Bjerke,St Thomas (MN),1.5,1.28,2.78
Jamichael Stillwell,UCF,2.0,0.77,2.77
Najai Hines,Seton Hall,1.37,1.39,2.76
Amarri Monroe,Quinnipiac,0.41,2.35,2.76
Javan Buchanan,Boise St,1.98,0.77,2.75
Amir Taylor,Kennesaw St,1.08,1.67,2.75
JT Rock,New Mexico,0.91,1.84,2.75
Justin Bailey,Georgia,1.18,1.56,2.74
Garfield Turner,Drexel,1.22,1.52,2.74
Nimari Burnett,Michigan,1.63,1.1,2.73
Amari Allen,Alabama,2.17,0.55,2.72
Silas Sunday,Hofstra,1.49,1.23,2.72
Carl Cherenfant,McNeese,1.32,1.39,2.71
Berke Buyuktuncel,Nebraska,-0.4,3.11,2.71
Nick Ellington,George Mason,-0.09,2.8,2.71
CJ Brown,South Florida,1.48,1.22,2.7
Ebuka Okorie,Stanford,2.22,0.47,2.69
John Mobley Jr.,Ohio State,2.6,0.09,2.69
Dwayne Aristode,Arizona,0.9,1.78,2.68
Ryan Kalambay,Detroit Mercy,0.92,1.76,2.68
Donovan Dent,UCLA,2.32,0.35,2.67
Ben Defty,Boston U,1.42,1.25,2.67
Aiden Argabright,Richmond,1.41,1.26,2.67
Karson Templin,Utah State,2.29,0.38,2.67
Jaden Clayton,Pacific,1.08,1.59,2.67
Jamarion Batemon,Iowa State,0.75,1.91,2.66
Nick Martinelli,Northwestern,3.05,-0.39,2.66
Julius Thedford,Memphis,1.55,1.11,2.66
Jimmie Williams,Duquesne,1.35,1.31,2.66
AK Okereke,Vanderbilt,1.53,1.13,2.66
Sananda Fru,Louisville,1.39,1.26,2.65
Isaac Jack,Pacific,1.07,1.58,2.65
Jaylin Stewart,UConn,0.91,1.74,2.65
Juke Harris,Wake Forest,1.74,0.91,2.65
Jalen Washington,Vanderbilt,1.99,0.66,2.65
Ben Schwieger,Northern Iowa,1.15,1.49,2.64
Maki Johnson,ETSU,1.45,1.19,2.64
Azavier Robinson,Butler,2.2,0.44,2.64
Darryn Peterson,Kansas,0.6,2.04,2.64
Vaughn Weems,Nevada,1.61,1.03,2.64
Steele Venters,Gonzaga,1.55,1.09,2.64
Angelo Ciaravino,Northwestern,1.41,1.23,2.64
Vince Iwuchukwu,Georgetown,0.24,2.39,2.63
Josh Odunowo,UMBC,2.4,0.23,2.63
Greedy Williams,UNC Wilmington,0.58,2.04,2.62
Felix Okpara,Tennessee,1.38,1.24,2.62
Koren Johnson,Ole Miss,1.28,1.33,2.61
Sencire Harris,Cincinnati,0.27,2.33,2.6
Amari McCottry,Saint Louis,1.23,1.37,2.6
AJ Smith,Bradley,1.27,1.32,2.59
Jaylen Curry,Oklahoma St,2.22,0.37,2.59
Devin Royal,Ohio State,2.01,0.58,2.59
Makaih Williams,Grand Canyon,0.79,1.79,2.58
Mynor Strong,Toledo,1.6,0.98,2.58
Tahaad Pettiford,Auburn,2.08,0.5,2.58
Braylon Mullins,UConn,0.97,1.61,2.58
Jordan Derkack,Dayton,1.08,1.49,2.57
Karon Boyd,Wichita St,0.97,1.6,2.57
Bryant Selebangue,Western KY,1.0,1.57,2.57
Javon Bennett,Dayton,1.09,1.48,2.57
Labaron Philon Jr.,Alabama,2.76,-0.19,2.57
Hamed Olayinka,FIU,0.65,1.91,2.56
Miles Heide,San Diego St,0.04,2.52,2.56
Josh Smith,Liberty,1.85,0.71,2.56
Christian Gurdak,Virginia Tech,0.49,2.06,2.55
Kashie Natt,Sam Houston,2.63,-0.08,2.55
Nate Kingz,Syracuse,1.53,1.01,2.54
Braden Frager,Nebraska,2.13,0.41,2.54
Dezdrick Lindsay,Oregon,1.28,1.26,2.54
Anthony Dell'Orso,Arizona,1.98,0.56,2.54
Elijah Chol,UC Irvine,0.71,1.82,2.53
Jacari Lane,Texas A&M,1.72,0.81,2.53
Davion Sykes,S Illinois,0.93,1.6,2.53
Johann Grunloh,Virginia,0.75,1.76,2.51
Andrew Osasuyi,St Bonaventure,1.17,1.34,2.51
Alvaro Folgueiras,Iowa,2.64,-0.14,2.5
Donovan Oday,N Kentucky,2.28,0.22,2.5
Jaden Daughtry,Marist,1.22,1.28,2.5
Fred King,Murray St,2.64,-0.14,2.5
Kory Mincy,George Mason,2.5,0.0,2.5
Kellen Thames,Saint Louis,1.15,1.34,2.49
Marvin McGhee IV,Santa Barbara,1.58,0.9,2.48
Jaylen Petty,Texas Tech,1.21,1.27,2.48
Jean Aranguren,G Washington,2.24,0.24,2.48
Devin Vanterpool,FAU,1.21,1.26,2.47
Javontae Campbell,Bowling Green,0.94,1.53,2.47
Lajae Jones,Florida St,1.44,1.03,2.47
Isaiah West,Belmont,-0.09,2.55,2.46
Aly Khalifa,Louisville,-0.02,2.47,2.45
Brandon Williams,UCLA,1.64,0.81,2.45
Sean Logan,Davidson,0.0,2.45,2.45
Allen Strothers,ETSU,1.06,1.38,2.44
Matt Hodge,Villanova,1.51,0.93,2.44
Martel Williams,CA Baptist,0.6,1.84,2.44
Bryce Harris,Howard,1.02,1.42,2.44
Bangot Dak,Colorado,1.56,0.88,2.44
Tyler Lundblade,Belmont,3.13,-0.69,2.44
Emanuel Prospere II,UC San Diego,1.1,1.33,2.43
Themus Fulks,UCF,2.29,0.14,2.43
Je'Shawn Stevenson,North Texas,0.53,1.9,2.43
Massamba Diop,Arizona St,0.73,1.7,2.43
Ryan Conwell,Louisville,2.14,0.29,2.43
Solo Ball,UConn,1.4,1.03,2.43
Isaiah Jones,South Florida,1.21,1.22,2.43
Simon Majok,Memphis,1.31,1.11,2.42
Marqus Marion,Wake Forest,0.59,1.82,2.41
Christian Hammond,Santa Clara,1.84,0.57,2.41
Bubu Benjamin,G Washington,1.42,0.98,2.4
Jamie Kaiser Jr.,Butler,1.81,0.59,2.4
Amani Lyles,Akron,1.19,1.21,2.4
Darius Acuff Jr.,Arkansas,3.1,-0.7,2.4
Adlan Elamin,Utah State,1.25,1.15,2.4
Teagan Moore,Western KY,2.07,0.32,2.39
Keyshawn Hall,Auburn,2.71,-0.32,2.39
Reece Hagy,IU Indy,1.36,1.02,2.38
Kody Clouet,Winthrop,2.13,0.25,2.38
Jayden Fort,Georgetown,0.77,1.61,2.38
Deshaun Jackson Jr.,Mercyhurst,1.36,1.02,2.38
Kanon Catchings,Georgia,2.46,-0.08,2.38
Peter Suder,Miami OH,2.67,-0.29,2.38
Jake Hall,New Mexico,1.2,1.17,2.37
Robert McCray V,Florida St,1.45,0.92,2.37
Jonathan Beagle,Richmond,1.02,1.35,2.37
Tyler Johnson,Virginia Tech,1.73,0.64,2.37
Tru Washington,Miami,1.64,0.73,2.37
Jaylen Crocker-Johnson,Minnesota,0.51,1.86,2.37
Austin Rapp,Wisconsin,1.0,1.36,2.36
Corey Stephenson,FIU,1.95,0.41,2.36
Garrett Sundra,Notre Dame,-0.29,2.64,2.35
Percy Daniels,Tulane,2.0,0.35,2.35
Sheldon Williams,Texas A&M-CC,1.39,0.96,2.35
Isaac Celiscar,Yale,2.43,-0.08,2.35
Aaron Bradshaw,Memphis,0.97,1.37,2.34
Dion Brown,Saint Louis,1.23,1.11,2.34
Brant Byers,Miami OH,1.95,0.39,2.34
Ugonna Onyenso,Virginia,0.83,1.51,2.34
Nate Johnson,Kansas St,1.85,0.49,2.34
Alton Hamilton IV,E Washington,2.16,0.18,2.34
Zach Cleveland,Liberty,2.17,0.16,2.33
Noah Ross,UNC Wilmington,0.76,1.56,2.32
Chance Westry,UAB,2.07,0.25,2.32
Jamal Fuller,Long Island,1.34,0.98,2.32
Josh Holloway,Texas A&M,1.06,1.26,2.32
Isaac Davis,Utah Valley,1.09,1.22,2.31
Will Heimbrodt,Seattle U,0.2,2.11,2.31
Zach Davis,Memphis,0.99,1.32,2.31
Elijah Fisher,Seton Hall,-0.26,2.57,2.31
Luke Moore,C Arkansas,0.22,2.09,2.31
Matt Van Komen,Marshall,0.46,1.84,2.3
Semetri Carr,California,1.31,0.99,2.3
Max Mackinnon,LSU,2.82,-0.52,2.3
Dillon Hunter,Clemson,0.59,1.71,2.3
Dillan Shaw,Saint Mary's,1.38,0.92,2.3
Dola Adebayo,George Mason,1.58,0.71,2.29
Michael Gray Jr.,Wichita St,0.52,1.77,2.29
Ty Pence,Illinois St,0.87,1.42,2.29
Patton Pinkins,Ole Miss,1.84,0.44,2.28
Leroy Blyden Jr.,Toledo,2.02,0.26,2.28
Peitok Machar,McNeese,1.74,0.54,2.28
Tyler Rolison,Nevada,1.28,1.0,2.28
Bryce Lindsay,Villanova,1.5,0.78,2.28
Brett White II,Oakland,2.4,-0.13,2.27
Josh Rivera,Seton Hall,1.22,1.05,2.27
D'Arrae Goodwin,San Diego,1.36,0.91,2.27
Jaquan Johnson,Bradley,1.75,0.51,2.26
Nate Calmese,Wake Forest,0.57,1.69,2.26
Riley Mulvey,Siena,1.06,1.19,2.25
Eian Elmer,Miami OH,1.9,0.35,2.25
Jurian Dixon,UC Irvine,0.53,1.72,2.25
Kenyon Giles,Wichita St,0.93,1.32,2.25
Samson Aletan,Yale,1.47,0.78,2.25
Corey Floyd Jr.,Providence,2.06,0.18,2.24
Tobe Awaka,Arizona,2.55,-0.31,2.24
Maurice Odum,Arizona St,1.92,0.31,2.23
Tariq Ingraham,Memphis,0.57,1.66,2.23
Casey Simmons,Yale,1.31,0.92,2.23
Emil Skytta,N Dakota St,0.46,1.76,2.22
Lucas Lueth,Penn,0.71,1.51,2.22
Nic McClain,Belmont,0.71,1.51,2.22
Jaden Harris,Kennesaw St,1.35,0.86,2.21
Raysean Seamster,UT Arlington,1.43,0.78,2.21
Noah Meeusen,Arizona St,0.91,1.3,2.21
Chendall Weaver,Texas,3.38,-1.18,2.2
Manie Joses,Davidson,0.4,1.8,2.2
Jordan Mason,Temple,1.19,1.0,2.19
Marquel Sutton,LSU,2.62,-0.43,2.19
Davis Fogle,Gonzaga,1.43,0.76,2.19
Trey Parker,Seton Hall,0.07,2.12,2.19
Jovan Jester Jr.,UC Irvine,-0.53,2.71,2.18
DJ Armstrong Jr.,UMBC,0.45,1.73,2.18
Jacob Wassler,Bellarmine,1.93,0.25,2.18
Kevin Overton,Auburn,1.66,0.51,2.17
Aaron Hunkin-Claytor,Hawai'i,0.12,2.05,2.17
Sam Donald,Bellarmine,2.86,-0.69,2.17
Evans Kipruto,Santa Barbara,0.46,1.71,2.17
Braeden Shrewsberry,Notre Dame,1.42,0.74,2.16
Malachi Palmer,Villanova,1.48,0.67,2.15
Doctor Bradley,Bethune,0.51,1.64,2.15
Alliou Fall,Iona,-1.44,3.58,2.14
Simeon Wilcher,Texas,1.96,0.18,2.14
Jonathan Griman,CA Baptist,1.08,1.05,2.13
Trevan Leonhardt,Utah Valley,0.97,1.15,2.12
Sharron Young,Akron,0.76,1.36,2.12
