Player,Team,Est_Possessions,O_BAPM,D_BAPM,Total_BAPM
Chaz Lanier,Tennessee,662.6,16.68,10.22,26.9
Kobe Elvis,Oklahoma,346.6,20.93,5.94,26.87
Tobe Awaka,Arizona,436.7,20.98,5.89,26.87
Isaiah Brown,Florida,9.4,14.02,12.83,26.85
Bennett Andersen,Florida,0.5,13.97,12.85,26.82
Kajus Kublickas,Florida,4.5,13.94,12.87,26.81
Cooper Josefsberg,Florida,0.0,13.89,12.89,26.78
Denver Jones,Auburn,642.4,13.09,13.68,26.77
Xavier Booker,Michigan St,119.0,11.76,15.0,26.76
Nolan Winter,Wisconsin,447.2,14.1,12.64,26.74
Sam Godwin,Oklahoma,288.4,20.62,6.11,26.73
Kwame Evans Jr.,Oregon,356.9,9.51,17.2,26.71
Dayton Forsythe,Oklahoma,208.9,20.69,5.99,26.68
Kur Teng,Michigan St,5.5,11.52,15.16,26.68
Chad Baker-Mazara,Auburn,643.9,14.12,12.55,26.67
TJ Bamba,Oregon,502.9,9.88,16.79,26.67
Zach Hicks,Penn State,335.8,12.68,13.95,26.63
Jackson Shelstad,Oregon,575.8,9.91,16.71,26.62
Jordan Gainey,Tennessee,561.3,16.43,10.18,26.61
Jordan Geronimo,Maryland,209.7,7.02,19.46,26.48
Carter Bryant,Arizona,478.9,20.45,5.91,26.36
D'Marco Dunn,Penn State,277.3,12.22,14.12,26.34
Miles Kelly,Auburn,751.7,13.26,12.86,26.12
DeShawn Harris-Smith,Maryland,215.4,6.15,19.95,26.1
Glenn Taylor Jr.,Oklahoma,181.3,19.63,6.46,26.09
Tahaad Pettiford,Auburn,599.2,13.42,12.65,26.07
Steven Crowl,Wisconsin,595.8,14.14,11.92,26.06
Trey Townsend,Arizona,370.9,19.9,6.15,26.05
Dylan Cardwell,Auburn,483.6,12.36,13.58,25.94
Keeshawn Barthelemy,Oregon,512.7,8.95,16.96,25.91
Anthony Dell'Orso,Arizona,381.3,19.23,6.68,25.91
Luke Northweather,Oklahoma,135.2,19.25,6.63,25.88
Jay Young,Maryland,96.6,5.82,19.98,25.8
Chaney Johnson,Auburn,552.9,12.18,13.6,25.78
Tafara Gapare,Maryland,24.7,5.77,19.94,25.71
Carter Gilmore,Wisconsin,482.0,12.56,13.15,25.71
Jacolb Fredson-Cole,Oklahoma,3.5,18.74,6.9,25.64
Nick Kern Jr.,Penn State,209.9,10.94,14.69,25.63
Kamari McGee,Wisconsin,483.5,12.45,13.17,25.62
Jahmai Mashack,Tennessee,562.7,14.7,10.88,25.58
Jake Moser,Oklahoma,0.0,18.59,6.97,25.56
Lukas Sotell,Maryland,0.0,5.51,20.05,25.56
Ben Murphy,Maryland,0.0,5.48,20.06,25.54
Malachi Palmer,Maryland,6.0,5.49,20.05,25.54
Jadrian Tracey,Oregon,286.0,7.83,17.69,25.52
Freddie Dilione V,Penn State,315.8,10.84,14.6,25.44
Nique Clifford,Colorado St,657.9,16.84,8.55,25.39
Joshua Jefferson,Iowa State,584.8,13.2,12.11,25.31
Brandon Angel,Oregon,303.2,7.66,17.55,25.21
Max Klesmit,Wisconsin,395.3,12.17,12.99,25.16
Igor Milicic Jr.,Tennessee,449.7,13.68,11.42,25.1
Felix Okpara,Tennessee,582.9,14.05,10.99,25.04
Xavier Amos,Wisconsin,189.8,11.7,13.26,24.96
Jack Janicki,Wisconsin,284.8,11.82,13.13,24.95
Cade Phillips,Tennessee,260.8,13.14,11.76,24.9
Conrad Martinez,Arizona,45.9,17.49,7.3,24.79
Ra'Heim Moss,Oregon,138.2,6.56,18.18,24.74
Supreme Cook,Oregon,131.5,6.49,18.13,24.62
Curtis Jones,Iowa State,501.3,12.4,12.15,24.55
Mookie Cook,Oregon,13.3,6.24,18.31,24.55
Chris Moore,Auburn,166.0,9.94,14.49,24.43
Markus Ilver,Wisconsin,8.9,10.63,13.8,24.43
Darlinstone Dubar,Tennessee,163.4,12.59,11.82,24.41
Chris Hodges,Wisconsin,0.0,10.52,13.84,24.36
Daniel Freitag,Wisconsin,0.0,10.5,13.85,24.35
Ja'Heim Hudson,Auburn,54.4,9.91,14.41,24.32
Camren Hunter,Wisconsin,8.0,10.43,13.88,24.31
Jahki Howard,Auburn,29.4,9.82,14.48,24.3
Tamin Lipsey,Iowa State,544.1,11.56,12.72,24.28
Nate Heise,Iowa State,510.1,11.48,12.8,24.28
Milan Momcilovic,Iowa State,571.2,11.43,12.77,24.2
Jahvin Carter,Penn State,59.7,8.11,15.95,24.06
Nick Martinelli,Northwestern,469.4,10.33,13.68,24.01
Kachi Nzeh,Penn State,69.8,8.06,15.92,23.98
Dominick Stewart,Penn State,47.9,7.85,16.05,23.9
Miles Goodman,Penn State,4.0,7.75,16.05,23.8
Bishop Boswell,Tennessee,37.7,11.5,12.28,23.78
Dishon Jackson,Iowa State,346.6,10.77,13.01,23.78
Campbell Duncan,Tennessee,0.0,11.4,12.35,23.75
