Player,Team,Est_Possessions,O_BAPM,D_BAPM,Total_BAPM
Brandon Jennings,VCU,155.3,0.45,6.4,6.85
Marcus Rigsby Jr.,Troy,340.3,-2.28,9.12,6.84
Richie Springs,Quinnipiac,100.1,2.93,3.91,6.84
Rytis Petraitis,California,466.0,7.55,-0.72,6.83
Robby Beasley,San Francisco,204.5,2.73,4.1,6.83
Cooper Campbell,Troy,217.3,-2.69,9.51,6.82
Ryan Mabrey,Quinnipiac,113.5,2.88,3.94,6.82
Atiki Ally Atiki,New Mexico,58.2,-1.88,8.7,6.82
T.J. Weeks Jr.,Rider,459.2,13.66,-6.87,6.79
Braden Appelhans,New Mexico,72.0,-1.87,8.66,6.79
Dug McDaniel,Kansas St,497.5,-2.52,9.29,6.77
Christian Fermin,VCU,260.8,0.46,6.31,6.77
Ofure Ujadughele,UC Irvine,211.5,-0.7,7.46,6.76
James O'Donnell,San Francisco,124.7,2.59,4.15,6.74
Dorian McMillian,Jackson St,433.0,2.52,4.2,6.72
Brody Limric,C Connecticut,6.0,-2.7,9.42,6.72
Jakevion Buckley,SE Louisiana,352.8,9.39,-2.68,6.71
Jordan Derkack,Rutgers,71.0,7.8,-1.1,6.7
Jordan Johnson,Southern,269.2,0.91,5.77,6.68
Max Jones,Kansas St,435.4,-2.88,9.55,6.67
Tylan Pope,Texas St,344.8,9.4,-2.75,6.65
DaMariee Jones,Southern,207.3,1.15,5.5,6.65
Earl Timberlake,Bryant,616.5,-1.37,8.02,6.65
James Jones,C Connecticut,0.0,-2.85,9.49,6.64
Grant Randall,Quinnipiac,127.4,2.57,4.07,6.64
Terrence Brown,FDU,486.4,-1.01,7.63,6.62
Ruot Bijiek,Bucknell,382.7,4.9,1.71,6.61
Jason Drake,Drexel,352.8,1.49,5.12,6.61
Cam Amboree,Southern,230.6,0.89,5.7,6.59
Ja'Sean Jackson,Lamar,352.2,-1.32,7.9,6.58
Elijah Chol,UC Irvine,43.8,-1.09,7.66,6.57
Jason Rivera-Torres,San Francisco,41.5,2.32,4.25,6.57
Ibrahima Sacko,New Mexico,22.9,-2.26,8.82,6.56
Luke Jungers,Iona,391.8,-2.16,8.71,6.55
Michael Belle,VCU,121.4,-0.05,6.6,6.55
Ben Egbo,UC Irvine,155.0,-1.05,7.58,6.53
Styles Phipps,Grand Canyon,90.4,2.06,4.47,6.53
Sam Hines Jr.,SE Louisiana,377.5,9.42,-2.9,6.52
Emmanuel Ogbole,Rutgers,37.4,7.47,-0.96,6.51
Comeh Emuobor,Iona,291.2,-1.96,8.46,6.5
Tytan Anderson,Northern Iowa,353.6,2.19,4.31,6.5
Pape N'Diaye,UNLV,120.7,-1.42,7.92,6.5
Amier Ali,Arizona St,480.5,9.75,-3.26,6.49
Kayde Dotson,New Mexico,22.0,-2.38,8.87,6.49
Quinn Guth,Quinnipiac,2.0,2.2,4.28,6.48
Kintavious Dozier,Grambling,387.2,2.38,4.1,6.48
Victor Valdes,Troy,182.6,-3.02,9.5,6.48
Achile Spadone,Bucknell,394.3,4.65,1.81,6.46
Zek Montgomery,Bradley,422.6,3.26,3.2,6.46
Joe Manning,Southern,188.3,0.65,5.81,6.46
Kam Woods,Robert Morris,573.0,4.44,2.01,6.45
Theo Seng,Troy,159.4,-3.24,9.69,6.45
John Mobley Jr.,Ohio State,423.8,8.56,-2.14,6.42
Dallan Coleman,UCF,484.4,7.01,-0.6,6.41
Joseph Yesufu,West Virginia,295.4,-3.01,9.42,6.41
Clarence Rupert,Iona,312.9,-2.19,8.6,6.41
Sean Stewart,Ohio State,289.0,8.23,-1.83,6.4
Tariq Ingraham,Rider,352.2,13.23,-6.83,6.4
TJ Madlock,Alabama St,584.7,1.07,5.33,6.4
Shane Blakeney,Drexel,235.0,1.09,5.28,6.37
Jonathan Powell,West Virginia,377.8,-3.02,9.39,6.37
Amarion Dickerson,Robert Morris,489.5,4.18,2.17,6.35
Berk Can Akin,UC Irvine,118.3,-1.43,7.77,6.34
Randarius Jones,Troy,118.4,-3.35,9.69,6.34
Karl Poom,San Francisco,2.4,1.84,4.48,6.32
Jalen Barr,Iona,218.4,-2.48,8.8,6.32
Drew Ardouin,San Francisco,2.0,1.84,4.48,6.32
Puoch Dobuol,Southern,165.7,0.33,5.98,6.31
Brooklyn Hicks,UNLV,275.5,-1.54,7.85,6.31
Peter Filipovity,New Mexico St,298.2,1.51,4.77,6.28
Coleman Hawkins,Kansas St,277.6,-3.4,9.66,6.26
Demarion Burch,Bradley,226.8,3.02,3.23,6.25
Terrence Hill Jr.,VCU,17.3,-0.62,6.87,6.25
Traivar Jackson,Grand Canyon,0.0,1.58,4.66,6.24
Toby Okani,West Virginia,367.9,-3.24,9.47,6.23
Yame Butler,Drexel,371.7,1.04,5.17,6.21
Dionjahe Thomas,Southern,200.0,0.19,6.02,6.21
Kernan Bundy,Iona,263.5,-2.7,8.91,6.21
Zander Yates,Liberty,136.4,0.67,5.52,6.19
Jeremy Elyzee,SE Louisiana,335.6,8.64,-2.46,6.18
Elvin Edmonds IV,Bucknell,373.0,4.15,2.02,6.17
Joson Sanon,Arizona St,422.6,9.68,-3.52,6.16
Isaiah Cottrell,UNLV,69.8,-2.05,8.2,6.15
Miro Little,Utah,189.2,2.13,4.01,6.14
Bismark Nsiah,FDU,391.0,-2.19,8.33,6.14
Andre Nunley,Southern,259.5,0.2,5.92,6.12
Jamichael Stillwell,Milwaukee,327.2,4.77,1.35,6.12
Brett Decker Jr.,Liberty,30.4,0.49,5.62,6.11
James Flippin,Grambling,306.7,1.66,4.38,6.04
Dedan Thomas Jr.,UNLV,57.6,-2.25,8.28,6.03
CJ Hines,Alabama St,576.3,-0.23,6.26,6.03
Eduardo Andre,West Virginia,178.7,-3.81,9.83,6.02
Danquez Dawsey,Lamar,210.9,-2.31,8.33,6.02
Brody Rowbury,SE Louisiana,320.4,8.39,-2.38,6.01
Corey Thomas,Bradley,164.0,2.68,3.33,6.01
Jerry Deng,Florida St,215.2,4.34,1.66,6.0
PJ Eason,Grambling,356.7,1.5,4.48,5.98
Zion Cruz,Rider,402.8,12.38,-6.4,5.98
DeJuan Campbell,California,40.3,6.13,-0.15,5.98
Brendan Hausen,Kansas St,374.0,-3.8,9.77,5.97
Jerrell Bellamy,Troy,29.4,-4.01,9.96,5.95
Justin Menard,Iona,348.5,-2.32,8.27,5.95
Jovan Blacksher Jr.,California,368.9,6.28,-0.35,5.93
DeMarion Yap,UNLV,7.4,-2.46,8.37,5.91
Maurice Odum,Pepperdine,390.8,10.59,-4.68,5.91
Josh Omojafo,Robert Morris,480.5,3.41,2.46,5.87
Daquan Davis,Florida St,333.5,4.27,1.59,5.86
Hunter Erickson,Utah,162.6,1.67,4.17,5.84
Tyrel Morgan,Texas St,315.1,8.13,-2.3,5.83
Braydon Whitaker,Troy,4.0,-4.3,10.11,5.81
Cody Pennebaker,Lamar,282.3,-2.39,8.2,5.81
Ray'Sean Taylor,SIUE,446.2,4.77,1.01,5.78
Mikale Stevenson,Grambling,336.7,1.55,4.23,5.78
Kerrington Kiel,Troy,23.6,-4.32,10.09,5.77
Mason Madsen,Utah,82.3,1.5,4.26,5.76
Barry Evans,Bryant,577.9,-2.8,8.54,5.74
Errol White,Lamar,352.7,-2.81,8.55,5.74
Zach Keller,Utah,132.8,1.31,4.4,5.71
AJ Barnes,Southern,57.7,-0.64,6.35,5.71
Tamarion Hoover,Jackson St,137.5,-0.01,5.71,5.7
JJ Taylor,UCF,154.6,5.84,-0.14,5.7
Mikey Williams,UCF,198.2,6.11,-0.43,5.68
Adam Miller,Arizona St,364.8,8.34,-2.67,5.67
Themus Fulks,Milwaukee,396.2,4.29,1.38,5.67
Taylor Bol Bowen,Florida St,377.0,4.06,1.61,5.67
Justin Thomas,Florida St,294.8,3.84,1.83,5.67
Ugonna Onyenso,Kansas St,182.0,-4.53,10.18,5.65
Malachi McReed,Southern,40.1,-0.77,6.4,5.63
Stefan Todorovic,Pepperdine,364.4,9.92,-4.29,5.63
Gabriel McKay,Liberty,62.1,-0.24,5.87,5.63
C.J. Jones,Kansas St,245.8,-4.58,10.2,5.62
Dola Adebayo,Mount St Marys,635.4,2.03,3.59,5.62
Bryson Spell,Liberty,0.5,-0.41,6.02,5.61
Almar Atlason,Bradley,294.1,2.14,3.44,5.58
KJ Tenner,West Virginia,156.4,-4.63,10.2,5.57
Micah Thomas,N'Western St,375.7,6.8,-1.23,5.57
Dior Johnson,UCF,201.6,6.13,-0.56,5.57
Cowandric Samuel,Jackson St,31.7,-0.34,5.86,5.52
Connor Dillon,Bradley,70.5,1.72,3.78,5.5
DJ Smith,Robert Morris,461.3,2.31,3.18,5.49
Timoty van der Knaap,Bradley,75.0,1.62,3.86,5.48
Lee Dort,California,143.3,5.32,0.16,5.48
Naithan George,Georgia Tech,597.3,-2.82,8.3,5.48
David Castillo,Kansas St,124.6,-4.88,10.35,5.47
Mobi Ikegwuruka,Kansas St,102.2,-4.97,10.44,5.47
Benny Williams,UCF,219.6,5.73,-0.27,5.46
Victor Panov,Drexel,243.0,-0.79,6.24,5.45
Aaron Bradshaw,Ohio State,126.4,6.8,-1.35,5.45
BJ Freeman,Arizona St,191.0,8.11,-2.67,5.44
Ebo Wilson,Jackson St,5.5,-0.48,5.92,5.44
Christian Winborne,Iona,32.5,-3.93,9.37,5.44
Addison Patterson,N'Western St,330.4,6.25,-0.82,5.43
Ruben Rodriguez Jr.,Rider,326.6,11.34,-5.92,5.42
Joseph Pinion,Arkansas St,482.8,3.69,1.71,5.4
Pip Ajayi,Bucknell,146.3,2.88,2.52,5.4
Delyle Williams,Jackson St,22.3,-0.56,5.95,5.39
Jojo Wallace,Iona,3.0,-4.06,9.43,5.37
Jayce Depron,Southern,5.0,-1.25,6.62,5.37
Josh Michigan,Iona,5.0,-4.08,9.44,5.36
Trey Campbell,Northern Iowa,379.0,0.22,5.13,5.35
Sam Hennessy,Bradley,0.0,1.41,3.92,5.33
Caleb Lohner,Utah,57.6,0.69,4.64,5.33
Duncan Powell,Georgia Tech,577.9,-2.99,8.32,5.33
Cade Hardtke,Bradley,0.0,1.41,3.92,5.33
Evan Mahaffey,Ohio State,140.2,6.51,-1.18,5.33
Dylan Canoville,Jackson St,17.4,-0.61,5.93,5.32
Trevor Best,Arizona St,222.3,7.89,-2.58,5.31
Jacob Hogarth,Iona,28.0,-4.15,9.45,5.3
Chandler Jackson,Florida St,363.4,3.3,1.98,5.28
Alier Maluk,Florida St,166.6,3.22,2.06,5.28
Ques Glover,Ohio State,133.0,6.4,-1.12,5.28
Kentrell Pullian,Milwaukee,252.8,3.29,1.99,5.28
Marcus Watson Jr.,Jackson St,8.4,-0.72,5.99,5.27
Terrance Dixon Jr.,Lamar,81.1,-3.5,8.76,5.26
Amarr Knox,Alabama St,506.5,-0.74,5.95,5.21
Brandon McCreesh,Bucknell,229.9,2.67,2.54,5.21
Dallas Hobbs,Mount St Marys,631.2,1.35,3.84,5.19
Jayden Barrs,Lamar,107.4,-3.7,8.89,5.19
Boubacar Coulibaly,Pepperdine,254.3,9.17,-3.98,5.19
Rokas Jocius,UCF,27.3,5.07,0.12,5.19
Taryn Todd,Arkansas St,461.4,3.61,1.55,5.16
Macaleab Rich,Kansas St,49.8,-5.49,10.65,5.16
Dovydas Butka,Pepperdine,327.0,9.2,-4.04,5.16
Bostyn Holt,Florida St,126.7,2.97,2.19,5.16
Nick Townsend,Yale,542.0,4.15,0.99,5.14
Haris Elezovic,West Virginia,3.0,-5.32,10.46,5.14
David Early,Radford,248.3,8.35,-3.22,5.13
Zawdie Jackson,New Mexico St,359.0,-0.6,5.71,5.11
Joshua O'Garro,Texas St,349.1,6.81,-1.7,5.11
AJ Swinton,Florida St,118.0,2.91,2.2,5.11
Bez Mbeng,Yale,591.9,3.97,1.12,5.09
Jarvis Moss,Radford,352.2,8.22,-3.16,5.06
Christian Tucker,California,121.2,4.44,0.61,5.05
Villiam Garcia Adsten,Drexel,166.0,-1.29,6.33,5.04
Janko Bulajic,Lamar,62.3,-3.92,8.96,5.04
Kobe Julien,Arkansas St,467.0,2.99,2.04,5.03
D'Ante Bass,Alabama St,349.7,-1.44,6.46,5.02
Cbo Newton,Grambling,261.9,0.02,4.99,5.01
Connor Withers,Bryant,601.1,-4.14,9.14,5.0
Keyshawn Mitchell,Bryant,376.3,-3.93,8.92,4.99
Christian Cook,New Mexico St,379.9,-0.77,5.76,4.99
Jayden Quaintance,Arizona St,65.9,7.2,-2.23,4.97
AJ McKee,Milwaukee,333.9,2.93,2.03,4.96
Truth Harris,Radford,293.9,8.1,-3.16,4.94
Christian Nitu,Florida St,61.2,2.54,2.4,4.94
Ben Schwieger,Northern Iowa,398.2,-0.13,5.05,4.92
Taj Manning,Kansas St,6.0,-5.86,10.77,4.91
Spencer Bain,Kansas St,0.0,-5.9,10.79,4.89
Josiah Harris,Radford,284.8,7.79,-2.91,4.88
Jerald Colonel,N'Western St,250.8,5.18,-0.3,4.88
Kevon Vanderhorst,Drexel,58.3,-1.63,6.48,4.85
Dylan Jones,FDU,325.2,-4.25,9.08,4.83
Love Bettis,N'Western St,303.3,5.37,-0.55,4.82
Adam Clark,Merrimack,542.3,-1.65,6.47,4.82
Jayden Williams,Bucknell,96.5,1.76,3.05,4.81
Coleton Benson,Texas St,184.7,6.19,-1.4,4.79
Rafael Pinzon,Bryant,569.5,-3.96,8.74,4.78
Kvonn Cramer,Bryant,282.7,-4.47,9.22,4.75
Josh Fulton,Bucknell,76.5,1.74,3.01,4.75
Colin White,Ohio State,59.1,5.47,-0.73,4.74
Austin Parks,Ohio State,25.9,5.45,-0.71,4.74
Corey Tripp,Wofford,457.6,8.92,-4.21,4.71
Lou Hutchinson,Grambling,158.8,-0.35,5.06,4.71
Lance Terry,Georgia Tech,529.7,-3.81,8.52,4.71
Joshua Ola-Joseph,California,15.0,3.93,0.78,4.71
Terrance Ford Jr.,Arkansas St,561.2,2.81,1.89,4.7
JaSteven Walker,Alabama St,759.3,-1.8,6.5,4.7
Robert Carpenter,New Mexico St,244.3,-1.35,6.04,4.69
Antwan Burnett,Grambling,229.6,-0.46,5.15,4.69
Jo'el Emanuel,FDU,435.9,-4.09,8.77,4.68
Ivan Njegovan,Ohio State,18.4,5.34,-0.67,4.67
TJ NeSmith,Radford,136.2,7.5,-2.84,4.66
Marquel Sutton,Omaha,490.5,8.62,-3.97,4.65
Spencer Mahoney,California,44.7,3.79,0.86,4.65
Jaron Pierre Jr.,Jax State,765.8,2.49,2.16,4.65
Derrian Ford,Arkansas St,318.5,2.77,1.86,4.63
Vladimir Pavlovic,California,13.3,3.76,0.87,4.63
Bobby Hurley,Arizona St,34.1,6.57,-1.97,4.6
Jason Simpson,Florida St,5.0,1.99,2.6,4.59
Quentin McCoy,Arizona St,0.0,6.56,-1.97,4.59
Brian Taylor II,SIUE,397.5,2.63,1.96,4.59
Ring Malith,SIUE,404.8,2.67,1.91,4.58
Jesse Jones,Florida St,5.0,1.97,2.61,4.58
Chianti Clay,Arizona St,0.0,6.53,-1.96,4.57
Brandon Maclin,Radford,247.6,7.15,-2.6,4.55
Nate Tshimanga,New Mexico St,203.5,-1.72,6.27,4.55
Flash Burton,Rider,354.6,9.95,-5.4,4.55
Emmanuel Tshimanga,New Mexico St,240.2,-1.67,6.21,4.54
Dyondre Dominguez,Arkansas St,245.5,2.33,2.21,4.54
Erik Pratt,Milwaukee,234.3,2.1,2.44,4.54
Brayden Reynolds,FDU,353.6,-4.49,9.02,4.53
Brady Muller,Bucknell,4.0,1.33,3.19,4.52
Ryan Prather Jr.,Robert Morris,269.6,1.1,3.42,4.52
Josh Reed,Drexel,16.8,-2.22,6.72,4.5
Clem Edomwonyin,Drexel,7.0,-2.24,6.73,4.49
Horace Simmons Jr.,Drexel,19.4,-2.23,6.72,4.49
Jacob Hutson,Northern Iowa,279.0,-0.88,5.36,4.48
Ahmed Barba-Bey,FDU,200.9,-4.82,9.3,4.48
Ralph Akuta,Drexel,32.8,-2.27,6.74,4.47
Christian Turner,Texas St,255.1,5.73,-1.27,4.46
Willie Williams,N'Western St,350.4,4.81,-0.37,4.44
Micah Octave,Alabama St,428.9,-2.08,6.5,4.42
Kyler Filewich,Wofford,409.6,9.19,-4.79,4.4
Patrick McMahon,Montana St,256.5,6.11,-1.71,4.4
John Poulakidas,Yale,541.3,2.93,1.47,4.4
Jedy Cordilia,Mount St Marys,639.8,0.59,3.8,4.39
Jay Alvarez,Rider,217.7,9.76,-5.37,4.39
Ernest Ross,Grambling,111.6,-1.0,5.38,4.38
Carter Welling,Utah Valley,402.4,5.01,-0.63,4.38
Kam Burton,SE Louisiana,197.3,5.6,-1.23,4.37
P.J. Edwards,Grambling,231.0,-0.92,5.29,4.37
Micah Simpson,Alabama St,279.2,-2.37,6.73,4.36
Xavier Lipscomb,Mount St Marys,700.5,0.41,3.91,4.32
Jabe Mullins,Montana St,307.3,6.13,-1.82,4.31
Arlandus Keyes,Mount St Marys,370.7,-0.26,4.56,4.3
Jameel Morris,FDU,297.3,-4.86,9.15,4.29
Dionte Bostick,New Mexico St,171.5,-2.12,6.4,4.28
Tanner Toolson,Utah Valley,482.3,5.15,-0.88,4.27
John Lovelace Jr.,Milwaukee,156.7,1.6,2.66,4.26
Jaiden Lawrence,SE Louisiana,208.2,5.23,-1.02,4.21
Isaiah Gaines,Radford,263.7,6.56,-2.36,4.2
Jackson Sivills,Wofford,372.9,8.23,-4.03,4.2
Ibu Yamazaki,Radford,182.4,6.52,-2.33,4.19
Ismael Plet,Robert Morris,177.3,0.45,3.71,4.16
Mark Drone,Texas St,250.0,5.17,-1.01,4.16
Max Weisbrod,Northern Iowa,372.5,-1.72,5.83,4.11
Zion Bethea,Pepperdine,197.5,7.52,-3.41,4.11
Danilo Dožic,Pepperdine,338.4,7.42,-3.32,4.1
Marcus Adams Jr.,CSU Northridge,436.2,4.42,-0.33,4.09
Kyle Edison,SE Louisiana,127.4,5.1,-1.01,4.09
Cole McCabe,Rider,59.6,9.0,-4.93,4.07
Keonte Jones,CSU Northridge,491.0,4.6,-0.53,4.07
Ubong Okon,Alabama St,288.0,-3.13,7.18,4.05
Jaeden Mustaf,Georgia Tech,351.3,-5.17,9.19,4.02
Carlos Paez,SE Louisiana,158.9,5.09,-1.07,4.02
Jakai Robinson,Bryant,271.6,-5.7,9.71,4.01
Shawn Fulcher,Alabama St,181.5,-2.86,6.83,3.97
Aaron Franklin,Milwaukee,166.5,1.2,2.76,3.96
Ife West-Ingram,Rider,72.0,8.84,-4.91,3.93
Arnas Sakenis,SIUE,167.5,1.35,2.58,3.93
Dupree Fletcher,Grambling,39.2,-1.83,5.75,3.92
Sam Lecholat,Montana St,336.7,5.28,-1.37,3.91
Justin Bailey,Wofford,406.7,7.81,-3.92,3.89
Jon Sanders II,N'Western St,191.0,3.53,0.35,3.88
Emeka Nnaji,Grambling,40.1,-1.88,5.75,3.87
Casey Simmons,Yale,494.9,1.59,2.28,3.87
Faizon Fields,Milwaukee,175.5,0.85,3.0,3.85
Gabe Pickens,New Mexico St,106.8,-2.84,6.69,3.85
Emareyon McDonald,Grambling,31.8,-1.93,5.78,3.85
JJ White,Omaha,436.4,7.11,-3.29,3.82
Al Green,Louisiana Tech,333.9,1.65,2.16,3.81
Dylan Dawson,Texas St,168.1,4.38,-0.61,3.77
Tyler Mack,Alabama St,186.1,-3.41,7.17,3.76
Kyle Thomas,SIUE,222.7,1.25,2.51,3.76
Landyn Jumawan,N'Western St,279.4,3.63,0.12,3.75
Zocko Littleton Jr.,Rider,36.2,8.42,-4.67,3.75
Carmelo Pacheco,Mount St Marys,362.8,-0.55,4.28,3.73
Cameron Tweedy,FDU,60.8,-6.09,9.81,3.72
Myles Thompson,SIUE,225.2,1.08,2.61,3.69
Jonas Sirtautas,Radford,73.3,5.73,-2.04,3.69
Tyler Patterson,Montana St,326.9,5.08,-1.42,3.66
Jed Miller,Montana St,177.5,4.77,-1.12,3.65
Zion Walker,Radford,12.0,5.6,-1.98,3.62
Maxime Raynaud,Stanford,589.4,1.92,1.68,3.6
Carl Cherenfant,New Mexico St,6.0,-3.28,6.88,3.6
JT Warren,N'Western St,129.2,3.11,0.48,3.59
Ibrahim Souare,Georgia Tech,247.5,-6.19,9.76,3.57
Brandon Walker,Montana St,167.5,4.82,-1.27,3.55
Jaden Harris,New Mexico St,196.7,-3.4,6.94,3.54
Terrell Ard Jr.,Mount St Marys,160.2,-1.27,4.81,3.54
Jacari Lane,North Alabama,529.0,6.94,-3.4,3.54
Will Hornseth,Northern Iowa,146.1,-2.61,6.12,3.51
Javon Ervin,Mount St Marys,296.9,-1.52,5.03,3.51
Kaden Gumbs,Texas St,95.5,3.98,-0.48,3.5
Andre Young,Rider,8.4,8.04,-4.55,3.49
Ahmed Essahaty,SE Louisiana,61.6,4.02,-0.53,3.49
Essam Mostafa,MTSU,498.5,7.55,-4.07,3.48
Tyriek Weeks,Rider,2.5,8.01,-4.53,3.48
Isaac Celiscar,Yale,345.0,1.29,2.18,3.47
Chris Ford,Robert Morris,42.6,-0.78,4.24,3.46
Lamar Wilkerson,Sam Houston,474.9,6.6,-3.15,3.45
Bryan Etumnu,Merrimack,497.6,-4.0,7.44,3.44
Chace Davis,Radford,53.7,5.3,-1.86,3.44
Max Agbonkpolo,Montana St,287.8,4.79,-1.36,3.43
Josiah Francis,FDU,59.2,-6.54,9.96,3.42
Drue Drinnon,Texas St,205.4,3.86,-0.44,3.42
Cael Schmitt,Northern Iowa,163.6,-2.76,6.17,3.41
Jeremy Lorenz,Wofford,258.6,6.86,-3.45,3.41
Samson Aletan,Yale,320.6,0.63,2.77,3.4
Ryan Elzy,SE Louisiana,7.4,3.86,-0.46,3.4
Justin Redmond,N'Western St,110.2,2.78,0.59,3.37
Darius Duffy,Milwaukee,134.1,0.18,3.19,3.37
Jalen Sullinger,Kent State,694.5,7.25,-3.88,3.37
Dilen Miller,Robert Morris,11.9,-1.0,4.37,3.37
Parsa Fallah,Oregon St,330.2,11.69,-8.32,3.37
Asher Boney,SE Louisiana,14.0,3.8,-0.43,3.37
Nate Deer,Texas St,60.6,3.7,-0.38,3.32
Kaden Cooper,Louisiana Tech,328.8,0.82,2.49,3.31
Quimari Peterson,ETSU,346.6,3.15,0.15,3.3
Cam Carter,LSU,482.1,4.16,-0.86,3.3
Jalen Haynes,George Mason,482.2,1.03,2.27,3.3
Jalen Keago,Alabama St,0.5,-4.27,7.55,3.28
Jaxon Olvera,Pepperdine,90.2,5.95,-2.67,3.28
Danilo Jovanovich,Milwaukee,52.8,-0.08,3.35,3.27
Austin Green,Texas St,63.0,3.53,-0.27,3.26
Damarco Minor,Oregon St,366.8,11.46,-8.2,3.26
Taye Fields,North Alabama,461.6,6.25,-3.0,3.25
Darrion Sutton,Georgia Tech,212.4,-6.77,10.02,3.25
Masiah Gilyard,Manhattan,510.6,6.19,-2.94,3.25
Dominick Nelson,Utah Valley,441.7,3.13,0.11,3.24
Rashaud Marshall,Arkansas St,84.9,0.19,3.05,3.24
Scotty Washington,CSU Northridge,522.3,3.33,-0.1,3.23
Amaree Abram,Louisiana Tech,397.4,0.76,2.46,3.22
Daniel Batcho,Louisiana Tech,354.7,1.06,2.15,3.21
Brashon Hall,FDU,0.0,-6.94,10.15,3.21
Mahmoud Fofana,CSU Northridge,395.8,3.04,0.16,3.2
Devin Dinkins,Manhattan,529.0,5.85,-2.66,3.19
AK Okereke,Cornell,398.5,9.18,-6.02,3.16
Tony Felder,Radford,4.0,4.82,-1.66,3.16
Alonso Faure,Pepperdine,53.4,5.76,-2.61,3.15
Trevan Leonhardt,Utah Valley,415.1,2.91,0.2,3.11
Jordan Pickett,SIUE,161.6,-0.12,3.22,3.1
Michael Rataj,Oregon St,366.3,11.32,-8.23,3.09
Bryce Zephir,Montana St,316.2,4.29,-1.21,3.08
Eddie Lampkin Jr.,Syracuse,394.4,9.88,-6.8,3.08
Trey Bonham,Chattanooga,722.4,7.93,-4.86,3.07
Delrecco Gillespie,Kent State,566.6,6.39,-3.33,3.06
Avery Felts,Arkansas St,79.6,-0.18,3.24,3.06
Bessanty Saragba,Texas St,33.9,3.24,-0.19,3.05
Chris Mubiru,N'Western St,42.7,2.19,0.84,3.03
Mason Nicholson,Jax State,516.9,-0.63,3.66,3.03
J.C. Riley Jr.,N'Western St,42.3,2.24,0.79,3.03
Tony Osburn,Omaha,441.6,5.71,-2.7,3.01
Wesley Robinson,Manhattan,504.7,5.74,-2.73,3.01
Esyah Pippa-White,Milwaukee,0.5,-0.55,3.55,3.0
Chase Walker,Illinois St,487.1,7.12,-4.13,2.99
Cody Head,Arkansas St,3.9,-0.31,3.3,2.99
Declan Dillon,SIUE,146.4,-0.19,3.17,2.98
Jaland Lowe,Pitt,425.1,-0.96,3.94,2.98
Robert Miller III,LSU,235.8,3.74,-0.77,2.97
Javian McCollum,Georgia Tech,35.0,-7.2,10.16,2.96
Malcolm Dread,Mount St Marys,96.8,-2.2,5.14,2.94
Ante Brzovic,Charleston,405.0,1.89,1.05,2.94
Jaylen Jones,Texas St,0.0,3.0,-0.06,2.94
Josiah Lake II,Oregon St,323.4,10.66,-7.74,2.92
Tyler Beard,CSU Northridge,408.2,2.64,0.28,2.92
Marcellus Brigham Jr.,Jax State,534.7,-1.07,3.99,2.92
Ishmael Leggett,Pitt,449.7,-1.32,4.24,2.92
Zae Blake,Wagner,184.1,-3.8,6.67,2.87
Dillon Bailey,Wofford,430.3,6.38,-3.53,2.85
Kam Farris,Bryant,37.2,-7.66,10.51,2.85
Ryan Mutombo,Georgia Tech,15.4,-7.4,10.23,2.83
J.J. Starling,Syracuse,435.9,9.12,-6.31,2.81
Patrick Haigh,Mount St Marys,92.1,-2.48,5.28,2.8
Quel'Ron House,Jax State,598.3,-0.74,3.53,2.79
Josh Hill,Arkansas St,1.0,-0.68,3.46,2.78
DeAndre Craig Jr.,Denver,238.2,1.85,0.93,2.78
Jackson Holcombe,Utah Valley,218.4,2.39,0.37,2.76
Desmond Polk,SIUE,357.8,-0.05,2.81,2.76
Chika Nduka,Montana St,100.9,3.38,-0.63,2.75
Alex Leiba,Pepperdine,13.0,5.02,-2.29,2.73
Dalton Banks,Illinois St,586.9,6.75,-4.03,2.72
Redek Born,Northern Iowa,14.5,-4.04,6.74,2.7
Kyle Pock,Northern Iowa,68.8,-3.96,6.66,2.7
Mike Saunders Jr.,Pepperdine,5.0,4.96,-2.27,2.69
Dantwan Grimes,Tarleton St,289.3,0.11,2.58,2.69
Leon Bond III,Northern Iowa,18.9,-4.05,6.73,2.68
Trey Wilson,Mount St Marys,49.3,-2.66,5.33,2.67
Koree Cotton,Jax State,567.9,-1.32,3.98,2.66
Sebastian Akins,Denver,183.5,1.66,1.0,2.66
Sean Newman Jr.,Louisiana Tech,345.3,-0.17,2.82,2.65
Marquis Barnett,Kent State,495.5,4.81,-2.17,2.64
Sean Trumper,Merrimack,472.4,-5.25,7.88,2.63
Oziyah Sellers,Stanford,598.9,-0.26,2.88,2.62
Brian Goracke,Montana St,136.1,3.06,-0.45,2.61
Kahmare Holmes,Wofford,220.7,5.67,-3.07,2.6
Daimion Collins,LSU,298.8,3.0,-0.44,2.56
Javier Ezquerra,Wagner,316.1,-4.29,6.83,2.54
Zaire Williams,Wagner,272.7,-4.26,6.8,2.54
R.J. Greene,Wagner,128.6,-4.39,6.93,2.54
Corneilous Williams,North Alabama,443.1,5.01,-2.48,2.53
Camryn Weston,MTSU,532.9,5.74,-3.21,2.53
Taj Au-Duke,Pepperdine,34.8,4.78,-2.26,2.52
Liutauras Lelevicius,Oregon St,335.3,10.29,-7.77,2.52
Michael Houge,Jax State,400.0,-0.96,3.47,2.51
Tyler Lundblade,Belmont,425.1,-1.36,3.81,2.45
