Player,Team,O_BAPM,D_BAPM,Total_BAPM
Jayson Petty,Kansas City,-1.36,0.53,-0.83
Ques Glover,Ohio State,-0.73,-0.1,-0.83
Latif Diouf,Chattanooga,-0.46,-0.37,-0.83
Anquan Hill,Sacred Heart,-0.81,-0.02,-0.83
Jamie Phillips Jr.,Stetson,0.5,-1.34,-0.84
Luke Northweather,Oklahoma,-0.2,-0.64,-0.84
Jaylen Smith,North Florida,-0.45,-0.39,-0.84
Chol Marial,San José St,-0.64,-0.2,-0.84
Tajuan Simpkins,Elon,-0.73,-0.11,-0.84
Jacob Cofie,Virginia,-0.54,-0.3,-0.84
Andrew McConnell,SC Upstate,-0.29,-0.56,-0.85
Owen Aquino,Liberty,-0.63,-0.22,-0.85
Arne Osojnik,E Michigan,0.12,-0.97,-0.85
Matúš Hronský,Duquesne,-0.59,-0.26,-0.85
David Simon,San Diego,-0.3,-0.55,-0.85
Tobi Lawal,Virginia Tech,-1.41,0.56,-0.85
Luke Davis,New Orleans,-0.45,-0.4,-0.85
Josh Dix,Iowa,0.35,-1.2,-0.85
Malick Diallo,TCU,-1.38,0.53,-0.85
Sione Lose,UC Davis,-0.4,-0.46,-0.86
Julius Rollins,W Illinois,-0.3,-0.56,-0.86
Takai Simpkins,Elon,-0.33,-0.53,-0.86
Zion Fruster,E Illinois,-0.88,0.02,-0.86
Jaylen Dorsey,Western KY,-0.3,-0.56,-0.86
Corey Hadnot II,Purdue FW,-1.49,0.63,-0.86
Jaiun Simon,Dayton,-0.69,-0.17,-0.86
Houston Emory,Delaware,-0.17,-0.69,-0.86
Jawarie Hamelin,New Hampshire,-0.92,0.06,-0.86
Major Freeman,Siena,-0.06,-0.8,-0.86
Dontaie Allen,Wyoming,-0.9,0.04,-0.86
Rashaud Marshall,Arkansas St,-0.77,-0.09,-0.86
Shahar Lazar,Gardner-Webb,-0.2,-0.66,-0.86
Joshua DeCady,Hofstra,-0.88,0.02,-0.86
Joe Munden Jr.,N Illinois,-0.73,-0.14,-0.87
Michael Zanoni,Penn,0.13,-1.0,-0.87
Jordan Meka,Monmouth,-0.35,-0.53,-0.88
Saadiq Moore,Weber St,-1.04,0.16,-0.88
Matt Allocco,Notre Dame,-0.56,-0.32,-0.88
TJ Nadeau,Detroit Mercy,-0.04,-0.84,-0.88
Ralph Martino Jr.,MD Eastern,-0.46,-0.42,-0.88
Godswill Erheriene,Seton Hall,-1.52,0.64,-0.88
Michael McNair,Boston U,-0.25,-0.63,-0.88
Caleb Lohner,Utah,-0.81,-0.07,-0.88
Isaac Harrell,Elon,-0.07,-0.81,-0.88
Darrick Jones Jr.,Le Moyne,-0.04,-0.84,-0.88
Blane St. Clair,Army,-0.52,-0.36,-0.88
Jackson Hicke,Princeton,-0.38,-0.51,-0.89
Deon Perry,Fairfield,-1.49,0.6,-0.89
Cam'Ron Brown,Coppin St,-0.97,0.08,-0.89
Nick Pringle,South Carolina,-0.41,-0.48,-0.89
George Smith,Penn,0.21,-1.1,-0.89
Dorian McMillian,Jackson St,0.17,-1.06,-0.89
Grgur Brcic,Toledo,-0.77,-0.12,-0.89
Shane Nowell,Portland St,-1.08,0.18,-0.9
Bensley Joseph,Providence,-0.11,-0.79,-0.9
Zachary Reinhart,AR-Pine Bluff,-0.99,0.09,-0.9
Jaylen Colon,Alabama A&M,-0.34,-0.57,-0.91
Isaac McKneely,Virginia,0.11,-1.02,-0.91
Tyshawn Archie,Tulsa,-0.66,-0.25,-0.91
Niklas Polonowski,Penn,-0.24,-0.67,-0.91
De'Shayne Montgomery,Georgia,-0.27,-0.64,-0.91
Moses Horne,Miss Valley St,-0.81,-0.1,-0.91
Regimantas Ciunys,UMBC,-0.05,-0.86,-0.91
Rasheed Bello,Purdue FW,-0.95,0.04,-0.91
Jamarii Thomas,South Carolina,-0.32,-0.59,-0.91
Luke Wilson,App State,-0.88,-0.03,-0.91
Ben Burnham,Virginia Tech,-0.57,-0.34,-0.91
Ryan Curry,Army,-0.64,-0.27,-0.91
Desmond Polk,SIUE,-0.1,-0.82,-0.92
Damari Monsanto,UTSA,-0.58,-0.34,-0.92
Mier Panoam,North Dakota,-0.26,-0.66,-0.92
Robert Wright III,Baylor,-0.17,-0.75,-0.92
Tae Davis,Notre Dame,-0.09,-0.83,-0.92
Bryce Eaton,Saint Peter's,-1.24,0.32,-0.92
Nikolaos Chitikoudis,NC A&T,-1.12,0.2,-0.92
Berke Buyuktuncel,Nebraska,-2.01,1.09,-0.92
AJ Ferguson,Murray St,-0.97,0.05,-0.92
Kolton Mitchell,Idaho,-0.03,-0.89,-0.92
Giovanni Emejuru,George Mason,-1.06,0.14,-0.92
Travis Roberts,Marist,-0.85,-0.07,-0.92
Daniel Egbuniwe,Tennessee Tech,-1.54,0.61,-0.93
Tyler Johnson,Mercer,-0.94,0.01,-0.93
Kaden Stuckey,VMI,-0.82,-0.11,-0.93
Curtis Givens III,LSU,-0.68,-0.25,-0.93
Travis Perry,Kentucky,-0.73,-0.2,-0.93
Mike Mitchell Jr.,Minnesota,-0.64,-0.29,-0.93
Daniel Batcho,Louisiana Tech,-0.88,-0.05,-0.93
Antoni Siewruk,New Hampshire,-0.84,-0.09,-0.93
Braeden Speed,Loyola MD,-0.27,-0.67,-0.94
Connor Kochera,Davidson,-0.5,-0.44,-0.94
Legend Geeter,Detroit Mercy,-0.18,-0.76,-0.94
Aiden Tobiason,Temple,0.18,-1.12,-0.94
Hunter Erickson,Utah,0.02,-0.96,-0.94
Elijah Price,Fresno St,-0.41,-0.53,-0.94
Josue Grullon,UT Martin,-0.45,-0.49,-0.94
Chevalier Emery,W Carolina,-0.76,-0.18,-0.94
Michael Thomas,Louisiana,-1.14,0.2,-0.94
Zoom Diallo,Washington,-0.23,-0.71,-0.94
Payton Sparks,Ball State,-0.49,-0.45,-0.94
Sola Adebisi,The Citadel,-0.64,-0.31,-0.95
Mylyjael Poteat,Virginia Tech,-0.53,-0.42,-0.95
Jordan Mason,UIC,-0.8,-0.15,-0.95
TJ Berger,Lafayette,-0.73,-0.22,-0.95
Gerard O'Keefe,Columbia,-0.08,-0.87,-0.95
Jordan Tillmon,Prairie View,-0.71,-0.24,-0.95
Bryce Zephir,Montana St,-0.26,-0.69,-0.95
Jonathan Aybar,FIU,-1.13,0.18,-0.95
CJ Gunn,DePaul,-0.26,-0.7,-0.96
Gus Yalden,Seton Hall,-0.57,-0.39,-0.96
Eze Wali,The Citadel,-0.61,-0.35,-0.96
Tomas Thrastarson,Washington St,-0.04,-0.92,-0.96
Luka Damjanac,UMass,-0.03,-0.93,-0.96
Travis Harper II,Tennessee St,-0.66,-0.3,-0.96
Rich Barron,Providence,-0.83,-0.13,-0.96
Morez Johnson Jr.,Illinois,-0.3,-0.66,-0.96
Zion Stanford,Temple,0.17,-1.13,-0.96
Shelton Williams-Dryden,West Georgia,-0.3,-0.66,-0.96
Philip Byriel,Princeton,-0.59,-0.37,-0.96
Nigel Burris,Weber St,-1.06,0.09,-0.97
Darryl Simmons II,Gardner-Webb,-0.24,-0.73,-0.97
Malik Henry,UNC Greensboro,-0.66,-0.31,-0.97
Malik Lamin,Southern Utah,-1.09,0.12,-0.97
Samson Johnson,UConn,-0.12,-0.85,-0.97
Bobby Durkin,Davidson,-0.29,-0.68,-0.97
Nate Calmese,Washington St,-0.33,-0.64,-0.97
Landyn Jumawan,N'Western St,-0.75,-0.22,-0.97
Santiago Trouet,San Diego,-0.77,-0.21,-0.98
Jaden House,Rhode Island,-0.18,-0.8,-0.98
Paul McNeil Jr.,NC State,-0.18,-0.8,-0.98
Jalen Weaver,Fresno St,-0.5,-0.48,-0.98
David Thomas,DePaul,-0.22,-0.76,-0.98
Dra Gibbs-Lawhorn,Illinois,-0.4,-0.58,-0.98
Anthony Selden,Gardner-Webb,-0.24,-0.75,-0.99
Vianney Salatchoum,FIU,-0.86,-0.13,-0.99
Vice Zanki,E Washington,-0.91,-0.08,-0.99
Jermaine Washington,San José St,-0.78,-0.21,-0.99
Evan Haywood,Butler,-0.2,-0.79,-0.99
Kody Williams,Hawai'i,-0.61,-0.38,-0.99
Aaron McBride,LMU,-0.37,-0.62,-0.99
Zach Riley,Fordham,0.03,-1.02,-0.99
Issac McBride,Oral Roberts,-0.09,-0.91,-1.0
Mason Williams,E Washington,0.29,-1.29,-1.0
Efstratios Kalliontzis,NC A&T,-1.06,0.06,-1.0
Mekhi Conner,Sacred Heart,-1.36,0.36,-1.0
Juanse Gorosito,Ball State,-0.48,-0.52,-1.0
Will Tschetter,Michigan,-0.46,-0.54,-1.0
Xavier Booker,Michigan St,-0.92,-0.08,-1.0
Hermann Koffi,Stonehill,0.36,-1.36,-1.0
Alfred Worrell Jr.,Southern Miss,-0.5,-0.5,-1.0
Nick Woodard,Stony Brook,-0.04,-0.97,-1.01
Jaylen Washington,UT Rio Grande,-1.13,0.12,-1.01
Brooklyn Hicks,UNLV,-0.75,-0.26,-1.01
Rich Byhre,St Thomas (MN),-0.66,-0.35,-1.01
Rickey Ballard,West Georgia,-0.19,-0.82,-1.01
Quentin Duncan,NJIT,0.2,-1.21,-1.01
Tyreese Watson,UL Monroe,0.2,-1.21,-1.01
Supreme Cook,Oregon,-0.66,-0.35,-1.01
Thierno Sylla,SF Austin,-1.1,0.09,-1.01
Bryson Wilson,Buffalo,-0.32,-0.69,-1.01
Raeshun McGregory,Miss Valley St,-0.72,-0.29,-1.01
Jonnivius Smith,UTSA,-0.84,-0.18,-1.02
Jalen Bolden,UL Monroe,-0.66,-0.36,-1.02
Jaylen Blakes,Stanford,-0.59,-0.43,-1.02
Jovan Blacksher Jr.,California,-0.24,-0.78,-1.02
Marcus Banks Jr.,UMBC,0.18,-1.2,-1.02
Carlos Paez,SE Louisiana,-0.17,-0.86,-1.03
Noah Batchelor,Buffalo,0.06,-1.09,-1.03
CJ Happy,Princeton,-0.74,-0.29,-1.03
Tony Duckett,San Diego,-0.44,-0.59,-1.03
Chancellor White,Louisiana,-0.73,-0.3,-1.03
Brock Felder,Southern Utah,-0.71,-0.32,-1.03
Kennard Davis Jr.,S Illinois,0.17,-1.2,-1.03
Trent Noah,Kentucky,-0.41,-0.62,-1.03
John Mobley Jr.,Ohio State,0.66,-1.69,-1.03
Ayodele Taiwo,Howard,-1.35,0.31,-1.04
Jalin Billingsley,E Michigan,-0.15,-0.89,-1.04
Braeden Shrewsberry,Notre Dame,0.07,-1.11,-1.04
Maxime Raynaud,Stanford,-0.95,-0.09,-1.04
Jace Carter,Texas A&M,-0.91,-0.13,-1.04
Micah Parrish,Ohio State,0.22,-1.26,-1.04
Jerome Palm,Hawai'i,-0.58,-0.47,-1.05
Jahnathan Lamothe,NC A&T,-1.5,0.45,-1.05
JR Jacobs,New Orleans,-0.53,-0.52,-1.05
Tana Kopa,Canisius,-0.4,-0.65,-1.05
Tayshawn Comer,Evansville,-0.94,-0.12,-1.06
Matija Belic,Wyoming,-0.4,-0.66,-1.06
Daemar Kelly,Saint Francis,-0.75,-0.31,-1.06
Lynn Kidd,Miami,-0.63,-0.43,-1.06
Asim Jones,FIU,-0.74,-0.32,-1.06
Markus Burton,Notre Dame,0.28,-1.34,-1.06
Jon O'Neill,New Hampshire,-0.55,-0.52,-1.07
Jayden Epps,Georgetown,0.06,-1.13,-1.07
Cam Gillus,Lehigh,-1.24,0.17,-1.07
David Onanina,Bethune,-0.36,-0.71,-1.07
Daniel Loos,Austin Peay,-0.37,-0.7,-1.07
Harry Rouhliadeff,Hawai'i,-0.68,-0.39,-1.07
Michael O'Connell,NC State,-0.67,-0.4,-1.07
Pierre Geneste Jr.,Fresno St,-0.93,-0.14,-1.07
Jaemyn Brakefield,Ole Miss,0.04,-1.12,-1.08
Nate Pickens,UC Riverside,0.24,-1.32,-1.08
Quentin Bolton,AR-Pine Bluff,-0.79,-0.29,-1.08
Daquan Davis,Florida St,-1.12,0.04,-1.08
Robert Jeter,Southern Utah,-1.0,-0.08,-1.08
Reis Jones,Charleston So,-0.25,-0.83,-1.08
Malcolm Chimezie,Boston U,-0.82,-0.26,-1.08
Myles Tate,App State,-1.44,0.36,-1.08
Alexis Marmolejos,Lamar,-1.29,0.2,-1.09
Adam Moussa,CA Baptist,-0.92,-0.17,-1.09
Ametri Moss,North Florida,-0.67,-0.42,-1.09
Brandon Johnson,Miami,-0.14,-0.95,-1.09
Jason Edwards,Vanderbilt,-0.6,-0.49,-1.09
Cavan Reilly,Delaware,0.43,-1.52,-1.09
Sean Durugordon,Old Dominion,-1.02,-0.08,-1.1
Cam Estevez,Rhode Island,-0.49,-0.61,-1.1
Timaris Brown,IU Indy,-0.77,-0.33,-1.1
Trey Parker,NC State,-0.41,-0.69,-1.1
Donovan Sanders,Miss Valley St,-0.75,-0.35,-1.1
Dug McDaniel,Kansas St,-1.49,0.39,-1.1
Taine Murray,Virginia,-0.24,-0.86,-1.1
Tsvet Sotirov,N Illinois,-0.95,-0.15,-1.1
Dion Brown,Boston College,-0.26,-0.85,-1.11
AJ Storr,Kansas,-0.69,-0.42,-1.11
CJ Delancy,Chicago St,-0.74,-0.37,-1.11
David Terrell Jr.,UTEP,-0.46,-0.65,-1.11
Peyton Smith,Fairfield,-1.12,0.01,-1.11
Theo Grant,New Orleans,-0.38,-0.73,-1.11
Anouar Mellouk,Morehead St,-0.71,-0.4,-1.11
Julian Mackey,Hou Christian,-1.1,-0.01,-1.11
Cam Hayes,East Carolina,-0.31,-0.8,-1.11
Kyran Ratliff,Louisiana,-0.92,-0.19,-1.11
Caleb Zurliene,Campbell,-0.23,-0.89,-1.12
Alvin Stredic,Miss Valley St,-0.93,-0.19,-1.12
Steven Jamerson II,San Diego,-0.53,-0.59,-1.12
Lachlan Brewer,Sacramento St,-0.3,-0.82,-1.12
Tom Beattie,Hawai'i,-0.7,-0.42,-1.12
Joshua Ingram,Lehigh,-0.51,-0.61,-1.12
Curtis Williams Jr.,Georgetown,-0.75,-0.37,-1.12
Jeremiah Williams,Rutgers,0.02,-1.14,-1.12
Darren Williams,FGCU,-0.38,-0.74,-1.12
Evan Johnson,MD Eastern,-0.13,-1.0,-1.13
Micah Robinson,TCU,-0.71,-0.42,-1.13
Leo DeBruhl,UC Davis,-0.63,-0.5,-1.13
MJ Thomas,New Orleans,-0.19,-0.94,-1.13
Stephen Giwa,Texas A&M-CC,-0.92,-0.21,-1.13
Mike Loughnane,Davidson,-0.8,-0.33,-1.13
Corey Floyd Jr.,Providence,-0.77,-0.36,-1.13
Sebastian Thomas,Rhode Island,-0.14,-0.99,-1.13
Tarique Foster,UMass,-0.71,-0.43,-1.14
Benny Williams,UCF,-0.29,-0.85,-1.14
Seth Wilson,Akron,0.04,-1.18,-1.14
Kadin Shedrick,Texas,-0.09,-1.05,-1.14
Jalen Miller,Oral Roberts,-0.7,-0.44,-1.14
Divine Ugochukwu,Miami,-0.3,-0.84,-1.14
Zaakir Sawyer,Prairie View,-0.66,-0.49,-1.15
Elijah Saunders,Virginia,-0.36,-0.79,-1.15
Matej Bosnjak,Wichita St,-0.45,-0.7,-1.15
Christopher Mantis,Maine,-0.73,-0.42,-1.15
Jhaylon Martinez,Niagara,-0.75,-0.4,-1.15
Keionte Cornelius,Alcorn St,-0.44,-0.72,-1.16
Gianni Cobb,Columbia,-0.73,-0.43,-1.16
Taylor Bol Bowen,Florida St,-0.63,-0.53,-1.16
Kyle Pock,Northern Iowa,-0.65,-0.51,-1.16
Shawn Fulcher,Alabama St,-0.75,-0.41,-1.16
Tyree Ihenacho,Washington,-0.54,-0.62,-1.16
Jayden Taylor,NC State,-0.49,-0.67,-1.16
Quincy Allen,Chicago St,-0.4,-0.76,-1.16
Perry Smith Jr.,NC Central,-0.26,-0.91,-1.17
Noble Crawford,Chicago St,-0.62,-0.55,-1.17
Carmelo Adkins,SC Upstate,-0.59,-0.58,-1.17
Afan Trnka,UT Martin,-0.9,-0.27,-1.17
Dylan Warlick,Saint Louis,-0.81,-0.36,-1.17
Andrew Akuchie,Rice,-0.64,-0.53,-1.17
Harlond Beverly,Wichita St,-0.93,-0.24,-1.17
TJ Johnson,VMI,-0.55,-0.62,-1.17
Garwey Dual,Seton Hall,-0.83,-0.34,-1.17
D'Maurian Williams,High Point,-0.22,-0.96,-1.18
Zach Kraft,North Dakota,-0.28,-0.9,-1.18
Nik Graves,Charlotte,0.2,-1.38,-1.18
Christian Moore,The Citadel,-0.42,-0.76,-1.18
Matar Wade,Morgan St,-0.6,-0.58,-1.18
Marqui Worthy Jr.,UMass,-0.93,-0.25,-1.18
Dontrez Williams,Abilene Chrstn,-0.55,-0.63,-1.18
Michael Graham,Hofstra,-0.93,-0.26,-1.19
Evan van der Plas,Canisius,-0.96,-0.23,-1.19
Jordan Burks,Georgetown,0.6,-1.79,-1.19
Jett Montgomery,Southern Miss,-0.25,-0.94,-1.19
Brendan Coyle,Siena,0.06,-1.25,-1.19
Jaden Brownell,Samford,-0.7,-0.49,-1.19
B. Artis White,Richmond,-1.42,0.23,-1.19
Trent Perry,UCLA,-0.35,-0.84,-1.19
Brody Fox,The Citadel,-0.81,-0.38,-1.19
Colby McAllister,The Citadel,-0.13,-1.06,-1.19
Geoff Sprouse,American,-0.63,-0.56,-1.19
Floyd Rideau Jr.,NC Central,-0.69,-0.5,-1.19
Enoch Kalambay,Western KY,-0.97,-0.22,-1.19
Stephon Roberts,Saint Peter's,-1.86,0.66,-1.2
Zine Eddine Bedri,Columbia,-0.46,-0.74,-1.2
Cameron Corhen,Pitt,-0.7,-0.5,-1.2
Lase Olalere,Charleston So,-0.55,-0.65,-1.2
Brant Byers,Miami OH,-0.45,-0.75,-1.2
Cliff Davis,UT Rio Grande,-0.29,-0.91,-1.2
Noah Reynolds,TCU,-1.69,0.48,-1.21
Niccolo Moretti,FAU,-0.69,-0.52,-1.21
Mayuom Buom,South Dakota,-0.4,-0.81,-1.21
Sami Pissis,New Hampshire,-1.1,-0.11,-1.21
Jahlil White,La Salle,-0.86,-0.35,-1.21
Tanner Cuff,Evansville,-1.1,-0.11,-1.21
Gerald Drumgoole Jr.,G Washington,-0.62,-0.6,-1.22
Caelum Swanton-Rodger,Old Dominion,-1.45,0.23,-1.22
Mak Manciel,Detroit Mercy,-0.2,-1.02,-1.22
Jacob Meyer,DePaul,-0.09,-1.13,-1.22
Japhet Medor,Fordham,0.31,-1.53,-1.22
Jeremy Clayville,Saint Francis,-1.04,-0.18,-1.22
Cameron Piggee,NJIT,-0.63,-0.59,-1.22
Toby Okani,West Virginia,-1.15,-0.07,-1.22
Matthew Robinson,Chicago St,-0.73,-0.49,-1.22
Jeremiah Johnson,Green Bay,-0.82,-0.4,-1.22
Payton Sandfort,Iowa,0.52,-1.75,-1.23
Marcel Bryant,Prairie View,-0.46,-0.77,-1.23
Marcus Johnson,Bowling Green,-1.56,0.33,-1.23
Isaac Haney,Austin Peay,0.15,-1.38,-1.23
Benjamin Bosmans-Verdonk,South Carolina,-0.48,-0.75,-1.23
Brock Harding,Iowa,0.1,-1.33,-1.23
Corey McKeithan,La Salle,-0.8,-0.44,-1.24
Emil Skytta,Sacramento St,-0.78,-0.46,-1.24
Mason Madsen,Utah,-0.41,-0.83,-1.24
Isaiah Folkes,Charlotte,-0.99,-0.26,-1.25
Gabriel McKay,Liberty,-0.56,-0.69,-1.25
Jordan Nesbitt,Wyoming,-0.98,-0.27,-1.25
Tyrone Marshall Jr.,Western KY,-1.59,0.34,-1.25
Kylan Blackmon,Charlotte,-0.27,-0.98,-1.25
Michael Wilson,Sacramento St,-0.29,-0.96,-1.25
Otis Frazier III,UTEP,-1.48,0.23,-1.25
Alex Huibregtse,Wright St,-0.09,-1.17,-1.26
Tre Carroll,FAU,-0.37,-0.89,-1.26
Paxton Davidson,The Citadel,-0.91,-0.35,-1.26
Zimi Nwokeji,Jacksonville,-0.51,-0.75,-1.26
Peyton Rogers,Hou Christian,-1.54,0.28,-1.26
Eric Acker,La Salle,-0.55,-0.71,-1.26
Josiah Moore,Oral Roberts,-0.54,-0.73,-1.27
Noa Gonsalves,Utah Tech,-0.44,-0.83,-1.27
Taj Au-Duke,Pepperdine,-0.37,-0.9,-1.27
Christopher Flippin,MD Eastern,-0.69,-0.58,-1.27
Keanu Dawes,Utah,-0.64,-0.64,-1.28
Keaston Willis,Tulsa,-0.16,-1.12,-1.28
Kaleb Scott,Presbyterian,-1.03,-0.25,-1.28
Myles Jenkins,SF Austin,-0.72,-0.57,-1.29
Tanahj Pettway,Prairie View,-1.43,0.14,-1.29
Rodney Johnson Jr.,Tennessee Tech,-0.94,-0.35,-1.29
Matt Hayman,SF Austin,-0.97,-0.32,-1.29
Max Green,Holy Cross,-0.13,-1.16,-1.29
Jonathan Powell,West Virginia,-1.22,-0.07,-1.29
Jorn Everson,Army,-0.53,-0.76,-1.29
Aaron Bradshaw,Ohio State,-0.37,-0.92,-1.29
Khalil Farmer,Hofstra,-1.6,0.31,-1.29
Quentin Jones,N Illinois,-1.02,-0.28,-1.3
Jeffrey Langston Jr.,Southern Utah,-0.78,-0.52,-1.3
Sebastian Robinson,NJIT,-1.49,0.19,-1.3
Maximus Nelson,Purdue FW,-0.78,-0.52,-1.3
Orlando Lovejoy,Detroit Mercy,0.33,-1.63,-1.3
Sir Mohammed,Notre Dame,-0.89,-0.42,-1.31
Bangot Dak,Colorado,-0.89,-0.42,-1.31
Nate Lliteras,North Florida,-0.83,-0.49,-1.32
Chris Arias,Jacksonville,0.33,-1.65,-1.32
Karmani Gregory,SC Upstate,-0.94,-0.38,-1.32
Tyler Harris,Washington,-0.38,-0.95,-1.33
Josh Cohen,USC,-1.1,-0.23,-1.33
Jaehshon Thomas,Charlotte,-0.21,-1.12,-1.33
Daniel Rivera,UMass,-0.81,-0.52,-1.33
Dailliss Cox,Chicago St,-0.71,-0.62,-1.33
Ashton Smith,South Dakota,-0.95,-0.38,-1.33
AJ Staton-McCray,Miami,0.12,-1.46,-1.34
Rodrick Payne,W Illinois,-1.09,-0.25,-1.34
Blake Buchanan,Virginia,-0.09,-1.25,-1.34
Parker Fox,Minnesota,-1.3,-0.04,-1.34
Tom House,Furman,-1.2,-0.14,-1.34
Latrell Davis,San José St,-0.98,-0.37,-1.35
Boden Kapke,Butler,-0.22,-1.13,-1.35
EJ Neal Jr.,Sacramento St,-0.63,-0.72,-1.35
Kyle Frazier,William & Mary,-0.72,-0.63,-1.35
Rob Lawson,Morgan St,-0.37,-0.98,-1.35
Simas Lukosius,Cincinnati,-0.54,-0.81,-1.35
Nate Johnson,Detroit Mercy,-0.23,-1.12,-1.35
Kyle Marshall,Air Force,-0.81,-0.55,-1.36
Coltie Young,UL Monroe,-0.39,-0.97,-1.36
Nasir DeGruy,Abilene Chrstn,-1.26,-0.1,-1.36
Avery Brown,Columbia,-0.28,-1.08,-1.36
Lamar Washington,Pacific,-0.94,-0.42,-1.36
Filip Radakovic,UT Martin,-1.19,-0.18,-1.37
Trae Broadnax,Rice,-0.25,-1.12,-1.37
Linus Holmstrom,VMI,-0.61,-0.76,-1.37
MJ Collins Jr.,Vanderbilt,-0.7,-0.67,-1.37
Chudi Dioramma,Sacramento St,-0.88,-0.49,-1.37
Anwar Gill,Howard,-1.32,-0.05,-1.37
Jevon Porter,LMU,-0.9,-0.47,-1.37
Elijah Fisher,Pacific,-0.75,-0.63,-1.38
Chibuzo Agbo,USC,-0.35,-1.03,-1.38
Trey Hall,MD Eastern,-0.96,-0.42,-1.38
Brendan Wenzel,TCU,-1.36,-0.02,-1.38
Jerry Ngopot,UL Monroe,-0.63,-0.75,-1.38
DeAntoni Gordon,Southern Miss,-0.81,-0.57,-1.38
Abdou Tsimbila,Fordham,-0.56,-0.83,-1.39
Kaleb Brown,Fullerton,-1.67,0.28,-1.39
Ocypher Owens,Le Moyne,-0.36,-1.03,-1.39
Trey Fort,Samford,-0.45,-0.95,-1.4
Zachary Visentin,Fullerton,-0.9,-0.5,-1.4
Javon Ruffin,Colorado,-1.2,-0.2,-1.4
JaJuan Nicholls,Tennessee Tech,-1.19,-0.21,-1.4
Marcus Hall,Green Bay,-0.94,-0.46,-1.4
Isaiah Mbeng,William & Mary,-1.21,-0.2,-1.41
Blake Harper,Howard,-0.93,-0.48,-1.41
Misha Bednostin,Lafayette,-1.02,-0.39,-1.41
Rollie Worster,Nebraska,-0.38,-1.04,-1.42
Taj DeGourville,San Diego St,-1.54,0.12,-1.42
David Fuchs,Rhode Island,-0.49,-0.94,-1.43
Jalal McKie,NC A&T,-1.13,-0.3,-1.43
Keenan Wilkins,Charleston So,-1.08,-0.35,-1.43
Caleb Walker,Air Force,-0.7,-0.73,-1.43
Patrick Suemnick,Oklahoma St,-1.1,-0.33,-1.43
Khalil Badru,New Hampshire,-1.38,-0.06,-1.44
Mehki Ellison,Stetson,-0.23,-1.21,-1.44
Layden Blocker,DePaul,-0.66,-0.78,-1.44
Jackie Johnson III,Fordham,-0.31,-1.13,-1.44
Miles Jones,UNC Greensboro,-1.17,-0.28,-1.45
Chris Bell,Syracuse,-0.5,-0.95,-1.45
Emmanuel Kuac,Detroit Mercy,-0.46,-0.99,-1.45
Jaydon Young,Virginia Tech,-1.64,0.19,-1.45
Nic McClain,E Washington,-0.82,-0.64,-1.46
Nick Spinoso,Penn,-0.09,-1.38,-1.47
Alston Mason,Arizona St,0.21,-1.68,-1.47
Troy D'Amico,DePaul,-0.74,-0.73,-1.47
Tan Yildizoglu,VMI,-0.71,-0.76,-1.47
Cade Hornecker,Abilene Chrstn,-0.95,-0.53,-1.48
Dalen Davis,Princeton,-0.47,-1.01,-1.48
Kayvaun Mulready,Georgetown,-0.43,-1.06,-1.49
Elijah Terry,Prairie View,-1.15,-0.34,-1.49
Randall Pettus II,N Kentucky,-0.66,-0.83,-1.49
Diante Smith,UT Arlington,-0.37,-1.13,-1.5
Cam Gregory,Campbell,-1.07,-0.43,-1.5
Gabe Spinelli,Chicago St,-0.6,-0.91,-1.51
Filip Skobalj,UIC,-1.12,-0.39,-1.51
Wilhelm Breidenbach,Washington,-1.11,-0.4,-1.51
Veljko Ilic,Loyola MD,-0.93,-0.59,-1.52
Caden Boser,Illinois St,-0.42,-1.1,-1.52
James Dent Jr.,N Illinois,-1.12,-0.4,-1.52
Ahmad Henderson II,UIC,-1.55,0.03,-1.52
Diego Campisano,N Arizona,-1.73,0.21,-1.52
John Adams,The Citadel,-0.68,-0.85,-1.53
Jaden Schutt,Virginia Tech,-0.58,-0.95,-1.53
Daylen Berry,Charleston So,-0.41,-1.12,-1.53
Deven Dahlke,San Diego,-0.62,-0.91,-1.53
Daniel Helterhoff,SC Upstate,-0.45,-1.08,-1.53
Micah Peavy,Georgetown,-0.31,-1.22,-1.53
Jordan Rogers,NJIT,-1.24,-0.29,-1.53
Jalil Bethea,Miami,-0.79,-0.75,-1.54
Varick Lewis,Long Beach St,-0.89,-0.65,-1.54
Keon Thompson,SF Austin,-1.15,-0.39,-1.54
Andrew Nagy,Long Beach St,-0.47,-1.07,-1.54
Deng Mayar,North Dakota,-0.37,-1.18,-1.55
Augustinas Kiudulas,VMI,-0.66,-0.89,-1.55
J.R. Konieczny,Notre Dame,-0.64,-0.91,-1.55
Makai Willis,UL Monroe,-0.52,-1.04,-1.56
Tyson Acuff,Rutgers,0.12,-1.68,-1.56
Caleb Williams,Georgetown,-1.43,-0.14,-1.57
Dean Reiber,Charlotte,-0.88,-0.69,-1.57
Jaylan Ouwinga,Toledo,-0.42,-1.15,-1.57
Dylan Addae-Wusu,Seton Hall,-0.92,-0.65,-1.57
Timmy Adedire,NC Central,-0.35,-1.24,-1.59
Eric Mulder,Purdue FW,-0.94,-0.65,-1.59
Cole Farrell,Portland St,-1.24,-0.35,-1.59
Rahsool Diggins,UMass,-1.12,-0.48,-1.6
