Team, Conference, Net, AdjOff, AdjDef, AdjPace, NetSOS, OffSOS, DefSOS
Villanova,Big East,22.86,124.79,101.92,63.22,12.62,114.63,102.01
Boise State,Mountain West,22.5,121.66,99.17,65.2,8.89,112.49,103.6
Oklahoma,SEC,22.32,121.47,99.15,68.49,16.96,117.89,100.93
New Mexico,Mountain West,21.7,116.36,94.66,72.69,9.8,112.6,102.8
Northwestern,Big Ten,21.57,119.31,97.74,64.81,16.71,117.64,100.94
Vanderbilt,SEC,21.53,121.98,100.45,69.27,16.93,117.52,100.59
Indiana,Big Ten,21.29,117.47,96.18,68.21,17.96,118.6,100.64
SMU,ACC,21.11,120.15,99.04,69.31,8.6,113.19,104.59
Utah State,Mountain West,21.03,123.72,102.69,67.77,8.2,111.69,103.5
Colorado State,Mountain West,21.02,120.0,98.99,66.01,9.5,112.98,103.47
West Virginia,Big 12,20.74,113.91,93.17,64.38,17.54,117.35,99.81
Santa Clara,WCC,20.64,120.15,99.51,69.17,6.62,113.09,106.46
Cincinnati,Big 12,20.17,114.06,93.89,65.78,15.64,116.73,101.1
USC,Big Ten,19.88,120.81,100.93,68.17,16.1,117.62,101.53
Iowa,Big Ten,19.72,123.78,104.07,70.13,15.2,117.02,101.82
UC San Diego,Big West,19.65,115.42,95.77,65.86,-3.42,106.47,109.89
San Diego State,Mountain West,19.27,114.32,95.05,64.9,12.6,115.01,102.41
Penn State,Big Ten,18.92,117.04,98.12,69.95,12.54,115.69,103.15
Pittsburgh,ACC,18.78,119.97,101.19,66.02,12.8,115.9,103.1
Utah,Big 12,18.67,118.13,99.46,68.16,13.29,115.48,102.19
Nebraska,Big Ten,18.5,117.85,99.35,67.92,16.05,117.5,101.45
Kansas State,Big 12,17.27,114.1,96.83,66.91,14.44,115.27,100.84
Drake,MVC,17.09,117.83,100.75,59.0,3.67,111.16,107.48
Memphis,American,16.81,116.91,100.11,70.54,8.06,113.45,105.39
Butler,Big East,16.38,120.61,104.23,67.58,16.63,116.88,100.25
Rutgers,Big Ten,16.13,119.96,103.83,68.35,17.04,117.25,100.21
San Francisco,WCC,15.84,114.2,98.36,67.16,6.2,112.7,106.5
UCF,Big 12,15.84,120.21,104.38,71.89,16.3,116.03,99.73
Arizona State,Big 12,15.63,117.08,101.45,68.62,20.06,118.91,98.85
South Carolina,SEC,15.59,114.35,98.76,65.39,18.5,118.63,100.13
McNeese,Southland,15.51,115.64,100.14,65.5,-1.79,106.26,108.06
TCU,Big 12,14.93,110.57,95.64,65.63,16.67,117.5,100.82
Nevada,Mountain West,14.66,116.87,102.21,64.09,8.06,112.24,104.18
Wake Forest,ACC,14.6,111.65,97.05,66.87,12.2,115.09,102.89
Oregon State,WCC,14.42,119.5,105.08,64.09,4.44,110.83,106.39
Colorado,Big 12,13.8,111.96,98.16,67.71,17.17,117.34,100.17
LSU,SEC,13.63,114.17,100.54,67.86,15.21,117.02,101.81
Stanford,ACC,13.14,115.19,102.05,66.19,9.05,112.94,103.9
North Texas,American,12.69,110.72,98.03,60.67,1.33,109.5,108.17
Minnesota,Big Ten,12.55,114.85,102.31,63.08,15.19,116.42,101.23
Providence,Big East,12.51,115.8,103.29,66.12,12.86,115.21,102.35
Dayton,A-10,12.49,120.06,107.56,65.08,7.54,111.77,104.23
Liberty,CUSA,12.08,112.73,100.65,65.2,-0.97,107.1,108.07
UC Irvine,Big West,11.98,110.37,98.39,69.2,-0.34,108.54,108.89
Florida State,ACC,11.95,112.17,100.22,69.11,9.04,113.34,104.29
Georgetown,Big East,11.43,109.98,98.55,67.89,9.95,113.76,103.81
George Mason,A-10,11.17,109.86,98.69,64.72,1.63,109.29,107.67
Saint Joseph's,A-10,11.09,111.31,100.22,68.32,2.23,109.35,107.12
Notre Dame,ACC,10.94,116.64,105.69,64.56,9.79,114.16,104.37
Bradley,MVC,10.78,114.16,103.38,66.15,1.53,110.43,108.91
Northern Iowa,MVC,10.29,112.46,102.17,65.27,1.62,110.1,108.48
Oklahoma State,Big 12,10.07,110.18,100.11,71.56,15.19,116.38,101.19
UNLV,Mountain West,10.01,111.24,101.23,65.85,10.62,113.97,103.36
DePaul,Big East,9.73,114.54,104.81,67.42,12.76,114.49,101.73
Yale,Ivy,9.47,114.65,105.18,68.05,-5.0,106.67,111.67
Washington State,WCC,8.73,117.32,108.6,69.83,9.0,113.79,104.79
Arkansas State,Sun Belt,8.49,112.9,104.41,69.27,-3.96,105.74,109.7
Georgia Tech,ACC,8.46,109.26,100.8,69.03,9.56,114.04,104.48
High Point,Big South,8.35,117.56,109.22,66.73,-7.03,105.27,112.3
California,ACC,8.3,116.34,108.03,67.94,9.82,114.07,104.25
Washington,Big Ten,8.21,112.64,104.43,67.62,15.44,116.86,101.42
NC State,ACC,8.17,110.36,102.19,65.16,9.57,114.28,104.71
Syracuse,ACC,7.79,114.76,106.97,68.24,11.83,115.56,103.72
Lipscomb,ASUN,7.41,111.41,104.0,65.89,-6.66,106.61,113.27
Virginia,ACC,6.84,111.4,104.56,60.67,11.12,114.15,103.03
UAB,American,6.56,117.05,110.49,69.4,-0.51,108.14,108.65
Loyola Chicago,A-10,5.92,110.31,104.39,66.71,0.47,108.23,107.76
Troy,Sun Belt,5.44,106.24,100.81,66.49,-3.43,107.11,110.54
Grand Canyon,WAC,5.23,108.05,102.83,70.2,-4.44,103.67,108.12
Florida Atlantic,American,4.87,114.12,109.25,69.22,3.52,110.52,107.0
Akron,MAC,4.83,113.57,108.74,71.26,-5.34,105.89,111.22
Illinois State,MVC,4.75,114.79,110.04,65.53,0.75,109.37,108.62
Middle Tennessee,CUSA,4.75,113.84,109.09,67.88,2.35,108.81,106.47
Belmont,MVC,4.31,113.61,109.3,71.07,0.42,108.95,108.54
George Washington,A-10,4.07,108.86,104.79,67.17,-1.94,106.65,108.59
Saint Louis,A-10,4.05,109.94,105.88,68.01,3.72,109.75,106.03
Robert Morris,Horizon,3.91,108.96,105.05,68.07,-6.85,106.68,113.53
St. Bonaventure,A-10,3.57,104.86,101.29,64.62,-0.43,108.25,108.67
Chattanooga,SoCon,3.44,118.58,115.14,65.92,-3.34,106.2,109.55
Jacksonville State,CUSA,3.3,109.74,106.44,64.94,0.78,108.55,107.77
Utah Valley,WAC,3.29,106.97,103.68,68.57,-4.63,105.18,109.81
Louisiana Tech,CUSA,3.25,110.31,107.06,64.51,-0.38,107.7,108.08
Milwaukee,Horizon,3.16,111.33,108.17,68.04,-4.05,107.43,111.49
Virginia Tech,ACC,3.15,109.69,106.53,65.2,9.1,113.38,104.28
Wichita State,American,3.15,108.09,104.94,69.0,2.34,109.25,106.91
UNC Wilmington,CAA,3.03,112.09,109.06,65.67,-5.61,106.38,111.99
Rhode Island,A-10,3.01,110.56,107.55,70.51,-0.16,107.89,108.05
Kent State,MAC,2.94,107.29,104.36,66.0,-3.98,107.15,111.12
South Alabama,Sun Belt,2.69,109.8,107.1,63.61,-5.45,105.09,110.53
South Dakota State,Summit,2.52,111.18,108.66,69.22,-3.08,108.62,111.7
Davidson,A-10,2.36,111.18,108.82,65.64,-0.44,107.81,108.25
North Dakota State,Summit,1.96,118.59,116.63,64.91,-5.46,107.64,113.1
Murray State,MVC,1.95,110.0,108.05,64.58,1.94,109.26,107.31
Cal State Northridge,Big West,1.9,107.73,105.83,72.7,-5.89,104.89,110.78
Tulane,American,1.62,109.32,107.7,66.65,-1.36,108.01,109.36
Duquesne,A-10,1.59,107.44,105.86,65.21,1.76,108.4,106.64
Kennesaw State,CUSA,1.57,107.41,105.84,70.33,1.9,108.5,106.6
Loyola Marymount,WCC,1.57,107.61,106.04,66.29,4.97,111.57,106.6
Samford,SoCon,1.54,112.35,110.81,70.89,-4.95,106.07,111.02
North Alabama,ASUN,1.44,110.93,109.5,67.13,-7.71,105.3,113.01
San José State,Mountain West,1.37,110.69,109.32,66.34,5.78,110.65,104.87
New Mexico State,CUSA,1.29,106.37,105.08,64.02,2.24,108.5,106.26
St. Thomas-Minnesota,Summit,0.98,113.39,112.42,68.01,-6.31,106.98,113.29
Seton Hall,Big East,0.92,102.64,101.72,64.58,14.98,116.4,101.42
Northern Colorado,Big Sky,0.73,113.02,112.29,68.55,-7.5,105.31,112.8
Furman,SoCon,0.69,110.61,109.91,66.14,-5.81,105.65,111.46
Miami,ACC,0.67,115.8,115.13,67.29,12.44,114.27,101.83
UC Santa Barbara,Big West,0.66,109.39,108.73,65.41,-3.99,105.54,109.52
Cleveland State,Horizon,0.53,104.91,104.39,65.85,-5.79,106.17,111.96
Wofford,SoCon,0.35,112.71,112.37,63.9,-3.0,107.0,110.0
Temple,American,0.34,114.0,113.66,68.34,-0.23,108.34,108.58
Cornell,Ivy,0.26,114.14,113.88,70.35,-5.99,105.43,111.42
UIC,MVC,0.16,109.81,109.65,69.13,1.91,109.26,107.35
UTEP,CUSA,0.08,105.66,105.59,68.42,0.7,108.08,107.38
Boston College,ACC,-0.31,109.96,110.28,66.68,7.71,112.54,104.83
Purdue Fort Wayne,Horizon,-0.51,111.98,112.49,69.86,-4.54,106.73,111.28
Seattle U,WAC,-0.51,104.3,104.82,65.72,-2.02,105.0,107.02
East Carolina,American,-0.59,110.61,111.2,66.09,-1.07,108.7,109.77
UC Riverside,Big West,-0.61,111.91,112.52,67.56,1.53,108.96,107.43
Western Kentucky,CUSA,-0.73,103.34,104.07,71.73,2.16,108.68,106.53
UNC Greensboro,SoCon,-0.84,105.98,106.82,64.03,-5.82,106.16,111.98
Wyoming,Mountain West,-1.16,104.23,105.39,64.77,6.57,112.3,105.73
East Tennessee State,SoCon,-1.25,106.03,107.27,65.35,-6.91,105.91,112.82
Bryant,Am. East,-1.28,106.26,107.54,72.15,-10.4,103.23,113.63
California Baptist,WAC,-1.35,106.57,107.92,65.56,-3.58,104.81,108.39
Miami (OH),MAC,-1.75,108.61,110.37,68.55,-7.62,104.22,111.84
Charleston,CAA,-1.76,107.59,109.36,69.84,-4.65,106.26,110.91
Texas A&M-Corpus Christi,Southland,-1.81,105.09,106.9,67.0,-4.96,104.76,109.72
Indiana State,MVC,-2.01,111.78,113.78,72.17,0.25,108.3,108.06
Towson,CAA,-2.07,106.83,108.9,63.65,-4.99,106.25,111.24
Oakland,Horizon,-2.12,110.27,112.39,63.27,-0.99,108.98,109.96
Pepperdine,WCC,-2.13,109.29,111.42,67.91,5.21,111.01,105.8
Omaha,Summit,-2.22,110.1,112.32,67.39,-3.88,107.67,111.55
Southern Illinois,MVC,-2.24,106.71,108.95,67.99,2.44,110.81,108.37
Radford,Big South,-2.3,109.29,111.59,63.18,-5.45,106.68,112.13
Winthrop,Big South,-2.34,108.76,111.1,72.76,-5.74,106.3,112.04
Lamar,Southland,-2.37,101.91,104.28,65.77,-3.21,105.88,109.09
Nicholls,Southland,-2.4,106.01,108.4,68.73,-1.88,105.67,107.55
Montana,Big Sky,-2.48,110.33,112.81,67.43,-1.39,108.97,110.36
James Madison,Sun Belt,-2.74,110.46,113.2,64.85,-3.62,105.86,109.48
Montana State,Big Sky,-2.83,106.77,109.6,65.89,-3.45,107.23,110.68
Cal Poly,Big West,-2.92,110.92,113.84,74.5,-0.47,106.91,107.38
Valparaiso,MVC,-2.92,108.17,111.09,67.96,1.19,108.87,107.68
Rice,American,-2.99,105.98,108.97,65.86,-3.05,106.71,109.76
App State,Sun Belt,-3.11,100.3,103.41,63.57,-6.01,106.13,112.13
Marshall,Sun Belt,-3.17,106.52,109.69,68.01,-6.53,105.78,112.31
Norfolk State,MEAC,-3.23,107.71,110.95,66.13,-11.58,102.71,114.28
Sam Houston,CUSA,-3.39,111.29,114.68,67.75,3.21,108.43,105.21
UTSA,American,-3.52,108.01,111.53,69.87,1.42,109.0,107.58
Ohio,MAC,-3.92,106.87,110.79,70.52,-6.27,106.5,112.77
South Florida,American,-3.99,103.64,107.63,68.4,-1.47,108.93,110.4
Youngstown State,Horizon,-4.12,103.26,107.38,68.73,-5.96,106.51,112.48
Massachusetts,A-10,-4.16,105.04,109.2,70.23,0.24,107.39,107.15
Florida Gulf Coast,ASUN,-4.64,105.7,110.34,65.32,-8.8,104.95,113.75
Central Michigan,MAC,-5.0,105.8,110.8,66.8,-4.37,106.78,111.15
Drexel,CAA,-5.02,105.19,110.21,63.13,-8.21,104.92,113.12
Fordham,A-10,-5.04,107.85,112.89,69.69,1.3,107.9,106.6
SE Louisiana,Southland,-5.23,104.7,109.93,66.97,-6.24,104.36,110.6
Central Connecticut,NEC,-5.33,99.26,104.59,65.65,-16.57,99.75,116.32
La Salle,A-10,-5.39,104.81,110.2,67.92,1.65,108.48,106.83
Texas State,Sun Belt,-5.4,112.47,117.87,65.4,-5.01,104.55,109.56
Hawai'i,Big West,-5.41,104.29,109.7,65.52,-2.21,106.7,108.91
Hofstra,CAA,-5.42,99.0,104.43,64.21,-4.97,105.85,110.82
Idaho State,Big Sky,-5.45,106.51,111.96,65.65,-5.6,105.74,111.34
Northeastern,CAA,-5.73,103.34,109.07,67.93,-7.07,104.27,111.35
Abilene Christian,WAC,-5.9,98.93,104.83,69.18,-2.9,105.64,108.55
Hampton,CAA,-5.93,104.66,110.59,65.07,-5.99,105.87,111.87
Northern Kentucky,Horizon,-6.06,104.74,110.8,65.67,-3.22,107.45,110.68
Wright State,Horizon,-6.07,110.29,116.36,67.32,-5.9,106.45,112.35
Missouri State,MVC,-6.09,105.29,111.38,63.86,1.61,110.6,108.99
Jacksonville,ASUN,-6.23,101.64,107.87,66.95,-5.81,107.45,113.26
Merrimack,MAAC,-6.34,98.69,105.03,64.41,-9.05,103.67,112.72
Elon,CAA,-6.38,107.53,113.9,64.77,-6.5,105.15,111.65
Northwestern State,Southland,-6.51,103.35,109.86,63.82,-1.87,106.57,108.45
South Carolina State,MEAC,-6.52,101.97,108.49,69.27,-13.27,102.16,115.42
Portland State,Big Sky,-6.73,99.41,106.14,69.0,-8.45,105.66,114.1
Princeton,Ivy,-6.8,103.09,109.89,66.3,-5.06,106.28,111.34
Eastern Kentucky,ASUN,-6.84,109.21,116.04,67.81,-7.05,105.34,112.39
Brown,Ivy,-6.96,104.86,111.82,65.8,-8.01,104.51,112.52
Longwood,Big South,-7.31,105.12,112.44,68.95,-7.28,106.18,113.45
Dartmouth,Ivy,-7.53,100.05,107.57,70.56,-9.29,104.8,114.09
Campbell,CAA,-7.65,101.95,109.6,65.58,-6.83,105.23,112.06
Incarnate Word,Southland,-7.72,106.25,113.96,64.83,-6.61,104.03,110.64
UNC Asheville,Big South,-7.83,109.09,116.92,67.85,-6.7,106.13,112.83
Evansville,MVC,-7.87,97.44,105.32,67.05,1.7,110.75,109.05
Queens University,ASUN,-7.87,107.85,115.73,67.71,-7.01,105.27,112.28
Fresno State,Mountain West,-7.89,104.93,112.82,71.05,6.73,111.73,105.0
Southeast Missouri State,OVC,-8.04,100.48,108.51,68.51,-11.68,101.4,113.08
Bucknell,Patriot,-8.19,106.91,115.1,67.4,-9.4,103.55,112.95
Charlotte,American,-8.22,106.93,115.15,64.49,-0.61,108.81,109.42
UT Arlington,WAC,-8.33,109.67,118.01,67.24,-4.26,103.68,107.94
Toledo,MAC,-8.35,111.14,119.49,68.37,-3.43,106.9,110.32
Kansas City,Summit,-8.38,100.67,109.05,64.17,-3.46,109.13,112.59
SIU Edwardsville,OVC,-8.42,100.15,108.57,66.29,-10.81,102.85,113.66
Florida International,CUSA,-8.43,99.94,108.37,68.18,-2.1,107.41,109.51
Delaware,CAA,-8.44,108.83,117.27,70.39,-5.41,104.93,110.34
UT Rio Grande Valley,Southland,-8.48,104.48,112.96,70.27,-3.41,105.65,109.06
Cal State Bakersfield,Big West,-8.69,105.99,114.68,65.82,-2.46,106.53,108.99
Maine,Am. East,-8.74,99.19,107.94,66.34,-11.79,102.49,114.28
South Dakota,Summit,-8.87,108.27,117.14,74.8,-5.11,107.7,112.81
Quinnipiac,MAAC,-8.9,101.08,109.98,71.05,-11.61,101.1,112.71
Richmond,A-10,-8.91,105.12,114.02,63.73,2.68,109.38,106.7
Tulsa,American,-8.99,103.89,112.88,66.57,-1.76,107.96,109.72
Presbyterian,Big South,-9.02,104.0,113.02,64.53,-5.88,106.72,112.6
Portland,WCC,-9.09,108.24,117.33,67.39,4.76,111.36,106.6
Georgia State,Sun Belt,-9.25,107.37,116.62,69.56,-3.78,106.42,110.2
UC Davis,Big West,-9.36,96.44,105.8,67.63,-2.17,107.46,109.63
Southern,SWAC,-9.45,99.61,109.06,67.48,-12.93,100.85,113.78
Pacific,WCC,-9.74,103.09,112.83,67.23,4.74,111.53,106.8
Little Rock,OVC,-9.74,97.08,106.82,67.2,-11.29,101.97,113.25
William & Mary,CAA,-10.0,105.37,115.37,71.71,-5.99,105.47,111.46
Northern Arizona,Big Sky,-10.17,104.8,114.97,66.48,-8.72,104.89,113.61
North Dakota,Summit,-10.37,107.24,117.6,68.77,-2.39,108.79,111.18
Georgia Southern,Sun Belt,-11.01,103.19,114.19,69.39,-7.76,104.6,112.36
Colgate,Patriot,-11.07,103.11,114.17,67.49,-10.24,103.29,113.53
Ball State,MAC,-11.12,105.29,116.41,66.26,-8.96,104.18,113.14
Vermont,Am. East,-11.31,96.93,108.24,62.67,-10.92,102.73,113.65
Stephen F. Austin,Southland,-11.49,96.02,107.52,67.74,-3.25,105.6,108.85
Gardner-Webb,Big South,-11.5,102.65,114.15,68.84,-6.22,107.16,113.39
UMass Lowell,Am. East,-11.51,107.83,119.33,68.42,-10.74,101.16,111.91
American University,Patriot,-11.74,102.51,114.24,63.48,-10.5,103.27,113.76
Mount St. Mary's,MAAC,-11.77,99.86,111.63,67.52,-9.53,102.76,112.29
Houston Christian,Southland,-11.78,99.66,111.44,64.73,-3.75,105.22,108.96
Mercer,SoCon,-11.86,100.19,112.05,71.2,-7.32,105.55,112.87
Siena,MAAC,-12.1,103.19,115.3,66.92,-11.52,102.17,113.69
San Diego,WCC,-12.29,100.24,112.53,69.83,3.37,110.3,106.93
Manhattan,MAAC,-12.34,108.37,120.71,67.62,-12.54,100.96,113.51
Air Force,Mountain West,-12.65,99.46,112.11,64.17,6.46,111.94,105.48
Western Michigan,MAC,-12.7,101.86,114.57,67.54,-5.59,106.31,111.9
Iona,MAAC,-12.77,97.66,110.43,68.3,-11.94,101.51,113.46
Marist,MAAC,-12.86,97.49,110.36,63.94,-15.79,99.83,115.63
Tennessee State,OVC,-12.87,103.5,116.37,70.94,-12.5,100.57,113.07
Sacred Heart,MAAC,-13.04,102.13,115.17,70.92,-12.34,101.28,113.62
Eastern Washington,Big Sky,-13.31,101.78,115.09,66.84,-3.79,107.53,111.32
Jackson State,SWAC,-13.34,99.93,113.26,68.46,-8.82,103.07,111.89
Bowling Green,MAC,-13.38,99.06,112.44,69.17,-8.85,105.03,113.89
UAlbany,Am. East,-13.62,103.76,117.38,67.19,-13.05,101.43,114.48
North Florida,ASUN,-13.62,108.56,122.18,72.22,-6.38,106.2,112.58
Alabama State,SWAC,-13.66,100.67,114.33,67.85,-13.11,100.41,113.52
Eastern Michigan,MAC,-13.78,103.69,117.48,67.22,-7.31,105.52,112.83
Austin Peay,ASUN,-13.88,101.2,115.09,66.88,-4.99,107.97,112.96
Columbia,Ivy,-13.97,104.09,118.05,71.08,-8.88,104.27,113.15
Harvard,Ivy,-13.99,99.89,113.89,65.85,-7.79,104.22,112.01
Monmouth,CAA,-14.27,103.53,117.8,66.88,-5.84,105.12,110.97
Old Dominion,Sun Belt,-14.29,100.68,114.97,65.13,-5.68,105.65,111.34
Idaho,Big Sky,-14.39,106.9,121.29,65.94,-5.01,105.4,110.41
Texas Southern,SWAC,-14.9,95.19,110.09,70.09,-12.92,100.99,113.91
Utah Tech,WAC,-14.94,100.95,115.88,67.19,-1.45,106.13,107.58
Bethune-Cookman,SWAC,-15.08,95.57,110.66,68.95,-10.85,102.07,112.92
Navy,Patriot,-15.09,100.21,115.3,67.15,-13.63,101.03,114.66
Southern Miss,Sun Belt,-15.13,96.67,111.8,71.39,-4.86,105.65,110.5
Long Island University,NEC,-15.17,94.85,110.02,64.86,-16.25,100.07,116.32
Denver,Summit,-15.29,101.4,116.69,65.91,-4.18,108.77,112.96
Weber State,Big Sky,-15.66,101.38,117.04,65.89,-4.23,106.78,111.01
Lehigh,Patriot,-15.66,99.54,115.2,66.95,-10.32,103.11,113.43
Saint Peter's,MAAC,-15.71,94.86,110.56,63.75,-13.16,102.34,115.5
VMI,SoCon,-16.08,98.48,114.56,68.28,-6.61,105.91,112.52
Long Beach State,Big West,-16.18,99.59,115.77,64.25,-0.39,107.73,108.13
Fairleigh Dickinson,NEC,-16.23,98.71,114.94,69.17,-12.44,101.48,113.92
Lafayette,Patriot,-16.32,99.02,115.34,65.51,-13.47,101.93,115.4
Tennessee Tech,OVC,-16.4,100.08,116.47,67.95,-11.09,101.51,112.6
IU Indianapolis,Horizon,-16.66,109.14,125.8,64.46,-5.01,106.02,111.04
UMBC,Am. East,-16.77,107.37,124.14,70.18,-11.94,100.92,112.86
Boston University,Patriot,-16.83,98.96,115.79,63.06,-12.74,101.74,114.48
Southern Utah,WAC,-16.85,94.98,111.84,69.56,-2.56,105.37,107.93
Louisiana,Sun Belt,-17.09,97.16,114.24,66.4,-3.05,105.85,108.91
Charleston Southern,Big South,-17.15,99.21,116.37,67.19,-4.04,107.75,111.79
East Texas A&M,Southland,-17.16,95.51,112.66,67.85,-2.0,106.44,108.43
Pennsylvania,Ivy,-17.29,101.22,118.5,67.13,-4.84,105.79,110.63
Oral Roberts,Summit,-17.32,103.11,120.43,67.25,-1.21,109.83,111.04
Tarleton State,WAC,-17.45,90.32,107.78,66.02,0.75,107.96,107.21
Loyola Maryland,Patriot,-17.49,98.22,115.71,66.66,-12.45,101.95,114.41
Grambling,SWAC,-18.06,95.35,113.41,63.62,-10.9,101.94,112.84
Green Bay,Horizon,-18.13,101.19,119.33,68.77,-2.29,108.0,110.29
Delaware State,MEAC,-18.23,101.48,119.71,69.54,-15.64,100.54,116.18
Army,Patriot,-18.27,101.16,119.43,67.95,-11.0,103.38,114.39
Rider,MAAC,-18.49,99.17,117.65,65.17,-10.97,102.13,113.1
UT Martin,OVC,-18.79,101.14,119.93,65.71,-12.41,100.29,112.71
St. Francis (PA),NEC,-18.94,99.91,118.85,67.24,-11.63,100.69,112.33
North Carolina A&T,CAA,-19.02,95.9,114.92,69.92,-6.12,105.09,111.2
Detroit Mercy,Horizon,-19.09,95.97,115.06,67.4,-3.59,108.26,111.85
Binghamton,Am. East,-19.14,97.57,116.72,65.63,-14.28,101.52,115.8
Eastern Illinois,OVC,-19.41,91.25,110.66,65.49,-8.93,103.38,112.31
New Orleans,Southland,-19.44,101.33,120.77,69.21,-0.26,107.07,107.33
Coastal Carolina,Sun Belt,-19.49,99.87,119.37,63.64,-8.05,103.8,111.84
North Carolina Central,MEAC,-19.54,103.22,122.76,66.72,-11.87,102.4,114.27
Lindenwood,OVC,-19.57,94.93,114.5,68.75,-10.78,102.77,113.55
Niagara,MAAC,-19.73,102.29,122.02,64.52,-12.73,100.77,113.49
Florida A&M,SWAC,-19.89,99.45,119.34,67.15,-8.62,102.42,111.04
Holy Cross,Patriot,-19.96,99.25,119.21,66.29,-10.83,102.46,113.29
Stony Brook,CAA,-20.09,101.4,121.49,64.26,-5.67,104.97,110.64
South Carolina Upstate,Big South,-20.25,98.06,118.31,73.04,-3.12,107.44,110.56
Southern Indiana,OVC,-20.32,97.56,117.87,67.61,-13.49,100.86,114.34
Stonehill,NEC,-20.77,97.89,118.66,65.28,-13.49,100.4,113.9
Alcorn State,SWAC,-20.83,96.42,117.25,64.67,-9.91,102.38,112.29
Morehead State,OVC,-20.92,96.78,117.7,64.14,-11.78,100.19,111.97
Buffalo,MAC,-21.01,94.9,115.91,70.63,-4.94,106.51,111.45
Howard,MEAC,-21.04,99.65,120.69,69.4,-9.88,103.9,113.78
Sacramento State,Big Sky,-21.82,94.59,116.41,65.43,-6.61,105.77,112.37
Fairfield,MAAC,-22.07,97.31,119.38,65.91,-11.42,101.36,112.79
Western Carolina,SoCon,-22.08,93.33,115.41,70.31,-4.23,107.06,111.29
Morgan State,MEAC,-22.39,101.24,123.63,70.67,-12.65,101.93,114.58
Central Arkansas,ASUN,-22.61,98.48,121.09,66.54,-6.87,106.08,112.95
Bellarmine,ASUN,-22.99,102.68,125.67,66.06,-7.86,104.93,112.78
West Georgia,ASUN,-23.06,96.22,119.28,67.18,-7.29,105.63,112.91
Northern Illinois,MAC,-23.23,93.92,117.16,69.06,-6.13,105.81,111.94
Cal State Fullerton,Big West,-23.27,92.61,115.88,68.07,0.38,108.06,107.68
UL Monroe,Sun Belt,-23.28,94.57,117.85,68.24,-6.34,105.11,111.44
