Team, Conference, Net, AdjOff, AdjDef, AdjPace, NetSOS, OffSOS, DefSOS
Duke,ACC,46.52,134.57,88.05,65.56,15.59,117.29,101.7
Houston,Big 12,44.71,131.18,86.47,61.82,20.61,119.44,98.83
Auburn,SEC,43.11,134.72,91.61,67.56,22.63,120.82,98.19
Florida,SEC,41.65,131.57,89.92,69.59,19.84,119.54,99.7
Alabama,SEC,37.6,132.71,95.11,75.03,24.57,122.59,98.03
Tennessee,SEC,37.01,125.25,88.24,63.59,21.43,121.32,99.89
Gonzaga,WCC,36.8,132.39,95.59,69.36,12.33,115.34,103.01
Texas Tech,Big 12,36.74,133.15,96.41,65.85,16.6,116.46,99.86
Arizona,Big 12,34.32,128.52,94.2,70.24,20.95,120.05,99.1
Maryland,Big Ten,34.14,123.5,89.36,69.39,14.0,116.72,102.73
Iowa State,Big 12,33.0,125.17,92.17,68.47,15.65,117.02,101.37
Michigan State,Big Ten,32.89,123.55,90.66,67.05,18.47,118.72,100.24
Illinois,Big Ten,32.14,127.94,95.8,70.64,20.26,119.36,99.09
Purdue,Big Ten,32.13,129.65,97.52,64.54,21.29,120.14,98.84
St. John's,Big East,32.13,120.84,88.71,69.98,13.97,115.87,101.9
Wisconsin,Big Ten,31.77,127.88,96.11,67.53,18.33,118.6,100.27
Kentucky,SEC,31.51,129.16,97.66,70.66,22.84,121.11,98.27
Missouri,SEC,29.98,129.33,99.35,68.4,17.22,117.95,100.73
Baylor,Big 12,29.32,129.35,100.03,64.46,21.37,118.96,97.58
Kansas,Big 12,29.29,122.45,93.16,68.02,21.05,119.79,98.74
Texas A&M,SEC,28.75,121.96,93.2,66.52,20.63,119.76,99.13
UConn,Big East,28.75,128.42,99.68,63.59,14.07,116.13,102.05
BYU,Big 12,28.6,129.35,100.75,67.76,15.39,116.33,100.93
Saint Mary's,WCC,28.56,121.18,92.62,61.51,10.56,115.88,105.33
Michigan,Big Ten,28.46,121.52,93.06,69.7,21.33,119.69,98.37
UCLA,Big Ten,28.1,120.89,92.8,64.84,15.65,117.18,101.54
Oregon,Big Ten,27.5,122.37,94.87,68.02,17.99,118.21,100.22
Ohio State,Big Ten,27.23,126.85,99.63,66.71,18.78,118.66,99.88
Mississippi State,SEC,27.21,124.46,97.25,68.48,21.36,120.63,99.26
Marquette,Big East,27.07,121.82,94.75,67.92,17.68,117.65,99.97
Clemson,ACC,27.05,123.2,96.15,64.53,11.9,114.95,103.05
Ole Miss,SEC,26.92,122.26,95.34,67.75,20.17,119.64,99.46
Louisville,ACC,26.91,121.71,94.79,68.91,13.97,116.17,102.2
North Carolina,ACC,25.52,124.03,98.51,70.69,16.61,117.41,100.81
Creighton,Big East,25.36,121.75,96.38,67.64,17.0,117.2,100.2
Arkansas,SEC,24.43,118.5,94.06,68.96,18.32,118.68,100.36
Georgia,SEC,24.13,119.6,95.47,66.39,16.4,117.28,100.87
Texas,SEC,23.88,123.8,99.93,67.35,15.46,116.62,101.15
Xavier,Big East,23.74,121.27,97.54,68.63,14.97,116.28,101.3
VCU,A-10,23.11,116.85,93.73,66.39,2.79,109.53,106.74
