Team, Conference, Net, AdjOff, AdjDef, AdjPace, NetSOS, OffSOS, DefSOS
Houston Christian,Southland,-17.4,99.6,116.99,64.96,-8.56,105.22,113.78
Southern,SWAC,-17.42,102.67,120.08,70.36,-11.53,103.81,115.34
Le Moyne,NEC,-17.65,98.95,116.6,69.8,-16.92,101.23,118.15
Mount St. Mary's,MAAC,-17.69,95.76,113.45,68.71,-13.83,102.04,115.87
Northern Arizona,Big Sky,-17.72,101.92,119.64,64.65,-4.47,108.79,113.25
Eastern Kentucky,ASUN,-17.8,107.06,124.85,67.94,-9.44,107.15,116.59
Lehigh,Patriot,-18.01,100.59,118.6,67.36,-13.65,103.48,117.12
Grambling,SWAC,-18.32,94.09,112.42,67.73,-16.23,101.37,117.6
Bellarmine,ASUN,-18.4,112.48,130.88,64.64,-9.7,106.77,116.47
UNC Greensboro,SoCon,-18.58,107.19,125.76,68.28,-10.96,105.96,116.92
West Georgia,ASUN,-18.65,99.73,118.39,69.76,-10.99,107.8,118.79
Jacksonville,ASUN,-18.77,103.26,122.03,63.45,-8.62,107.2,115.82
Ball State,MAC,-18.88,94.81,113.69,64.23,-8.7,106.88,115.58
Georgia State,Sun Belt,-19.01,96.05,115.06,68.2,-8.97,105.39,114.35
East Texas A&M,Southland,-19.11,97.47,116.58,69.39,-5.46,106.27,111.73
IU Indianapolis,Horizon,-20.04,103.1,123.14,74.21,-8.84,107.19,116.03
Morehead State,OVC,-20.17,103.15,123.32,65.96,-13.99,101.48,115.47
Central Connecticut,NEC,-20.28,102.37,122.65,65.63,-18.3,99.67,117.97
Sacred Heart,MAAC,-20.36,104.48,124.84,68.92,-15.33,100.63,115.96
Louisiana,Sun Belt,-20.64,96.44,117.08,63.95,-9.76,104.65,114.41
Norfolk State,MEAC,-21.07,99.11,120.18,68.57,-17.27,99.67,116.94
UTSA,American,-21.09,97.37,118.46,68.94,0.89,110.4,109.51
Eastern Illinois,OVC,-21.13,94.73,115.87,66.53,-11.47,102.95,114.42
Stetson,ASUN,-21.56,100.98,122.54,67.7,-8.94,106.95,115.89
Cleveland State,Horizon,-21.69,105.97,127.66,69.95,-7.54,107.86,115.41
Cal State Bakersfield,Big West,-21.7,98.36,120.06,71.03,-5.28,105.95,111.23
Alabama A&M,SWAC,-21.91,98.85,120.75,66.0,-17.73,100.4,118.12
Northern Illinois,MAC,-22.17,95.43,117.59,67.89,-6.3,107.47,113.77
Prairie View A&M,SWAC,-22.34,97.64,119.98,70.74,-15.12,102.36,117.48
Tennessee Tech,OVC,-22.45,97.38,119.83,67.65,-14.48,100.86,115.34
Lafayette,Patriot,-22.54,97.7,120.24,66.69,-12.46,104.07,116.53
Alabama State,SWAC,-22.63,96.22,118.85,69.78,-14.19,101.47,115.66
Florida A&M,SWAC,-22.7,92.35,115.05,68.8,-15.24,102.82,118.06
Little Rock,OVC,-22.74,96.95,119.69,67.05,-13.62,100.88,114.5
Holy Cross,Patriot,-23.26,97.93,121.19,66.39,-12.3,104.45,116.75
