Team, Conference, Net, AdjOff, AdjDef, AdjPace, NetSOS, OffSOS, DefSOS
Navy,Patriot,-4.93,104.29,109.22,65.83,-16.44,101.54,117.98
Tulane,American,-4.95,107.28,112.23,67.76,0.13,109.29,109.16
Cal State Northridge,Big West,-5.19,107.21,112.4,73.74,-4.24,106.66,110.89
Massachusetts,MAC,-5.24,110.02,115.26,70.64,-7.9,107.0,114.9
Indiana State,MVC,-5.3,106.62,111.92,68.62,-0.47,108.39,108.85
San José State,Mountain West,-5.3,112.52,117.82,64.91,6.84,114.33,107.5
Florida International,CUSA,-5.31,106.77,112.08,72.31,-3.02,109.14,112.16
Portland,WCC,-5.63,104.76,110.38,68.82,2.89,111.39,108.5
Harvard,Ivy,-5.79,105.18,110.97,63.63,-8.98,106.25,115.23
Marshall,Sun Belt,-5.81,108.99,114.8,70.37,-9.86,105.9,115.76
Louisiana Tech,CUSA,-5.82,101.25,107.07,64.83,-6.75,107.27,114.02
Missouri State,CUSA,-5.95,109.87,115.82,65.46,-4.6,107.55,112.15
Monmouth,CAA,-6.11,105.19,111.29,67.46,-7.02,105.17,112.2
Eastern Washington,Big Sky,-6.27,111.62,117.9,68.25,-2.51,109.12,111.63
Columbia,Ivy,-6.28,107.68,113.97,67.78,-9.62,105.95,115.57
Northern Kentucky,Horizon,-6.53,108.13,114.66,70.18,-9.77,107.86,117.62
Montana,Big Sky,-6.54,104.29,110.83,69.83,-3.16,110.04,113.2
Utah Tech,WAC,-6.68,111.31,117.99,67.4,-2.3,106.41,108.71
Cornell,Ivy,-6.76,116.8,123.56,72.06,-6.52,107.25,113.77
Rice,American,-6.83,108.82,115.65,66.64,-1.48,109.02,110.5
Texas A&M-Corpus Christi,Southland,-6.92,99.97,106.89,67.0,-4.09,107.34,111.44
Weber State,Big Sky,-7.01,110.1,117.11,68.95,-5.87,107.23,113.1
Jacksonville State,CUSA,-7.13,103.78,110.91,65.31,-6.8,106.56,113.36
South Alabama,Sun Belt,-7.24,107.52,114.76,65.91,-9.08,106.13,115.2
Marist,MAAC,-7.3,97.29,104.58,67.02,-16.12,101.56,117.69
Campbell,CAA,-7.46,107.71,115.18,70.55,-2.72,108.25,110.97
South Dakota State,Summit,-7.55,106.73,114.27,67.52,-6.31,106.62,112.93
Buffalo,MAC,-7.56,110.98,118.54,67.01,-8.24,106.19,114.43
App State,Sun Belt,-7.69,103.84,111.53,63.69,-10.52,105.59,116.11
Queens University,ASUN,-7.69,114.63,122.32,70.11,-7.87,108.35,116.21
Siena,MAAC,-7.81,104.76,112.57,65.03,-14.97,101.34,116.31
Cal Poly,Big West,-7.86,108.45,116.32,74.12,-2.62,107.23,109.85
San Diego,WCC,-7.9,107.19,115.09,68.5,0.96,109.71,108.75
Youngstown State,Horizon,-8.01,103.78,111.8,67.58,-10.14,107.2,117.34
Lipscomb,ASUN,-8.15,103.02,111.17,70.64,-8.96,107.46,116.41
Drexel,CAA,-8.43,101.26,109.69,64.9,-9.85,104.04,113.89
La Salle,A-10,-8.67,102.95,111.62,66.73,3.51,111.0,107.49
