Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_School,Overall_G,Overall_W,Overall_L,Overall_W-L%,Overall_SRS,Overall_SOS,Unnamed: 8_level_0_Unnamed: 8_level_1,Conf._W,Conf._L,Unnamed: 11_level_0_Unnamed: 11_level_1,Home_W,Home_L,Unnamed: 14_level_0_Unnamed: 14_level_1,Away_W,Away_L,Unnamed: 17_level_0_Unnamed: 17_level_1,Points_Tm.,Points_Opp.,Unnamed: 20_level_0_Unnamed: 20_level_1,Totals_MP,Totals_FG,Totals_FGA,Totals_FG%,Totals_3P,Totals_3PA,Totals_3P%,Totals_FT,Totals_FTA,Totals_FT%,Totals_ORB,Totals_TRB,Totals_AST,Totals_STL,Totals_BLK,Totals_TOV,Totals_PF
214,North Texas,33,19,14,.576,1.98,1.04,,9,9,,12,5,,5,7,,2341,2225,,1350,812,1910,.425,186,621,.300,529,763,.693,401,1163,415,308,144,376,642
215,Northeastern,31,7,24,.226,-9.18,-3.12,,2,16,,2,10,,3,13,,2322,2510,,1245,855,1856,.461,236,701,.337,376,545,.690,296,979,476,216,92,355,597
216,Northern Arizona,32,10,22,.313,-11.12,-1.60,,4,14,,9,7,,1,13,,2282,2445,,1280,823,1769,.465,239,651,.367,397,583,.681,253,952,426,220,87,336,554
217,Northern Colorado,32,20,12,.625,-0.13,-2.89,,10,8,,11,3,,8,7,,2640,2449,,1300,967,1972,.490,306,846,.362,400,527,.759,301,1172,530,139,85,348,572
218,Northern Illinois,30,9,21,.300,-15.10,-2.57,,4,14,,6,7,,3,14,,2086,2334,,1200,708,1703,.416,239,766,.312,431,649,.664,353,1040,374,181,56,446,549
219,Northern Iowa NCAA,36,23,13,.639,7.84,1.78,,11,9,,12,5,,6,6,,2500,2223,,1450,938,1978,.474,275,781,.352,349,503,.694,246,1147,534,232,111,333,552
220,Northern Kentucky,34,20,14,.588,-2.63,-4.85,,10,10,,12,5,,7,8,,2827,2634,,1370,982,2101,.467,320,937,.342,543,761,.714,405,1205,536,293,120,402,626
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
221,Northwestern,34,15,19,.441,12.30,11.13,,5,15,,9,7,,3,8,,2487,2447,,1365,890,1929,.461,216,655,.330,491,654,.751,309,1037,586,197,121,290,582
222,Northwestern State,32,10,22,.313,-9.55,-2.72,,8,14,,8,6,,2,15,,2185,2317,,1285,743,1699,.437,191,575,.332,508,685,.742,284,1005,382,206,76,374,533
223,Notre Dame,31,13,18,.419,8.50,9.37,,4,14,,10,7,,2,9,,2308,2335,,1260,801,1799,.445,279,783,.356,427,613,.697,343,1135,380,138,69,356,554
224,Oakland,32,16,16,.500,-1.54,-0.32,,12,8,,7,6,,8,9,,2642,2614,,1280,927,1957,.474,231,664,.348,557,743,.750,354,1119,504,244,116,335,487
225,Ohio,32,15,17,.469,-4.96,-1.66,,9,9,,10,6,,4,8,,2492,2515,,1290,884,1916,.461,224,728,.308,500,708,.706,322,1076,432,196,114,348,572
226,Ohio State NCAA,34,21,13,.618,18.66,11.92,,12,8,,14,3,,5,6,,2697,2468,,1375,936,1907,.491,273,764,.357,552,710,.777,313,1129,492,165,82,350,594
227,Oklahoma,37,21,16,.568,14.73,9.27,,7,11,,11,5,,4,7,,3067,2865,,1500,1054,2245,.469,357,979,.365,602,798,.754,418,1318,536,235,143,369,652
228,Oklahoma State,35,20,15,.571,10.66,10.01,,6,12,,15,6,,2,7,,2935,2912,,1415,1012,2201,.460,265,781,.339,646,867,.745,397,1331,510,247,93,413,593
229,Old Dominion,33,12,21,.364,-7.44,-4.44,,7,11,,7,6,,4,14,,2514,2570,,1330,878,1978,.444,254,717,.354,504,687,.734,314,1151,432,189,104,360,637
230,Omaha,33,16,17,.485,-7.67,-3.91,,8,8,,10,4,,5,10,,2507,2522,,1325,882,1905,.463,279,792,.352,464,631,.735,295,1139,431,190,93,365,550
231,Oral Roberts,33,10,23,.303,-10.50,-2.60,,4,12,,7,8,,1,13,,2420,2558,,1330,811,1896,.428,282,874,.323,516,694,.744,342,1152,392,198,111,440,651
232,Oregon,32,12,20,.375,8.62,11.72,,5,15,,10,7,,2,8,,2267,2366,,1285,776,1822,.426,250,780,.321,465,637,.730,358,1100,458,194,126,377,498
233,Oregon State,33,17,16,.515,0.40,3.43,,9,9,,12,5,,4,7,,2347,2447,,1340,747,1749,.427,271,774,.350,582,754,.772,284,1070,457,182,121,393,586
234,Pacific,33,18,15,.545,3.99,2.47,,8,10,,11,3,,4,11,,2399,2271,,1325,870,1867,.466,239,663,.360,420,557,.754,386,1260,505,179,75,430,599
235,Penn State,32,12,20,.375,3.73,9.39,,3,17,,9,8,,2,9,,2358,2539,,1280,841,1795,.469,221,683,.324,455,607,.750,266,927,406,222,54,337,496
236,Pennsylvania NCAA,30,18,12,.600,-1.04,-1.01,,9,5,,12,2,,4,8,,2277,2231,,1210,796,1807,.441,243,636,.382,442,638,.693,341,1081,418,198,94,322,504
237,Pepperdine,32,9,23,.281,-6.26,3.05,,4,14,,7,10,,2,11,,2312,2546,,1290,806,1889,.427,231,728,.317,469,625,.750,356,1086,451,193,90,410,495
238,Pittsburgh,33,13,20,.394,8.06,9.36,,5,13,,8,10,,3,8,,2327,2370,,1330,834,1899,.439,270,809,.334,389,577,.674,391,1139,436,216,102,371,535
239,Portland,34,15,19,.441,-2.52,3.51,,6,12,,12,6,,1,12,,2530,2669,,1370,907,1947,.466,205,678,.302,511,692,.738,322,1149,563,201,99,465,595
240,Portland State,31,20,11,.645,-0.34,-3.05,,13,5,,11,3,,8,7,,2376,2179,,1250,851,1848,.460,207,637,.325,467,660,.708,347,1143,449,236,118,361,609
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
241,Prairie View A&M NCAA,37,19,18,.514,-13.16,-9.10,,9,9,,10,3,,3,13,,2883,2831,,1485,976,2222,.439,225,677,.332,706,933,.757,368,1243,429,293,175,433,697
242,Presbyterian,33,15,18,.455,-8.47,-5.37,,7,9,,10,4,,3,13,,2388,2382,,1335,861,1813,.475,170,527,.323,496,724,.685,362,1167,433,189,152,429,585
243,Princeton,29,9,20,.310,-7.21,-2.24,,5,9,,8,4,,1,12,,1989,2087,,1170,671,1582,.424,241,706,.341,406,540,.752,274,967,371,138,63,320,478
