Team,Conference,Net,Offensive,Defensive,Possessions
Idaho State,Big Sky,-3.83,110.28,114.11,66.67
Illinois,Big Ten,40.18,135.14,94.96,66.60
Illinois State,MVC,10.67,111.38,100.71,67.69
Illinois-Chicago,MVC,7.49,110.65,103.16,68.37
Incarnate Word,Southland,-4.23,109.46,113.69,66.60
Indiana,Big Ten,24.75,124.23,99.48,67.28
Indiana State,MVC,-1.49,104.62,106.11,70.45
Iona,MAAC,-10.08,100.26,110.34,69.69
Iowa,Big Ten,29.67,127.12,97.45,62.91
Iowa State,Big 12,37.95,127.50,89.55,68.69
IU Indy,Horizon,-13.10,105.97,119.07,76.54
Jackson State,SWAC,-28.03,93.96,121.99,71.63
Jacksonville,ASUN,-8.61,105.76,114.37,66.64
Jacksonville State,ASUN,2.10,105.96,103.86,67.22
James Madison,Sun Belt,-7.39,106.24,113.63,67.60
Kansas,Big 12,29.05,119.71,90.66,68.75
Kansas City,Summit League,-23.05,94.74,117.79,72.03
Kansas State,Big 12,12.11,115.27,103.16,73.86
Kennesaw State,CUSA,7.99,112.92,104.93,72.67
Kent State,MAC,2.35,111.86,109.51,74.11
Kentucky,SEC,27.88,125.07,97.19,69.92
La Salle,A10,-5.26,103.35,108.61,66.63
Lafayette,Patriot,-16.87,98.30,115.17,67.42
Lamar,Southland,-4.35,102.21,106.56,66.62
Le Moyne,NEC,-14.01,98.27,112.28,69.58
Lehigh,Patriot,-11.92,99.97,111.89,69.11
Liberty,CUSA,9.57,118.23,108.66,65.21
Lindenwood,OVC,-4.98,99.32,104.30,73.71
Lipscomb,ASUN,-1.58,108.25,109.83,71.07
Little Rock,OVC,-16.69,97.40,114.09,68.54
Long Beach State,Big West,-3.83,103.86,107.69,72.06
LIU,NEC,-6.61,102.78,109.39,68.25
Longwood,Big South,-5.50,102.66,108.16,71.64
Louisiana,Sun Belt,-18.50,95.74,114.24,64.16
LSU,SEC,17.17,122.10,104.93,70.84
Louisiana Tech,CUSA,2.01,103.29,101.28,66.21
Louisiana-Monroe,Sun Belt,-23.75,97.51,121.26,71.76
Louisville,ACC,32.03,127.02,94.99,71.07
Loyola Chicago,A10,-9.43,102.98,112.41,66.03
Loyola Maryland,Patriot,-16.21,101.41,117.62,69.82
Loyola Marymount,West Coast,4.01,107.41,103.40,69.67
Maine,America East,-21.01,89.85,110.86,65.06
Manhattan,MAAC,-18.87,101.38,120.25,69.13
Marist,MAAC,-1.91,98.73,100.64,66.49
Marquette,Big East,13.03,112.93,99.90,70.84
Marshall,Sun Belt,-2.00,111.42,113.42,70.55
Maryland,Big Ten,6.28,111.99,105.71,66.98
UMBC,America East,-3.60,104.34,107.94,67.48
UMES,MEAC,-22.42,91.25,113.67,66.53
Massachusetts,MAC,-2.02,107.45,109.47,72.94
UMASS Lowell,America East,-14.58,101.67,116.25,69.42
McNeese St,Southland,17.04,116.25,99.21,67.83
Memphis,American,5.05,108.06,103.01,72.06
Mercer,SoCon,2.07,112.38,110.31,70.94
Mercyhurst,NEC,-9.49,98.83,108.32,65.67
Merrimack,MAAC,-6.20,101.65,107.85,64.53
Miami (FL),ACC,25.45,123.53,98.08,69.26
Miami (OH),MAC,13.66,119.98,106.32,72.62
Michigan,Big Ten,46.02,133.60,87.58,71.94
Michigan State,Big Ten,33.82,126.82,93.00,67.46
MTSU,CUSA,5.66,110.51,104.85,68.81
Milwaukee,Horizon,-7.75,108.29,116.04,69.25
Minnesota,Big Ten,15.09,116.00,100.91,63.32
Mississippi,SEC,15.46,117.08,101.62,69.59
Mississippi State,SEC,10.09,115.09,105.00,72.45
Mississippi Valley State,SWAC,-38.68,85.90,124.58,70.70
Missouri,SEC,17.35,121.18,103.83,69.19
Missouri State,CUSA,0.04,109.45,109.41,67.84
Monmouth,CAA,-0.94,104.60,105.54,67.89
Montana,Big Sky,2.06,107.70,105.64,71.32
Montana State,Big Sky,8.18,113.68,105.50,67.87
Morehead State,OVC,-10.12,105.27,115.39,67.72
Morgan State,MEAC,-20.70,97.02,117.72,71.85
