,Date,Home_Team,Score_H,Away_Team,Score_A
0,10/26/2025,SIUE,100.0,St Ambrose,60.0
1,11/3/2025,UNC Wilmington,106.0,Mt Olive,77.0
2,11/3/2025,Idaho,83.0,Washington St,81.0
3,11/3/2025,Tennessee,76.0,Mercer,61.0
4,11/3/2025,Auburn,95.0,Bethune-Cookman,90.0
5,11/3/2025,South Alabama,76.0,Toledo,74.0
6,11/3/2025,N Illinois,102.0,ULM,82.0
7,11/3/2025,C Michigan,82.0,Appalachian St,66.0
8,11/3/2025,Bowling Green,83.0,Texas St,48.0
9,11/3/2025,Wright St,86.0,Franklin,37.0
10,11/3/2025,N Kentucky,126.0,Cin Clermont,69.0
11,11/3/2025,Ohio St,118.0,IUPUI,102.0
12,11/3/2025,IL Chicago,91.0,Detroit,71.0
13,11/3/2025,WKU,82.0,Tennessee Tech,70.0
14,11/3/2025,Georgia,104.0,Bellarmine,59.0
15,11/3/2025,Penn St,76.0,Fairfield,68.0
16,11/3/2025,Marquette,80.0,SUNY Albany,53.0
17,11/3/2025,Maryland,83.0,Coppin St,61.0
18,11/3/2025,VCU,103.0,Wagner,74.0
19,11/3/2025,St Joseph's PA,85.0,Lafayette,76.0
20,11/3/2025,DePaul,92.0,Chicago St,62.0
21,11/3/2025,Ball St,75.0,Louisiana,64.0
22,11/3/2025,WI Milwaukee,90.0,Hampton,86.0
23,11/3/2025,Siena,82.0,Bryant,66.0
24,11/3/2025,Akron,85.0,James Madison,71.0
25,11/3/2025,St John's,108.0,Quinnipiac,74.0
26,11/3/2025,Georgia Tech,56.0,MD E Shore,52.0
27,11/3/2025,Northwestern,70.0,Mercyhurst,47.0
28,11/3/2025,Towson,67.0,Loyola MD,56.0
29,11/3/2025,Navy,76.0,Presbyterian,55.0
30,11/3/2025,Utah,84.0,San Jose St,75.0
31,11/3/2025,Kansas,94.0,WI Green Bay,51.0
32,11/3/2025,Colorado,84.0,Montana St,78.0
33,11/3/2025,Cincinnati,94.0,W Carolina,63.0
34,11/3/2025,BYU,71.0,Villanova,66.0
35,11/3/2025,Baylor,96.0,UTRGV,81.0
36,11/3/2025,Wake Forest,88.0,American Univ,74.0
37,11/3/2025,Syracuse,85.0,Binghamton,47.0
38,11/3/2025,SMU,96.0,Tarleton St,76.0
39,11/3/2025,Pittsburgh,74.0,Youngstown St,59.0
40,11/3/2025,North Carolina,94.0,Cent Arkansas,54.0
41,11/3/2025,NC State,114.0,NC Central,66.0
42,11/3/2025,California,87.0,CS Bakersfield,60.0
43,11/3/2025,FL Atlantic,83.0,Boston College,78.0
44,11/3/2025,St Louis,92.0,SE Missouri St,67.0
45,11/3/2025,Rhode Island,93.0,Stetson,62.0
46,11/3/2025,Loyola-Chicago,91.0,Cleveland St,88.0
47,11/3/2025,G Washington,67.0,Maine,47.0
48,11/3/2025,UCLA,80.0,E Washington,74.0
49,11/3/2025,Duquesne,83.0,Niagara,63.0
50,11/3/2025,Dayton,88.0,Canisius,48.0
51,11/3/2025,Xavier,66.0,Marist,62.0
52,11/3/2025,Georgetown,87.0,Morgan St,70.0
53,11/3/2025,Clemson,88.0,New Hampshire,38.0
54,11/3/2025,Connecticut,79.0,New Haven,55.0
55,11/3/2025,Providence,89.0,Holy Cross,79.0
56,11/3/2025,Virginia,87.0,Rider,53.0
57,11/3/2025,Oklahoma,102.0,St Francis PA,66.0
58,11/3/2025,Notre Dame,89.0,LIU Brooklyn,67.0
59,11/3/2025,Iowa St,88.0,F Dickinson,50.0
60,11/3/2025,Alabama,91.0,North Dakota,62.0
61,11/3/2025,Utah Tech,81.0,South Dakota,79.0
62,11/3/2025,Miami FL,86.0,Jacksonville,69.0
63,11/3/2025,Mississippi,88.0,SE Louisiana,58.0
64,11/3/2025,New Orleans,78.0,TCU,74.0
65,11/3/2025,Winthrop,81.0,Queens NC,74.0
66,11/3/2025,St Bonaventure,69.0,Bradley,63.0
67,11/3/2025,VMI,122.0,J&W NC,58.0
68,11/3/2025,FGCU,96.0,New College FL,60.0
69,11/3/2025,CS Fullerton,136.0,Caltech,82.0
70,11/3/2025,Virginia Tech,98.0,Charleston So,67.0
71,11/3/2025,Central Conn,117.0,NVU-Johnson,55.0
72,11/3/2025,Sam Houston St,95.0,Le Tourneau,59.0
73,11/3/2025,Belmont,79.0,Air Force,63.0
74,11/3/2025,Charlotte,92.0,Indiana St,76.0
75,11/3/2025,Abilene Chr,92.0,McMurry,55.0
76,11/3/2025,Tennessee St,101.0,Fisk,50.0
77,11/3/2025,Florida Intl,101.0,Florida National,49.0
78,11/3/2025,Liberty,98.0,Kentucky Chr,57.0
79,11/3/2025,Pepperdine,88.0,Life Pacific,80.0
80,11/3/2025,Jacksonville St,117.0,Oakwood,63.0
81,11/3/2025,Lamar,93.0,Texas A&M-SA,53.0
82,11/3/2025,Norfolk St,98.0,Washington Advt,76.0
83,11/3/2025,UCF,82.0,Hofstra,78.0
84,11/3/2025,Houston,75.0,Lehigh,57.0
85,11/3/2025,Seattle,84.0,Denver,73.0
86,11/3/2025,Oregon St,67.0,N Dakota St,65.0
87,11/3/2025,Gonzaga,98.0,TX Southern,43.0
88,11/3/2025,Hawaii Pacific,79.0,Boise St,78.0
89,11/3/2025,Wyoming,99.0,Northern St SD,75.0
90,11/3/2025,Stonehill,100.0,Thomas ME,48.0
91,11/3/2025,High Point,97.0,Furman,71.0
92,11/3/2025,UT Arlington,91.0,UNT Dallas,40.0
93,11/3/2025,Boston Univ,76.0,Northeastern,75.0
94,11/3/2025,Vanderbilt,105.0,Lipscomb,61.0
95,11/3/2025,Portland,120.0,Willamette,83.0
96,11/3/2025,Wisconsin,96.0,Campbell,64.0
97,11/3/2025,W Michigan,76.0,Coastal Car,71.0
98,11/3/2025,Michigan St,80.0,Colgate,69.0
99,11/3/2025,Col Charleston,79.0,Tusculum,58.0
100,11/3/2025,Drake,77.0,Northern Arizona,71.0
101,11/3/2025,Missouri KC,80.0,Evangel,74.0
102,11/3/2025,Arizona,93.0,Florida,87.0
103,11/3/2025,Fresno St,88.0,Fresno Pacific,51.0
104,11/3/2025,Minnesota,87.0,Gardner Webb,60.0
105,11/3/2025,George Mason,70.0,Wofford,46.0
106,11/3/2025,William & Mary,110.0,Georgian Court,63.0
107,11/3/2025,Grambling,91.0,Huston-Tillot,47.0
108,11/3/2025,Arkansas St,89.0,Ohio,85.0
109,11/3/2025,Houston Chr,74.0,S Arkansas,70.0
110,11/3/2025,Illinois,113.0,Jackson St,55.0
111,11/3/2025,Kennesaw,105.0,Paine,30.0
112,11/3/2025,UC Riverside,90.0,La Sierra,49.0
113,11/3/2025,UC San Diego,105.0,La Verne,73.0
114,11/3/2025,Le Moyne,94.0,SUNY Cobleskill,50.0
115,11/3/2025,Longwood,92.0,Mary Baldwin,55.0
116,11/3/2025,MA Lowell,107.0,Rivier,55.0
117,11/3/2025,S Illinois,83.0,McKendree,42.0
118,11/3/2025,McNeese St,127.0,Champion Bap,65.0
119,11/3/2025,UC Davis,96.0,Menlo,69.0
120,11/3/2025,Morehead St,89.0,Midway,84.0
121,11/3/2025,SF Austin,103.0,Millsaps,76.0
122,11/3/2025,Murray St,85.0,NE Omaha,77.0
123,11/3/2025,Texas A&M,98.0,Northwestern LA,68.0
124,11/3/2025,Michigan,121.0,Oakland,78.0
125,11/3/2025,Prairie View,95.0,CBS-Houston,48.0
126,11/3/2025,Radford,80.0,W Illinois,75.0
127,11/3/2025,San Francisco,98.0,UC Santa Cruz,53.0
128,11/3/2025,Cal Baptist,87.0,SC Upstate,75.0
129,11/3/2025,South Florida,102.0,Florida A&M,67.0
130,11/3/2025,Arkansas,109.0,Southern Univ,77.0
131,11/3/2025,Stony Brook,66.0,Farmingdale,59.0
132,11/3/2025,UTEP,98.0,Permian Basin,56.0
133,11/3/2025,Vermont,75.0,W New England,68.0
134,11/3/2025,Utah St,110.0,Westminster UT,54.0
135,11/3/2025,Austin Peay,128.0,Bryan,47.0
136,11/3/2025,Davidson,97.0,DeSales,63.0
137,11/3/2025,Tulsa,100.0,Oklahoma Chr,57.0
138,11/3/2025,Drexel,93.0,Widener,59.0
139,11/3/2025,Washington,94.0,Ark Pine Bluff,50.0
140,11/3/2025,Seton Hall,77.0,St Peter's,50.0
141,11/3/2025,UAB,106.0,MS Valley St,55.0
142,11/3/2025,Tulane,85.0,Samford,72.0
143,11/3/2025,Chattanooga,92.0,Union KY,39.0
144,11/3/2025,Miami OH,87.0,Old Dominion,72.0
145,11/3/2025,Missouri,88.0,Howard,67.0
146,11/3/2025,East Texas A&M,119.0,Arlington Bap,60.0
147,11/3/2025,USC,94.0,Cal Poly,64.0
148,11/3/2025,Buffalo,85.0,Southern Miss,79.0
149,11/3/2025,Troy,103.0,Kent,97.0
150,11/3/2025,Army,73.0,SUNY Maritime,49.0
151,11/3/2025,Weber St,130.0,W Coast Bap,38.0
152,11/3/2025,Grand Canyon,90.0,PFW,71.0
153,11/3/2025,St Mary's CA,84.0,St Thomas MN,58.0
154,11/3/2025,S Dakota St,75.0,Merrimack,66.0
155,11/3/2025,Nebraska,86.0,West Georgia,53.0
156,11/3/2025,Louisville,104.0,S Carolina St,45.0
157,11/3/2025,Colorado St,98.0,Incarnate Word,64.0
158,11/3/2025,TAM C. Christi,83.0,Trinity TX,56.0
159,11/3/2025,Alabama A&M,80.0,Blue Mtn,60.0
160,11/3/2025,Bucknell,78.0,Delaware,70.0
161,11/3/2025,CS Northridge,99.0,Nobel,58.0
162,11/3/2025,Loy Marymount,137.0,Lincoln CA,54.0
163,11/3/2025,Marshall,78.0,Massachusetts,72.0
164,11/3/2025,Montana,106.0,Northwest Indian,41.0
165,11/3/2025,UC Irvine,125.0,Bethesda,49.0
166,11/3/2025,Citadel,105.0,Erskine,61.0
167,11/3/2025,E Michigan,71.0,Georgia St,49.0
168,11/3/2025,N Colorado,91.0,Colorado Col,57.0
169,11/3/2025,North Texas,88.0,NM Highlands,54.0
170,11/4/2025,Iowa,101.0,Robert Morris,69.0
171,11/4/2025,Missouri St,88.0,MO Southern,70.0
172,11/4/2025,San Diego St,77.0,Long Beach St,45.0
173,11/4/2025,East Carolina,92.0,Ga Southern,89.0
174,11/4/2025,TN Martin,86.0,UNLV,81.0
175,11/4/2025,Texas Tech,98.0,Lindenwood,60.0
176,11/4/2025,Kansas St,93.0,UNC Greensboro,64.0
177,11/4/2025,Arizona St,81.0,Southern Utah,64.0
178,11/4/2025,West Virginia,70.0,Mt St Mary's,54.0
179,11/4/2025,Oklahoma St,95.0,Oral Roberts,71.0
180,11/4/2025,Sacred Heart,103.0,Merchant Marine,46.0
181,11/4/2025,NJIT,72.0,Fordham,61.0
182,11/4/2025,Idaho St,81.0,Park-Gilbert,71.0
183,11/4/2025,Valparaiso,66.0,E Illinois,63.0
184,11/4/2025,Duke,75.0,Texas,60.0
185,11/4/2025,Stanford,89.0,Portland St,79.0
186,11/4/2025,Ark Little Rock,92.0,Ark Baptist,63.0
187,11/4/2025,Oregon,60.0,Hawaii,59.0
188,11/4/2025,ETSU,102.0,Converse,50.0
189,11/4/2025,Monmouth NJ,96.0,Caldwell,68.0
190,11/4/2025,San Diego,88.0,Occidental,59.0
191,11/4/2025,Manhattan,125.0,St Joseph's NY,59.0
192,11/4/2025,Santa Clara,83.0,Humboldt St,53.0
193,11/4/2025,CS Sacramento,103.0,Dominican CA,79.0
194,11/4/2025,Purdue,82.0,Evansville,51.0
195,11/4/2025,Nevada,77.0,Louisiana Tech,50.0
196,11/4/2025,UMBC,74.0,PSU York,53.0
197,11/4/2025,South Carolina,91.0,NC A&T,72.0
198,11/4/2025,UC Santa Barbara,98.0,S Francisco St,67.0
199,11/4/2025,SIUE,119.0,East-West,50.0
200,11/4/2025,Wichita St,75.0,UNC Asheville,58.0
201,11/4/2025,Rice,109.0,CBS-Houston,38.0
202,11/4/2025,Kentucky,77.0,Nicholls St,51.0
203,11/4/2025,Florida St,108.0,Alcorn St,76.0
204,11/4/2025,Utah Valley,116.0,W Coast Bap,35.0
205,11/4/2025,New Mexico St,83.0,Adams St,72.0
206,11/5/2025,Loy Marymount,70.0,E Washington,62.0
207,11/5/2025,Mercer,101.0,LaGrange,62.0
208,11/5/2025,Mississippi St,86.0,North Alabama,62.0
209,11/5/2025,Georgia,94.0,MD E Shore,29.0
210,11/5/2025,Marquette,100.0,Southern Univ,82.0
211,11/5/2025,MTSU,100.0,Milligan,51.0
212,11/5/2025,La Salle,87.0,Coppin St,59.0
213,11/5/2025,Butler,88.0,Southern Indiana,58.0
214,11/5/2025,Richmond,84.0,S Virginia,56.0
215,11/5/2025,Rutgers,81.0,Rider,53.0
216,11/5/2025,Creighton,92.0,South Dakota,76.0
217,11/5/2025,Binghamton,66.0,Rochester Tech,56.0
218,11/5/2025,Queens NC,87.0,Lynchburg,76.0
219,11/5/2025,Pacific,83.0,Life Pacific,56.0
220,11/5/2025,Texas St,114.0,Texas A&M-SA,55.0
221,11/5/2025,Utah Tech,110.0,Bethesda,65.0
222,11/5/2025,Lafayette,79.0,Dickinson,44.0
223,11/5/2025,Elon,99.0,Belmont Abbey,51.0
224,11/5/2025,Appalachian St,92.0,Carolina Univ,46.0
225,11/5/2025,Norfolk St,119.0,Regent,55.0
226,11/5/2025,MS Valley St,97.0,MS Women,61.0
227,11/5/2025,UC Davis,80.0,N Dakota St,68.0
228,11/5/2025,Prairie View,94.0,Dallas Univ,53.0
229,11/5/2025,Presbyterian,105.0,Bluefield Univ,76.0
230,11/5/2025,SC Upstate,67.0,Fresno St,66.0
231,11/5/2025,LSU,96.0,Tarleton St,60.0
232,11/5/2025,Indiana,98.0,Alabama A&M,51.0
233,11/5/2025,Vermont,113.0,Plattsburgh St,62.0
234,11/5/2025,Temple,83.0,Delaware St,65.0
235,11/5/2025,Montana,73.0,Ottawa AZ,39.0
236,11/5/2025,Montana St,114.0,Northwest Indian,44.0
237,11/5/2025,James Madison,70.0,Washington & Lee,56.0
238,11/5/2025,Cal Poly,101.0,Pac Lutheran,79.0
239,11/5/2025,New Mexico,76.0,East Texas A&M,54.0
240,11/5/2025,UT San Antonio,97.0,CBS-Houston,30.0
241,11/6/2025,Auburn,95.0,Merrimack,57.0
242,11/6/2025,Florida,104.0,North Florida,64.0
243,11/6/2025,Bowling Green,120.0,Bethany WV,65.0
244,11/6/2025,Robert Morris,81.0,Drake,79.0
245,11/6/2025,Jacksonville,132.0,Trinity FL,45.0
246,11/6/2025,West Virginia,73.0,Campbell,65.0
247,11/6/2025,Iowa St,102.0,Grambling,62.0
248,11/6/2025,SMU,69.0,TAM C. Christi,58.0
249,11/6/2025,Louisville,106.0,Jackson St,70.0
250,11/6/2025,California,77.0,Wright St,67.0
251,11/6/2025,Boston College,76.0,Citadel,47.0
252,11/6/2025,St Louis,108.0,Chicago St,86.0
253,11/6/2025,Mercyhurst,73.0,Loyola-Chicago,65.0
254,11/6/2025,Canisius,84.0,Allegheny,43.0
255,11/6/2025,Morgan St,101.0,Central Penn,77.0
256,11/6/2025,Ohio,72.0,Illinois St,68.0
257,11/6/2025,LIU Brooklyn,94.0,IUPUI,90.0
258,11/6/2025,Xavier,74.0,Le Moyne,69.0
259,11/6/2025,TCU,104.0,St Francis PA,63.0
260,11/6/2025,Miami FL,101.0,Bethune-Cookman,61.0
261,11/6/2025,CS Bakersfield,83.0,Whittier,61.0
262,11/6/2025,Loyola MD,96.0,PSU-Abington,60.0
263,11/6/2025,Northern Iowa,86.0,CS Northridge,57.0
264,11/6/2025,Lindenwood,116.0,UHSP,51.0
265,11/6/2025,Charleston So,106.0,Toccoa Falls,71.0
266,11/6/2025,Quinnipiac,71.0,Central Conn,49.0
267,11/6/2025,Abilene Chr,73.0,NE Omaha,71.0
268,11/6/2025,Southern Miss,93.0,Tougaloo,57.0
269,11/6/2025,Portland,83.0,Ark Pine Bluff,74.0
270,11/6/2025,Cleveland St,71.0,Capital,70.0
271,11/6/2025,Washington,84.0,Denver,70.0
272,11/6/2025,Hampton,103.0,Mid-Atlantic Chr,43.0
273,11/6/2025,Indiana St,104.0,IL Tech,73.0
274,11/6/2025,UC Riverside,74.0,North Dakota,70.0
275,11/6/2025,North Texas,80.0,Northwestern LA,53.0
276,11/6/2025,Texas A&M,104.0,TX Southern,70.0
277,11/6/2025,Lehigh,91.0,Valley Forge,52.0
278,11/6/2025,Northwood MI,85.0,W Michigan,81.0
279,11/6/2025,New Hampshire,113.0,Curry,31.0
280,11/6/2025,E Kentucky,122.0,Midway,60.0
281,11/6/2025,South Alabama,76.0,Alcorn St,70.0
282,11/6/2025,Old Dominion,93.0,Randolph Col,53.0
283,11/6/2025,S Dakota St,68.0,Dakota St,62.0
284,11/6/2025,Howard,103.0,Dist Columbia,71.0
285,11/7/2025,Iowa,77.0,W Illinois,58.0
286,11/7/2025,Idaho St,71.0,San Diego,68.0
287,11/7/2025,Cal Baptist,69.0,UC Irvine,61.0
288,11/7/2025,VMI,78.0,Southern Indiana,74.0
289,11/7/2025,Wisconsin,97.0,N Illinois,72.0
290,11/7/2025,Buffalo,83.0,WI Green Bay,76.0
291,11/7/2025,Ohio St,94.0,PFW,68.0
292,11/7/2025,Utah St,80.0,VCU,77.0
293,11/7/2025,Georgetown,70.0,Maryland,60.0
294,11/7/2025,Kentucky,107.0,Valparaiso,59.0
295,11/7/2025,Ball St,84.0,Mansfield,54.0
296,11/7/2025,Charlotte,70.0,Tennessee Tech,65.0
297,11/7/2025,Georgia Tech,74.0,Bryant,45.0
298,11/7/2025,Texas Tech,98.0,Sam Houston St,77.0
299,11/7/2025,Cincinnati,74.0,Georgia St,64.0
300,11/7/2025,Wake Forest,81.0,Morehead St,65.0
301,11/7/2025,Virginia,81.0,NC Central,62.0
302,11/7/2025,Pittsburgh,78.0,Longwood,60.0
303,11/7/2025,North Carolina,87.0,Kansas,74.0
304,11/7/2025,NC State,94.0,UAB,70.0
305,11/7/2025,Notre Dame,102.0,Detroit,70.0
306,11/7/2025,UCLA,74.0,Pepperdine,63.0
307,11/7/2025,Duquesne,92.0,Sacred Heart,80.0
308,11/7/2025,Clemson,97.0,Gardner Webb,59.0
309,11/7/2025,Connecticut,110.0,MA Lowell,47.0
310,11/7/2025,Penn,119.0,Rowan,72.0
311,11/7/2025,Louisiana,58.0,SE Louisiana,52.0
312,11/7/2025,Columbia,71.0,New Haven,53.0
313,11/7/2025,Harvard,79.0,MIT,50.0
314,11/7/2025,Tulsa,82.0,Rhode Island,65.0
315,11/7/2025,North Alabama,90.0,Lane,84.0
316,11/7/2025,Illinois,113.0,FGCU,70.0
317,11/7/2025,Kent,110.0,Cornell,102.0
318,11/7/2025,Fordham,106.0,Mt St Mary NY,37.0
319,11/7/2025,Siena,62.0,Brown,46.0
320,11/7/2025,Bucknell,73.0,Mt St Mary's,62.0
321,11/7/2025,E Illinois,65.0,Nicholls St,57.0
322,11/7/2025,Yale,97.0,Navy,68.0
323,11/7/2025,Idaho,94.0,Whitman,49.0
324,11/7/2025,Youngstown St,90.0,Grand Canyon,81.0
325,11/7/2025,Evansville,92.0,Calumet-St Jos,50.0
326,11/7/2025,Incarnate Word,104.0,Jarvis Chr,60.0
327,11/7/2025,DePaul,72.0,Stonehill,64.0
328,11/7/2025,Troy,64.0,Furman,61.0
329,11/7/2025,Northwestern,76.0,Boston Univ,52.0
330,11/7/2025,Davidson,85.0,Washington St,69.0
331,11/7/2025,Oregon St,76.0,IL Chicago,73.0
332,11/7/2025,Arizona,93.0,Utah Tech,67.0
333,11/7/2025,Iona,81.0,Hofstra,73.0
334,11/7/2025,Santa Clara,79.0,McNeese St,67.0
335,11/7/2025,Florida St,101.0,Alabama St,64.0
336,11/7/2025,Coastal Car,121.0,VA-Lynchburg,44.0
337,11/7/2025,Northeastern,68.0,Colgate,65.0
338,11/7/2025,Liberty,90.0,Col Charleston,75.0
339,11/7/2025,George Mason,96.0,Winthrop,90.0
340,11/7/2025,Northern Arizona,87.0,Justice,55.0
341,11/7/2025,Purdue,87.0,Oakland,77.0
342,11/7/2025,Portland St,122.0,Northwest Indian,74.0
343,11/7/2025,Radford,99.0,WV Wesleyan,61.0
344,11/7/2025,SIUE,77.0,UT San Antonio,60.0
345,11/7/2025,Stetson,106.0,Ft Lauderdale,77.0
346,11/7/2025,UTEP,107.0,W New Mexico,70.0
347,11/7/2025,CS Sacramento,86.0,Wm Jessup,76.0
348,11/7/2025,Wilmington DE,71.0,Delaware,62.0
349,11/7/2025,Seton Hall,68.0,Wagner,61.0
350,11/7/2025,Oregon,67.0,Rice,63.0
351,11/7/2025,West Georgia,120.0,Huntingdon,83.0
352,11/7/2025,Mississippi,86.0,ULM,65.0
353,11/7/2025,N Colorado,101.0,Colorado Chr,65.0
354,11/7/2025,Murray St,108.0,MS Valley St,60.0
355,11/7/2025,Missouri,89.0,SE Missouri St,84.0
356,11/7/2025,Samford,82.0,S Carolina St,72.0
357,11/7/2025,S Illinois,101.0,Missouri KC,78.0
358,11/7/2025,SF Austin,90.0,Arkansas St,65.0
359,11/7/2025,St Mary's CA,87.0,Chattanooga,66.0
360,11/7/2025,Miami OH,129.0,Trinity Chr,49.0
361,11/8/2025,Mercyhurst,94.0,PSU-New Kens,43.0
362,11/8/2025,Marshall,85.0,Toledo,73.0
363,11/8/2025,Bradley,85.0,C Michigan,54.0
364,11/8/2025,Villanova,94.0,Queens NC,74.0
365,11/8/2025,Tennessee,95.0,N Kentucky,56.0
366,11/8/2025,Missouri St,106.0,NW Oklahoma St,57.0
367,11/8/2025,Fresno St,82.0,Long Beach St,62.0
368,11/8/2025,Fairfield,74.0,NJIT,53.0
369,11/8/2025,MD E Shore,104.0,Cheyney St,59.0
370,11/8/2025,MTSU,109.0,Webster,56.0
371,11/8/2025,St Joseph's PA,76.0,Drexel,65.0
372,11/8/2025,Wofford,86.0,WI Milwaukee,76.0
373,11/8/2025,La Salle,73.0,Monmouth NJ,60.0
374,11/8/2025,Butler,112.0,IUPUI,80.0
375,11/8/2025,Stony Brook,71.0,Maine,60.0
376,11/8/2025,Akron,104.0,Princeton,69.0
377,11/8/2025,Tarleton St,85.0,TAM C. Christi,77.0
378,11/8/2025,UNLV,101.0,Chattanooga,69.0
379,11/8/2025,Utah,92.0,Weber St,89.0
380,11/8/2025,Kansas St,98.0,Bellarmine,71.0
381,11/8/2025,Colorado,102.0,E Washington,97.0
382,11/8/2025,Virginia Tech,107.0,Providence,101.0
383,11/8/2025,Syracuse,83.0,Delaware St,43.0
384,11/8/2025,Duke,95.0,W Carolina,54.0
385,11/8/2025,Richmond,87.0,East Carolina,72.0
386,11/8/2025,G Washington,99.0,South Florida,95.0
387,11/8/2025,Dayton,77.0,UMBC,71.0
388,11/8/2025,Niagara,67.0,Binghamton,59.0
389,11/8/2025,St Bonaventure,89.0,Canisius,70.0
390,11/8/2025,BYU,98.0,Holy Cross,53.0
391,11/8/2025,St Peter's,93.0,F Dickinson,83.0
392,11/8/2025,Alabama,103.0,St John's,96.0
393,11/8/2025,Wyoming,92.0,CS Fullerton,82.0
394,11/8/2025,Mercyhurst,93.0,PSU-New Kens,43.0
395,11/8/2025,Austin Peay,74.0,Air Force,54.0
396,11/8/2025,Stanford,91.0,Montana,68.0
397,11/8/2025,Belmont,87.0,Tennessee St,79.0
398,11/8/2025,Presbyterian,68.0,ETSU,64.0
399,11/8/2025,Vanderbilt,105.0,UCF,93.0
400,11/8/2025,Houston,65.0,Towson,48.0
401,11/8/2025,Cal Poly,73.0,Seattle,71.0
402,11/8/2025,Nevada,78.0,Pacific,77.0
403,11/8/2025,Gonzaga,83.0,Oklahoma,68.0
404,11/8/2025,New Mexico,74.0,UT Arlington,56.0
405,11/8/2025,Boise St,101.0,Utah Valley,77.0
406,11/8/2025,Cent Arkansas,110.0,Champion Bap,63.0
407,11/8/2025,UTRGV,95.0,Southern Utah,72.0
408,11/8/2025,Loy Marymount,94.0,Ark Pine Bluff,72.0
409,11/8/2025,FL Atlantic,94.0,Col Charleston,77.0
410,11/8/2025,Elon,92.0,UNC Greensboro,90.0
411,11/8/2025,Ga Southern,93.0,UNC Asheville,90.0
412,11/8/2025,High Point,127.0,Averett,52.0
413,11/8/2025,UC San Diego,78.0,Houston Chr,60.0
414,11/8/2025,Kennesaw,92.0,Florida A&M,72.0
415,11/8/2025,Texas,97.0,Lafayette,60.0
416,11/8/2025,Penn St,87.0,New Haven,43.0
417,11/8/2025,William & Mary,81.0,Norfolk St,78.0
418,11/8/2025,Oral Roberts,84.0,John Brown,50.0
419,11/8/2025,Wichita St,105.0,Prairie View,62.0
420,11/8/2025,Memphis,76.0,San Francisco,70.0
421,11/8/2025,SC Upstate,105.0,S Virginia,46.0
422,11/8/2025,Tulane,79.0,Texas St,71.0
423,11/8/2025,Nebraska,96.0,Florida Intl,66.0
424,11/8/2025,Minnesota,95.0,Alcorn St,50.0
425,11/8/2025,Michigan St,69.0,Arkansas,66.0
426,11/8/2025,Massachusetts,83.0,SUNY Albany,62.0
427,11/8/2025,St Thomas MN,83.0,Army,76.0
428,11/8/2025,UC Santa Barbara,85.0,San Jose St,74.0
429,11/8/2025,South Alabama,99.0,Spring Hill,50.0
430,11/9/2025,San Diego St,73.0,Idaho St,57.0
431,11/9/2025,Missouri,106.0,VMI,68.0
432,11/9/2025,Mercer,92.0,Lipscomb,77.0
433,11/9/2025,Bowling Green,83.0,Le Moyne,60.0
434,11/9/2025,James Madison,84.0,Coppin St,70.0
435,11/9/2025,Northern Iowa,65.0,S Dakota St,58.0
436,11/9/2025,West Virginia,69.0,Lehigh,47.0
437,11/9/2025,Baylor,78.0,Washington,69.0
438,11/9/2025,Arizona St,81.0,Utah Tech,66.0
439,11/9/2025,Marist,75.0,Dartmouth,56.0
440,11/9/2025,Oklahoma St,87.0,Texas A&M,63.0
441,11/9/2025,Illinois St,76.0,Cornell,65.0
442,11/9/2025,American Univ,84.0,Penn,78.0
443,11/9/2025,South Dakota,121.0,Ozark Chr,65.0
444,11/9/2025,CS Northridge,93.0,North Dakota,85.0
445,11/9/2025,Harvard,86.0,New Hampshire,75.0
446,11/9/2025,Indiana,100.0,Marquette,77.0
447,11/9/2025,PFW,137.0,Dominican IL,56.0
448,11/9/2025,Vermont,89.0,Brown,84.0
449,11/9/2025,TN Martin,97.0,Kentucky Chr,42.0
450,11/9/2025,Hawaii,100.0,East Texas A&M,74.0
451,11/9/2025,USC,114.0,Manhattan,83.0
452,11/9/2025,Colorado St,97.0,NE Omaha,74.0
453,11/9/2025,Portland,67.0,UC Davis,63.0
454,11/9/2025,Denver,75.0,Montana St,73.0
455,11/9/2025,Evansville,76.0,Oakland City,47.0
456,11/9/2025,Appalachian St,76.0,NC Central,54.0
457,11/9/2025,Grambling,73.0,Howard,70.0
458,11/9/2025,Louisiana Tech,93.0,Lyon,35.0
459,11/9/2025,Campbell,91.0,W Michigan,82.0
460,11/9/2025,Georgia,120.0,Morehead St,81.0
461,11/9/2025,North Texas,64.0,Loyola-Chicago,62.0
462,11/9/2025,South Carolina,83.0,Southern Miss,79.0
463,11/9/2025,Liberty,88.0,FL Atlantic,68.0
464,11/10/2025,Santa Clara,87.0,Xavier,68.0
465,11/10/2025,Grand Canyon,88.0,N Illinois,59.0
466,11/10/2025,Robert Morris,93.0,Geneva,47.0
467,11/10/2025,WKU,87.0,E Kentucky,79.0
468,11/10/2025,Seton Hall,82.0,Fairfield,59.0
469,11/10/2025,WI Milwaukee,92.0,Ark Little Rock,72.0
470,11/10/2025,Charleston So,96.0,Citadel,86.0
471,11/10/2025,Rutgers,72.0,Maine,60.0
472,11/10/2025,Iowa St,96.0,Mississippi St,80.0
473,11/10/2025,Pittsburgh,78.0,E Michigan,66.0
474,11/10/2025,California,93.0,CS Fullerton,65.0
475,11/10/2025,St Louis,109.0,Lindenwood,66.0
