Team,Net,Offensive,Defensive,Possessions
Illinois-Chicago,7.339999999999989,110.57,103.23,68.37
Incarnate Word,-3.210000000000008,109.97,113.18,66.6
Indiana,20.86999999999999,122.21,101.34,67.28
Indiana State,-1.5900000000000034,104.57,106.16,70.45
Iona,-7.25,101.68,108.93,69.69
Iowa,25.599999999999994,124.96,99.36,62.91
Iowa State,34.269999999999996,125.46,91.19,68.69
IU Indy,-11.47999999999999,106.76,118.24,76.54
Jackson State,-25.789999999999992,94.98,120.77,71.63
Jacksonville,-6.650000000000006,106.74,113.39,66.64
Jacksonville State,3.1299999999999955,106.49,103.36,67.22
James Madison,-5.3700000000000045,107.25,112.62,67.6
Kansas,24.039999999999992,117.1,93.06,68.75
Kansas City,-22.22,95.12,117.34,72.03
Kansas State,8.280000000000001,113.39,105.11,73.86
Kennesaw State,8.480000000000004,113.17,104.69,72.67
Kent State,3.260000000000005,112.33,109.07,74.11
Kentucky,23.090000000000003,122.58,99.49,69.92
La Salle,-6.6299999999999955,102.7,109.33,66.63
Lafayette,-14.450000000000003,99.47,113.92,67.42
Lamar,-3.0,102.89,105.89,66.62
Le Moyne,-10.679999999999993,99.93,110.61,69.58
Lehigh,-9.289999999999992,101.28,110.57,69.11
Liberty,9.990000000000009,118.45,108.46,65.21
Lindenwood,-2.0,100.86,102.86,73.71
Lipscomb,0.2799999999999869,109.21,108.93,71.07
Little Rock,-13.870000000000005,98.78,112.65,68.54
Long Beach State,-3.8100000000000023,103.87,107.68,72.06
Long Island University,-4.090000000000003,104.06,108.15,68.25
Longwood,-2.690000000000012,104.1,106.79,71.64
Louisiana,-16.659999999999997,96.61,113.27,64.16
Louisiana State,13.64,120.31,106.67,70.84
Louisiana Tech,3.0799999999999983,103.84,100.76,66.21
Louisiana-Monroe,-21.89,98.37,120.26,71.76
Louisville,28.080000000000013,124.9,96.82,71.07
Loyola (IL),-10.41000000000001,102.52,112.93,66.03
Loyola (MD),-13.0,102.99,115.99,69.82
Loyola Marymount,3.6000000000000085,107.2,103.6,69.67
Maine,-17.760000000000005,91.41,109.17,65.06
Manhattan,-15.920000000000002,102.81,118.73,69.13
Marist,0.9899999999999949,100.25,99.26,66.49
Marquette,9.599999999999994,111.22,101.62,70.84
Marshall,-0.25,112.31,112.56,70.55
Maryland,2.1099999999999994,110.0,107.89,66.98
Maryland-Baltimore County,0.5999999999999943,106.57,105.97,67.48
Maryland-Eastern Shore,-19.510000000000005,92.63,112.14,66.53
