School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
Buffalo,32,17,15,0.531,-3.77,-4.24,,7,11,,7,8,,8,6,,2497,2438,,1290,874,1839,0.475,268,766,0.35,422,575,0.734,317,1067,514,213,78,386,557
Butler,32,16,16,0.5,10.28,8.44,,7,13,,10,7,,3,8,,2540,2481,,1300,931,2039,0.457,255,765,0.333,364,507,0.718,349,1099,500,217,149,344,647
Cal Poly,33,14,19,0.424,-4.52,-0.55,,10,10,,8,6,,6,11,,2710,2805,,1325,991,2154,0.46,308,895,0.344,515,711,0.724,383,1245,520,239,112,413,649
Cal State Bakersfield,32,8,24,0.25,-13.06,-1.63,,2,18,,6,11,,2,13,,2339,2629,,1280,890,1915,0.465,262,735,0.356,587,816,0.719,402,1227,475,240,116,428,619
Cal State Fullerton,34,18,16,0.529,-2.18,-0.31,,12,8,,10,4,,6,10,,2822,2778,,1360,956,2088,0.458,324,958,0.338,542,723,0.75,341,1302,561,207,96,512,688
Cal State Northridge,34,20,14,0.588,-2.34,-1.65,,12,8,,12,3,,7,8,,2767,2713,,1365,906,2132,0.425,350,1036,0.338,551,730,0.755,344,1230,530,268,145,435,624
California,34,22,12,0.647,11.15,6.82,,9,9,,17,5,,4,6,,2658,2493,,1370,878,2015,0.436,258,825,0.313,479,728,0.658,377,1244,497,178,126,390,615
California Baptist ,34,25,9,0.735,2.56,-2.5,,13,5,,15,0,,7,7,,2470,2298,,1375,804,1931,0.416,180,611,0.295,510,707,0.721,332,1116,366,230,132,394,609
Campbell,34,16,18,0.471,-3.2,-0.45,,8,10,,10,4,,3,13,,2691,2639,,1360,954,1999,0.477,207,591,0.35,524,711,0.737,349,1125,467,236,126,415,668
Canisius,31,10,21,0.323,-17,-7.87,,5,15,,7,8,,3,13,,1951,2184,,1245,756,1696,0.446,243,746,0.326,429,596,0.72,300,1058,424,207,101,329,478
Central Arkansas,34,22,12,0.647,-1.72,-5.03,,15,3,,14,1,,6,10,,2749,2541,,1385,887,1977,0.449,356,1040,0.342,411,564,0.729,303,1175,547,223,112,469,571
Central Connecticut State,30,18,12,0.6,-11.55,-10.16,,12,6,,10,4,,8,8,,2215,2127,,1205,771,1794,0.43,236,718,0.329,349,457,0.764,307,990,420,189,68,282,476
Central Michigan,31,10,21,0.323,-8.76,-2.76,,6,12,,8,5,,1,15,,2275,2384,,1240,835,1803,0.463,242,707,0.342,472,689,0.685,359,1093,488,244,99,380,523
Charleston Southern,32,15,17,0.469,-6.83,-6.8,,6,10,,10,4,,5,11,,2670,2563,,1310,871,2109,0.413,202,662,0.305,619,873,0.709,399,1263,336,261,97,305,557
Charlotte,34,17,17,0.5,-0.24,1.03,,9,9,,11,6,,4,8,,2492,2530,,1385,878,1981,0.443,272,805,0.338,502,706,0.711,381,1105,446,228,97,306,568
Chattanooga,32,13,19,0.406,-11.09,-7.16,,7,11,,7,8,,6,9,,2454,2408,,1280,800,1875,0.427,269,821,0.328,539,764,0.705,351,1139,417,180,72,301,512
Chicago State,32,7,25,0.219,-16.47,-5.12,,5,13,,5,6,,2,19,,2105,2434,,1285,818,1727,0.474,318,891,0.357,480,642,0.748,340,1160,591,177,108,427,489
Cincinnati,33,18,15,0.545,15.15,9.6,,9,9,,15,3,,2,8,,2413,2230,,1325,791,1922,0.412,238,767,0.31,410,577,0.711,325,1156,431,189,76,417,530
Clemson ,35,24,11,0.686,16.35,9.32,,12,6,,13,3,,6,5,,2582,2336,,1410,794,1898,0.418,266,820,0.324,482,644,0.748,309,1143,365,192,113,400,632
Cleveland State,33,11,22,0.333,-13.29,-3.25,,6,14,,7,8,,3,13,,2633,2836,,1320,984,2055,0.479,321,905,0.355,547,724,0.756,405,1193,572,224,129,369,623
Coastal Carolina,32,19,13,0.594,-7.72,-5.97,,11,7,,8,5,,10,7,,2346,2323,,1310,803,2005,0.4,233,733,0.318,484,682,0.71,345,1229,303,181,82,277,535
Colgate,33,18,15,0.545,-6.26,-5.64,,11,7,,9,5,,6,10,,2522,2462,,1350,864,1958,0.441,274,802,0.342,460,642,0.717,340,1126,467,191,77,348,533
College of Charleston,32,21,11,0.656,-1.44,-2.86,,14,4,,11,4,,8,4,,2413,2348,,1290,849,2031,0.418,285,882,0.323,365,523,0.698,405,1192,447,201,98,332,621
Colorado,33,17,16,0.515,10.48,10.08,,7,11,,13,5,,2,8,,2645,2632,,1335,914,1989,0.46,263,724,0.363,541,728,0.743,342,1149,468,197,118,358,613
Colorado State,34,21,13,0.618,8.19,4.92,,11,9,,12,6,,6,5,,2574,2416,,1360,850,1881,0.452,274,810,0.338,442,635,0.696,327,1019,397,228,78,345,634
Columbia,28,16,12,0.571,-2.85,-4.24,,5,9,,9,5,,7,7,,2146,2007,,1130,706,1627,0.434,200,590,0.339,395,533,0.741,259,858,411,191,108,284,436
Connecticut ,40,34,6,0.85,23.42,12.02,,17,3,,15,2,,9,2,,3064,2608,,1610,868,2155,0.403,234,776,0.302,638,878,0.727,400,1255,427,225,140,471,676
Coppin State,31,7,24,0.226,-24.92,-8.19,,5,9,,3,6,,4,15,,2032,2493,,1245,825,1768,0.467,291,769,0.378,552,742,0.744,346,1108,514,276,131,387,554
Cornell,28,15,13,0.536,-1.98,-3.14,,8,6,,7,4,,8,8,,2477,2335,,1130,824,1728,0.477,247,664,0.372,440,614,0.717,289,939,468,191,78,318,479
Creighton,34,16,18,0.471,10.16,10.19,,9,11,,10,6,,4,8,,2556,2557,,1365,972,2139,0.454,241,686,0.351,372,530,0.702,368,1223,488,233,108,321,557
Dartmouth,27,11,16,0.407,-8.52,-3.2,,5,9,,5,8,,6,8,,2047,2071,,1085,750,1677,0.447,225,666,0.338,346,485,0.713,280,965,387,199,80,261,486
Davidson,34,20,14,0.588,4.21,2.86,,10,8,,11,7,,7,5,,2447,2309,,1375,812,1849,0.439,218,672,0.324,467,677,0.69,333,1152,394,202,96,395,567
Dayton,37,25,12,0.676,9.01,4.17,,12,6,,14,4,,8,5,,2743,2564,,1495,884,2018,0.438,292,825,0.354,504,716,0.704,359,1246,448,249,133,530,743
Delaware,31,10,21,0.323,-8.83,-2.63,,6,14,,5,10,,4,10,,2098,2293,,1265,796,1823,0.437,273,784,0.348,428,553,0.774,334,1074,476,234,90,282,454
Delaware State,31,8,23,0.258,-22.69,-10.95,,2,12,,5,7,,2,14,,1896,2185,,1250,768,1646,0.467,196,577,0.34,453,635,0.713,285,1065,425,205,124,410,489
Denver,32,15,17,0.469,-6.12,-2.4,,8,8,,9,5,,6,11,,2650,2650,,1280,950,1950,0.487,269,728,0.37,481,691,0.696,350,1097,407,188,88,291,598
DePaul,32,16,16,0.5,7.32,6.63,,8,12,,11,7,,4,7,,2248,2226,,1280,767,1772,0.433,213,601,0.354,479,670,0.715,331,1097,441,235,118,404,555
Detroit Mercy,32,17,15,0.531,-5.81,-3.38,,12,8,,9,5,,7,9,,2471,2475,,1280,848,1912,0.444,266,814,0.327,513,722,0.711,348,1107,492,199,105,330,576
Drake,34,14,20,0.412,-1.34,1.03,,6,14,,6,11,,4,7,,2552,2544,,1370,896,2039,0.439,325,902,0.36,427,628,0.68,358,1237,496,204,90,353,577
Drexel,33,17,16,0.515,-4.98,-4.73,,10,8,,12,4,,4,9,,2247,2221,,1320,775,1859,0.417,189,630,0.3,482,641,0.752,353,1123,363,242,102,360,549
Duke ,38,35,3,0.921,30.15,12.15,,17,1,,15,0,,10,1,,3102,2418,,1520,875,2225,0.393,307,1002,0.306,361,507,0.712,357,1112,458,246,119,439,689
Duquesne,33,18,15,0.545,3.27,2.23,,9,9,,12,6,,5,7,,2584,2481,,1340,843,1887,0.447,269,753,0.357,526,721,0.73,333,1116,459,236,136,432,580
East Carolina,31,11,20,0.355,-5.8,0.36,,6,12,,7,10,,4,8,,2217,2401,,1255,855,1889,0.453,256,735,0.348,435,600,0.725,355,1115,462,224,101,353,577
East Tennessee State,34,23,11,0.676,-0.79,-7.48,,13,5,,13,4,,8,6,,2638,2356,,1370,802,1888,0.425,291,902,0.323,461,645,0.715,329,1092,439,199,90,435,519
East Texas A&M,32,11,21,0.344,-11.2,-2.24,,6,16,,6,8,,4,13,,2246,2385,,1280,839,1874,0.448,255,702,0.363,452,649,0.696,357,1183,465,230,104,396,478
Eastern Illinois,33,13,20,0.394,-13.84,-6.21,,8,12,,9,6,,3,13,,2214,2321,,1335,806,1865,0.432,248,790,0.314,461,621,0.742,377,1169,465,208,146,441,529
Eastern Kentucky,32,11,21,0.344,-10.43,-4.83,,7,11,,8,7,,3,13,,2568,2619,,1300,908,1886,0.481,282,781,0.361,521,721,0.723,335,1137,490,228,85,368,539
Eastern Michigan,31,10,21,0.323,-6.02,-1.82,,4,14,,7,7,,3,14,,2191,2279,,1250,804,1823,0.441,209,643,0.325,462,644,0.717,320,1100,409,203,118,341,496
Eastern Washington,33,14,19,0.424,-2.36,-0.86,,11,7,,8,4,,5,13,,2576,2606,,1330,912,1903,0.479,260,737,0.353,522,688,0.759,321,1053,448,246,97,372,623
Elon,32,14,18,0.438,-5.74,-3.27,,6,12,,8,8,,6,9,,2500,2492,,1300,869,1911,0.455,304,846,0.359,450,639,0.704,367,1133,485,203,117,370,556
Evansville,32,7,25,0.219,-9.23,3.27,,3,17,,5,10,,1,12,,2143,2447,,1290,858,1873,0.458,297,803,0.37,434,582,0.746,315,1147,494,244,71,342,524
Fairfield,34,21,13,0.618,-8.11,-9.11,,11,9,,12,4,,7,8,,2528,2432,,1365,879,1972,0.446,240,705,0.34,434,588,0.738,334,1173,459,195,145,397,542
FDU,32,11,21,0.344,-15.19,-7.64,,8,10,,8,6,,3,15,,2150,2245,,1285,781,1695,0.461,250,686,0.364,433,612,0.708,262,1024,393,200,92,350,544
Florida ,35,27,8,0.771,27.74,12.14,,16,2,,14,1,,8,2,,3050,2504,,1400,870,2139,0.407,234,729,0.321,530,728,0.728,338,1066,388,226,99,385,689
Florida A&M,31,15,16,0.484,-14.33,-9.27,,11,7,,8,4,,5,11,,2183,2312,,1245,785,1752,0.448,212,608,0.349,530,704,0.753,321,1062,389,271,101,424,563
Florida Atlantic,33,18,15,0.545,3.68,1.84,,9,9,,11,4,,4,8,,2596,2453,,1335,849,1977,0.429,240,714,0.336,515,712,0.723,341,1143,392,247,92,375,562
