School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
Long Island University ,35,24,11,0.686,-5.16,-7.08,,15,3,,14,1,,10,9,,2577,2510,,1405,906,2024,0.448,214,665,0.322,484,703,0.688,405,1181,446,248,122,450,607
Longwood,32,16,16,0.5,-8.35,-8.01,,8,8,,11,4,,4,10,,2486,2370,,1315,813,1802,0.451,252,775,0.325,492,710,0.693,303,1017,405,251,111,472,608
Louisiana,33,11,22,0.333,-12.28,-5.28,,7,11,,7,8,,3,13,,2101,2332,,1320,777,1683,0.462,217,610,0.356,561,771,0.728,323,1142,386,165,87,387,499
Louisiana State,32,15,17,0.469,12.27,9.33,,3,15,,9,8,,3,7,,2606,2512,,1315,866,1960,0.442,263,743,0.354,517,741,0.698,381,1107,401,215,104,314,607
Louisiana Tech,34,20,14,0.588,-3.06,-3.13,,11,9,,14,3,,4,10,,2375,2210,,1375,735,1871,0.393,286,876,0.326,454,652,0.696,368,1124,409,226,127,415,546
Louisiana-Monroe,32,4,28,0.125,-18.77,-5.11,,1,17,,3,11,,1,15,,2318,2685,,1290,996,2057,0.484,302,846,0.357,391,555,0.705,394,1276,563,239,128,363,602
Louisville ,35,24,11,0.686,22.44,10.7,,11,7,,15,2,,4,7,,2949,2538,,1400,888,2096,0.424,267,827,0.323,495,691,0.716,358,1169,438,235,126,415,617
Loyola (IL),33,9,24,0.273,-6.26,2.71,,4,14,,6,10,,1,9,,2204,2500,,1325,845,1926,0.439,314,853,0.368,496,648,0.765,332,1108,518,237,130,282,554
Loyola (MD),32,12,20,0.375,-13.63,-8.8,,8,10,,8,6,,3,13,,2407,2466,,1300,891,1891,0.471,238,736,0.323,446,614,0.726,305,1129,494,196,83,342,517
Loyola Marymount,32,15,17,0.469,0.76,1.18,,6,12,,10,8,,4,7,,2376,2306,,1295,804,1906,0.422,238,703,0.339,460,614,0.749,360,1142,410,196,79,375,555
Maine,32,8,24,0.25,-17.11,-9.78,,6,10,,4,8,,4,14,,2001,2190,,1280,795,1766,0.45,193,651,0.296,407,592,0.688,358,1178,417,200,87,415,548
Manhattan,32,12,20,0.375,-15.19,-8,,8,12,,7,7,,3,12,,2369,2526,,1295,936,2010,0.466,280,768,0.365,374,513,0.729,411,1224,572,181,124,370,544
Marist,31,19,12,0.613,-3.72,-8.69,,12,8,,11,4,,7,7,,2160,1979,,1245,684,1698,0.403,177,626,0.283,434,624,0.696,312,1058,315,202,97,398,450
Marquette,32,12,20,0.375,9.05,9.67,,7,13,,10,7,,2,10,,2405,2425,,1295,852,1932,0.441,250,764,0.327,471,619,0.761,393,1233,513,221,113,438,544
Marshall,32,19,13,0.594,-3.07,-4.65,,11,7,,13,4,,6,8,,2596,2497,,1280,835,1930,0.433,258,771,0.335,569,785,0.725,407,1163,384,227,86,374,541
Maryland,33,12,21,0.364,4.56,11.44,,4,16,,7,8,,2,10,,2300,2527,,1325,873,1874,0.466,293,807,0.363,488,670,0.728,314,1101,534,210,116,330,574
Maryland-Baltimore County ,33,24,9,0.727,-4.68,-11.81,,14,2,,15,2,,9,6,,2522,2230,,1330,835,1964,0.425,227,722,0.314,333,492,0.677,306,1096,347,176,75,337,511
Maryland-Eastern Shore,32,9,23,0.281,-17.68,-8.54,,5,9,,6,4,,2,18,,2060,2265,,1305,754,1726,0.437,226,684,0.33,531,718,0.74,345,1029,416,288,95,384,531
Massachusetts,33,17,16,0.515,-2.4,-3.5,,7,11,,11,5,,2,8,,2648,2562,,1350,851,1881,0.452,261,806,0.324,599,823,0.728,283,1057,498,247,99,406,625
Massachusetts-Lowell,33,15,18,0.455,-14.32,-8.62,,9,7,,10,4,,5,14,,2471,2518,,1320,940,2030,0.463,248,735,0.337,390,544,0.717,327,1088,446,262,133,329,556
McNeese,34,28,6,0.824,7.65,-1.54,,19,3,,14,0,,9,5,,2709,2271,,1375,734,1792,0.41,278,855,0.325,525,721,0.728,394,1151,414,152,84,572,596
Memphis,32,13,19,0.406,3.82,5.29,,8,10,,10,6,,3,10,,2407,2454,,1290,804,1908,0.421,252,825,0.305,592,809,0.732,421,1190,440,260,135,427,582
Mercer,32,19,13,0.594,-3.04,-5.39,,11,7,,14,1,,5,11,,2646,2416,,1280,857,1987,0.431,281,827,0.34,421,562,0.749,391,1164,397,197,100,406,604
Mercyhurst,34,17,17,0.5,-10.04,-9.63,,10,8,,12,3,,5,14,,2358,2291,,1381,790,1794,0.44,197,611,0.322,514,745,0.69,328,1173,408,173,84,431,517
Merrimack,34,23,11,0.676,-4.35,-6.41,,17,3,,11,0,,9,8,,2330,2260,,1375,782,1873,0.418,185,611,0.303,511,695,0.735,464,1299,445,158,127,446,565
Miami (FL) ,35,26,9,0.743,17.69,7.44,,13,5,,15,3,,8,2,,2853,2494,,1400,889,2001,0.444,293,818,0.358,421,591,0.712,306,1039,491,234,146,441,625
Miami (OH) ,34,32,2,0.941,5.62,-4.16,,18,0,,16,0,,14,0,,3047,2566,,1380,931,2118,0.44,257,789,0.326,447,605,0.739,359,1150,441,208,79,434,655
Michigan ,40,37,3,0.925,32.92,15.1,,19,1,,14,1,,11,0,,3493,2780,,1606,978,2563,0.382,330,1085,0.304,494,667,0.741,459,1274,457,254,120,434,778
Michigan State ,35,27,8,0.771,23.31,12.86,,15,5,,15,2,,6,4,,2758,2392,,1410,821,1990,0.413,303,919,0.33,447,601,0.744,275,990,470,228,106,351,655
Middle Tennessee,32,17,15,0.531,0.06,1.2,,11,9,,11,4,,5,8,,2414,2329,,1310,820,1859,0.441,214,651,0.329,475,643,0.739,315,1092,385,205,82,354,503
Milwaukee,32,12,20,0.375,-7.74,-2.48,,8,12,,8,6,,3,14,,2440,2548,,1280,890,1854,0.48,274,752,0.364,494,674,0.733,300,1096,500,183,115,358,554
Minnesota,33,15,18,0.455,9.72,8.84,,8,12,,13,4,,2,9,,2289,2260,,1335,819,1832,0.447,263,759,0.347,359,492,0.73,312,1073,495,184,110,354,556
Mississippi,35,15,20,0.429,10.81,11.04,,4,14,,7,9,,3,7,,2656,2664,,1425,885,2040,0.434,291,870,0.334,603,841,0.717,411,1300,508,208,108,400,608
Mississippi State,32,13,19,0.406,6.94,11.13,,5,13,,8,8,,4,6,,2484,2618,,1295,918,2075,0.442,278,819,0.339,504,670,0.752,381,1235,478,220,133,296,534
Mississippi Valley State,33,3,30,0.091,-28.67,-8.2,,2,16,,2,9,,1,18,,2120,2739,,1331,876,1853,0.473,289,784,0.369,698,928,0.752,379,1215,520,286,113,404,571
Missouri ,33,20,13,0.606,12.46,8.7,,10,8,,15,3,,5,7,,2615,2491,,1330,840,1928,0.436,305,829,0.368,506,684,0.74,367,1071,441,217,116,374,610
Missouri State,34,16,18,0.471,-2.81,-1.55,,8,12,,11,7,,3,10,,2551,2502,,1380,874,1926,0.454,229,677,0.338,525,740,0.709,356,1146,432,223,149,389,632
Monmouth,34,19,15,0.559,-2.41,-3.44,,11,7,,10,4,,6,9,,2471,2409,,1375,850,1959,0.434,257,754,0.341,452,623,0.726,384,1204,430,213,113,464,576
Montana,34,18,16,0.529,-2.76,-0.89,,10,8,,11,6,,5,9,,2627,2535,,1360,904,2101,0.43,256,808,0.317,471,665,0.708,355,1151,435,263,92,352,580
Montana State,32,18,14,0.563,0.69,-1.44,,12,6,,11,2,,6,11,,2493,2285,,1290,840,1867,0.45,211,634,0.333,394,517,0.762,285,1045,362,171,75,359,522
Morehead State,33,20,13,0.606,-11.52,-7.95,,15,5,,11,2,,7,10,,2484,2466,,1330,862,1979,0.436,267,771,0.346,475,668,0.711,408,1117,478,227,114,362,608
Morgan State,30,14,16,0.467,-19.41,-11.08,,10,4,,9,6,,5,9,,2258,2347,,1207,791,1721,0.46,173,550,0.315,592,861,0.688,352,1103,442,197,108,363,581
Mount St. Mary's,32,15,17,0.469,-10.4,-7.27,,11,9,,8,5,,7,11,,2178,2244,,1285,732,1847,0.396,271,832,0.326,509,675,0.754,347,1068,393,275,84,351,498
Murray State,33,20,13,0.606,3.25,0.37,,12,8,,12,3,,5,7,,2742,2647,,1320,982,2070,0.474,205,567,0.362,478,666,0.718,371,1159,433,227,90,376,652
Navy,34,26,8,0.765,-1.1,-9.54,,17,1,,15,2,,10,5,,2537,2187,,1375,777,1908,0.407,263,885,0.297,370,492,0.752,319,1046,410,208,94,421,647
NC State,34,20,14,0.588,17.43,10.52,,10,8,,11,6,,6,4,,2828,2593,,1375,884,1976,0.447,315,887,0.355,510,730,0.699,369,1216,436,177,110,434,576
Nebraska,35,28,7,0.8,21.36,10.53,,15,5,,16,2,,7,3,,2694,2315,,1410,818,2021,0.405,309,1014,0.305,370,508,0.728,343,1198,500,179,93,446,535
Nevada,37,24,13,0.649,10.34,5.85,,12,8,,17,2,,4,9,,2813,2647,,1500,897,2039,0.44,291,863,0.337,562,793,0.709,339,1212,491,219,135,426,746
Nevada-Las Vegas,35,18,17,0.514,5.42,6.1,,11,9,,10,6,,7,7,,2761,2742,,1415,915,2013,0.455,259,738,0.351,653,900,0.726,389,1233,517,230,102,446,678
New Hampshire,30,9,21,0.3,-17.2,-7.48,,5,11,,8,5,,1,16,,2076,2238,,1230,788,1712,0.46,211,625,0.338,451,612,0.737,263,1110,378,182,113,338,490
New Haven,31,14,17,0.452,-13.86,-7.89,,9,9,,9,6,,5,11,,2013,2055,,1240,746,1676,0.445,215,636,0.338,348,461,0.755,256,1026,358,178,71,353,474
New Mexico,37,26,11,0.703,14.27,5.1,,13,7,,17,3,,7,5,,3004,2624,,1480,896,2138,0.419,309,1023,0.302,523,715,0.731,363,1272,492,226,118,502,700
New Mexico State,32,16,16,0.5,-1.38,-1.45,,8,12,,10,5,,3,8,,2403,2303,,1295,747,1820,0.41,237,762,0.311,572,793,0.721,349,1144,357,193,107,355,546
New Orleans,33,15,18,0.455,-4.21,-1.06,,12,10,,5,6,,9,11,,2459,2563,,1330,862,2028,0.425,264,815,0.324,575,802,0.717,440,1161,520,257,118,344,683
Niagara,30,8,22,0.267,-16.33,-7.92,,5,15,,6,7,,2,14,,1916,2137,,1205,744,1628,0.457,229,658,0.348,420,540,0.778,306,1008,390,200,88,319,455
Nicholls State,33,14,19,0.424,-7.07,-2.35,,12,10,,6,6,,7,12,,2388,2471,,1320,855,1808,0.473,240,696,0.345,521,668,0.78,338,1180,480,207,106,477,553
NJIT,33,16,17,0.485,-15.99,-8.49,,10,6,,8,6,,8,11,,2212,2417,,1322,833,1922,0.433,254,780,0.326,497,716,0.694,378,1253,437,212,101,377,550
Norfolk State,32,15,17,0.469,-13.73,-10.7,,8,6,,9,4,,5,10,,2445,2362,,1280,781,1768,0.442,244,751,0.325,556,770,0.722,324,1050,452,225,123,436,596
North Alabama,30,9,21,0.3,-15.97,-5.82,,4,14,,5,8,,4,12,,2082,2328,,1210,827,1748,0.473,275,757,0.363,399,522,0.764,306,1025,461,218,106,297,530
North Carolina,33,24,9,0.727,18.55,10.46,,12,6,,18,0,,4,6,,2631,2364,,1325,874,2085,0.419,268,772,0.347,348,497,0.7,348,1134,418,189,103,310,601
North Carolina A&T,30,11,19,0.367,-9.81,-5.2,,4,14,,6,6,,4,11,,2252,2335,,1205,814,1793,0.454,248,681,0.364,459,664,0.691,308,992,467,203,89,299,603
North Carolina Central,32,14,18,0.438,-18.33,-8.69,,8,6,,8,5,,4,12,,2299,2415,,1285,833,1813,0.459,261,736,0.355,488,684,0.713,414,1178,478,200,135,476,567
North Dakota,35,18,17,0.514,-9.33,-3.92,,10,6,,9,7,,7,8,,2680,2705,,1410,915,1912,0.479,296,819,0.361,579,825,0.702,349,1264,540,181,108,502,639
North Dakota State,35,27,8,0.771,1.98,-5.27,,14,2,,13,1,,10,5,,2812,2458,,1420,875,1980,0.442,294,869,0.338,414,555,0.746,288,1111,482,225,109,478,557
North Florida,32,7,25,0.219,-15.72,-3.29,,5,13,,5,8,,2,14,,2547,2821,,1285,1037,2122,0.489,290,829,0.35,457,649,0.704,431,1251,535,251,114,321,515
North Texas,33,19,14,0.576,1.98,1.04,,9,9,,12,5,,5,7,,2341,2225,,1350,735,1743,0.422,206,673,0.306,549,773,0.71,364,1162,362,209,140,498,591
Northeastern,31,7,24,0.226,-9.18,-3.12,,2,16,,2,10,,3,13,,2322,2510,,1245,874,1745,0.501,220,614,0.358,540,731,0.739,295,1084,439,201,110,364,504
Northern Arizona,32,10,22,0.313,-11.12,-1.6,,4,14,,9,7,,1,13,,2282,2445,,1280,877,1818,0.482,275,720,0.382,416,573,0.726,332,1125,435,181,93,373,529
Northern Colorado,32,20,12,0.625,-0.13,-2.89,,10,8,,11,3,,8,7,,2640,2449,,1300,856,1921,0.446,203,673,0.302,534,704,0.759,271,1023,317,194,79,298,490
Northern Illinois,30,9,21,0.3,-15.1,-2.57,,4,14,,6,7,,3,14,,2086,2334,,1200,822,1710,0.481,233,661,0.352,457,628,0.728,279,1017,441,242,130,350,538
Northern Iowa,36,23,13,0.639,7.84,1.78,,11,9,,12,5,,6,6,,2500,2223,,1450,793,1941,0.409,234,814,0.287,403,562,0.717,322,1201,391,205,97,424,519
Northern Kentucky,34,20,14,0.588,-2.63,-4.85,,10,10,,12,5,,7,8,,2827,2634,,1370,926,2020,0.458,277,783,0.354,505,709,0.712,365,1184,480,220,84,468,652
Northwestern,34,15,19,0.441,12.3,11.13,,5,15,,9,7,,3,8,,2487,2447,,1365,848,1916,0.443,257,770,0.334,494,667,0.741,387,1177,541,163,82,391,554
Northwestern State,32,10,22,0.313,-9.55,-2.72,,8,14,,8,6,,2,15,,2185,2317,,1285,818,1782,0.459,239,673,0.355,442,635,0.696,339,1099,425,220,106,362,599
Notre Dame,31,13,18,0.419,8.5,9.37,,4,14,,10,7,,2,9,,2308,2335,,1260,784,1785,0.439,281,846,0.332,486,646,0.752,288,1043,434,192,89,293,560
Oakland,32,16,16,0.5,-1.54,-0.32,,12,8,,7,6,,8,9,,2642,2614,,1280,978,2073,0.472,293,862,0.34,365,504,0.724,395,1163,643,176,148,359,602
Ohio,32,15,17,0.469,-4.96,-1.66,,9,9,,10,6,,4,8,,2492,2515,,1290,879,1905,0.461,238,656,0.363,519,713,0.728,357,1156,427,192,86,378,616
Ohio State ,34,21,13,0.618,18.66,11.92,,12,8,,14,3,,5,6,,2697,2468,,1375,857,1956,0.438,251,788,0.319,503,679,0.741,350,1067,457,185,102,357,636
Oklahoma,37,21,16,0.568,14.73,9.27,,7,11,,11,5,,4,7,,3067,2865,,1500,986,2233,0.442,307,901,0.341,586,780,0.751,441,1297,495,211,129,397,652
Oklahoma State,35,20,15,0.571,10.66,10.01,,6,12,,15,6,,2,7,,2935,2912,,1415,1028,2267,0.453,351,974,0.36,505,713,0.708,407,1300,580,239,146,408,647
Old Dominion,33,12,21,0.364,-7.44,-4.44,,7,11,,7,6,,4,14,,2514,2570,,1330,869,1960,0.443,228,711,0.321,604,816,0.74,357,1229,447,213,137,340,574
Omaha,33,16,17,0.485,-7.67,-3.91,,8,8,,10,4,,5,10,,2507,2522,,1325,882,1980,0.445,302,927,0.326,456,624,0.731,327,1127,472,206,108,327,562
Oral Roberts,33,10,23,0.303,-10.5,-2.6,,4,12,,7,8,,1,13,,2420,2558,,1330,888,1957,0.454,257,722,0.356,525,754,0.696,358,1170,408,253,102,360,575
Oregon,32,12,20,0.375,8.62,11.72,,5,15,,10,7,,2,8,,2267,2366,,1285,817,1863,0.439,262,785,0.334,470,597,0.787,354,1103,432,220,99,336,529
Oregon State,33,17,16,0.515,0.4,3.43,,9,9,,12,5,,4,7,,2347,2447,,1340,840,1931,0.435,264,802,0.329,503,678,0.742,372,1149,468,238,91,340,653
Pacific,33,18,15,0.545,3.99,2.47,,8,10,,11,3,,4,11,,2399,2271,,1325,771,1825,0.422,266,775,0.343,463,659,0.703,287,980,384,213,122,340,515
Penn State,32,12,20,0.375,3.73,9.39,,3,17,,9,8,,2,9,,2358,2539,,1280,920,1840,0.5,310,799,0.388,389,506,0.769,299,1059,556,186,109,382,540
Pennsylvania ,30,18,12,0.6,-1.04,-1.01,,9,5,,12,2,,4,8,,2277,2231,,1210,828,1828,0.453,235,729,0.322,340,505,0.673,331,1095,442,180,111,366,559
Pepperdine,32,9,23,0.281,-6.26,3.05,,4,14,,7,10,,2,11,,2312,2546,,1290,927,1975,0.469,288,803,0.359,404,559,0.723,367,1149,515,244,119,369,586
Pittsburgh,33,13,20,0.394,8.06,9.36,,5,13,,8,10,,3,8,,2327,2370,,1330,838,1816,0.461,262,744,0.352,432,562,0.769,292,1055,434,203,100,348,524
Portland,34,15,19,0.441,-2.52,3.51,,6,12,,12,6,,1,12,,2530,2669,,1370,914,2063,0.443,346,958,0.361,495,663,0.747,379,1157,611,254,79,409,611
Portland State,31,20,11,0.645,-0.34,-3.05,,13,5,,11,3,,8,7,,2376,2179,,1250,713,1709,0.417,220,683,0.322,533,720,0.74,275,1015,376,197,83,397,552
Prairie View A&M ,37,19,18,0.514,-13.16,-9.1,,9,9,,10,3,,3,13,,2883,2831,,1485,968,2193,0.441,255,760,0.336,640,889,0.72,447,1413,474,236,121,558,747
Presbyterian,33,15,18,0.455,-8.47,-5.37,,7,9,,10,4,,3,13,,2388,2382,,1335,832,1876,0.443,236,675,0.35,482,697,0.692,333,1040,404,230,104,357,579
Princeton,29,9,20,0.31,-7.21,-2.24,,5,9,,8,4,,1,12,,1989,2087,,1170,739,1639,0.451,213,683,0.312,396,547,0.724,271,974,370,192,89,272,473
Providence,33,15,18,0.455,10.67,9.36,,7,13,,10,6,,3,8,,2815,2772,,1355,978,2194,0.446,298,845,0.353,518,718,0.721,405,1186,535,254,105,321,615
Purdue ,39,30,9,0.769,25.08,13.98,,13,7,,12,5,,8,3,,3184,2751,,1565,1002,2233,0.449,334,979,0.341,413,570,0.725,347,1115,573,205,89,391,652
Purdue Fort Wayne,32,17,15,0.531,-7.46,-2.9,,11,9,,11,4,,6,11,,2499,2467,,1280,885,1898,0.466,303,831,0.365,394,519,0.759,347,1177,488,160,87,442,515
Queens (NC),35,21,14,0.6,-3.75,-4.4,,13,5,,12,2,,6,10,,2957,2924,,1410,1011,2147,0.471,304,843,0.361,598,818,0.731,413,1243,486,227,105,382,659
Quinnipiac,32,19,13,0.594,-5.58,-7.13,,12,8,,10,5,,9,7,,2411,2303,,1290,821,1933,0.425,235,690,0.341,426,581,0.733,354,1128,430,207,147,394,523
Radford,32,16,16,0.5,-7.31,-6.38,,9,7,,12,5,,4,8,,2604,2523,,1300,871,1914,0.455,256,725,0.353,525,728,0.721,355,1180,466,233,102,445,639
Rhode Island,32,16,16,0.5,2.28,0.6,,7,11,,10,6,,4,7,,2236,2182,,1290,721,1668,0.432,240,692,0.347,500,710,0.704,333,1086,390,253,101,449,595
Rice,31,13,18,0.419,-4.54,0.22,,7,11,,8,8,,4,9,,2291,2311,,1260,792,1808,0.438,218,658,0.331,509,699,0.728,372,1137,373,235,109,347,539
Richmond,32,15,17,0.469,2.11,0.15,,5,13,,11,7,,3,8,,2455,2366,,1285,812,1836,0.442,272,840,0.324,470,657,0.715,341,1159,389,169,80,395,571
Rider,29,4,25,0.138,-19.19,-5.04,,3,17,,4,9,,0,16,,1840,2204,,1160,782,1676,0.467,251,672,0.374,389,545,0.714,320,1065,423,189,99,296,454
Robert Morris,33,22,11,0.667,-1.48,-4.9,,13,7,,14,3,,8,7,,2555,2379,,1345,802,1840,0.436,222,672,0.33,553,727,0.761,317,1008,419,234,111,372,543
Rutgers,34,14,20,0.412,4.4,9.2,,6,14,,10,7,,2,9,,2398,2561,,1376,907,1971,0.46,275,773,0.356,472,624,0.756,368,1230,531,190,130,392,610
Sacramento State,31,10,21,0.323,-8.18,-0.47,,6,12,,10,4,,0,16,,2408,2542,,1245,885,1928,0.459,285,838,0.34,487,671,0.726,360,1235,516,208,99,383,594
Sacred Heart,33,14,19,0.424,-11.38,-8.16,,9,11,,8,5,,5,13,,2482,2528,,1325,921,2021,0.456,308,880,0.35,378,542,0.697,358,1165,553,229,86,340,507
Saint Francis (PA),31,7,24,0.226,-19.09,-6.06,,5,13,,5,8,,2,14,,2216,2510,,1245,886,1801,0.492,268,729,0.368,470,659,0.713,321,1127,493,204,117,397,518
Saint Joseph's,36,24,12,0.667,2.97,1.71,,13,5,,13,3,,8,8,,2633,2529,,1445,917,2249,0.408,287,910,0.315,406,589,0.689,423,1298,475,247,127,368,541
Saint Louis ,35,29,6,0.829,17.64,2.76,,15,3,,19,0,,7,3,,3053,2466,,1400,815,2130,0.383,265,891,0.297,571,785,0.727,379,1148,418,254,125,406,572
Saint Mary's ,33,27,6,0.818,17.07,5.54,,16,2,,17,0,,8,2,,2552,2129,,1320,778,1914,0.406,218,703,0.31,355,493,0.72,286,962,413,183,108,340,598
Saint Peter's,29,17,12,0.586,-7.49,-7.63,,14,6,,13,1,,4,10,,2054,1984,,1170,643,1527,0.421,175,541,0.323,523,703,0.744,330,1004,345,177,102,398,510
Sam Houston,34,22,12,0.647,2.96,-0.14,,13,7,,13,1,,6,10,,2797,2554,,1360,885,2070,0.428,276,876,0.315,508,723,0.703,378,1159,446,224,109,388,584
Samford,32,18,14,0.563,-5.42,-6.25,,11,7,,11,3,,6,9,,2525,2409,,1295,855,1933,0.442,249,694,0.359,450,607,0.741,293,1138,394,169,98,295,625
San Diego,33,12,21,0.364,-3.83,2.21,,5,13,,9,8,,2,11,,2458,2570,,1335,903,1905,0.474,244,762,0.32,520,708,0.734,362,1179,516,235,109,440,528
San Diego State,33,22,11,0.667,13.58,8.08,,14,6,,14,2,,5,5,,2580,2342,,1345,756,1890,0.4,300,896,0.335,528,725,0.728,369,1123,439,223,78,472,589
San Francisco,33,17,16,0.515,4,3.84,,8,10,,9,6,,4,7,,2464,2414,,1330,873,1968,0.444,238,701,0.34,430,579,0.743,329,1107,459,206,89,323,632
San Jose State,33,9,24,0.273,-2.06,6.35,,3,17,,6,10,,1,12,,2376,2591,,1325,913,1849,0.494,259,725,0.357,506,648,0.781,350,1144,524,179,95,378,547
Santa Clara ,35,26,9,0.743,15.48,6.09,,15,3,,14,1,,8,3,,2901,2552,,1405,884,1954,0.452,247,753,0.328,537,732,0.734,370,1170,537,223,111,489,539
Seattle,35,21,14,0.6,4.59,2.71,,8,10,,14,4,,5,8,,2525,2354,,1406,822,1968,0.418,240,745,0.322,470,637,0.738,366,1267,442,231,111,518,613
Seton Hall,33,21,12,0.636,13.28,8.28,,10,10,,12,5,,6,5,,2321,2156,,1320,700,1732,0.404,237,731,0.324,519,729,0.712,360,1104,408,207,123,471,578
Siena ,35,23,12,0.657,-3.64,-8.18,,13,7,,9,4,,9,7,,2463,2304,,1405,829,1968,0.421,251,776,0.323,395,541,0.73,353,1118,400,229,126,383,573
South Alabama,33,21,12,0.636,-4.29,-6.22,,11,7,,10,4,,8,7,,2454,2312,,1345,769,1984,0.388,421,1288,0.327,353,482,0.732,384,1219,543,182,132,408,554
South Carolina,32,13,19,0.406,7.28,8.81,,4,14,,11,8,,2,8,,2398,2447,,1295,881,1921,0.459,219,688,0.318,466,653,0.714,353,1147,504,205,114,322,555
South Carolina State,32,10,22,0.313,-21.97,-8.81,,7,7,,6,5,,3,16,,2147,2522,,1280,824,1765,0.467,226,667,0.339,648,885,0.732,364,1119,475,242,108,431,624
South Carolina Upstate,32,13,19,0.406,-10.39,-5.7,,5,11,,10,5,,3,13,,2376,2357,,1300,828,1913,0.433,238,698,0.341,463,665,0.696,359,1188,367,234,131,389,555
South Dakota,32,16,16,0.5,-9.01,-5.29,,8,8,,12,5,,3,10,,2547,2566,,1300,963,1967,0.49,202,601,0.336,438,597,0.734,313,1103,412,225,108,373,654
South Dakota State,32,14,18,0.438,-3.5,-3.36,,7,9,,9,4,,4,9,,2413,2331,,1285,796,1843,0.432,295,870,0.339,444,603,0.736,272,1038,427,208,86,327,544
South Florida ,34,25,9,0.735,13.42,3.17,,15,3,,13,2,,9,3,,2974,2575,,1385,867,2085,0.416,285,828,0.344,556,798,0.697,423,1285,447,214,161,493,668
Southeast Missouri State,33,20,13,0.606,-7.19,-8.15,,14,6,,10,5,,8,7,,2460,2331,,1325,771,1813,0.425,192,597,0.322,597,814,0.733,305,1083,330,233,113,437,592
Southeastern Louisiana,31,9,22,0.29,-9.56,-3.1,,6,16,,5,7,,2,15,,2016,2184,,1245,741,1643,0.451,220,625,0.352,482,657,0.734,304,1072,397,211,95,397,561
Southern,34,17,17,0.5,-11.25,-7.22,,11,7,,8,4,,7,12,,2707,2650,,1375,888,1965,0.452,262,744,0.352,612,809,0.756,353,1199,475,220,135,498,643
Southern California,32,18,14,0.563,10.31,10.89,,7,13,,9,7,,5,6,,2515,2494,,1305,865,1992,0.434,255,808,0.316,509,658,0.774,369,1099,473,238,105,382,662
Southern Illinois,32,16,16,0.5,2.74,0.52,,10,10,,8,6,,7,8,,2336,2226,,1295,793,1876,0.423,235,779,0.302,405,590,0.686,318,1122,412,220,114,424,547
SIU Edwardsville,32,19,13,0.594,-8.8,-10.59,,12,8,,10,5,,8,7,,2271,2070,,1290,718,1817,0.395,208,698,0.298,426,605,0.704,359,1119,326,224,98,392,492
Southern Indiana,30,7,23,0.233,-16.58,-9.33,,4,16,,3,10,,4,11,,2061,2210,,1210,790,1791,0.441,167,491,0.34,463,634,0.73,364,1197,317,200,146,342,527
Southern Methodist ,34,20,14,0.588,16.08,9.96,,8,10,,15,3,,3,8,,2858,2650,,1370,913,2100,0.435,341,1001,0.341,483,674,0.717,399,1161,556,226,103,407,586
Southern Mississippi,35,19,16,0.543,-5.66,-4.79,,9,9,,10,3,,4,11,,2615,2585,,1410,861,1980,0.435,264,779,0.339,599,844,0.71,354,1171,406,246,146,435,678
Southern Utah,32,10,22,0.313,-9.43,-0.46,,6,12,,7,6,,2,15,,2442,2544,,1285,945,2041,0.463,215,594,0.362,439,617,0.712,373,1153,429,278,118,347,564
St. Bonaventure,34,17,17,0.5,2.26,1.53,,4,14,,9,7,,4,7,,2596,2532,,1370,880,1934,0.455,281,787,0.357,491,650,0.755,337,1090,493,215,113,402,537
St. John's (NY),37,30,7,0.811,22.65,11.38,,18,2,,15,2,,9,1,,2994,2577,,1485,928,2192,0.423,227,725,0.313,494,696,0.71,403,1282,432,224,148,500,736
St. Thomas,34,24,10,0.706,2.44,-5.37,,12,4,,14,1,,8,7,,2780,2433,,1360,867,2016,0.43,259,837,0.309,440,588,0.748,314,1146,469,178,90,403,597
Stanford,33,20,13,0.606,11.92,8.89,,9,9,,12,6,,5,5,,2508,2408,,1325,826,1816,0.455,200,607,0.329,556,732,0.76,318,1100,346,163,104,404,600
Stephen F. Austin,34,28,6,0.824,3.92,-4.33,,20,2,,15,1,,12,4,,2604,2265,,1365,815,1932,0.422,204,682,0.299,431,594,0.726,341,1141,378,182,121,404,513
Stetson,33,12,21,0.364,-12.95,-4.95,,7,11,,9,5,,2,14,,2431,2631,,1325,953,2000,0.477,282,819,0.344,441,597,0.739,349,1151,517,262,77,340,549
Stonehill,33,12,21,0.364,-14.82,-9.49,,8,10,,8,5,,4,15,,2191,2263,,1340,823,1972,0.417,217,655,0.331,400,599,0.668,323,1164,357,242,147,310,501
Stony Brook,32,17,15,0.531,-5.74,-3.98,,9,9,,12,4,,4,9,,2295,2277,,1295,787,1843,0.427,256,729,0.351,447,631,0.708,366,1201,421,217,120,384,500
Syracuse,32,15,17,0.469,9.75,9,,6,12,,12,6,,2,7,,2400,2376,,1305,846,1916,0.442,234,687,0.341,450,624,0.721,387,1183,448,220,93,385,579
