Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_School,Overall_G,Overall_W,Overall_L,Overall_W-L%,Overall_SRS,Overall_SOS,Unnamed: 8_level_0_Unnamed: 8_level_1,Conf._W,Conf._L,Unnamed: 11_level_0_Unnamed: 11_level_1,Home_W,Home_L,Unnamed: 14_level_0_Unnamed: 14_level_1,Away_W,Away_L,Unnamed: 17_level_0_Unnamed: 17_level_1,Points_Tm.,Points_Opp.,Unnamed: 20_level_0_Unnamed: 20_level_1,Opponent_MP,Opponent_FG,Opponent_FGA,Opponent_FG%,Opponent_3P,Opponent_3PA,Opponent_3P%,Opponent_FT,Opponent_FTA,Opponent_FT%,Opponent_ORB,Opponent_TRB,Opponent_AST,Opponent_STL,Opponent_BLK,Opponent_TOV,Opponent_PF
353,Western Illinois,31,5,26,.161,-23.76,-8.48,,1,19,,4,11,,1,15,,2011,2381,,1245,864,1822,.474,231,654,.353,422,601,.702,337,1127,434,209,126,322,528
354,Western Kentucky,32,18,14,.563,0.35,-0.58,,11,9,,12,4,,5,7,,2537,2436,,1290,796,1838,.433,264,780,.338,580,836,.694,344,1199,459,194,143,399,604
355,Western Michigan,31,10,21,.323,-8.59,-2.42,,4,14,,7,8,,3,13,,2318,2464,,1245,849,1843,.461,287,806,.356,479,686,.698,318,1072,464,207,140,306,536
356,Wichita State,36,24,12,.667,9.47,2.67,,13,5,,15,3,,8,5,,2811,2547,,1470,900,2150,.419,237,747,.317,510,724,.704,393,1236,399,221,122,391,642
357,William & Mary,32,20,12,.625,-0.33,-2.97,,10,8,,11,2,,6,9,,2660,2487,,1280,857,1969,.435,293,893,.328,480,679,.707,372,1145,461,234,103,453,669
358,Winthrop,34,23,11,.676,-0.82,-4.59,,13,3,,13,1,,7,9,,2844,2566,,1365,870,2021,.430,280,871,.321,546,750,.728,334,1195,394,198,126,420,762
359,Wisconsin NCAA,35,24,11,.686,18.88,12.02,,14,6,,15,2,,6,4,,2904,2664,,1420,954,2141,.446,291,870,.334,465,639,.728,348,1222,485,161,130,349,606
360,Wofford,32,19,13,.594,-7.53,-7.33,,11,7,,10,5,,9,7,,2520,2468,,1285,857,1837,.467,255,703,.363,499,655,.762,304,1091,424,184,100,340,548
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
361,Wright State NCAA,35,23,12,.657,0.25,-3.90,,15,5,,11,5,,9,5,,2818,2579,,1405,925,2017,.459,237,704,.337,492,672,.732,335,1102,415,238,121,421,640
362,Wyoming,33,18,15,.545,7.34,4.09,,9,11,,14,4,,3,10,,2537,2409,,1320,810,1765,.459,212,649,.327,577,825,.699,300,1051,364,187,119,375,605
363,Xavier,33,15,18,.455,7.75,10.02,,6,14,,12,6,,1,10,,2586,2661,,1330,968,2028,.477,260,748,.348,465,661,.703,337,1248,613,194,126,367,517
364,Yale,31,24,7,.774,5.69,-2.62,,11,3,,10,3,,9,3,,2520,2197,,1255,787,1826,.431,289,829,.349,334,464,.720,315,972,420,159,104,343,552
365,Youngstown State,32,15,17,.469,-4.62,-4.82,,8,12,,10,5,,4,11,,2495,2338,,1285,834,1851,.451,216,621,.348,454,613,.741,329,1062,393,227,90,403,533
