Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_School,Overall_G,Overall_W,Overall_L,Overall_W-L%,Overall_SRS,Overall_SOS,Unnamed: 8_level_0_Unnamed: 8_level_1,Conf._W,Conf._L,Unnamed: 11_level_0_Unnamed: 11_level_1,Home_W,Home_L,Unnamed: 14_level_0_Unnamed: 14_level_1,Away_W,Away_L,Unnamed: 17_level_0_Unnamed: 17_level_1,Points_Tm.,Points_Opp.,Unnamed: 20_level_0_Unnamed: 20_level_1,Opponent_MP,Opponent_FG,Opponent_FGA,Opponent_FG%,Opponent_3P,Opponent_3PA,Opponent_3P%,Opponent_FT,Opponent_FTA,Opponent_FT%,Opponent_ORB,Opponent_TRB,Opponent_AST,Opponent_STL,Opponent_BLK,Opponent_TOV,Opponent_PF
52,Clemson NCAA,35,24,11,.686,16.35,9.32,,12,6,,13,3,,6,5,,2582,2336,,1410,794,1898,.418,266,820,.324,482,644,.748,309,1143,365,192,113,400,632
53,Cleveland State,33,11,22,.333,-13.29,-3.25,,6,14,,7,8,,3,13,,2633,2836,,1320,984,2055,.479,321,905,.355,547,724,.756,405,1193,572,224,129,369,623
54,Coastal Carolina,32,19,13,.594,-7.72,-5.97,,11,7,,8,5,,10,7,,2346,2323,,1310,803,2005,.400,233,733,.318,484,682,.710,345,1229,303,181,82,277,535
55,Colgate,33,18,15,.545,-6.26,-5.64,,11,7,,9,5,,6,10,,2522,2462,,1350,864,1958,.441,274,802,.342,460,642,.717,340,1126,467,191,77,348,533
56,College of Charleston,32,21,11,.656,-1.44,-2.86,,14,4,,11,4,,8,4,,2413,2348,,1290,849,2031,.418,285,882,.323,365,523,.698,405,1192,447,201,98,332,621
57,Colorado,33,17,16,.515,10.48,10.08,,7,11,,13,5,,2,8,,2645,2632,,1335,914,1989,.460,263,724,.363,541,728,.743,342,1149,468,197,118,358,613
58,Colorado State,34,21,13,.618,8.19,4.92,,11,9,,12,6,,6,5,,2574,2416,,1360,850,1881,.452,274,810,.338,442,635,.696,327,1019,397,228,78,345,634
59,Columbia,28,16,12,.571,-2.85,-4.24,,5,9,,9,5,,7,7,,2146,2007,,1130,706,1627,.434,200,590,.339,395,533,.741,259,858,411,191,108,284,436
60,Connecticut NCAA,40,34,6,.850,23.42,12.02,,17,3,,15,2,,9,2,,3064,2608,,1610,868,2155,.403,234,776,.302,638,878,.727,400,1255,427,225,140,471,676
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
61,Coppin State,31,7,24,.226,-24.92,-8.19,,5,9,,3,6,,4,15,,2032,2493,,1245,825,1768,.467,291,769,.378,552,742,.744,346,1108,514,276,131,387,554
62,Cornell,28,15,13,.536,-1.98,-3.14,,8,6,,7,4,,8,8,,2477,2335,,1130,824,1728,.477,247,664,.372,440,614,.717,289,939,468,191,78,318,479
63,Creighton,34,16,18,.471,10.16,10.19,,9,11,,10,6,,4,8,,2556,2557,,1365,972,2139,.454,241,686,.351,372,530,.702,368,1223,488,233,108,321,557
64,Dartmouth,27,11,16,.407,-8.52,-3.20,,5,9,,5,8,,6,8,,2047,2071,,1085,750,1677,.447,225,666,.338,346,485,.713,280,965,387,199,80,261,486
65,Davidson,34,20,14,.588,4.21,2.86,,10,8,,11,7,,7,5,,2447,2309,,1375,812,1849,.439,218,672,.324,467,677,.690,333,1152,394,202,96,395,567
66,Dayton,37,25,12,.676,9.01,4.17,,12,6,,14,4,,8,5,,2743,2564,,1495,884,2018,.438,292,825,.354,504,716,.704,359,1246,448,249,133,530,743
67,Delaware,31,10,21,.323,-8.83,-2.63,,6,14,,5,10,,4,10,,2098,2293,,1265,796,1823,.437,273,784,.348,428,553,.774,334,1074,476,234,90,282,454
68,Delaware State,31,8,23,.258,-22.69,-10.95,,2,12,,5,7,,2,14,,1896,2185,,1250,768,1646,.467,196,577,.340,453,635,.713,285,1065,425,205,124,410,489
69,Denver,32,15,17,.469,-6.12,-2.40,,8,8,,9,5,,6,11,,2650,2650,,1280,950,1950,.487,269,728,.370,481,691,.696,350,1097,407,188,88,291,598
70,DePaul,32,16,16,.500,7.32,6.63,,8,12,,11,7,,4,7,,2248,2226,,1280,767,1772,.433,213,601,.354,479,670,.715,331,1097,441,235,118,404,555
71,Detroit Mercy,32,17,15,.531,-5.81,-3.38,,12,8,,9,5,,7,9,,2471,2475,,1280,848,1912,.444,266,814,.327,513,722,.711,348,1107,492,199,105,330,576
72,Drake,34,14,20,.412,-1.34,1.03,,6,14,,6,11,,4,7,,2552,2544,,1370,896,2039,.439,325,902,.360,427,628,.680,358,1237,496,204,90,353,577
73,Drexel,33,17,16,.515,-4.98,-4.73,,10,8,,12,4,,4,9,,2247,2221,,1320,775,1859,.417,189,630,.300,482,641,.752,353,1123,363,242,102,360,549
74,Duke NCAA,38,35,3,.921,30.15,12.15,,17,1,,15,0,,10,1,,3102,2418,,1520,875,2225,.393,307,1002,.306,361,507,.712,357,1112,458,246,119,439,689
75,Duquesne,33,18,15,.545,3.27,2.23,,9,9,,12,6,,5,7,,2584,2481,,1340,843,1887,.447,269,753,.357,526,721,.730,333,1116,459,236,136,432,580
76,East Carolina,31,11,20,.355,-5.80,0.36,,6,12,,7,10,,4,8,,2217,2401,,1255,855,1889,.453,256,735,.348,435,600,.725,355,1115,462,224,101,353,577
77,East Tennessee State,34,23,11,.676,-0.79,-7.48,,13,5,,13,4,,8,6,,2638,2356,,1370,802,1888,.425,291,902,.323,461,645,.715,329,1092,439,199,90,435,519
78,East Texas A&M,32,11,21,.344,-11.20,-2.24,,6,16,,6,8,,4,13,,2246,2385,,1280,839,1874,.448,255,702,.363,452,649,.696,357,1183,465,230,104,396,478
79,Eastern Illinois,33,13,20,.394,-13.84,-6.21,,8,12,,9,6,,3,13,,2214,2321,,1335,806,1865,.432,248,790,.314,461,621,.742,377,1169,465,208,146,441,529
80,Eastern Kentucky,32,11,21,.344,-10.43,-4.83,,7,11,,8,7,,3,13,,2568,2619,,1300,908,1886,.481,282,781,.361,521,721,.723,335,1137,490,228,85,368,539
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
81,Eastern Michigan,31,10,21,.323,-6.02,-1.82,,4,14,,7,7,,3,14,,2191,2279,,1250,804,1823,.441,209,643,.325,462,644,.717,320,1100,409,203,118,341,496
82,Eastern Washington,33,14,19,.424,-2.36,-0.86,,11,7,,8,4,,5,13,,2576,2606,,1330,912,1903,.479,260,737,.353,522,688,.759,321,1053,448,246,97,372,623
83,Elon,32,14,18,.438,-5.74,-3.27,,6,12,,8,8,,6,9,,2500,2492,,1300,869,1911,.455,304,846,.359,450,639,.704,367,1133,485,203,117,370,556
84,Evansville,32,7,25,.219,-9.23,3.27,,3,17,,5,10,,1,12,,2143,2447,,1290,858,1873,.458,297,803,.370,434,582,.746,315,1147,494,244,71,342,524
85,Fairfield,34,21,13,.618,-8.11,-9.11,,11,9,,12,4,,7,8,,2528,2432,,1365,879,1972,.446,240,705,.340,434,588,.738,334,1173,459,195,145,397,542
86,FDU,32,11,21,.344,-15.19,-7.64,,8,10,,8,6,,3,15,,2150,2245,,1285,781,1695,.461,250,686,.364,433,612,.708,262,1024,393,200,92,350,544
87,Florida NCAA,35,27,8,.771,27.74,12.14,,16,2,,14,1,,8,2,,3050,2504,,1400,870,2139,.407,234,729,.321,530,728,.728,338,1066,388,226,99,385,689
88,Florida A&M,31,15,16,.484,-14.33,-9.27,,11,7,,8,4,,5,11,,2183,2312,,1245,785,1752,.448,212,608,.349,530,704,.753,321,1062,389,271,101,424,563
89,Florida Atlantic,33,18,15,.545,3.68,1.84,,9,9,,11,4,,4,8,,2596,2453,,1335,849,1977,.429,240,714,.336,515,712,.723,341,1143,392,247,92,375,562
90,Florida Gulf Coast,34,16,18,.471,-6.63,-5.26,,8,10,,11,6,,3,11,,2631,2598,,1375,873,1954,.447,312,889,.351,540,740,.730,320,1159,462,216,108,401,559
91,Florida International,32,15,17,.469,-2.00,-0.66,,8,12,,12,6,,3,10,,2580,2492,,1295,849,1955,.434,310,869,.357,484,685,.707,403,1171,526,256,108,484,600
92,Florida State,33,18,15,.545,11.10,8.67,,10,8,,11,6,,6,5,,2652,2572,,1320,896,2015,.445,313,904,.346,467,659,.709,406,1261,499,222,130,450,590
93,Fordham,32,17,15,.531,0.09,-1.12,,8,10,,11,7,,4,6,,2235,2095,,1285,744,1766,.421,251,757,.332,356,521,.683,278,1023,454,190,96,377,502
94,Fresno State,32,13,19,.406,3.38,4.54,,7,13,,10,8,,2,10,,2331,2330,,1280,840,1902,.442,255,845,.302,395,545,.725,346,1125,428,236,103,406,581
95,Furman NCAA,35,22,13,.629,-2.91,-5.38,,10,8,,11,5,,7,5,,2671,2479,,1415,891,2086,.427,282,880,.320,415,591,.702,349,1137,427,265,104,337,596
96,Gardner-Webb,33,4,29,.121,-22.51,-2.01,,1,15,,3,10,,0,16,,2248,2820,,1320,1002,2031,.493,300,834,.360,516,711,.726,397,1298,556,266,114,371,513
97,George Mason,33,23,10,.697,5.97,1.07,,11,7,,17,3,,4,6,,2418,2237,,1320,801,1876,.427,257,788,.326,378,533,.709,325,1023,421,213,113,335,629
98,George Washington,35,19,16,.543,8.27,2.57,,8,10,,12,4,,4,8,,2848,2597,,1405,900,2022,.445,289,862,.335,508,695,.731,340,1130,545,282,116,445,589
99,Georgetown,34,16,18,.471,9.07,8.36,,6,14,,10,7,,4,8,,2503,2479,,1375,858,1991,.431,273,821,.333,490,675,.726,381,1175,471,211,116,373,595
100,Georgia NCAA,33,22,11,.667,18.46,8.89,,10,8,,14,4,,6,4,,2951,2635,,1340,949,2143,.443,271,806,.336,466,648,.719,442,1247,456,231,119,453,623
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
101,Georgia Southern,37,21,16,.568,-6.71,-6.25,,8,10,,9,5,,7,8,,2994,2949,,1495,996,2204,.452,300,875,.343,657,889,.739,455,1435,469,236,102,504,676
102,Georgia State,32,10,22,.313,-11.81,-4.81,,7,11,,7,7,,3,12,,2253,2391,,1285,835,1911,.437,250,742,.337,471,674,.699,376,1239,434,192,91,371,589
103,Georgia Tech,31,11,20,.355,2.57,6.22,,2,16,,10,9,,1,9,,2287,2400,,1245,822,1931,.426,284,857,.331,472,661,.714,362,1134,463,251,134,347,528
104,Gonzaga NCAA,35,31,4,.886,23.94,5.82,,16,2,,15,0,,8,2,,2950,2316,,1405,803,2021,.397,264,864,.306,446,624,.715,338,1125,424,188,92,493,604
105,Grambling,33,14,19,.424,-12.50,-10.27,,7,11,,7,5,,4,13,,2321,2314,,1320,796,1826,.436,208,647,.321,514,720,.714,351,1117,414,278,140,489,591
106,Grand Canyon,32,20,12,.625,10.96,3.99,,13,7,,13,4,,6,5,,2420,2197,,1285,736,1780,.413,217,680,.319,508,694,.732,281,1004,369,206,88,384,645
107,Green Bay,33,18,15,.545,-5.25,-3.28,,12,8,,10,4,,6,9,,2469,2470,,1331,836,1858,.450,293,811,.361,505,680,.743,315,1039,486,202,97,296,587
108,Hampton,32,13,19,.406,-8.94,-4.84,,7,11,,10,2,,2,12,,2237,2264,,1290,781,1730,.451,183,579,.316,519,764,.679,318,1107,391,197,136,372,599
109,Harvard,29,17,12,.586,-1.89,-4.35,,10,4,,8,4,,9,6,,2032,1934,,1175,707,1623,.436,201,635,.317,319,437,.730,268,924,364,189,71,322,414
110,Hawaii NCAA,33,24,9,.727,4.45,-3.10,,14,6,,16,3,,6,5,,2626,2328,,1330,827,1990,.416,194,647,.300,480,689,.697,318,1092,325,254,97,401,677
111,High Point NCAA,36,31,5,.861,7.27,-6.34,,15,1,,17,1,,7,2,,3230,2565,,1450,892,2070,.431,270,833,.324,511,722,.708,381,1238,464,173,128,575,706
112,Hofstra NCAA,35,24,11,.686,4.16,-1.96,,12,6,,10,2,,9,8,,2641,2336,,1410,793,2034,.390,261,825,.316,489,687,.712,398,1195,434,177,121,353,583
113,Holy Cross,33,11,22,.333,-13.97,-7.10,,5,13,,6,8,,4,14,,2251,2418,,1320,900,1896,.475,242,732,.331,376,509,.739,286,1129,450,209,100,323,512
114,Houston NCAA,37,30,7,.811,26.24,11.70,,14,4,,15,1,,6,3,,2844,2306,,1485,766,1934,.396,254,803,.316,520,748,.695,390,1243,410,167,87,495,585
115,Houston Christian,32,12,20,.375,-10.00,-3.86,,8,14,,9,5,,3,13,,2147,2309,,1285,847,1792,.473,234,671,.349,381,536,.711,328,1073,448,225,103,379,510
116,Howard NCAA,35,24,11,.686,-4.26,-10.42,,11,3,,11,4,,7,6,,2722,2420,,1404,828,1933,.428,208,674,.309,556,786,.707,364,1112,385,207,140,517,691
117,Idaho NCAA,36,21,15,.583,-0.58,-2.21,,9,9,,9,4,,7,9,,2800,2618,,1445,894,2065,.433,262,755,.347,568,770,.738,296,1205,412,229,97,386,668
118,Idaho State,33,13,20,.394,-5.91,-1.98,,5,13,,8,6,,3,12,,2459,2513,,1326,880,1856,.474,245,694,.353,508,668,.760,272,970,427,218,97,330,633
119,Illinois NCAA,37,28,9,.757,26.69,12.23,,15,5,,14,3,,8,2,,3079,2544,,1500,945,2330,.406,316,1011,.313,338,458,.738,373,1140,491,201,94,286,697
120,Illinois State,36,23,13,.639,6.51,1.46,,12,8,,14,2,,7,7,,2688,2466,,1445,892,2049,.435,236,726,.325,446,650,.686,321,1171,462,221,102,388,616
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
121,Illinois-Chicago,35,19,16,.543,3.14,0.44,,12,8,,9,5,,7,9,,2640,2470,,1420,843,1971,.428,304,907,.335,480,645,.744,370,1134,557,229,138,480,635
122,Incarnate Word,31,12,19,.387,-7.31,-2.74,,7,15,,9,6,,2,12,,2302,2285,,1240,797,1698,.469,206,601,.343,485,677,.716,303,1009,407,185,101,330,513
123,Indiana,32,18,14,.563,16.40,10.40,,9,11,,14,4,,3,8,,2501,2309,,1295,786,1833,.429,223,674,.331,514,678,.758,320,1036,385,177,90,325,551
124,Indiana State,32,11,21,.344,-3.11,0.29,,4,16,,8,7,,3,12,,2354,2383,,1305,889,1990,.447,218,690,.316,387,561,.690,358,1149,387,258,130,343,489
125,Iona,32,18,14,.563,-7.35,-8.07,,10,10,,11,3,,6,8,,2363,2340,,1305,840,1968,.427,245,801,.306,415,566,.733,373,1197,475,238,114,371,512
126,Iowa NCAA,37,24,13,.649,19.20,10.93,,10,10,,14,3,,3,8,,2758,2452,,1485,843,1836,.459,245,735,.333,521,707,.737,312,1068,439,188,99,473,643
127,Iowa State NCAA,37,29,8,.784,26.62,10.27,,12,6,,16,1,,5,5,,3033,2428,,1480,873,2031,.430,277,865,.320,405,570,.711,348,1156,480,244,139,572,632
128,IU Indy,32,7,25,.219,-12.64,-4.34,,3,17,,5,9,,2,15,,2673,2825,,1285,960,1887,.509,257,666,.386,648,876,.740,359,1223,506,244,98,497,468
129,Jackson State,33,12,21,.364,-19.78,-6.27,,10,8,,7,3,,4,15,,2318,2764,,1330,928,2014,.461,278,800,.348,630,843,.747,443,1330,565,262,136,389,599
130,Jacksonville,32,12,20,.375,-11.03,-5.36,,7,11,,8,4,,3,14,,2339,2349,,1290,812,1732,.469,210,612,.343,515,733,.703,284,986,406,213,82,331,522
131,Jacksonville State,32,15,17,.469,-3.61,-2.95,,10,10,,10,7,,5,8,,2325,2188,,1290,726,1776,.409,239,759,.315,497,674,.737,309,1070,365,203,101,361,599
132,James Madison,33,18,15,.545,-5.22,-5.50,,9,9,,11,4,,5,10,,2460,2437,,1330,822,1929,.426,239,735,.325,554,765,.724,356,1140,371,210,117,287,550
133,Kansas NCAA,35,24,11,.686,20.42,14.36,,12,6,,14,2,,5,6,,2629,2417,,1410,858,2221,.386,284,929,.306,417,608,.686,432,1286,406,230,109,333,558
134,Kansas City,31,4,27,.129,-20.08,-2.33,,1,15,,3,11,,1,15,,2149,2600,,1245,951,1968,.483,276,759,.364,422,597,.707,380,1241,497,247,113,370,543
135,Kansas State,32,12,20,.375,8.23,10.51,,3,15,,10,8,,1,10,,2546,2619,,1280,924,2010,.460,261,775,.337,510,707,.721,388,1195,522,237,132,403,498
136,Kennesaw State NCAA,35,21,14,.600,0.43,-1.35,,10,10,,13,3,,4,8,,2898,2659,,1410,849,2086,.407,258,786,.328,703,941,.747,400,1248,415,271,147,424,703
137,Kent State,34,24,10,.706,-0.84,-2.47,,14,4,,14,3,,7,6,,2866,2707,,1385,910,2086,.436,312,908,.344,575,799,.720,361,1171,498,238,107,408,704
138,Kentucky NCAA,36,22,14,.611,19.13,12.96,,10,8,,14,4,,4,6,,2898,2676,,1445,915,2150,.426,273,858,.318,573,782,.733,396,1240,507,245,111,390,651
139,La Salle,32,9,23,.281,-4.21,3.89,,5,13,,7,6,,1,13,,2148,2370,,1280,852,1833,.465,281,775,.363,385,559,.689,339,1108,520,212,150,366,548
140,Lafayette,32,11,21,.344,-13.09,-6.83,,8,10,,6,10,,5,11,,2222,2381,,1285,857,1857,.461,255,716,.356,412,559,.737,303,1145,506,174,114,342,555
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
141,Lamar,31,12,19,.387,-5.96,-3.90,,7,15,,7,8,,5,10,,2167,2143,,1245,721,1661,.434,215,616,.349,486,708,.686,303,1028,414,234,101,369,478
142,Le Moyne,32,15,17,.469,-11.08,-9.50,,10,8,,9,4,,5,12,,2336,2341,,1280,807,1925,.419,272,759,.358,455,619,.735,347,1126,443,242,97,345,563
143,Lehigh NCAA,35,18,17,.514,-10.05,-7.48,,11,7,,13,4,,4,11,,2545,2582,,1445,935,2095,.446,217,666,.326,495,656,.755,378,1252,412,291,100,394,594
144,Liberty,34,26,8,.765,2.54,-1.11,,17,3,,14,2,,11,3,,2641,2397,,1370,880,1955,.450,267,718,.372,370,508,.728,351,1145,409,178,99,377,532
145,Lindenwood,33,18,15,.545,-9.44,-8.77,,11,9,,9,5,,7,9,,2566,2398,,1320,856,2020,.424,203,665,.305,483,717,.674,395,1216,408,274,126,468,586
146,Lipscomb,32,19,13,.594,-4.52,-5.12,,12,6,,13,1,,6,11,,2549,2423,,1285,885,1950,.454,264,780,.338,389,546,.712,341,1154,405,209,99,413,491
147,Little Rock,32,12,20,.375,-13.30,-8.03,,9,11,,7,6,,5,13,,2257,2372,,1280,843,1888,.447,262,757,.346,424,609,.696,404,1169,444,241,75,417,475
148,Long Beach State,32,10,22,.313,-5.83,-0.07,,6,14,,7,9,,3,13,,2396,2489,,1295,854,1816,.470,218,632,.345,563,750,.751,278,1093,447,213,86,418,540
149,Long Island University NCAA,35,24,11,.686,-5.16,-7.08,,15,3,,14,1,,10,9,,2577,2510,,1405,906,2024,.448,214,665,.322,484,703,.688,405,1181,446,248,122,450,607
150,Longwood,32,16,16,.500,-8.35,-8.01,,8,8,,11,4,,4,10,,2486,2370,,1315,813,1802,.451,252,775,.325,492,710,.693,303,1017,405,251,111,472,608
151,Louisiana,33,11,22,.333,-12.28,-5.28,,7,11,,7,8,,3,13,,2101,2332,,1320,777,1683,.462,217,610,.356,561,771,.728,323,1142,386,165,87,387,499
152,Louisiana State,32,15,17,.469,12.27,9.33,,3,15,,9,8,,3,7,,2606,2512,,1315,866,1960,.442,263,743,.354,517,741,.698,381,1107,401,215,104,314,607
153,Louisiana Tech,34,20,14,.588,-3.06,-3.13,,11,9,,14,3,,4,10,,2375,2210,,1375,735,1871,.393,286,876,.326,454,652,.696,368,1124,409,226,127,415,546
154,Louisiana-Monroe,32,4,28,.125,-18.77,-5.11,,1,17,,3,11,,1,15,,2318,2685,,1290,996,2057,.484,302,846,.357,391,555,.705,394,1276,563,239,128,363,602
155,Louisville NCAA,35,24,11,.686,22.44,10.70,,11,7,,15,2,,4,7,,2949,2538,,1400,888,2096,.424,267,827,.323,495,691,.716,358,1169,438,235,126,415,617
156,Loyola (IL),33,9,24,.273,-6.26,2.71,,4,14,,6,10,,1,9,,2204,2500,,1325,845,1926,.439,314,853,.368,496,648,.765,332,1108,518,237,130,282,554
157,Loyola (MD),32,12,20,.375,-13.63,-8.80,,8,10,,8,6,,3,13,,2407,2466,,1300,891,1891,.471,238,736,.323,446,614,.726,305,1129,494,196,83,342,517
158,Loyola Marymount,32,15,17,.469,0.76,1.18,,6,12,,10,8,,4,7,,2376,2306,,1295,804,1906,.422,238,703,.339,460,614,.749,360,1142,410,196,79,375,555
