Player,PPG,Assigned_Team
Tobe Awaka,9.3,Arizona
Anthony Dell'Orso,8.5,Arizona
Dwayne Aristode,3.8,Arizona
Sidi Gueye,1.3,Arizona
Evan Nelson,0.6,Arizona
Sven Djopmo,0.5,Arizona
Addison Arnold,0.4,Arizona
Jackson Francois,0.4,Arizona
Jackson Cook,0.0,Arizona
Johnathan Lawson,16.2,Arkansas Little Rock
Cameron Wallace,12.7,Arkansas Little Rock
Kachi Nzeh,11.7,Arkansas Little Rock
Braxton Bayless,10.3,Arkansas Little Rock
Tuongthach Gatkek,9.4,Arkansas Little Rock
Terrion Burgess,7.5,Arkansas Little Rock
Truman Claytor IV,6.1,Arkansas Little Rock
Joseph Thomas,3.2,Arkansas Little Rock
Caleb Pennyfeather,2.2,Arkansas Little Rock
Tracy Steele Jr.,1.7,Arkansas Little Rock
Christian Hughes,0.9,Arkansas Little Rock
Quion Williams,17.7,Arkansas Pine Bluff
Jaquan Scott,16.0,Arkansas Pine Bluff
Alex Mirhosseini,11.7,Arkansas Pine Bluff
Milhan Charles,10.5,Arkansas Pine Bluff
Trevon Payton,10.0,Arkansas Pine Bluff
Ramel Lloyd Jr.,6.8,Arkansas Pine Bluff
Jai’chaunn Hayes,6.1,Arkansas Pine Bluff
Ahmad Johnson,3.7,Arkansas Pine Bluff
Anthony Sellars,2.7,Arkansas Pine Bluff
Kyle Brown,1.4,Arkansas Pine Bluff
Dennis Asoro,1.1,Arkansas Pine Bluff
Travis Pourciau,0.3,Arkansas Pine Bluff
Harrison Pickett,0.0,Arkansas Pine Bluff
Trejon Ware,0.0,Arkansas Pine Bluff
Christian Harmon,12.8,Arkansas State
Kyle Hayman,11.7,Arkansas State
Chandler Jackson,10.6,Arkansas State
Joey Chammaa,9.9,Arkansas State
Jaxon Ellingsworth,9.7,Arkansas State
TJ Caldwell,9.4,Arkansas State
Jalen Hampton,8.3,Arkansas State
Royal Blue Smith,5.4,Arkansas State
Chudi Dioramma,5.1,Arkansas State
Aly Tounkara,4.3,Arkansas State
Fredy-Salam Sylla,4.0,Arkansas State
Darius Acuff Jr.,23.5,Arkansas
Meleek Thomas,15.6,Arkansas
Trevon Brazile,13.0,Arkansas
Billy Richmond III,11.2,Arkansas
Malique Ewin,9.8,Arkansas
Karter Knox,8.1,Arkansas
D.J. Wagner,7.4,Arkansas
Nick Pringle,4.6,Arkansas
Isaiah Sealy,2.9,Arkansas
Ayden Kelley,0.6,Arkansas
Jaden Karuletwa,0.6,Arkansas
Elmir Dzafic,0.4,Arkansas
Amere Brown,0.1,Arkansas
Ryan Curry,13.3,Army
Jaxson Bell,12.2,Army
Jacen Holloway,10.8,Army
Jackson Furman,8.9,Army
Kevin McCarthy,7.9,Army
Jorn Everson,7.6,Army
Tate Laczkowski,5.2,Army
Joshua Eli,4.3,Army
Jackson Mayo,1.9,Army
Dylan Benner,1.6,Army
Jahaan Green,1.0,Army
Dillon Watt,1.0,Army
Brendon O'Keefe,1.0,Army
Alex Engro,0.8,Army
Dayon Polk,0.7,Army
Dylan Murans,0.5,Army
Nnaemeka Ikechi,0.0,Army
Chanse Perkins,0.0,Army
Keyshawn Hall,19.3,Auburn
Tahaad Pettiford,15.4,Auburn
Kevin Overton,14.1,Auburn
KeShawn Murphy,10.7,Auburn
Elyjah Freeman,9.2,Auburn
Sebastian Williams-Adams,7.0,Auburn
Filip Jovic,6.3,Auburn
Emeka Opurum,3.8,Auburn
Kaden Magwood,3.6,Auburn
Simon Walker,2.5,Auburn
Abdullahi Bashir,2.0,Auburn
Blake Muschalek,0.6,Auburn
CJ Williams,0.6,Auburn
Reed Trapp,0.3,Auburn
Drake Cardwell,0.0,Auburn
Collin Parker,17.6,Austin Peay
Rashaud Marshall,16.3,Austin Peay
Zyree Collins,13.5,Austin Peay
Tate McCubbin,9.7,Austin Peay
Anton Brookshire,8.4,Austin Peay
Ja'Corey Robinson,6.6,Austin Peay
Matt Enright,4.7,Austin Peay
Tyler Wagner,2.6,Austin Peay
Quan Lax,2.4,Austin Peay
Terrell Gaines,1.8,Austin Peay
Travis Torain,1.7,Austin Peay
Hansel Enmanuel,1.5,Austin Peay
Creighton Morisch,1.3,Austin Peay
Davion Hill,14.0,Ball State
Armoni Zeigler,12.5,Ball State
Devon Barnes,9.1,Ball State
Joey Hart,9.0,Ball State
Elmore James,7.8,Ball State
Kayden Fish,7.2,Ball State
Juwan Maxey,6.3,Ball State
Preston Copeland,4.6,Ball State
Mason Jones,4.2,Ball State
Cam Denson,3.0,Ball State
Jai Anthoni Bearden,2.0,Ball State
Easton Foster,1.7,Ball State
Kody Clancy,1.6,Ball State
Alex Farley,0.0,Ball State
Cameron Carr,18.9,Baylor
Tounde Yessoufou,17.8,Baylor
Obi Agbim,10.7,Baylor
Isaac Williams,10.4,Baylor
Daniel Skillings Jr.,9.4,Baylor
Michael Rataj,7.2,Baylor
Caden Powell,6.9,Baylor
Will Kuykendall,2.0,Baylor
James Goodis,1.7,Baylor
JJ White,1.5,Baylor
James Nnaji,1.4,Baylor
Drew Perry,1.1,Baylor
Jack Karasinski,21.7,Bellarmine
Brian Waddell,15.0,Bellarmine
Kenyon Goodin,11.6,Bellarmine
Tyler Doyle,10.0,Bellarmine
Sam Donald,6.5,Bellarmine
Michael Wilson Jr.,5.7,Bellarmine
Donovan Hunter,4.0,Bellarmine
Myles Watkins,3.6,Bellarmine
Jacob Wassler,3.5,Bellarmine
Grant Neal,3.0,Bellarmine
Dominique Murphy Jr.,2.0,Bellarmine
Grant Whitaker,1.6,Bellarmine
Tommy Clark,1.6,Bellarmine
Darrius Bolden,1.2,Bellarmine
Luke Anderson,0.0,Bellarmine
Tyler Lundblade,15.6,Belmont
Sam Orme,12.7,Belmont
Drew Scharnowski,10.7,Belmont
Nic McClain,10.4,Belmont
Jabez Jenkins,9.0,Belmont
Jack Smiley,8.5,Belmont
Eoin Dillon,7.6,Belmont
Brigham Rogers,7.1,Belmont
Aidan Noyes,5.9,Belmont
Isaiah West,2.9,Belmont
Win Miller,2.9,Belmont
Cooper Haynes,1.7,Belmont
Keith Robbins,1.2,Belmont
Graydon Lemke,0.8,Belmont
Jake Dykstra,0.6,Belmont
Jakobi Heady,18.2,Bethune Cookman
Doctor Bradley,11.9,Bethune Cookman
Daniel Rouzan,11.8,Bethune Cookman
Arterio Morris,11.5,Bethune Cookman
Quentin Heady,10.3,Bethune Cookman
Tyler Andrews,6.9,Bethune Cookman
Jordan Johnson,4.9,Bethune Cookman
Ariel Bland,4.8,Bethune Cookman
Rickey Mitchell Jr.,4.1,Bethune Cookman
Seneca Willoughby,4.1,Bethune Cookman
William Gonzalez,1.8,Bethune Cookman
Simeon Womack,1.7,Bethune Cookman
David Onanina,1.6,Bethune Cookman
Dailon Minor,1.3,Bethune Cookman
Trayvon Barbary,0.0,Bethune Cookman
Demetrius Lilley,14.6,Binghamton
Jeremiah Quigley,14.5,Binghamton
Zyier Beverly,11.8,Binghamton
Wes Peterson,10.7,Binghamton
Jackson Benigni,10.1,Binghamton
Bryson Wilson,9.9,Binghamton
Jake Blackburn,5.5,Binghamton
Ryan Richardson,4.2,Binghamton
Stephan Snagg,3.9,Binghamton
Nevin Ibroci,0.6,Binghamton
Jayden Kelsey,0.5,Binghamton
Drew Fielder,14.7,Boise State
Javan Buchanan,12.6,Boise State
Dylan Andrews,12.5,Boise State
Andrew Meadow,12.1,Boise State
Pearson Carmichael,7.9,Boise State
Dominic Parolin,5.5,Boise State
Spencer Ahrens,4.9,Boise State
Aginaldo Neto,4.3,Boise State
RJ Keene,2.6,Boise State
Ethan Lathan,1.8,Boise State
Bhan Buom,1.6,Boise State
Brennan Ramirez,1.5,Boise State
Julian Bowie,1.0,Boise State
Rayzhon Bergersen,0.3,Boise State
Fred Payne,15.8,Boston College
Donald Hand Jr.,12.4,Boston College
Boden Kapke,10.6,Boston College
Jayden Hastings,6.7,Boston College
Luka Toews,6.3,Boston College
Chase Forte,6.0,Boston College
Aidan Shaw,4.5,Boston College
Caleb Steger,3.3,Boston College
Jason Asemota,3.1,Boston College
Marko Radunovic,2.2,Boston College
Jack DiDonna,0.0,Boston College
Kany Tchanda,0.0,Boston College
Will Eggemeier,0.0,Boston College
Michael McNair,16.9,Boston University
Ben Defty,15.1,Boston University
Chance Gladden,14.4,Boston University
Sam Hughes,9.0,Boston University
Azmar Abdullah,8.3,Boston University
Andrew Bhesania,7.7,Boston University
Ben Roy,6.6,Boston University
Donte Tisinger Jr.,6.4,Boston University
Malcolm Chimezie,4.9,Boston University
Ethan Okwuosa,4.4,Boston University
Quinn Nielsen,1.3,Boston University
Kyrone Alexander,1.0,Boston University
Peter Carr,0.4,Boston University
Javontae Campbell,18.7,Bowling Green State
Sam Towns,11.9,Bowling Green State
Josiah Shackelford,11.3,Bowling Green State
Mayar Wol,10.5,Bowling Green State
Javon Ruffin,7.7,Bowling Green State
Troy Glover II,7.7,Bowling Green State
Justin Thomas,5.4,Bowling Green State
Aidenn Goins,4.5,Bowling Green State
Makhi Leach,3.1,Bowling Green State
Jason Kimbrough Jr.,2.3,Bowling Green State
Camden Karel,2.0,Bowling Green State
Mohamed Maxamud,1.4,Bowling Green State
Preston Squire,1.0,Bowling Green State
Alijah Adem,0.8,Bowling Green State
Christian Dedivanaj,0.4,Bowling Green State
Jaquan Johnson,16.9,Bradley
Alex Huibregtse,12.8,Bradley
Demarion Burch,8.8,Bradley
Montana Wheeler,8.5,Bradley
AJ Smith,8.4,Bradley
Ahmet Jonovic,8.1,Bradley
Timoty van der Knaap,6.5,Bradley
Corey Thomas,5.4,Bradley
Kai Yu,2.7,Bradley
Dietrich Richardson,2.3,Bradley
Matthew Zobrist,1.5,Bradley
Gus Rugaard,0.0,Bradley
Handy Toussaint III,0.0,Bradley
AJ Dybantsa,25.5,Brigham Young
Robert Wright III,18.1,Brigham Young
Richie Saunders,18.0,Brigham Young
Kennard Davis,8.5,Brigham Young
Dawson Baker,7.5,Brigham Young
Keba Keita,6.2,Brigham Young
Aleksej Kostić,4.4,Brigham Young
Mihailo Boskovic,3.0,Brigham Young
Khadim Mboup,2.2,Brigham Young
Tyler Mrus,2.0,Brigham Young
Dominique Diomande,1.9,Brigham Young
Abdullah Ahmed,1.3,Brigham Young
Xavion Staton,0.6,Brigham Young
Jared McGregor,0.0,Brigham Young
Landon Lewis,16.6,Brown
Adrian Uchidiuno,9.1,Brown
Isaiah Langham,8.4,Brown
Jeremiah Jenkins,8.2,Brown
N'famara Dabo,7.2,Brown
Luke Paragon,7.1,Brown
Brady Loughlin,6.5,Brown
