Player,PPG,Assigned_Team
George Beale,3.7,Central Florida
Jeremy Foumena,3.5,Central Florida
Kris Parker,1.7,Central Florida
Elijah Hulsewe,1.1,Central Florida
Poohpha Warakulnukroh,0.5,Central Florida
Zachary Johnson,0.0,Central Florida
Tamario Adley,12.8,Central Michigan
Nathan Claerbaut,12.3,Central Michigan
Phat Phat Brooks,11.0,Central Michigan
Logan McIntire,10.5,Central Michigan
Rodney Johnson Jr.,8.9,Central Michigan
Keenan Garner,7.5,Central Michigan
Nick Mullen,5.5,Central Michigan
Jaxson Whitaker,5.4,Central Michigan
Jalen Kampen,4.1,Central Michigan
Kayden Nation,2.7,Central Michigan
Will Ashford,2.4,Central Michigan
Jorden Brooks,0.4,Central Michigan
A'lahn Sumler,18.9,Charleston Southern
Brycen Blaine,17.2,Charleston Southern
Jesse Hafemeister,12.7,Charleston Southern
Luke Williams,10.6,Charleston Southern
Armari Carraway,6.7,Charleston Southern
Reis Jones,6.6,Charleston Southern
Jacob Taylor,5.2,Charleston Southern
Nate Brafford,5.2,Charleston Southern
Lase Olalere,4.6,Charleston Southern
Jaquias Franklin,3.8,Charleston Southern
Trent Coleman,3.8,Charleston Southern
Easton Hupp,2.8,Charleston Southern
Devin Brafford,2.5,Charleston Southern
Anthony Gause,2.0,Charleston Southern
A.J. Gladieux,1.2,Charleston Southern
Ben Bradford,13.5,Charlotte
Dezayne Mingo,12.6,Charlotte
Anton Bonke,10.6,Charlotte
Damoni Harrison,9.7,Charlotte
Arden Conyers,7.5,Charlotte
Major Freeman,6.3,Charlotte
David Gomez,5.0,Charlotte
Spencer Elliott,4.1,Charlotte
Jarne Elouna Eyenga,3.5,Charlotte
Ethan Butler,3.3,Charlotte
Kuluel Mading,3.3,Charlotte
Raúl Villar,3.3,Charlotte
Kylan Blackmon,2.0,Charlotte
Nick Richart,0.3,Charlotte
Andrew Bailey,0.0,Charlotte
Jordan Frison,16.4,Chattanooga
Brennan Watkins,10.2,Chattanooga
Tate Darner,9.9,Chattanooga
Tedrick Washington,9.0,Chattanooga
Billy Smith,8.4,Chattanooga
Collin Mulholland,7.6,Chattanooga
Sebastian Hartmann,7.0,Chattanooga
Jikari Johnson,6.7,Chattanooga
Latif Diouf,4.8,Chattanooga
Sean Cusano,4.2,Chattanooga
Makai Richards,3.4,Chattanooga
Josh Bowman,3.2,Chattanooga
Ryan Lopez,2.4,Chattanooga
Houston Holland,2.0,Chattanooga
Parker Robison,1.3,Chattanooga
CJ Ray,13.5,Chicago State
Marcus Tankersley,13.0,Chicago State
Doyel Cockrill III,11.8,Chicago State
Stephen Byard,9.8,Chicago State
Braelon Bush,8.5,Chicago State
Chauncey Gibson,4.9,Chicago State
Dailliss Cox,3.1,Chicago State
Malek Robinson,3.0,Chicago State
Corey Sands,2.8,Chicago State
Lionel Larvadain,2.8,Chicago State
Joseph Owens,2.1,Chicago State
CJ Delancy,1.7,Chicago State
Daniel Zatsepin,0.8,Chicago State
Deshawn Jean-Charles,0.8,Chicago State
Dakari Thomas,0.6,Chicago State
Baba Miller,13.0,Cincinnati
Moustapha Thiam,12.8,Cincinnati
Day Day Thomas,11.5,Cincinnati
Jizzle James,10.9,Cincinnati
Jalen Celestine,8.6,Cincinnati
Shon Abaev,7.0,Cincinnati
Kerr Kriisa,5.8,Cincinnati
Sencire Harris,5.7,Cincinnati
Keyshuan Tillery,3.8,Cincinnati
Jordi Rodriguez,2.3,Cincinnati
Halvine Dzellat,2.1,Cincinnati
Tyler McKinley,1.8,Cincinnati
Grant Darbyshire,0.0,Cincinnati
Braxton Williams,14.6,Citadel
Christian Moore,11.2,Citadel
Sola Adebisi,10.0,Citadel
Carter Kingsbury,8.0,Citadel
Logan Applegate,6.5,Citadel
Eze Wali,5.7,Citadel
Keynan Davis,4.8,Citadel
Marcos Gonzales,4.4,Citadel
Dante Kearse,3.6,Citadel
Cassius Bonjasky,2.2,Citadel
Gabe Hernandez,2.0,Citadel
Rowan Irelan,1.8,Citadel
Simeon German,1.8,Citadel
Logan Menefee,0.6,Citadel
Chase Williams,0.2,Citadel
Jack Walter,0.0,Citadel
Jameson Heck,0.0,Citadel
Aidan Alexander,0.0,Citadel
RJ Godfrey,12.0,Clemson
Carter Welling,10.2,Clemson
Jestin Porter,9.6,Clemson
Nick Davidson,9.1,Clemson
Ace Buckner,8.3,Clemson
Dillon Hunter,7.5,Clemson
Zac Foster,6.9,Clemson
Efrem Johnson,6.3,Clemson
Jake Wahlin,5.3,Clemson
Chase Thompson,2.3,Clemson
Dallas Thomas,2.2,Clemson
Trent Steinour,1.0,Clemson
Dayan Nessah,15.5,Cleveland State
Jaidon Lipscomb,12.9,Cleveland State
Chevalier Emery,12.7,Cleveland State
Tre Beard,12.6,Cleveland State
Josiah Harris,9.0,Cleveland State
Preist Ryan,7.2,Cleveland State
Foster Wonders,5.4,Cleveland State
Kamari Jones,4.3,Cleveland State
David Giddens,3.8,Cleveland State
Holden Pierre-Louis,3.3,Cleveland State
Lucas Burton,2.9,Cleveland State
Manny Hill,2.3,Cleveland State
Ivan Spirov,2.2,Cleveland State
Kevo St. Hilaire,1.2,Cleveland State
Joshua Beadle,17.8,Coastal Carolina
AJ Dancler,15.6,Coastal Carolina
RaSheed Jones,14.8,Coastal Carolina
Reggie Hill,6.6,Coastal Carolina
DaJohn Craig,4.5,Coastal Carolina
Nadjrick Peat,4.3,Coastal Carolina
Tristan Thompson,4.0,Coastal Carolina
Braeden MacVicar,2.6,Coastal Carolina
Derrick Green,2.1,Coastal Carolina
Jerry Ngopot,2.1,Coastal Carolina
Charles Dunlap,1.3,Coastal Carolina
Jackson Keil,0.7,Coastal Carolina
Connor Martin,0.0,Coastal Carolina
Jalen Cox,17.9,Colgate
Andrew Alekseyenko,14.8,Colgate
Sam Wright,12.3,Colgate
Ben Tweedy,9.4,Colgate
Josh Ahayere,7.8,Colgate
Kyle Carlesimo,7.8,Colgate
Brady Cummins,4.2,Colgate
Eyilayomi Odetoyinbo,2.1,Colgate
Jonathan Niv,1.9,Colgate
Cooper Wright,1.7,Colgate
Ethan Brown,1.5,Colgate
Cameron Brennan,1.1,Colgate
Charles Pugh,1.0,Colgate
Jlynn Counter,15.7,College Of Charleston
Christian Reeves,11.1,College Of Charleston
Connor Hickman,10.8,College Of Charleston
Mister Dean,10.3,College Of Charleston
Colby Duggan,9.3,College Of Charleston
Chol Machot,8.9,College Of Charleston
Martin Kalu,8.8,College Of Charleston
Chris Davis Jr.,7.6,College Of Charleston
Chadlyn Traylor,3.8,College Of Charleston
Jaxon Prunty,3.8,College Of Charleston
Will Mortimore,2.6,College Of Charleston
Kendall Taylor,1.9,College Of Charleston
Bryce Baker,1.6,College Of Charleston
Djordje Curcic,0.3,College Of Charleston
AJ Fowler,0.0,College Of Charleston
Joey Scarpitti,0.0,College Of Charleston
Brandon Rechsteiner,12.0,Colorado State
Kyle Jorgensen,11.5,Colorado State
Carey Booth,10.7,Colorado State
Josh Pascarelli,10.2,Colorado State
Jevin Muniz,9.4,Colorado State
Jase Butler,9.3,Colorado State
Rashaan Mbemba,8.1,Colorado State
Augustinas Kiudulas,5.9,Colorado State
Jojo McIver,2.7,Colorado State
Nikola Djapa,2.4,Colorado State
Jon Mekonnen,2.1,Colorado State
Darnez Slater,1.5,Colorado State
Charlie Dortch,0.8,Colorado State
Isaiah Johnson,16.9,Colorado
Barrington Hargress,14.7,Colorado
Sebastian Rancik,12.3,Colorado
Bangot Dak,11.5,Colorado
Alon Michaeli,7.1,Colorado
Jalin Holland,4.9,Colorado
Felix Kossaras,4.6,Colorado
Josiah Sanders,4.4,Colorado
Elijah Malone,4.3,Colorado
Ian Inman,4.1,Colorado
Andrew Crawford,1.4,Colorado
Nick Randall,1.0,Colorado
Fawaz Ifaola,0.7,Colorado
Kenny Noland,17.1,Columbia
Zinou Eddine Bedri,12.8,Columbia
Blair Thompson,11.4,Columbia
Miles Franklin,9.5,Columbia
Gerard O'Keefe,8.5,Columbia
Connor Igoe,8.3,Columbia
Mason Ritter,7.3,Columbia
Ryan Soulis,5.8,Columbia
Avery Brown,4.3,Columbia
Hampton Sanders,4.2,Columbia
Richard Nweke,3.0,Columbia
Josiah Cunningham,1.8,Columbia
Leland Coleman,1.3,Columbia
Edwin Bai,0.0,Columbia
Tarris Reed Jr.,14.7,Connecticut
Alex Karaban,13.2,Connecticut
Solomon Ball,12.8,Connecticut
Braylon Mullins,12.0,Connecticut
Silas Demary Jr.,10.1,Connecticut
Eric Reibe,5.9,Connecticut
Jayden Ross,4.6,Connecticut
Jaylin Stewart,4.2,Connecticut
Malachi Smith,3.6,Connecticut
Dwayne Koroma,1.4,Connecticut
Alec Millender,0.6,Connecticut
Jacob Furphy,0.4,Connecticut
Uroš Paunović,0.1,Connecticut
Rrezon Elezaj,0.0,Connecticut
Demariontay Hall,10.6,Coppin State
Khali Horton,7.4,Coppin State
Hussain Williams,7.3,Coppin State
Jamari Piercy,6.8,Coppin State
Hassan Perkins,6.6,Coppin State
Nelson Lamizana,6.6,Coppin State
Taj Thweatt,6.0,Coppin State
Camaren Sparrow,5.7,Coppin State
Torrin Andrews,5.3,Coppin State
Tyler Koenig,5.3,Coppin State
Chrisdon Morgan,4.5,Coppin State
Baasil Saunders,3.2,Coppin State
Favour Aire,2.8,Coppin State
Daveyon Lydner,2.3,Coppin State
Josiah Brown,1.7,Coppin State
Cooper Noard,18.2,Cornell
Jake Fiegen,17.1,Cornell
Adam Tsang Hinton,12.5,Cornell
Jacob Beccles,7.7,Cornell
Josh Baldwin,7.4,Cornell
Anthony Nimani,5.4,Cornell
Ian Imegwu,4.9,Cornell
Kaspar Sepp,4.8,Cornell
Mateen Rafiq,4.1,Cornell
Ty Iwanonkiw,4.0,Cornell
Gioacchino Panzini,3.8,Cornell
DJ Nix,3.5,Cornell
Corbin Zentner,3.3,Cornell
Jax Abalos,2.8,Cornell
Ryan Burbach,2.6,Cornell
DaMaryon Fishburn,2.5,Cornell
AJ LaBeau,0.7,Cornell
Josh Dix,13.2,Creighton
Austin Swartz,10.9,Creighton
Nik Graves,10.9,Creighton
Jasen Green,10.5,Creighton
Blake Harper,7.7,Creighton
Jackson McAndrew,6.8,Creighton
Isaac Traudt,6.5,Creighton
Josh Townley-Thomas,6.0,Creighton
Fedor Žugić,5.2,Creighton
Owen Freeman,5.0,Creighton
Hudson Greer,4.7,Creighton
Kerem Konan,2.6,Creighton
Ty Davis,1.2,Creighton
Shane Thomas,0.8,Creighton
Liam McChesney,0.5,Creighton
Kareem Thomas,15.9,Dartmouth
Brandon Mitchell-Day,12.1,Dartmouth
Jayden Williams,11.8,Dartmouth
Connor Amundsen,9.5,Dartmouth
Jackson Munro,7.8,Dartmouth
Cameron McNamee,6.0,Dartmouth
Niko Abusara,5.4,Dartmouth
Anton Strelnikov,4.1,Dartmouth
Cameron Hiatt,3.7,Dartmouth
Shanon Simango,3.0,Dartmouth
Tyler Garrett,2.2,Dartmouth
Ben Brown,2.1,Dartmouth
Patrick Tivnan Jr.,1.0,Dartmouth
Khai Lockwood,0.0,Dartmouth
Roberts Blums,12.4,Davidson
Josh Scovens,11.1,Davidson
Parker Friedrichsen,10.8,Davidson
Sam Brown,8.0,Davidson
Devin Brown,6.4,Davidson
Nick Coval,6.4,Davidson
Hunter Adam,5.7,Davidson
Ian Platteeuw,4.1,Davidson
Sean Logan,3.7,Davidson
RJ Greer,3.4,Davidson
"JaQualon ""JQ"" Roberts",2.7,Davidson
Manie Joses,1.8,Davidson
Joe Hurlburt,1.6,Davidson
Brock Matheny,1.0,Davidson
John Nowland,0.6,Davidson
Phillip Kavu,0.4,Davidson
Javon Bennett,15.8,Dayton
De'Shayne Montgomery,13.4,Dayton
Amael L'Etang,11.9,Dayton
Jordan Derkack,9.2,Dayton
Keonte Jones,7.7,Dayton
Bryce Heard,6.6,Dayton
Jaiun Simon,5.6,Dayton
Malcolm THomas,4.0,Dayton
Jacob Conner,3.2,Dayton
Damon Friery,1.8,Dayton
Sean Pouedet,0.6,Dayton
Evan Dickey,0.5,Dayton
Makai Grant,0.4,Dayton
Will Maxwell,0.0,Dayton
Ponce James,13.6,Delaware State
Miles Webb,9.5,Delaware State
Camian Shell,8.0,Delaware State
Corey Perkins,7.3,Delaware State
Ademar Santos,7.1,Delaware State
Rahmir Moore,6.6,Delaware State
Zion Bethea,5.4,Delaware State
Dean Shepherd,3.8,Delaware State
Kareem Watson,3.8,Delaware State
Jalen StClair,3.5,Delaware State
Bessanty Saragba,3.2,Delaware State
Cyril Obasogie,2.8,Delaware State
John Clemmons,2.6,Delaware State
Muazibini Adamu,1.9,Delaware State
Omar Stephen,1.3,Delaware State
Christian Bliss,16.7,Delaware
Justyn Fernandez,16.6,Delaware
Tyler Houser,14.2,Delaware
Macon Emory,11.3,Delaware
Jameel Brown,9.8,Delaware
Alex Kazanecki,5.1,Delaware
Mason Ellison,4.7,Delaware
Jayden Taylor,3.1,Delaware
Cavan Reilly,3.0,Delaware
Nnanna Njoku,2.0,Delaware
Houston Emory,1.7,Delaware
Bouna Kebe,1.2,Delaware
Alex McFadden,0.6,Delaware
Brandon Baffone,0.3,Delaware
Carson Johnson,20.1,Denver
Jeremiah Burke,14.6,Denver
Zane Nelson,13.3,Denver
Logan Kinsey,11.4,Denver
Julius Rollins,8.0,Denver
Shaun Wysocki,7.5,Denver
Gabe Oldham,5.6,Denver
Josh Lee,3.3,Denver
Didier Maleng,1.7,Denver
Corleone Dandridge,1.3,Denver
Devin Carney,0.6,Denver
Loch Cunningham,0.2,Denver
CJ Gunn,13.1,Depaul
N.J. Benson,11.7,Depaul
Layden Blocker,11.1,Depaul
Brandon Maclin,10.5,Depaul
RJ Smith,6.6,Depaul
Kaleb Banks,5.6,Depaul
Kruz McClure,5.0,Depaul
Théo Pierre-Justin,4.0,Depaul
Fabian Flores,2.9,Depaul
Jeremy Lorenz,2.2,Depaul
Ilija Milijasevic,2.1,Depaul
Khaman Maker,1.3,Depaul
Nate Kasher,0.4,Depaul
Orlando Lovejoy,15.8,Detroit Mercy
TJ Nadeau,13.8,Detroit Mercy
Ayden Carter,12.2,Detroit Mercy
Tyler Spratt,9.9,Detroit Mercy
Legend Geeter,8.3,Detroit Mercy
Lance Stone,6.8,Detroit Mercy
London Maiden,6.3,Detroit Mercy
Keshawn Fisher,5.5,Detroit Mercy
Ryan Kalambay,4.1,Detroit Mercy
Nate Johnson,2.8,Detroit Mercy
Jared Lary,2.3,Detroit Mercy
Je'kel Cotton,2.3,Detroit Mercy
Xavier Istomin-Monroe,1.8,Detroit Mercy
Zak Abdalla,1.7,Detroit Mercy
Ethan Potter,16.8,Dixie State
Chance Trujillo,12.3,Dixie State
Jusaun Holt,12.0,Dixie State
Noah Bolanga,11.9,Dixie State
Madiba Owona,9.7,Dixie State
Tanner Davis,7.5,Dixie State
Britton Berrett,5.3,Dixie State
Dario Domingos,4.8,Dixie State
Boston Harker,3.7,Dixie State
Dallin Grant,2.5,Dixie State
Samuel Ariyibi,2.4,Dixie State
Preston Vandermyde,1.3,Dixie State
Jalen Quinn,19.7,Drake
Owen Larson,10.0,Drake
Eli Shetlar,9.1,Drake
Jaehshon Thomas,8.9,Drake
Okku Federiko,8.6,Drake
Wilguens Jr. Exacte,7.3,Drake
Andrew Alia,7.0,Drake
Braden Appelhans,5.3,Drake
Isaiah Carr,3.7,Drake
Griffen Goodbary,3.5,Drake
Shane Blakeney,14.2,Drexel
Victor Panov,9.9,Drexel
Kevon Vanderhorst,9.3,Drexel
Eli Beard,9.0,Drexel
Josh Reed,7.9,Drexel
Garfield Turner,7.1,Drexel
Dillon Tingler,3.6,Drexel
Villiam Garcia Adsten,3.5,Drexel
Martin de Laporterie,3.0,Drexel
Max Davis,2.5,Drexel
Horace Simmons,1.7,Drexel
Ralph Akuta,1.6,Drexel
Ignacio Campoy Galvez,0.0,Drexel
Cameron Boozer,22.5,Duke
Isaiah Evans,15.0,Duke
Patrick Ngongba,10.1,Duke
Caleb Foster,8.3,Duke
Cayden Boozer,7.7,Duke
Dame Sarr,6.4,Duke
Nikolas Khamenia,5.7,Duke
Maliq Brown,4.9,Duke
Darren Harris,3.3,Duke
Ifeanyi Ufochukwu,0.8,Duke
Cameron Sheffield,0.5,Duke
Jack Scott,0.5,Duke
Tarence Guinyard,16.6,Duquesne
Jimmie Williams,15.1,Duquesne
Alex Williams,9.2,Duquesne
David Dixon,8.2,Duquesne
John Hugley IV,7.7,Duquesne
Jakub Necas,6.9,Duquesne
Maximus Edwards,6.3,Duquesne
Cameron Crawford,4.6,Duquesne
Jake DiMichele,3.8,Duquesne
Brandon Hall,3.3,Duquesne
Dom Aekins,3.0,Duquesne
Lazar Milosevic,1.8,Duquesne
Stef van Bussel,1.4,Duquesne
Ethan Anish,1.3,Duquesne
Lucas Prolla,1.0,Duquesne
Seamus McDermott,0.0,Duquesne
Jordan Riley,23.6,East Carolina
Giovanni Emejuru,12.9,East Carolina
Demitri Gardner,11.1,East Carolina
Corey Caulker,7.9,East Carolina
Tybo Bailey,7.1,East Carolina
Eli DeLaurier,4.8,East Carolina
Isaiah Mbeng,4.5,East Carolina
Reid Cason,3.9,East Carolina
Jayshayne Woodard,3.2,East Carolina
Luke Davis,2.6,East Carolina
Vito Perkovic,2.3,East Carolina
Patrick D'Arcy,1.1,East Carolina
Ladontae Felton,0.5,East Carolina
Blake Barkley,14.6,East Tennessee State
Brian Taylor,14.6,East Tennessee State
Cam Morris III,13.2,East Tennessee State
Jaylen Smith,9.1,East Tennessee State
Jordan McCullum,8.3,East Tennessee State
Brayden Crump,6.4,East Tennessee State
Maki Johnson,5.7,East Tennessee State
Allen Strothers,4.1,East Tennessee State
Milton Matthews,4.0,East Tennessee State
Isaiah Sutherland,3.5,East Tennessee State
Gabe Sisk,3.4,East Tennessee State
Henry Sisemore,1.1,East Tennessee State
Joseph Carter,0.0,East Tennessee State
Zion Fruster,14.5,Eastern Illinois
Kooper Jacobi,11.1,Eastern Illinois
Andre Washington,10.5,Eastern Illinois
Meechie White,10.5,Eastern Illinois
JT Elder,8.0,Eastern Illinois
Preston Turner,7.7,Eastern Illinois
Terry McMorris,7.6,Eastern Illinois
Markus Blackwell,4.7,Eastern Illinois
Nazareth Fisher,4.1,Eastern Illinois
Malik Olafioye,3.9,Eastern Illinois
Andrew Austin,2.4,Eastern Illinois
Prince Johnson,2.0,Eastern Illinois
Juan Cranford Jr.,12.1,Eastern Kentucky
Montavious Myrick,11.7,Eastern Kentucky
MJ Williams,10.0,Eastern Kentucky
Turner Buttry,9.8,Eastern Kentucky
Tyler Jackson,8.6,Eastern Kentucky
Jalen Cooper,8.5,Eastern Kentucky
Austin Ball,8.0,Eastern Kentucky
Jackson Holt,7.2,Eastern Kentucky
Jayden Harris,6.3,Eastern Kentucky
Yvens Paul,4.4,Eastern Kentucky
Asa White,1.1,Eastern Kentucky
Mason Miles,0.8,Eastern Kentucky
Mohammad Habhab,14.2,Eastern Michigan
Addison Patterson,13.7,Eastern Michigan
Carlos Hart,13.1,Eastern Michigan
Gregory Lawson,7.1,Eastern Michigan
Jon Sanders,6.2,Eastern Michigan
Godslove Nwabude,5.4,Eastern Michigan
Mak Manciel,5.4,Eastern Michigan
Braelon Green,4.6,Eastern Michigan
Mehki Ellison,4.2,Eastern Michigan
Aidan Rubio,2.9,Eastern Michigan
Merritt Alderink,1.8,Eastern Michigan
John Shanu II,1.0,Eastern Michigan
Mbaye N'Diaye,0.8,Eastern Michigan
Cooper Smith,0.4,Eastern Michigan
Isaiah Moses,17.8,Eastern Washington
Alton Hamilton IV,13.5,Eastern Washington
Kiree Huie,12.8,Eastern Washington
Jojo Anderson,7.4,Eastern Washington
Johnny Radford,6.5,Eastern Washington
Straton Rogers,5.8,Eastern Washington
Emmett Marquardt,5.5,Eastern Washington
Tyler Powell,4.8,Eastern Washington
Cole Scherer,2.1,Eastern Washington
Elijah Thomas,1.9,Eastern Washington
Angelo Winkel,1.8,Eastern Washington
Maddox Monson,0.6,Eastern Washington
Shaumba Ngoyi,0.6,Eastern Washington
Chandler Cuthrell,19.8,Elon
Bryson Cokley,12.3,Elon
Kacper Klaczek,11.4,Elon
Randall Pettus II,11.0,Elon
Ja'Juan Carr,7.5,Elon
Isaac Harrell,7.4,Elon
Ned Hull,4.5,Elon
Caleb Middleton,3.1,Elon
DeMarco Johnson,3.0,Elon
Bryson Spell,1.3,Elon
Iker Garmendia,1.3,Elon
Alex Olander,0.0,Elon
Savion Taylor,0.0,Elon
AJ Casey,13.5,Evansville
Connor Turnbull,11.5,Evansville
Leif Moeller,10.8,Evansville
Joshua Hughes,9.3,Evansville
Bryce Quinet,8.7,Evansville
Keishon Porter,6.9,Evansville
Alex Hemenway,6.7,Evansville
Trent Hundley,5.3,Evansville
James Dyson-Merwe,2.4,Evansville
Kaia Berridge,2.0,Evansville
Marlon Barnes Jr.,2.0,Evansville
Leo Amari IV,0.6,Evansville
Weston Aigner,0.0,Evansville
Braden Sparks,17.2,Fairfield
Brandon Benjamin,14.2,Fairfield
Declan Wucherpfennig,12.1,Fairfield
Deuce Turner,8.4,Fairfield
Tony Williams,6.5,Fairfield
Eric Mejia,4.9,Fairfield
Halon Rawlins,3.9,Fairfield
Cam Estevez,3.6,Fairfield
Isaac Munkadi,2.7,Fairfield
Nasir Rodriguez,2.7,Fairfield
Michael Rogan,1.4,Fairfield
Joe Ganton,1.3,Fairfield
Ryan Zan,1.1,Fairfield
Tanner Ostop,0.7,Fairfield
Luke Davidson,0.5,Fairfield
Joey Niesman,12.3,Fairleigh Dickinson
Eric Parnell,10.7,Fairleigh Dickinson
Taeshaud Jackson,10.3,Fairleigh Dickinson
Arthur Cox,8.8,Fairleigh Dickinson
Cyril Martynov,8.1,Fairleigh Dickinson
David Jevtic,6.6,Fairleigh Dickinson
Noah Melson,6.0,Fairleigh Dickinson
Raysean Johnson,4.6,Fairleigh Dickinson
Josiah Francis,1.3,Fairleigh Dickinson
Ras Elijah Godbolt,1.3,Fairleigh Dickinson
Sebastian Haubro,0.6,Fairleigh Dickinson
Cole Alexander,0.5,Fairleigh Dickinson
Tyler McQuaid,0.3,Fairleigh Dickinson
Chidube Ekwommadu,0.0,Fairleigh Dickinson
Tyler Shirley,12.0,Florida Am
Jaquan Sanders,11.7,Florida Am
Micah Octave,10.0,Florida Am
Antonio Baker,9.9,Florida Am
Jordan Chatman,9.1,Florida Am
Kaleb Washington,8.5,Florida Am
Devere Palmer,7.8,Florida Am
Miles Ndalama,7.4,Florida Am
Anquan Boldin Jr.,5.8,Florida Am
Tuscan Onuoha,2.5,Florida Am
Anthony Knowles,2.0,Florida Am
Lenard Taylor Jr.,1.8,Florida Am
Amir Rahman,0.6,Florida Am
Ja'Cobi Hall,0.0,Florida Am
Malcom Stute,0.0,Florida Am
Devin Vanterpool,15.8,Florida Atlantic
Kanaan Carlyle,14.3,Florida Atlantic
Isaiah Elohim,12.4,Florida Atlantic
Josiah Parker,9.6,Florida Atlantic
Devin Williams,7.5,Florida Atlantic
Xander Pintelon,6.2,Florida Atlantic
Niccolo Moretti,5.6,Florida Atlantic
Amar Amkou,5.5,Florida Atlantic
Maxim Logue,4.8,Florida Atlantic
Max Langenfeld,3.5,Florida Atlantic
Yohann Sissoko,3.3,Florida Atlantic
Vincent Neugebauer,2.4,Florida Atlantic
Liam Dayco-Green,2.0,Florida Atlantic
Lachlan Smith,1.0,Florida Atlantic
J.R. Konieczny,15.6,Florida Gulf Coast
Jordan Ellerbee,13.1,Florida Gulf Coast
Rahmir Barno,11.7,Florida Gulf Coast
Isaiah Malone,10.5,Florida Gulf Coast
Michael Duax,7.7,Florida Gulf Coast
Rory Stewart,7.1,Florida Gulf Coast
Darren Williams,6.2,Florida Gulf Coast
Tristen Guillouette,3.4,Florida Gulf Coast
George Washington III,3.1,Florida Gulf Coast
Gabe Tanner,2.8,Florida Gulf Coast
Jack Reddick,2.5,Florida Gulf Coast
Brandon Dwyer,2.0,Florida Gulf Coast
Matthew McCarthy,0.5,Florida Gulf Coast
Corey Stephenson,18.0,Florida International
Julian Mackey,12.4,Florida International
Zawdie Jackson,12.1,Florida International
Larry Olayinka,10.0,Florida International
Eric Dibami,9.3,Florida International
Ashton Williamson,7.7,Florida International
Brit Harris,5.6,Florida International
Olajuwon Ibrahim,4.0,Florida International
Thiago Sucatzky,3.6,Florida International
Amarion Nimmers,1.6,Florida International
Aydan Clinton,1.5,Florida International
Kennedy Brown,1.5,Florida International
Renato Ruiz,0.8,Florida International
Robert McCray V,16.3,Florida State
Chauncey Wiggins,13.3,Florida State
Lajae Jones,12.7,Florida State
Martin Somerville,8.0,Florida State
Kobe MaGee,7.9,Florida State
Alex Steen,6.8,Florida State
Thomas Bassong,5.9,Florida State
Cam Miles,5.4,Florida State
AJ Swinton,4.5,Florida State
Shahid Muhammad,2.6,Florida State
Alier Maluk,1.6,Florida State
Jalen Crawford,1.0,Florida State
Thomas Haugh,17.1,Florida
Alex Condon,15.1,Florida
Boogie Fland,11.6,Florida
Xaivian Lee,11.6,Florida
Rueben Chinyelu,10.9,Florida
Urban Klavzar,9.6,Florida
Isaiah Brown,5.5,Florida
Micah Handlogten,4.1,Florida
CJ Ingram II,2.2,Florida
Viktor Mikic,1.3,Florida
Alex Lloyd,1.2,Florida
Cooper Josefsberg,1.0,Florida
Olivier Rioux,0.6,Florida
Alex Kovatchev,0.5,Florida
Dejour Reaves,17.9,Fordham
Zarique Nutter,12.7,Fordham
Christian Henry,10.7,Fordham
Rikus Schulte,10.7,Fordham
Jack Whitbourn,8.4,Fordham
Abass Bodija,7.3,Fordham
Akira Jacobs,7.2,Fordham
Roor Akhuar,6.1,Fordham
Marcus Greene,4.7,Fordham
Jace Howard,4.5,Fordham
Louis Lesmond,3.3,Fordham
Ryan Pettis,2.2,Fordham
Kingston Price,1.7,Fordham
Aidan Crotty,1.6,Fordham
Jameson O'Toole,0.9,Fordham
Max Miller,0.0,Fordham
Jake Heidbreder,17.0,Fresno State
DeShawn Gory,13.7,Fresno State
Zaon Collins,11.6,Fresno State
Wilson Jacques,8.8,Fresno State
David Douglas Jr.,7.2,Fresno State
Jac Mani,6.0,Fresno State
Cameron Faas,5.3,Fresno State
Bastien Rieber,4.0,Fresno State
DJ Stickman,3.5,Fresno State
Gasper Kocevar,3.3,Fresno State
Aram Soqui Urbano,2.0,Fresno State
Makhan Diouf,1.1,Fresno State
Matteo Porto,0.6,Fresno State
Troy Jenkins,0.0,Fresno State
Alex Wilkins,17.8,Furman
Cooper Bowser,13.8,Furman
Asa Thomas,11.9,Furman
Charles Johnston,9.8,Furman
Tom House,8.5,Furman
Ben VanderWal,7.2,Furman
Eddrin Bronson,5.4,Furman
Cole Bowser,5.2,Furman
Abijah Franklin,4.4,Furman
Mason Smith,3.0,Furman
Collin O'Neal,2.9,Furman
Gunnar Lewis,1.7,Furman
Owen Ritger,1.7,Furman
Thomas Tillman,0.7,Furman
Jacob Hogarth,10.7,Gardner Webb
Jacob Hudson,10.7,Gardner Webb
Spence Sims,9.9,Gardner Webb
Colin Hawkins,8.2,Gardner Webb
D.J. Jefferson,7.6,Gardner Webb
Julius Clark,7.3,Gardner Webb
Aaron Talbert,6.9,Gardner Webb
Curtis Williams,6.6,Gardner Webb
Jamias Ferere,6.3,Gardner Webb
NaVuan Peterson,3.1,Gardner Webb
Riek Riek,1.4,Gardner Webb
Bo Barber,1.1,Gardner Webb
Paul Lindberg,0.6,Gardner Webb
Isaiah Hicks,0.4,Gardner Webb
Ahmadou Ndiaye,0.3,Gardner Webb
Cameron Gales,0.3,Gardner Webb
Kory Mincy,14.3,George Mason
Riley Allenspach,13.6,George Mason
Jahari Long,12.2,George Mason
Jermahri Hill,10.3,George Mason
