Player,Assigned_Team,Games_Tracked,Season_Off_Possessions,Weighted_ORtg,Season_Def_Possessions,Weighted_DRtg,Net_Efficiency_Rating,Net_Points_Produced
Tijan Saine Jr.,Weber State Wildcats,30,1751.9,100.2,1784.9,98.9,1.3,22.6
Pharrel Payne,Maryland Terrapins,10,479.8,94.6,454.7,89.9,4.7,22.5
Jinup Dobuol,Monmouth Hawks,17,157.3,94.7,154.1,80.4,14.3,22.5
Trent Mosquera,Le Moyne Dolphins,31,1658.6,94.0,1655.9,92.6,1.4,22.5
Brandon Maclin,Depaul Blue Demons,29,1238.6,91.1,1224.5,89.3,1.8,22.4
Eduardo Klafke,Ole Miss Rebels,33,795.8,98.6,816.9,95.8,2.8,22.3
Myles Parker,Marist Red Foxes,30,714.2,88.1,682.7,85.0,3.1,22.3
Vince Dawson III,Morehead State Eagles,30,738.6,96.5,737.9,93.5,3.0,22.3
Daniel Thomas,Unc Asheville Bulldogs,27,892.1,96.2,910.6,93.7,2.5,22.3
Jakevion Buckley,New Orleans Privateers,32,1804.3,93.8,1839.0,92.6,1.2,22.1
David Simon,Vermont Catamounts,16,244.2,93.4,255.0,84.3,9.0,22.1
Josh Lee,Denver Pioneers,20,300.1,107.3,299.2,99.9,7.4,22.1
Daimion Collins,South Florida Bulls,32,774.4,94.5,779.9,91.7,2.8,22.1
Nate Johnson,Detroit Mercy Titans,24,370.8,98.4,374.1,92.5,6.0,22.1
Armelo Boone,Western Kentucky Hilltoppers,27,1185.1,94.8,1171.1,92.9,1.9,22.0
Josiah Hammons,Uic Flames,31,740.5,98.3,724.8,95.3,3.0,22.0
Declan Duru Jr.,Texas Longhorns,10,67.7,100.4,67.7,68.0,32.4,22.0
Aginaldo Neto,Boise State Broncos,30,925.7,95.0,917.0,92.6,2.4,21.9
Redd Thompson Jr.,Longwood Lancers,29,1074.4,97.6,1053.2,95.6,2.0,21.8
CJ Shaw,Uc Santa Barbara Gauchos,30,1422.8,99.3,1439.8,97.8,1.5,21.7
Miles Franklin,Columbia Lions,24,948.8,94.6,921.5,92.4,2.3,21.7
Kelcy Phipps,Portland State Vikings,28,838.4,92.2,839.1,89.6,2.6,21.6
Scottie Hubbard,Old Dominion Monarchs,31,817.9,97.3,814.2,94.7,2.6,21.5
Trevor Roe,Le Moyne Dolphins,14,160.2,105.5,160.6,92.1,13.3,21.4
Kevair Kennedy,Merrimack Warriors,34,1882.5,93.7,1871.0,92.5,1.1,21.4
Morgan Safford,Kent State Golden Flashes,31,1764.1,97.2,1717.5,96.0,1.2,21.3
Alex Steen,Florida State Seminoles,32,1084.6,97.9,1068.2,96.0,2.0,21.3
Joel Armotrading,Nevada Wolf Pack,21,580.0,95.0,560.5,91.3,3.7,21.3
Josiah Davis,Cal State Northridge Matadors,32,1966.9,94.3,1910.2,93.2,1.1,21.2
Jackson Keith,Butler Bulldogs,24,340.5,95.4,326.2,89.2,6.2,21.2
Gabe Sisk,East Tennessee State Buccaneers,14,184.4,94.3,190.6,82.9,11.4,21.1
Jahari Williamson,Kent State Golden Flashes,32,1448.6,96.8,1425.5,95.3,1.4,21.0
Cian Medley,Kent State Golden Flashes,31,1893.8,97.1,1848.0,95.9,1.1,21.0
Kyle Thomas,Siu Edwardsville Cougars,26,808.2,89.5,808.1,86.9,2.6,20.9
Clayton Jackson,Lindenwood Lions,30,1270.7,90.9,1267.2,89.3,1.6,20.9
Jaden Vance,Uc San Diego Tritons,20,476.4,87.9,475.0,83.6,4.4,20.8
Jaland Lowe,Kentucky Wildcats,9,258.3,100.7,257.9,92.7,8.0,20.6
Tre Dinkins,George Washington Revolutionaries,34,1146.8,98.9,1133.0,97.1,1.8,20.6
Sherman Weatherspoon IV,Utah Valley Wolverines,29,751.0,97.9,772.6,95.1,2.7,20.6
Gabe Dynes,Usc Trojans,29,556.7,92.9,556.2,89.2,3.7,20.6
Tyrell Ward,Vcu Rams,29,690.6,93.5,672.4,90.6,3.0,20.5
Austin Hunt,Harvard Crimson,13,472.4,93.8,459.6,89.4,4.3,20.5
Ben Eisendrath,Harvard Crimson,28,1261.0,94.5,1285.2,92.8,1.6,20.5
Aitor Anabitarte,Jacksonville State Gamecocks,13,137.2,96.2,139.0,81.3,14.9,20.4
Spencer Elliott,Charlotte 49Ers,32,873.6,99.3,879.1,96.9,2.3,20.4
Xander Pintelon,Florida Atlantic Owls,31,961.6,94.1,951.0,92.0,2.1,20.3
Jordan Butler,South Carolina Gamecocks,23,313.5,104.3,311.8,97.8,6.5,20.3
Mathis Courbon,Murray State Racers,31,805.4,101.9,838.6,99.4,2.5,20.1
Milos Nenadic,Lindenwood Lions,30,1521.5,92.8,1467.0,91.5,1.3,20.1
Tegra Izay,Southern Miss Golden Eagles,33,575.1,100.5,587.5,97.0,3.5,20.1
Jordan Gorecki,Texas Southern Tigers,25,670.7,91.4,691.2,88.4,3.0,20.1
Mateen Rafiq,Cornell Big Red,15,173.3,111.9,167.3,100.4,11.5,20.0
Keyontae Lewis,Norfolk State Spartans,27,748.2,94.2,788.6,91.6,2.7,20.0
Po'Boigh King,Sam Houston Bearkats,28,1416.1,97.7,1385.8,96.3,1.4,19.9
Chabi Barre,Akron Zips,14,135.0,108.1,142.4,93.4,14.7,19.9
Jemel Jones,New Mexico State Aggies,28,1266.9,95.9,1274.1,94.3,1.6,19.8
Tae Dozier,Northern Kentucky Norse,31,1542.3,99.4,1534.9,98.1,1.3,19.7
Braxton Stacker,Southeast Missouri State Redhawks,30,1483.8,92.2,1455.9,90.9,1.3,19.6
Cade Kelderman,Iowa State Cyclones,2,23.3,158.6,23.9,75.2,83.5,19.5
Daniel Jacobsen,Purdue Boilermakers,39,703.4,98.7,699.6,95.9,2.8,19.4
Daniel Freitag,Buffalo Bulls,21,1180.1,100.2,1176.3,98.5,1.6,19.3
Tyler Robbins,Miami (Oh) Redhawks,23,171.0,102.9,174.6,91.6,11.3,19.3
Victor Panov,Drexel Dragons,30,1354.4,92.5,1369.8,91.1,1.4,19.1
Arlandus Keyes,Mount St. Mary'S Mountaineers,29,1391.9,89.7,1367.0,88.4,1.4,19.0
Guzman Vasilic,Cal Poly Mustangs,28,1190.3,97.5,1165.1,95.9,1.6,18.9
Ben Johnson,Vermont Catamounts,32,915.6,95.7,879.1,93.6,2.1,18.8
Dario Domingos,Utah Tech Trailblazers,22,232.8,104.4,228.4,96.3,8.0,18.7
Buddy Hammer Jr.,North Texas Mean Green,28,625.8,89.3,627.8,86.3,3.0,18.7
Howie Keene,Montana State Bobcats,21,398.4,96.6,400.3,91.9,4.7,18.7
Jai Anthoni Bearden,Ball State Cardinals,10,61.2,120.9,67.4,90.5,30.4,18.6
Jaden Steppe,Montana State Bobcats,29,726.4,98.4,731.2,95.9,2.6,18.6
Ante Beljan,Uic Flames,23,217.4,95.2,222.7,86.7,8.5,18.5
Isaiah Brown,Howard Bison,29,483.8,88.7,482.1,84.8,3.8,18.5
Zytarious Mortle,Texas Southern Tigers,26,803.0,94.5,802.5,92.2,2.3,18.5
Brandon Lee,Illinois Fighting Illini,15,75.9,97.5,75.2,73.2,24.3,18.5
Zine Eddine Bedri,Columbia Lions,5,190.6,93.4,186.3,83.7,9.7,18.4
Alex Bruskotter,Wright State Raiders,12,156.4,110.0,152.6,98.3,11.7,18.3
Corey Miller,Monmouth Hawks,6,167.5,91.3,159.2,80.4,11.0,18.3
Patton Pinkins,Ole Miss Rebels,35,1424.8,98.5,1428.2,97.2,1.3,18.3
Chadlyn Traylor,Charleston Cougars,31,811.3,92.3,837.1,90.1,2.3,18.3
Mouhamed Mbaye,Utep Miners,21,211.5,88.4,223.1,79.8,8.6,18.2
Connor Igoe,Columbia Lions,26,846.9,96.8,834.5,94.7,2.2,18.2
Quinton Perkins II,Mercer Bears,25,976.2,100.5,994.7,98.6,1.9,18.2
Noam Dovrat,Miami Hurricanes,27,354.7,100.1,346.5,95.0,5.1,18.1
Magnus Entenmann,Kent State Golden Flashes,31,613.1,97.2,602.6,94.3,3.0,18.1
Joshua Clark,Marquette Golden Eagles,21,172.0,88.4,173.4,77.8,10.5,18.1
Brayden Barron,Portland State Vikings,15,88.1,102.1,95.4,81.8,20.3,17.9
Babacar Diallo,High Point Panthers,11,98.5,93.4,92.9,75.4,18.1,17.8
Javion Guy-King,Central Arkansas Bears,30,1148.1,95.5,1121.2,93.9,1.5,17.8
Jordan Ellerbee,Florida Gulf Coast Eagles,32,1474.6,96.5,1447.0,95.3,1.2,17.7
Angel Montas Jr.,Umass Lowell River Hawks,26,1319.4,98.8,1305.7,97.4,1.3,17.7
Corey Thomas,Bradley Braves,33,966.3,95.2,969.0,93.4,1.8,17.6
Andrea Holden,Wright State Raiders,33,802.8,95.7,805.7,93.5,2.2,17.6
Dakari Thomas,Chicago State Cougars,20,113.1,93.7,149.7,78.2,15.5,17.6
Jeremiah Davis,Montana State Bobcats,28,1115.4,96.3,1146.4,94.7,1.6,17.4
Sam Krist,Navy Midshipmen,3,30.8,110.6,31.3,54.3,56.3,17.3
Kade Sebastian,American University Eagles,30,1003.7,94.0,1006.2,92.3,1.7,17.3
Elijah Gertrude,Virginia Cavaliers,14,102.7,95.4,100.6,78.6,16.8,17.3
Emmanuel Okorafor,Wichita State Shockers,35,980.0,93.0,1001.2,91.2,1.8,17.3
Amar Amkou,Florida Atlantic Owls,24,442.0,101.1,435.0,97.2,3.9,17.2
Bryce Zephir,Syracuse Orange,17,150.6,85.0,149.5,73.6,11.4,17.2
Samuel Onu,Alabama A&M Bulldogs,16,154.8,97.6,156.1,86.5,11.1,17.2
Maxim Logue,Florida Atlantic Owls,25,479.1,95.8,484.7,92.2,3.6,17.2
Milos Ilic,California Golden Bears,33,968.0,93.9,979.1,92.1,1.8,17.2
Junseok Yeo,Seattle U Redhawks,32,1721.5,88.6,1734.1,87.7,1.0,17.1
Adrean Newton,Norfolk State Spartans,24,558.5,93.5,574.1,90.4,3.1,17.1
Anias Futrell,Lindenwood Lions,29,1692.2,93.0,1676.9,92.0,1.0,17.0
Andy Sigiscar,Tarleton State Texans,21,544.4,89.3,552.5,86.2,3.1,17.0
RJ Taylor,Northern Iowa Panthers,29,441.2,92.5,460.4,88.6,3.8,16.9
Lucas Mari,Vermont Catamounts,28,849.3,93.1,857.9,91.2,2.0,16.8
Jacob Dar,Seton Hall Pirates,30,458.8,94.6,456.2,91.0,3.6,16.7
Jayden Smoot,Ut Arlington Mavericks,21,342.8,98.0,350.0,93.1,4.9,16.7
Masiah Gilyard,Temple Owls,30,836.7,97.8,850.8,95.8,2.0,16.5
Dayton Forsythe,Oklahoma Sooners,28,782.1,98.8,775.4,96.7,2.1,16.5
Kalen Garry,South Dakota State Jackrabbits,29,1387.3,96.0,1375.1,94.8,1.2,16.4
Jorge Diaz Graham,Oregon State Beavers,32,856.8,95.8,882.8,93.9,1.9,16.4
Ariel Bland,Bethune-Cookman Wildcats,31,971.7,96.4,1003.8,94.7,1.7,16.4
Frankie Mannino,Harvard Crimson,26,326.8,96.7,329.3,91.7,5.0,16.3
Ezra Ausar,Usc Trojans,31,1546.7,96.8,1538.7,95.8,1.1,16.3
Shane Thomas,Creighton Bluejays,9,32.1,130.7,32.3,80.4,50.3,16.2
Koat Keat Tong,Uc Santa Barbara Gauchos,15,147.8,97.4,152.7,86.4,11.0,16.2
Jason Jakstys,Illinois Fighting Illini,5,30.6,127.5,29.4,74.8,52.7,16.1
Hayden Tibbits,St. Thomas-Minnesota Tommies,18,321.9,104.7,316.9,99.7,5.0,16.0
Brandon Garrison,Kentucky Wildcats,36,900.3,97.5,921.2,95.7,1.8,16.0
Jackson Fields,West Virginia Mountaineers,9,190.9,106.4,177.6,98.0,8.4,15.9
Cade Stinnett,Western Kentucky Hilltoppers,12,120.5,97.1,132.1,84.0,13.1,15.8
Lureon Walker,North Carolina A&T Aggies,4,195.0,91.8,201.9,83.7,8.1,15.8
Marcus Niblack,Canisius Golden Griffins,7,242.3,87.9,249.3,81.4,6.5,15.7
CJ Ingram,Florida Gators,12,90.4,105.1,96.9,87.7,17.4,15.7
Luke McEldon,Mount St. Mary'S Mountaineers,30,1242.5,89.0,1222.8,87.7,1.3,15.7
Errol White,Lamar Cardinals,29,1009.9,88.7,1021.0,87.2,1.6,15.7
Xavier Booker,Ucla Bruins,36,1131.3,97.5,1126.7,96.1,1.4,15.5
Jermaine Coleman,St. Thomas-Minnesota Tommies,31,692.3,96.6,715.1,94.4,2.2,15.5
Drew Fielder,Boise State Broncos,30,1141.6,99.4,1104.3,98.1,1.3,15.4
Dimp Pernell,Texas State Bobcats,9,302.5,95.2,297.3,90.1,5.1,15.4
Darnez Slater,Colorado State Rams,18,174.2,107.4,187.6,98.6,8.7,15.2
Hayden Assemian,South Carolina Gamecocks,23,324.7,103.2,328.9,98.5,4.7,15.2
Matt Hayman,Arkansas State Red Wolves,29,1179.5,96.8,1159.6,95.5,1.3,15.1
Cole Franklin,North Texas Mean Green,31,1241.1,92.1,1268.6,90.9,1.2,15.0
Shon Abaev,Cincinnati Bearcats,24,625.9,85.5,594.5,83.1,2.4,14.9
Abass Bodija,Fordham Rams,24,721.8,90.2,728.6,88.1,2.1,14.9
Jayce Nathaniel,Uic Flames,32,1023.0,93.9,1028.1,92.5,1.4,14.8
Jesse McCulloch,Michigan State Spartans,28,277.9,95.7,283.1,90.4,5.3,14.8
Kilian Brockhoff,William & Mary Tribe,30,1187.1,95.0,1154.8,93.8,1.2,14.7
Cam McDowell,Tarleton State Texans,17,735.5,96.7,706.7,94.7,2.0,14.7
Tyrique Brooks,Missouri State Bears,19,237.2,105.8,232.8,99.7,6.2,14.6
Gabe Pickens,New Mexico State Aggies,26,874.2,94.3,882.3,92.6,1.7,14.5
Dimitrije Vukicevic,Uc San Diego Tritons,22,276.1,90.2,285.0,84.9,5.2,14.5
Mackenzie Mgbako,Texas A&M Aggies,7,218.3,101.2,200.8,94.6,6.6,14.5
Jahki Gupton,Saint Peter'S Peacocks,28,1105.5,92.5,1110.4,91.1,1.3,14.5
Brian Hawthorne,South Alabama Jaguars,15,227.2,94.7,229.9,88.3,6.4,14.5
Finn Lally,William & Mary Tribe,24,411.5,100.4,404.8,96.8,3.5,14.5
Todd Bieg,Lindenwood Lions,4,32.5,110.6,30.3,66.1,44.5,14.5
Lefteris Mantzoukas,Oklahoma State Cowboys,12,327.0,92.4,330.9,87.9,4.4,14.5
Joshua Ward,Cal State Fullerton Titans,32,1766.7,93.4,1781.2,92.6,0.8,14.4
Daniel Guetta,Oklahoma State Cowboys,8,139.8,93.0,135.3,82.7,10.2,14.3
Colin White,Ohio State Buckeyes,28,358.6,103.5,360.8,99.5,4.0,14.2
Kobi Pearson,Texas A&M-Corpus Christi Islanders,28,375.0,90.9,385.5,87.2,3.8,14.1
Jordan Lowery,Ut Arlington Mavericks,30,726.2,92.3,740.7,90.3,1.9,14.1
Nigel Walls,Smu Mustangs,6,34.8,106.5,34.7,66.3,40.2,14.0
Dezayne Mingo,Charlotte 49Ers,32,1365.0,99.0,1374.2,97.9,1.0,14.0
Eltramon Smith Jr.,Stephen F. Austin Lumberjacks,15,162.1,95.0,158.5,86.4,8.6,14.0
Collin O'Connor,Stony Brook Seawolves,6,247.0,100.8,240.5,95.2,5.6,13.9
Tai Hamilton,Winthrop Eagles,18,192.4,91.0,213.7,83.8,7.2,13.9
Kevin Patton Jr.,New Mexico Lobos,8,119.4,98.0,119.3,86.3,11.6,13.9
Ryan Lafferty,St. Thomas-Minnesota Tommies,9,206.6,92.0,208.8,85.2,6.7,13.9
Reece Hagy,Iu Indianapolis Jaguars,29,518.0,101.4,522.9,98.7,2.7,13.8
Brendan Terry,Southeast Missouri State Redhawks,30,1291.2,94.9,1274.0,93.8,1.1,13.8
Jackson Skipper,Vermont Catamounts,28,310.3,93.5,343.8,89.0,4.4,13.8
Bryson Tucker,Washington Huskies,21,720.2,101.4,734.9,99.5,1.9,13.6
Cole Scherer,Eastern Washington Eagles,26,319.7,102.6,313.1,98.4,4.3,13.6
Jaylin Sellers,Providence Friars,33,1693.9,99.7,1703.5,98.9,0.8,13.5
Tyonne Farrell,Morehead State Eagles,25,520.5,97.2,519.9,94.6,2.6,13.5
Mozae Downing-Rivers,Portland State Vikings,14,112.3,94.4,106.6,82.5,11.9,13.3
Warren Marshall IV,Oakland Golden Grizzlies,28,523.9,97.9,533.7,95.4,2.5,13.3
Jalen Carruth,Alabama A&M Bulldogs,10,143.1,95.0,139.9,85.7,9.3,13.3
Bryson Wheatfall,Texas A&M-Corpus Christi Islanders,24,405.7,90.5,435.8,87.2,3.3,13.2
Devon Malcolm,California Baptist Lancers,32,731.0,91.7,744.6,89.8,1.8,13.2
Damarion Dennis,Wyoming Cowboys,31,1169.4,100.5,1169.6,99.3,1.1,13.2
Shadrak Lasu,Long Island University Sharks,33,1204.3,93.9,1211.0,92.8,1.1,13.2
Cameron Faas,Fresno State Bulldogs,31,989.0,92.1,982.5,90.8,1.3,13.1
Jazz Henderson,Texas Tech Red Raiders,7,38.7,100.8,40.3,67.0,33.8,13.1
Michael Phillips II,Marquette Golden Eagles,27,327.1,88.3,321.2,84.4,4.0,13.0
Kosy Akametu,Iona Gaels,29,1151.0,91.2,1163.2,90.1,1.1,13.0
Peteris Pinnis,Providence Friars,15,115.5,103.1,120.9,91.8,11.2,13.0
Austin Cross,Troy Trojans,32,811.3,92.7,822.1,91.1,1.6,12.9
Kyle Waltz,Miami (Oh) Redhawks,16,106.3,99.8,111.7,87.8,12.0,12.8
Brent Bland,Saint Peter'S Peacocks,28,1478.7,93.3,1476.3,92.4,0.9,12.8
Zach Kinziger,Wisconsin Badgers,14,88.9,85.5,97.0,71.2,14.4,12.8
Luke Jungers,Iona Gaels,30,772.3,91.8,769.8,90.2,1.6,12.7
Kaleb Banks,Depaul Blue Demons,31,778.8,91.0,788.5,89.4,1.6,12.7
Darryl Simmons II,St. Bonaventure Bonnies,33,1955.2,98.9,1917.2,98.3,0.7,12.7
Jaquel Morris,Norfolk State Spartans,28,623.0,94.2,629.0,92.2,2.0,12.6
Brody Robinson,Oakland Golden Grizzlies,31,1897.4,101.5,1882.1,100.8,0.7,12.6
Cheikh Sow,Idaho State Bengals,28,709.4,97.8,764.0,96.1,1.8,12.5
Travis Perry,Ole Miss Rebels,35,956.9,96.1,946.8,94.8,1.3,12.4
Yakhya Diop,Mount St. Mary'S Mountaineers,31,431.1,88.4,438.7,85.5,2.9,12.4
Tyler Spratt,Detroit Mercy Titans,30,1230.8,100.1,1235.1,99.1,1.0,12.3
Kruz McClure,Depaul Blue Demons,28,791.6,90.2,820.1,88.7,1.5,12.3
Ring Malith,Siu Edwardsville Cougars,11,589.2,90.5,581.6,88.4,2.1,12.3
Tyler Weaver,Utah Valley Wolverines,14,185.4,105.7,183.6,99.1,6.6,12.3
Myles Thompson,Siu Edwardsville Cougars,8,381.5,89.9,379.5,86.7,3.2,12.3
Kai Spears,Marshall Thundering Herd,13,104.6,118.6,109.5,106.9,11.7,12.2
Jeriah Coleman,Nevada Wolf Pack,27,242.6,96.5,255.9,91.5,5.0,12.2
Trent Edwards,Morgan State Bears,2,44.0,111.3,46.6,83.7,27.6,12.2
Zaakir Williamson,Saint Peter'S Peacocks,26,948.0,93.7,945.0,92.4,1.3,12.2
Ben Roseborough,San José State Spartans,10,438.9,96.4,434.9,93.6,2.8,12.2
Damon Howard Jr.,Tennessee State Tigers,16,179.4,99.2,178.5,92.4,6.8,12.1
Will McClendon,North Texas Mean Green,3,118.0,89.9,120.6,79.6,10.2,12.1
Jamar Franklin,Jacksonville State Gamecocks,23,567.6,95.3,559.0,93.2,2.1,11.9
Nikola Djapa,Colorado State Rams,16,218.2,95.3,232.5,89.9,5.5,11.9
Maleek Arington,Seattle U Redhawks,33,1673.8,88.1,1687.4,87.4,0.7,11.9
Bailey Nunn,Cal State Fullerton Titans,21,668.1,94.0,688.6,92.2,1.8,11.9
Caleb Williams,Georgetown Hoyas,33,1557.1,96.4,1543.4,95.6,0.8,11.9
Malcolm Thomas,Dayton Flyers,26,353.7,93.3,343.5,89.9,3.4,11.9
Myles Walker,Nevada Wolf Pack,32,339.3,99.3,339.1,95.8,3.5,11.8
DeShawn Harris-Smith,Georgetown Hoyas,6,147.8,98.1,152.0,90.1,8.0,11.8
AJ Smith,Temple Owls,8,181.2,112.6,193.3,106.1,6.5,11.8
Michelangelo Oberti,Pennsylvania Quakers,8,48.8,96.3,49.9,72.2,24.1,11.8
Tyler Medaris,Utah Valley Wolverines,8,54.7,93.2,59.9,71.8,21.4,11.7
Harry Beauchamp,Central Arkansas Bears,31,727.6,95.1,725.1,93.5,1.6,11.7
KJ McClurg,Longwood Lancers,3,71.9,90.4,67.2,74.3,16.1,11.6
Alex Anderson,Texas Southern Tigers,28,1065.4,96.3,1072.4,95.2,1.1,11.6
Toby Onyekonwu,Stony Brook Seawolves,16,282.0,96.8,287.0,92.7,4.1,11.6
Paul Djobet,Omaha Mavericks,20,995.9,96.9,988.1,95.7,1.2,11.5
Victory Onuetu,Hofstra Pride,33,927.1,91.4,931.1,90.1,1.2,11.5
Chris Riddle,Toledo Rockets,3,64.3,104.2,62.4,86.6,17.7,11.4
Ike Cornish,James Madison Dukes,6,97.0,98.9,98.5,87.3,11.6,11.3
Alex Lloyd,Florida Gators,5,38.7,95.6,40.6,66.4,29.2,11.3
Jalen Quinn,Drake Bulldogs,32,1801.5,97.6,1799.8,97.0,0.6,11.3
Nyles Howard,Navy Midshipmen,3,19.8,106.1,20.4,49.0,57.1,11.3
Grant Kemp,New Orleans Privateers,6,42.0,109.5,42.4,82.6,26.8,11.3
Ryan Crotty,Oklahoma State Cowboys,28,422.8,98.2,424.0,95.5,2.6,11.2
Tristan Thompson,Coastal Carolina Chanticleers,31,996.0,93.1,1027.8,91.9,1.1,11.2
Richard Nweke,Columbia Lions,17,222.6,98.4,224.9,93.4,5.0,11.2
Breylin Garcia,South Carolina Upstate Spartans,20,490.1,93.5,492.6,91.2,2.3,11.2
John Christofilis,Seattle U Redhawks,33,906.0,88.6,910.7,87.4,1.2,11.2
Cobi Campbell,Troy Trojans,31,1406.2,96.2,1411.6,95.4,0.8,11.1
Robert Jennings II,Oklahoma State Cowboys,3,60.7,92.3,58.1,74.0,18.3,11.1
Luke Haertle,South Dakota State Jackrabbits,27,641.8,92.4,649.7,90.7,1.7,11.1
Alier Maluk,Florida State Seminoles,16,184.2,89.6,192.6,83.6,6.0,11.1
Roberts Blums,Davidson Wildcats,30,1066.5,93.8,1064.5,92.7,1.0,11.1
Dani Pounds,Tennessee Tech Golden Eagles,26,773.7,97.2,756.0,95.8,1.4,11.1
Leroy Kelly IV,Tarleton State Texans,18,657.6,94.3,652.2,92.6,1.7,11.0
Chris Mubiru,Northwestern State Demons,29,1222.8,92.6,1259.8,91.7,0.9,11.0
Elijah Elliott,New Mexico State Aggies,28,875.5,97.3,879.7,96.1,1.3,11.0
Nikola Dzepina,Washington Huskies,12,235.7,103.5,239.8,98.8,4.7,11.0
Mekhi Fitts,Grambling Tigers,20,348.8,92.0,355.5,88.9,3.1,11.0
CJ Gunn,Depaul Blue Demons,32,1390.6,91.0,1388.3,90.2,0.8,10.9
Damon Wilkinson,South Dakota State Jackrabbits,29,1156.9,97.7,1153.5,96.8,0.9,10.7
Howie Fleming Jr.,Unlv Rebels,31,1459.5,99.3,1494.3,98.6,0.7,10.4
Mathieu Grujicic,Ohio State Buckeyes,5,25.3,126.4,25.8,85.3,41.1,10.4
Chisom Okpara,Stanford Cardinal,17,834.9,96.4,821.7,95.2,1.3,10.4
Halvine Dzellat,Cincinnati Bearcats,26,288.1,86.4,294.6,82.8,3.6,10.4
Trace Salton,Marist Red Foxes,19,224.1,90.1,225.7,85.5,4.6,10.4
Jason Asemota,Boston College Eagles,20,252.8,91.4,253.1,87.3,4.1,10.3
Frankquon Sherman,Kennesaw State Owls,32,1472.3,94.7,1479.0,94.0,0.7,10.3
Casper Pohto,St. John'S Red Storm,4,14.3,111.7,12.5,40.1,71.6,10.3
Cayden Vasko,Wofford Terriers,30,1626.9,100.3,1615.2,99.6,0.6,10.3
Ebuka Okorie,Stanford Cardinal,31,1806.0,96.5,1797.9,95.9,0.6,10.2
Chris Bell,California Golden Bears,33,1572.6,94.1,1555.7,93.5,0.7,10.2
Braedan Lue,Kennesaw State Owls,32,1519.0,95.3,1522.3,94.7,0.7,10.1
Jacari Brim,App State Mountaineers,15,127.3,102.1,144.4,94.2,7.9,10.1
Jaylen Thompson,Stanford Cardinal,19,311.6,102.7,326.7,99.5,3.2,10.1
Brady Shoulders,Mercer Bears,27,1455.9,97.9,1451.9,97.2,0.7,10.0
Donovan Rakotonanahary,Northern Kentucky Norse,29,605.9,102.5,596.9,100.9,1.6,9.9
Ladji Dembele,Unlv Rebels,5,135.9,104.5,162.4,97.3,7.2,9.8
Kavion McClain,Monmouth Hawks,11,640.0,94.7,622.6,93.2,1.5,9.8
Vangelis Zougris,Louisville Cardinals,27,296.8,100.1,311.1,96.8,3.3,9.8
Layne Taylor,Murray State Racers,30,1285.4,100.9,1293.2,100.1,0.8,9.8
Nate Garcia,California Baptist Lancers,14,114.5,101.3,110.0,92.7,8.6,9.8
Aidan Cammann,Stanford Cardinal,33,1178.8,97.7,1185.8,96.9,0.8,9.8
Dylan Williamson,Towson Tigers,32,1865.0,92.7,1826.8,92.1,0.5,9.8
Mantas Juzenas,Saint Mary'S Gaels,20,160.9,89.5,166.5,83.5,6.0,9.7
Kavien Jones,Tennessee State Tigers,26,445.1,96.2,424.6,94.0,2.2,9.7
Jojo Murphy,Seattle U Redhawks,33,813.3,86.9,811.8,85.7,1.2,9.7
Makhi Leach,Bowling Green Falcons,21,261.3,97.6,259.8,93.9,3.7,9.6
JT Pettigrew,Valparaiso Beacons,32,1450.9,92.9,1463.4,92.3,0.7,9.6
Cameron Barnes,Illinois State Redbirds,12,96.8,102.2,95.3,92.3,9.9,9.6
Micah Octave,Florida A&M Rattlers,21,1116.8,93.1,1118.4,92.3,0.8,9.5
Carson Schwieger,Queens University Royals,33,1359.4,100.6,1365.0,99.9,0.7,9.5
Miles Newton,Northeastern Huskies,9,256.3,94.8,250.3,91.1,3.7,9.5
Martin Kawa,Marist Red Foxes,21,196.7,89.5,211.4,84.7,4.8,9.4
Damon Friery,Dayton Flyers,9,95.5,92.1,91.1,82.3,9.8,9.4
Jaylen Benard,Longwood Lancers,29,953.7,94.7,966.7,93.7,1.0,9.3
Bryce Darbyshire,Northern Kentucky Norse,21,195.3,90.1,195.6,85.4,4.8,9.3
Caedin Hamilton,Marquette Golden Eagles,32,673.7,88.3,675.2,86.9,1.4,9.3
JaQualon Roberts,Davidson Wildcats,31,552.7,95.5,564.8,93.8,1.7,9.3
Khaden Bennett,Wyoming Cowboys,32,1441.7,96.1,1447.2,95.5,0.6,9.3
Aiden Goins,Bowling Green Falcons,21,302.5,85.9,307.8,82.9,3.1,9.3
Pedro Santos,Ut Martin Skyhawks,27,674.1,85.4,785.0,84.1,1.4,9.2
Matt Enright,Austin Peay Governors,22,583.8,95.6,587.2,94.0,1.6,9.2
A.J. Wills,Hofstra Pride,15,214.0,93.0,222.1,88.7,4.3,9.2
Junior Sileu,Western Michigan Broncos,5,81.6,93.1,79.4,81.9,11.3,9.2
Adam Harakow,Wyoming Cowboys,32,946.7,100.5,947.8,99.5,1.0,9.1
Milos Vicentic,New Mexico Lobos,12,113.6,104.7,109.5,96.8,8.0,9.1
Milton Matthews III,East Tennessee State Buccaneers,20,271.1,94.4,268.8,91.1,3.3,9.0
MJ Thomas,New Orleans Privateers,32,1388.9,96.3,1398.3,95.6,0.6,9.0
Mikkel Tyne,Richmond Spiders,30,928.0,95.3,926.9,94.3,1.0,9.0
