Player,Assigned_Team,Games_Tracked,Season_Off_Possessions,Weighted_ORtg,Season_Def_Possessions,Weighted_DRtg,Net_Efficiency_Rating,Net_Points_Produced
Baba Miller,Cincinnati Bearcats,31,1582.8,92.3,1563.7,85.8,6.5,103.6
Kanon Catchings,Georgia Bulldogs,32,1313.0,105.4,1278.5,97.5,7.9,103.3
Alex Cotton,Howard Bison,29,1240.8,97.5,1237.7,89.2,8.3,103.3
Michael Ajayi,Butler Bulldogs,32,1792.5,99.6,1770.4,93.9,5.8,103.2
Elijah Chol,Uc Irvine Anteaters,24,680.0,96.6,678.9,81.5,15.2,103.1
Anthony Robinson II,Missouri Tigers,33,1430.5,98.9,1407.5,91.7,7.2,103.0
Steven Jamerson II,Ucla Bruins,32,501.8,104.6,509.9,84.1,20.5,102.8
Corey Stephenson,Florida International Panthers,28,1493.0,98.3,1525.6,91.4,6.9,102.8
Riley Mulvey,Siena Saints,26,685.2,102.0,678.0,87.0,15.0,102.8
Luke Moore,Central Arkansas Bears,32,1541.9,95.7,1508.8,89.1,6.6,102.5
TJ Burch,Wright State Raiders,33,1403.7,101.4,1409.1,94.2,7.3,102.1
Jerrell Colbert,Mcneese Cowboys,32,970.6,97.5,948.5,87.0,10.5,101.8
Jaden Daughtry,Richmond Spiders,30,809.7,98.9,793.3,86.4,12.6,101.8
Derek Dixon,North Carolina Tar Heels,33,1154.3,100.8,1144.0,92.0,8.8,101.5
Jomo Goings,Long Island University Sharks,35,1712.4,98.3,1753.0,92.4,5.9,101.5
Liam Campbell,Saint Mary'S Gaels,32,703.2,98.3,716.5,83.9,14.4,101.2
Harry Rouhliadeff,Hawai'I Rainbow Warriors,29,1252.6,96.4,1252.8,88.4,8.1,101.2
Marcus Millender,Georgia Bulldogs,33,1401.5,105.0,1377.5,97.9,7.2,100.5
Malachi Smith,Uconn Huskies,40,922.8,97.9,936.7,87.0,10.8,100.1
Kashie Natt,Sam Houston Bearkats,31,1416.7,101.4,1397.7,94.4,7.1,100.0
Drew Steffe,Southern Illinois Salukis,31,1624.9,94.0,1612.2,87.8,6.1,99.8
Najai Hines,Seton Hall Pirates,30,882.7,97.9,871.8,86.6,11.3,99.6
Kaleb Brown,Robert Morris Colonials,30,927.7,106.4,929.2,95.7,10.7,99.5
Musa Sagnia,Nc State Wolfpack,33,623.8,102.9,639.1,87.0,15.9,99.4
Jahmere Tripp,Rhode Island Rams,27,1020.8,94.8,1023.5,85.1,9.7,99.3
Sean Blake,Vermont Catamounts,32,1472.5,98.1,1459.7,91.3,6.7,99.3
Hamed Olayinka,Florida International Panthers,29,1333.6,96.4,1366.3,88.9,7.4,99.1
Jovan Jester Jr.,Uc Irvine Anteaters,33,870.4,92.4,874.1,81.0,11.4,99.0
Emanuel Prospere II,Uc San Diego Tritons,26,978.3,96.1,965.1,86.0,10.1,98.7
Marcell McCreary,Ut Arlington Mavericks,30,1479.3,97.9,1483.3,91.2,6.7,98.6
Elias Ralph,Pacific Tigers,31,1729.7,96.4,1743.3,90.7,5.7,98.3
Ian Jackson,St. John'S Red Storm,36,1055.2,99.4,1056.1,90.1,9.3,97.8
Ali Dibba,Texas A&M Aggies,33,796.6,104.3,817.8,92.1,12.2,97.6
Leroy Blyden Jr.,Toledo Rockets,32,1823.4,102.7,1801.1,97.3,5.3,97.3
Shawn Phillips Jr.,Missouri Tigers,31,1017.0,101.2,1024.8,91.6,9.6,97.1
Mynor Strong,Toledo Rockets,31,926.0,104.2,924.0,93.7,10.5,97.1
Davion Sykes,Southern Illinois Salukis,31,992.9,95.8,987.1,86.0,9.8,97.0
Jean Aranguren,George Washington Revolutionaries,34,1334.5,101.0,1315.3,93.7,7.3,97.0
Myles Corey,Rhode Island Rams,32,1287.6,94.9,1284.0,87.4,7.5,96.8
Jonathan Griman,California Baptist Lancers,30,1128.0,97.3,1125.3,88.8,8.6,96.6
Kam Burton,Stephen F. Austin Lumberjacks,32,988.9,97.1,995.1,87.3,9.8,96.5
Marcus Hill,Texas A&M Aggies,33,1271.0,100.6,1249.8,93.0,7.6,96.3
Ryan Conwell,Louisville Cardinals,34,1709.6,99.3,1708.6,93.6,5.6,96.1
London Jemison,Alabama Crimson Tide,33,871.0,103.1,872.1,92.1,11.0,96.0
Franck Emmou,Texas State Bobcats,29,1058.4,103.2,1057.3,94.1,9.1,96.0
KJ Lewis,Georgetown Hoyas,28,1338.4,99.3,1320.0,92.1,7.2,96.0
Kaleb Lowery,Nevada Wolf Pack,36,1064.8,104.4,1061.6,95.4,9.0,95.9
DJ Richards Jr.,Mcneese Cowboys,32,1065.3,100.3,1023.6,91.3,9.0,95.9
Deshaun Jackson Jr.,Mercyhurst Lakers,32,1114.9,98.8,1122.5,90.2,8.6,95.8
Jaylen Lawal,Tulsa Golden Hurricane,35,722.4,100.2,734.9,87.0,13.3,95.8
Hantz Louis-Jeune,South Alabama Jaguars,30,1085.2,93.2,1083.9,84.4,8.7,94.9
Preston Edmead,Hofstra Pride,33,1786.7,94.6,1800.8,89.4,5.3,94.6
Jacari White,Virginia Cavaliers,31,884.4,103.5,883.8,92.8,10.7,94.4
Jamie Kaiser Jr.,Butler Bulldogs,30,1453.3,100.5,1438.3,94.1,6.5,93.9
Tajuan Simpkins,Seton Hall Pirates,32,1254.4,96.3,1244.0,88.8,7.5,93.8
Houston Mallette,Alabama Crimson Tide,35,1408.7,103.5,1406.0,96.9,6.6,93.5
Tyler Johnson,Virginia Tech Hokies,17,740.2,104.2,737.5,91.5,12.6,93.5
Aaron Hunkin-Claytor,Hawai'I Rainbow Warriors,15,698.5,95.6,696.7,82.2,13.4,93.5
Jacob Wassler,Bellarmine Knights,20,352.4,122.6,387.8,96.2,26.4,93.0
Jamari McDowell,Kansas Jayhawks,35,964.4,98.0,955.3,88.3,9.6,93.0
Bryce Lindsay,Villanova Wildcats,33,1441.6,99.3,1432.7,92.9,6.4,92.7
D.J. Wagner,Arkansas Razorbacks,35,1364.5,105.0,1385.4,98.2,6.8,92.5
Joshua DeCady,Hofstra Pride,31,1179.7,97.6,1199.2,89.7,7.8,92.5
Brenton Knapper,Santa Clara Broncos,32,1145.2,101.5,1119.8,93.4,8.1,92.3
DJ Hall,Texas State Bobcats,30,1433.8,100.0,1434.0,93.6,6.4,92.1
Ty Pence,Illinois State Redbirds,35,1278.9,96.3,1293.7,89.1,7.2,92.1
Tre'Von Spillers,Wake Forest Demon Deacons,35,1721.6,97.9,1736.6,92.5,5.3,91.9
Amaël L'Etang,Dayton Flyers,33,1319.3,95.7,1295.3,88.8,6.9,91.7
Kellen Pickett,Wright State Raiders,33,1274.8,102.8,1250.4,95.6,7.2,91.7
Brian Moore Jr.,Grand Canyon Lopes,29,1331.4,99.8,1316.9,92.9,6.9,91.6
Greg Gordon,Long Island University Sharks,35,1894.0,98.1,1923.2,93.3,4.8,91.3
TJ Hurley,Vermont Catamounts,32,1550.1,97.7,1554.6,91.8,5.9,91.1
Rashaud Marshall,Austin Peay Governors,29,1530.1,101.4,1487.0,95.5,5.9,90.9
Finley Bizjack,Butler Bulldogs,31,1769.5,99.5,1729.9,94.4,5.1,90.6
Dante Allen,Miami Hurricanes,30,1110.9,99.7,1127.9,91.5,8.2,90.6
TJ Wainwright,Pacific Tigers,31,1573.5,96.9,1598.2,91.1,5.8,90.5
