Player,Assigned_Team,Games_Tracked,Season_Off_Possessions,Weighted_ORtg,Season_Def_Possessions,Weighted_DRtg,Net_Efficiency_Rating
Ethan Okwuosa,Boston University Terriers,8,237.8,92.1,238.1,105.4,-13.3
Straton Rogers,Eastern Washington Eagles,24,914.7,93.1,910.6,106.5,-13.4
Tristan Burth,New Haven Chargers,17,144.2,85.3,149.0,98.7,-13.4
Dailliss Cox,Chicago State Cougars,26,657.4,84.0,663.2,97.4,-13.4
Evan Boisdur,Grand Canyon Lopes,6,51.6,75.6,49.5,89.0,-13.4
Oleksandr Kobzystyi,Oregon Ducks,16,235.9,89.0,228.3,102.5,-13.5
Trent Hundley,Evansville Purple Aces,24,607.8,83.2,614.8,96.8,-13.5
Jamal Albritton,North Alabama Lions,21,294.8,85.5,313.1,99.0,-13.5
Justin Monden,Maryland Eastern Shore Hawks,23,716.9,83.6,714.1,97.1,-13.5
Elijah Davis,Morgan State Bears,16,954.3,87.4,922.9,100.9,-13.5
Cal Furnish,Oral Roberts Golden Eagles,23,752.0,85.4,743.0,98.9,-13.5
Juan Cranford Jr.,Eastern Kentucky Colonels,24,1021.4,92.4,1018.0,105.9,-13.5
Jakai Robinson,Bryant Bulldogs,22,479.3,87.6,490.6,101.1,-13.5
Asjon Anderson,Alabama State Hornets,20,1019.9,86.2,1007.2,99.8,-13.6
Dionte Johnson,North Carolina Central Eagles,18,875.1,88.4,864.1,102.1,-13.6
Cameron Patterson,Texas Southern Tigers,7,184.6,85.6,185.6,99.2,-13.6
Alex Hemenway,Evansville Purple Aces,24,994.4,85.1,1000.2,98.7,-13.6
Jamal Ambrose,Texas A&M-Corpus Christi Islanders,6,63.5,75.6,63.9,89.2,-13.6
Alex Huguet Carrasco,Ul Monroe Warhawks,11,116.2,80.9,121.7,94.5,-13.6
DJ Nix,Cornell Big Red,17,429.4,91.8,433.6,105.4,-13.6
Teshaun Steele,New Haven Chargers,22,404.3,81.6,416.8,95.2,-13.6
Cameron McNamee,Dartmouth Big Green,20,627.3,85.0,632.9,98.6,-13.6
Chip Brunt,Northwestern State Demons,21,300.8,80.1,313.8,93.7,-13.6
Connor Turnbull,Evansville Purple Aces,14,486.8,83.0,476.3,96.6,-13.6
Drissa Traore,Rhode Island Rams,17,232.3,75.3,235.9,89.0,-13.7
LJ Thomas,Old Dominion Monarchs,22,1031.9,89.9,1006.6,103.6,-13.7
Kaleb Washington,Florida A&M Rattlers,17,528.3,80.6,540.9,94.3,-13.7
Anthony Sellars,Arkansas-Pine Bluff Golden Lions,7,39.3,78.9,38.9,92.7,-13.7
Antonio Baker Jr.,Florida A&M Rattlers,18,764.7,82.9,772.4,96.6,-13.7
Quin Patterson,Idaho State Bengals,18,208.2,89.3,219.2,103.1,-13.7
Drew Kania,Brown Bears,4,40.6,71.4,38.8,85.2,-13.7
Folabomi Fayemi,Lafayette Leopards,12,112.1,91.9,111.7,105.7,-13.8
Demarco Bethea,Houston Christian Huskies,23,932.6,88.8,924.3,102.6,-13.8
Domas Kauzonas,Unc Greensboro Spartans,24,438.4,89.0,441.8,102.8,-13.8
Javante Edwards,Canisius Golden Griffins,21,652.1,82.2,642.8,96.0,-13.8
Elijah Brooks,Houston Christian Huskies,8,365.6,93.5,364.2,107.4,-13.8
Jaquan Sanders,Florida A&M Rattlers,18,921.5,83.1,942.1,96.9,-13.8
Pierre Geneste Jr.,Cal State Bakersfield Roadrunners,22,698.2,83.9,720.4,97.7,-13.8
Shemani Fuller,Rider Broncs,23,766.4,87.0,771.3,100.9,-13.8
Ben Ezeagu,Southern Indiana Screaming Eagles,10,151.1,83.4,157.5,97.2,-13.8
Zy Wright,Abilene Christian Wildcats,21,506.0,86.2,502.3,99.9,-13.8
Jayden Gambrell,Lamar Cardinals,22,380.5,80.9,374.6,94.8,-13.8
Devean Williams,Rider Broncs,7,113.8,77.3,111.9,91.1,-13.8
Bobby Montgomery Jr.,Utep Miners,11,80.7,71.9,83.9,85.8,-13.9
Tre Green,Middle Tennessee Blue Raiders,20,528.1,87.3,529.4,101.2,-13.9
Ryan Curry,Army Black Knights,25,1372.1,85.8,1372.3,99.7,-13.9
Braxton Williams,The Citadel Bulldogs,24,1091.7,89.5,1083.4,103.4,-13.9
JJ Massaquoi,Umass Lowell River Hawks,22,596.9,92.3,599.7,106.4,-14.1
Piotr Winkowski,San Diego Toreros,12,89.4,83.9,93.9,98.0,-14.1
Osiris Grady,Uc Riverside Highlanders,24,1257.8,89.0,1251.2,103.2,-14.1
Braden Pierce,Villanova Wildcats,21,186.7,80.9,197.0,94.9,-14.1
Jayden Teat,Sacramento State Hornets,19,374.2,89.5,375.3,103.7,-14.1
Braylon Patton,North Alabama Lions,18,453.8,95.0,462.9,109.1,-14.1
Khalil Farmer,Umass Lowell River Hawks,23,510.9,91.2,508.8,105.4,-14.1
Jalen Dollar,California Baptist Lancers,4,32.2,105.5,34.3,119.6,-14.1
Bryson Spell,Elon Phoenix,21,240.7,94.3,250.8,108.5,-14.2
Linus Holmstrom,Vmi Keydets,23,975.9,86.2,1000.6,100.3,-14.2
John St. Germain III,Holy Cross Crusaders,23,506.9,90.4,504.8,104.6,-14.2
Chris Arias,Jacksonville Dolphins,22,701.4,86.8,683.2,101.0,-14.2
Lenard Taylor Jr.,Florida A&M Rattlers,11,164.1,79.9,170.2,94.0,-14.2
CJ Happy,Princeton Tigers,22,617.9,86.9,612.2,101.1,-14.2
Seth Jones,Se Louisiana Lions,7,225.9,84.6,227.8,98.8,-14.2
Amaree Brown,Southern Indiana Screaming Eagles,10,409.6,84.0,391.0,98.2,-14.2
Jaden Kempson,Ualbany Great Danes,18,866.8,87.3,873.2,101.6,-14.2
Kaia Berridge,Evansville Purple Aces,19,339.4,86.0,350.7,100.4,-14.3
Derwin Hodge Jr.,South Carolina State Bulldogs,16,450.5,83.5,439.8,97.8,-14.3
Donavin Young,Stanford Cardinal,13,308.8,87.1,317.6,101.4,-14.3
Ben Roy,Boston University Terriers,11,451.4,92.6,466.9,106.9,-14.3
Miles Rose,Ualbany Great Danes,16,349.7,84.7,347.6,99.0,-14.3
Justin Moore,Loyola Chicago Ramblers,21,1000.0,87.6,983.8,101.9,-14.3
Kymany Houinsou,Loyola Chicago Ramblers,20,839.7,84.1,814.2,98.4,-14.3
Sheridan Sharp,Southern Indiana Screaming Eagles,22,592.9,75.6,581.1,89.8,-14.3
Addison Archer,Northern Kentucky Norse,12,125.1,84.8,125.2,99.0,-14.3
Jamari Phillips,Oregon Ducks,16,285.9,86.1,290.1,100.3,-14.3
Wes Peterson Jr.,Binghamton Bearcats,21,1120.8,87.3,1125.8,101.6,-14.4
Jayden Barrs,Lamar Cardinals,5,75.7,70.1,79.3,84.5,-14.4
Brian Griffith,Niagara Purple Eagles,19,341.0,85.3,331.9,99.7,-14.4
Grgur Brcic,Bucknell Bison,16,457.1,77.7,468.2,92.1,-14.4
Ian Imegwu,Cornell Big Red,12,91.0,103.3,88.4,117.7,-14.4
Tyler Robinett,Youngstown State Penguins,9,195.1,82.5,190.6,97.0,-14.5
Isaiah Placide,Massachusetts Minutemen,20,237.4,101.1,238.0,115.5,-14.5
Carter Kingsbury,The Citadel Bulldogs,22,996.9,88.1,1014.5,102.6,-14.5
Simon Walker,Auburn Tigers,9,58.6,92.2,69.4,106.6,-14.5
Connor Dick,Montana Grizzlies,13,218.4,83.3,222.9,97.8,-14.5
Dillon Watt,Army Black Knights,16,102.3,83.1,102.4,97.6,-14.5
James Dyson-Merwe,Evansville Purple Aces,18,344.7,80.4,341.4,94.9,-14.5
De'Undrae Perteete Jr.,Uc Riverside Highlanders,19,828.1,89.2,828.2,103.7,-14.5
Kennedy Brown,Florida International Panthers,13,98.5,90.4,114.3,105.0,-14.6
Ryder Frost,Notre Dame Fighting Irish,20,168.9,85.8,157.3,100.5,-14.6
Ian Inman,Colorado Buffaloes,14,127.6,88.5,130.9,103.1,-14.6
Julian Clarke,Unc Asheville Bulldogs,19,269.4,83.5,293.7,98.1,-14.6
Sage Tolentino,Unc Asheville Bulldogs,20,261.4,87.6,272.0,102.2,-14.6
Jamyron Keller,Louisiana Ragin' Cajuns,2,90.2,82.1,90.0,96.7,-14.6
Ethan Croley,Nevada Wolf Pack,13,118.9,91.7,116.7,106.3,-14.6
Jeremiah Quigley,Binghamton Bearcats,23,1332.1,88.1,1312.6,102.7,-14.6
Mekhi Gray,Maine Black Bears,21,826.2,84.6,837.4,99.2,-14.6
Davante Hackett,Stonehill Skyhawks,24,1000.6,83.0,994.8,97.5,-14.6
Dionjahe Thomas,Jackson State Tigers,16,513.4,89.6,524.2,104.2,-14.6
Derek Vorst,Indiana State Sycamores,17,620.5,87.0,612.5,101.7,-14.7
James Okonkwo,Utah Utes,20,696.2,89.5,699.8,104.2,-14.7
Marcus Overstreet,San José State Spartans,17,296.6,97.4,281.7,112.2,-14.7
Mekhi Turner,Tennessee Tech Golden Eagles,21,255.7,80.2,257.0,94.9,-14.8
Foster Wonders,Cleveland State Vikings,23,869.3,90.1,882.9,104.9,-14.8
Teddy Washington Jr.,Chattanooga Mocs,22,773.6,87.9,773.0,102.7,-14.8
Jacob Meachem,Bucknell Bison,24,418.0,92.4,416.2,107.2,-14.8
Ty Francis,Northeastern Huskies,16,438.0,97.5,436.3,112.3,-14.8
A.J. Neal Jr.,Long Island University Sharks,13,143.1,80.4,145.9,95.3,-14.9
Jack Graham,New Hampshire Wildcats,22,1021.2,83.3,1034.9,98.3,-14.9
Ayomide Bamisile,Ul Monroe Warhawks,16,387.7,82.0,386.8,96.9,-14.9
Vito Perkovic,East Carolina Pirates,15,167.1,82.0,163.2,96.8,-14.9
Shey Eberwein,South Dakota Coyotes,11,368.0,94.8,377.4,109.7,-14.9
Jamaria Clark,Kansas City Roos,20,366.5,81.9,389.4,96.8,-15.0
Chris Eagan,American University Eagles,25,425.6,84.1,428.8,99.1,-15.0
Darius Robinson Jr.,Siu Edwardsville Cougars,15,206.6,80.3,210.9,95.3,-15.0
Marcel Bryant,Prairie View A&M Panthers,7,154.5,80.9,149.1,95.9,-15.0
Eric Baldassarre,West Georgia Wolves,6,34.3,107.8,36.6,122.8,-15.0
DarKaun King,North Alabama Lions,13,290.0,79.7,296.8,94.7,-15.0
Ponce James,Delaware State Hornets,16,786.0,81.3,780.2,96.3,-15.0
Shamarrie Hugie,Marshall Thundering Herd,19,333.9,92.8,342.1,107.9,-15.0
Zion Cruz,Rider Broncs,21,1065.5,87.9,1057.7,103.0,-15.0
Huascar Cuevas,Wagner Seahawks,3,112.4,91.7,128.3,106.8,-15.1
Cedric Horton,Texas A&M-Corpus Christi Islanders,9,63.7,95.7,61.4,110.8,-15.1
Carlos Coronado,Northern Illinois Huskies,12,131.2,86.1,135.3,101.2,-15.1
MJ Russell,Ul Monroe Warhawks,24,1435.3,86.7,1442.4,101.8,-15.1
Iverson King,Presbyterian Blue Hose,16,491.9,85.6,495.7,100.7,-15.1
John Squire,New Hampshire Wildcats,22,911.6,83.9,909.2,99.0,-15.1
Kieran Elliott,Cal Poly Mustangs,17,568.2,84.0,565.4,99.0,-15.1
Owen Ritger,Furman Paladins,13,152.4,85.3,162.2,100.5,-15.2
Kristian Gonzalez,Idaho Vandals,1,33.8,88.9,34.6,104.0,-15.2
Dietrich Richardson,Bradley Braves,10,118.0,88.1,116.1,103.3,-15.2
Dailin Smith,Cal State Bakersfield Roadrunners,23,1143.0,87.9,1134.7,103.1,-15.2
Timofei Rudovskii,Bryant Bulldogs,24,1176.2,83.2,1143.4,98.4,-15.2
Karyiek Dixon,Western Illinois Leathernecks,17,732.5,86.6,707.9,101.7,-15.2
Kaden Stuckey,Vmi Keydets,21,545.0,84.4,565.3,99.6,-15.2
Mac Wrecke,Green Bay Phoenix,20,337.4,90.4,339.9,105.6,-15.2
Malcolm Christie,Oregon State Beavers,15,314.6,85.8,316.4,101.1,-15.3
AJ Casey,Evansville Purple Aces,24,1084.6,86.0,1099.3,101.3,-15.3
Martin de LaPorterie,Drexel Dragons,25,533.4,81.7,544.7,97.1,-15.4
Keishon Porter,Evansville Purple Aces,14,521.9,83.5,523.5,99.0,-15.4
Mike Collins,Louisiana Ragin' Cajuns,24,315.6,79.2,315.1,94.6,-15.4
Bryson Wilson,Binghamton Bearcats,23,988.0,87.6,992.4,103.0,-15.4
Shaun Wysocki,Denver Pioneers,22,639.8,98.9,657.8,114.3,-15.4
Keegan Harvey,Bryant Bulldogs,24,938.2,82.1,930.9,97.4,-15.4
LA Hayes,Utep Miners,20,305.8,82.7,297.5,98.2,-15.4
Ahmad Harrison,Saint Francis Red Wolves,24,1031.6,86.5,1027.3,102.0,-15.5
David Gomez,Charlotte 49Ers,2,64.4,85.4,63.4,100.9,-15.5
Martins Kilups,Oral Roberts Golden Eagles,20,532.2,86.8,519.9,102.3,-15.5
Zoumana Traore,New Haven Chargers,15,160.8,81.5,171.1,97.0,-15.6
Cassius Brooks,Utep Miners,22,501.9,86.3,506.4,101.9,-15.6
Bol Agu,Saint Peter'S Peacocks,18,281.5,85.6,267.7,101.2,-15.6
Corey Perkins,Delaware State Hornets,18,794.7,80.8,779.2,96.4,-15.6
EJ Walker,South Carolina Gamecocks,14,291.2,86.2,297.3,101.9,-15.7
Aiden Miller,Iu Indianapolis Jaguars,22,572.8,90.3,576.5,106.0,-15.7
Ethane Bourgade,Bryant Bulldogs,17,230.3,82.5,239.4,98.2,-15.7
Brandon Walker,Mississippi State Bulldogs,17,249.8,86.5,243.6,102.2,-15.7
Alfred Worrell Jr.,Morgan State Bears,20,959.1,89.7,921.3,105.4,-15.7
Matthew Zobrist,Bradley Braves,8,57.0,78.9,59.2,94.6,-15.7
Jaxon Edwards,Iu Indianapolis Jaguars,23,966.4,93.5,941.5,109.3,-15.7
Kaidon Rayfield,Utsa Roadrunners,21,586.8,83.7,591.8,99.4,-15.7
Tai'Reon Joseph,Prairie View A&M Panthers,18,1101.4,88.8,1079.1,104.5,-15.7
JD Bowden,Presbyterian Blue Hose,17,151.7,89.0,145.2,104.7,-15.7
Saliou Seye,Grambling Tigers,8,102.4,62.5,104.8,78.3,-15.8
Leif Moeller,Evansville Purple Aces,24,1226.0,85.9,1230.4,101.7,-15.8
Francis Okwuosah,Western Illinois Leathernecks,24,783.1,87.0,768.2,102.7,-15.8
Ethan Kizer,South Dakota Coyotes,24,558.3,91.9,535.7,107.7,-15.8
Connor Dow,Oral Roberts Golden Eagles,23,1244.1,87.1,1245.9,102.8,-15.8
Javen Colbert,Troy Trojans,12,79.8,90.2,86.8,106.0,-15.8
Rob Lawson,Morgan State Bears,20,1063.6,88.2,1044.7,104.0,-15.8
King Grace,Mississippi State Bulldogs,16,325.3,87.0,324.4,102.9,-15.9
Lamine Niang,Ut Martin Skyhawks,17,156.5,76.1,186.0,91.9,-15.9
Chase Martin,Oral Roberts Golden Eagles,21,540.9,81.3,555.4,97.2,-15.9
Renars Sondors,Ul Monroe Warhawks,21,986.4,84.3,979.9,100.2,-15.9
Elmore James IV,Ball State Cardinals,23,865.7,80.4,867.7,96.3,-15.9
Ty Tabales,Bryant Bulldogs,23,964.4,81.2,944.3,97.1,-15.9
Jaden Smith,Saint Joseph'S Hawks,23,342.2,85.3,334.9,101.2,-15.9
Kaden Brown,Southern Indiana Screaming Eagles,11,532.0,81.0,544.9,96.9,-15.9
Damarien Yates,Alabama State Hornets,23,641.7,85.1,639.8,101.1,-16.0
Kade Unseld,Western Kentucky Hilltoppers,15,295.7,79.1,294.4,95.1,-16.0
William Batchelder,Stonehill Skyhawks,2,108.4,74.7,108.1,90.7,-16.0
Jordan Chatman,Florida A&M Rattlers,19,777.5,82.3,788.4,98.3,-16.0
Quinn Nielsen,Boston University Terriers,20,228.0,84.6,245.3,100.7,-16.0
Godswill Erheriene,Seton Hall Pirates,9,73.6,72.0,69.2,88.2,-16.1
Mario Andrews,Alabama State Hornets,22,325.8,81.7,316.2,97.7,-16.1
Jalen St Clair,Delaware State Hornets,15,232.2,81.8,229.7,98.0,-16.1
Maximo Ortega,Wofford Terriers,16,154.8,97.5,156.5,113.8,-16.2
Louie Jordan,Radford Highlanders,20,357.4,83.7,355.5,99.9,-16.2
Jack Edelen,Western Kentucky Hilltoppers,19,302.7,81.9,312.8,98.1,-16.2
Eunique Rink,Hampton Pirates,23,459.1,83.4,469.8,99.6,-16.2
C.J. McPherson,Tennessee Tech Golden Eagles,18,350.3,81.9,327.7,98.3,-16.3
Sam Springer,Loyola Maryland Greyhounds,24,705.3,85.6,714.5,101.9,-16.3
IJ Ezuma,Southern Miss Golden Eagles,7,89.2,82.9,91.7,99.2,-16.3
Ty Harper,Oral Roberts Golden Eagles,22,1025.5,88.0,1037.5,104.3,-16.3
Nick Mullen,Central Michigan Chippewas,21,628.2,88.5,640.9,104.9,-16.4
Josh Ibukunoluwa,High Point Panthers,7,89.6,100.4,88.2,116.8,-16.4
Caleb Pennyfeather,Little Rock Trojans,22,405.1,89.9,412.3,106.2,-16.4
Jordan Johnson,Bethune-Cookman Wildcats,23,562.6,88.0,585.3,104.4,-16.4
Isaiah Miranda,Long Island University Sharks,11,176.4,83.3,175.5,99.7,-16.4
Alexander Daushvili,Vmi Keydets,5,151.3,95.1,147.9,111.5,-16.4
Caleb Smith,Rider Broncs,23,1022.4,85.8,1014.2,102.1,-16.4
Mathok Majok,New Orleans Privateers,14,98.7,91.2,99.4,107.6,-16.4
Caleb Thomas,Lehigh Mountain Hawks,17,680.3,84.4,666.1,100.9,-16.5
Eze Wali,The Citadel Bulldogs,24,897.7,85.2,908.1,101.8,-16.5
Ivan Spirov,Cleveland State Vikings,9,86.0,98.8,96.3,115.2,-16.5
Dariyus Woodson,Louisiana Ragin' Cajuns,26,758.1,80.1,758.3,96.5,-16.5
AB Coulibaly,Rider Broncs,20,346.0,84.1,341.0,100.6,-16.5
Christian Moore,The Citadel Bulldogs,22,869.2,88.2,852.6,104.9,-16.6
Louie Semona,Western Kentucky Hilltoppers,7,68.9,79.8,72.6,96.4,-16.6
Kayde Dotson,Loyola Chicago Ramblers,21,810.7,86.3,810.1,102.9,-16.6
Yuto Yamanouchi-Williams,Oral Roberts Golden Eagles,22,672.7,85.3,669.0,101.9,-16.6
Justin Houser,Penn State Nittany Lions,10,103.0,87.4,106.8,104.0,-16.6
William Henderson,Alcorn State Braves,11,156.3,82.5,160.3,99.2,-16.7
Marcus Glover,Incarnate Word Cardinals,21,567.5,85.6,567.0,102.3,-16.7
Jalen Lee,Southern Utah Thunderbirds,21,462.0,85.9,476.6,102.6,-16.7
Chris Parker,South Carolina State Bulldogs,14,397.0,83.1,388.5,99.9,-16.7
Daeshun Ruffin,Jackson State Tigers,21,1092.1,85.2,1083.8,102.0,-16.7
Mason Blackwood,Penn State Nittany Lions,19,281.0,91.5,279.3,108.1,-16.7
Christian Meeks,Morgan State Bears,20,953.4,88.6,930.3,105.3,-16.7
Samuel Ariyibi,Utah Tech Trailblazers,22,313.6,82.0,319.0,98.7,-16.8
Mario Tatum Jr.,Vmi Keydets,24,986.0,87.9,1000.4,104.8,-16.8
Krystian Lewis,Ul Monroe Warhawks,24,1418.0,85.8,1412.2,102.6,-16.8
Luka Vudragovic,Pepperdine Waves,24,467.4,80.2,475.9,97.1,-16.8
Jackson Holt,Eastern Kentucky Colonels,24,790.2,89.8,807.4,106.6,-16.8
Gage Lattimore,North Carolina Central Eagles,17,949.8,86.9,935.1,103.6,-16.8
Kareem Watson,Delaware State Hornets,12,249.7,80.9,242.6,97.7,-16.8
Caleb Walker,Air Force Falcons,18,623.0,90.7,639.0,107.5,-16.8
Peyton Seals,Princeton Tigers,11,45.5,74.7,44.8,91.6,-16.9
Jayson Petty,Kansas City Roos,22,1168.1,86.0,1180.0,102.9,-16.9
Victor Payne,Saint Francis Red Wolves,24,899.8,83.2,885.8,100.1,-16.9
Christopher Flippin,Maryland Eastern Shore Hawks,21,449.7,78.1,451.9,94.9,-16.9
Josh Fulton,Bucknell Bison,8,142.8,77.7,145.9,94.6,-16.9
Bencao Vungo,Jacksonville State Gamecocks,5,103.5,67.6,105.3,84.5,-16.9
