Player,Assigned_Team,Games_Tracked,Season_Off_Possessions,Weighted_ORtg,Season_Def_Possessions,Weighted_DRtg,Net_Efficiency_Rating
Jason Jakstys,Illinois Fighting Illini,5,30.6,127.5,29.4,74.8,52.7
Todd Bieg,Lindenwood Lions,4,32.5,110.6,30.3,66.1,44.5
Mathieu Grujicic,Ohio State Buckeyes,5,25.3,126.4,25.8,85.3,41.1
Nigel Walls,Smu Mustangs,6,34.8,106.5,34.7,66.3,40.2
Aram Soqui Urbano,Fresno State Bulldogs,4,29.0,124.0,26.1,84.4,39.7
Cedric Lath,Houston Cougars,6,69.9,111.6,66.3,72.4,39.2
Jordan Tillery,Vcu Rams,7,80.3,115.8,78.1,78.1,37.7
Shane Thomas,Creighton Bluejays,7,29.2,123.4,30.3,85.7,37.7
Alex Lloyd,Florida Gators,4,36.7,95.4,38.7,59.4,35.9
Mouhamed Sow,Rhode Island Rams,5,148.7,113.0,147.3,78.1,34.9
Declan Duru Jr.,Texas Longhorns,9,66.7,101.9,67.2,67.0,34.9
Tyler Medaris,Utah Valley Wolverines,5,29.3,85.3,29.8,50.3,34.9
Motiejus Krivas,Arizona Wildcats,25,1050.4,108.5,1064.9,75.2,33.3
Jalen Warley,Gonzaga Bulldogs,27,863.7,110.2,878.7,78.0,32.3
Filip Jovic,Auburn Tigers,3,185.3,112.8,183.3,80.7,32.1
Tasman Goodrick,Siena Saints,9,330.0,120.6,322.0,88.5,32.1
Ivan Kharchenkov,Arizona Wildcats,25,1033.2,111.6,1047.3,80.2,31.4
Yaxel Lendeborg,Michigan Wolverines,25,1177.3,109.4,1156.8,78.6,30.8
Kevin Gad,Saint Mary'S Gaels,6,84.0,114.3,83.8,83.5,30.8
Jacob Wassler,Bellarmine Knights,13,191.8,115.8,215.9,85.2,30.6
Luke Northweather,Missouri Tigers,18,387.4,112.0,381.6,81.5,30.5
Connor Essegian,Nebraska Cornhuskers,7,157.4,104.2,152.9,73.9,30.3
Koa Peat,Arizona Wildcats,25,1103.2,110.7,1102.0,80.6,30.1
Kody Clancy,Ball State Cardinals,3,28.7,111.3,30.8,81.3,30.0
Dwayne Koroma,Uconn Huskies,8,106.2,96.1,104.4,66.1,30.0
Jaden Bradley,Arizona Wildcats,25,1226.9,108.4,1228.3,78.5,29.9
Emmanuel Innocenti,Gonzaga Bulldogs,27,826.0,109.7,835.0,80.0,29.7
Jerry Deng,Nc State Wolfpack,6,102.0,115.6,105.8,86.0,29.6
Adam Miller,Gonzaga Bulldogs,27,767.1,110.5,756.0,81.1,29.5
Will Tschetter,Michigan Wolverines,25,523.9,111.1,515.4,81.7,29.4
C.J. Cox,Purdue Boilermakers,25,877.3,114.6,885.5,85.1,29.4
Morez Johnson Jr.,Michigan Wolverines,25,995.5,107.2,981.9,78.0,29.2
Brayden Burries,Arizona Wildcats,25,1166.9,110.3,1170.8,81.4,28.9
Killyan Toure,Iowa State Cyclones,25,985.2,106.3,972.5,77.4,28.8
Trey McKenney,Michigan Wolverines,25,740.3,109.2,730.0,80.4,28.7
Jax Kerr,Saint Louis Billikens,7,26.9,100.6,27.8,71.9,28.6
Tyon Grant-Foster,Gonzaga Bulldogs,27,874.6,110.6,877.4,82.1,28.5
Dame Sarr,Duke Blue Devils,25,801.0,103.3,797.6,75.1,28.2
Tae Simmons,San Diego State Aztecs,21,410.1,108.3,408.7,80.2,28.0
Chris Cenac Jr.,Houston Cougars,25,943.9,105.5,940.3,77.5,28.0
Robert Vaihola,Minnesota Golden Gophers,5,141.2,104.8,148.2,76.9,27.9
Mister Dean,Charleston Cougars,3,93.4,102.8,90.6,75.1,27.8
Emeka Opurum,Auburn Tigers,5,84.8,104.9,79.1,77.1,27.8
Ethan Burg,Tennessee Volunteers,16,233.3,99.9,243.8,72.2,27.7
Trent Edwards,Morgan State Bears,2,44.0,111.3,46.6,83.7,27.6
Federiko Federiko,Texas A&M Aggies,23,298.4,109.6,319.0,82.1,27.5
Graham Ike,Gonzaga Bulldogs,23,1083.2,111.3,1062.0,83.9,27.4
Oscar Cluff,Purdue Boilermakers,25,844.7,114.0,848.3,86.8,27.2
Travis Torain,Austin Peay Governors,13,220.4,109.8,237.4,82.6,27.2
Nimari Burnett,Michigan Wolverines,25,813.6,109.3,796.1,82.2,27.1
Caden Miller,High Point Panthers,14,141.8,106.5,139.5,79.6,27.0
Mario Saint-Supery,Gonzaga Bulldogs,24,783.2,108.5,759.2,81.7,26.9
Anthony Dell'Orso,Arizona Wildcats,25,802.9,108.6,803.8,81.9,26.8
Joseph Tugler,Houston Cougars,25,806.9,102.0,786.2,75.2,26.8
J.P. Estrella,Tennessee Volunteers,22,574.3,110.0,572.6,83.5,26.6
Kur Teng,Michigan State Spartans,25,643.3,104.0,638.3,77.4,26.6
Patrick Ngongba II,Duke Blue Devils,24,840.6,103.0,854.4,76.5,26.5
Elliot Cadeau,Michigan Wolverines,25,1030.0,107.6,1017.4,81.3,26.3
Fletcher Loyer,Purdue Boilermakers,25,1106.7,110.5,1086.4,84.3,26.2
Kellen Thames,Saint Louis Billikens,22,642.2,106.2,645.1,80.0,26.2
Cayden Boozer,Duke Blue Devils,25,733.9,105.9,722.4,79.7,26.1
Blake Buchanan,Iowa State Cyclones,25,884.2,105.9,868.2,79.7,26.1
L.J. Cason,Michigan Wolverines,24,665.1,108.6,659.0,82.7,25.9
Brandon Lee,Illinois Fighting Illini,13,75.0,97.4,72.7,71.5,25.8
Braden Huff,Gonzaga Bulldogs,18,765.5,108.3,738.6,82.6,25.7
Doctor Bradley,Bethune-Cookman Wildcats,8,283.4,103.4,282.0,77.7,25.7
Braeden Smith,Gonzaga Bulldogs,27,752.5,107.0,745.7,81.4,25.6
Michelangelo Oberti,Pennsylvania Quakers,3,33.9,106.4,33.4,80.9,25.5
Jordan Gabriel,Marist Red Foxes,17,166.6,102.0,165.8,76.6,25.5
Isaiah Evans,Duke Blue Devils,25,1080.2,105.1,1086.7,79.7,25.4
Brady Dunlap,Saint Louis Billikens,23,659.6,108.8,647.0,83.6,25.2
Joshua Jefferson,Iowa State Cyclones,25,1193.8,105.0,1154.2,79.9,25.2
Jalen Reed,Lsu Tigers,6,185.8,106.6,174.3,81.5,25.1
Dwayne Aristode,Arizona Wildcats,24,503.3,106.1,506.5,81.0,25.1
Aday Mara,Michigan Wolverines,25,922.3,105.2,917.1,80.3,24.9
Ishan Sharma,Saint Louis Billikens,24,844.7,109.2,835.6,84.3,24.9
Jamarion Batemon,Iowa State Cyclones,25,471.1,102.1,459.2,77.3,24.8
Tyler Mrus,Byu Cougars,18,297.0,113.1,307.6,88.4,24.7
Davion Hannah,Alabama Crimson Tide,10,168.1,106.5,181.0,81.8,24.7
Steele Venters,Gonzaga Bulldogs,26,633.4,108.5,620.1,83.9,24.6
Milan Momcilovic,Iowa State Cyclones,25,1112.0,103.7,1093.7,79.1,24.6
Zvonimir Ivisic,Illinois Fighting Illini,25,670.7,108.7,683.8,84.2,24.5
Davis Fogle,Gonzaga Bulldogs,18,324.3,106.7,321.1,82.2,24.5
Cam Cole,Navy Midshipmen,25,667.1,103.4,673.1,79.0,24.4
Khani Rooths,Louisville Cardinals,21,535.3,104.8,544.5,80.4,24.4
Mercy Miller,Houston Cougars,23,256.1,104.7,245.4,80.3,24.4
Clyde Bailey II,Unc Greensboro Spartans,5,53.1,94.1,47.3,69.8,24.3
Gavin Walsh,Unc Wilmington Seahawks,13,524.1,107.6,517.1,83.5,24.1
Emanuel Sharp,Houston Cougars,25,1138.7,102.2,1114.0,78.2,24.0
Davi Remagen,Georgia Tech Yellow Jackets,11,174.2,98.2,177.9,74.2,24.0
Peitok Machar,Mcneese Cowboys,23,425.4,109.5,434.5,85.6,23.9
Leon Horner,Texas Tech Red Raiders,13,218.6,110.3,217.6,86.4,23.9
Roddy Gayle Jr.,Michigan Wolverines,24,803.6,105.8,800.3,82.0,23.8
Trey Kaufman-Renn,Purdue Boilermakers,23,964.5,112.1,967.3,88.3,23.8
Kingston Flemings,Houston Cougars,25,1129.5,103.9,1116.2,80.1,23.8
Cameron Boozer,Duke Blue Devils,25,1285.8,105.3,1271.5,81.6,23.7
Tony Duckett,Saint Mary'S Gaels,15,127.9,100.1,132.2,76.4,23.7
Grant Kemp,New Orleans Privateers,5,41.6,108.3,41.4,84.6,23.7
Khadim Mboup,Byu Cougars,23,517.5,107.2,532.5,84.0,23.3
Tobe Awaka,Arizona Wildcats,25,812.4,109.3,809.8,86.1,23.2
Dominykas Pleta,Iowa State Cyclones,23,369.0,105.1,362.6,81.9,23.2
DeWayne Brown II,Tennessee Volunteers,22,512.8,107.4,514.2,84.6,22.8
Darnez Slater,Colorado State Rams,9,48.8,90.3,54.8,67.5,22.7
Isaiah Kalala,Longwood Lancers,9,28.8,114.8,29.3,92.1,22.7
Jarin Stevenson,North Carolina Tar Heels,25,904.7,107.7,911.1,85.1,22.6
Dominique Diomande,Byu Cougars,14,109.4,101.4,116.7,78.9,22.6
Peyton Law,South Alabama Jaguars,8,335.7,104.3,333.0,81.7,22.6
Sean Newman Jr.,San Diego State Aztecs,22,497.2,108.8,493.3,86.4,22.4
Larry Johnson,Mcneese Cowboys,23,833.9,109.5,847.8,87.2,22.3
Rueben Chinyelu,Florida Gators,25,982.9,105.6,967.4,83.3,22.3
MJ Collins Jr.,Utah State Aggies,23,1142.0,108.0,1139.4,85.7,22.3
Bhan Buom,Boise State Broncos,12,66.2,113.4,65.9,91.1,22.3
Robbie Avila,Saint Louis Billikens,24,1096.9,104.2,1080.9,82.0,22.2
Carl Cherenfant,Mcneese Cowboys,23,533.0,104.9,545.7,82.6,22.2
Braden Smith,Purdue Boilermakers,25,1302.9,109.8,1286.9,87.7,22.1
Garry Clark,Utah State Aggies,23,635.5,110.1,638.4,88.0,22.1
Jason Kimbrough Jr.,Bowling Green Falcons,5,30.8,100.6,31.8,78.7,21.9
Ismaila Diagne,Gonzaga Bulldogs,15,142.5,90.5,154.3,68.7,21.8
Elijah Perryman,Utah State Aggies,23,548.9,102.7,550.1,81.1,21.7
Jayden Ross,Uconn Huskies,24,520.6,103.7,534.9,82.1,21.7
Caleb Foster,Duke Blue Devils,25,989.4,104.3,987.6,82.6,21.7
Tamin Lipsey,Iowa State Cyclones,22,1063.6,103.0,1028.1,81.2,21.7
Boogie Fland,Florida Gators,25,1227.1,108.2,1229.9,86.7,21.5
Brigham Rogers,Belmont Bruins,26,801.0,100.6,827.0,79.1,21.5
Pryce Sandfort,Nebraska Cornhuskers,25,1298.6,100.8,1316.0,79.4,21.4
Kam Williams,Kentucky Wildcats,19,533.4,105.5,550.0,84.2,21.4
Amari McCottry,Saint Louis Billikens,24,932.8,104.1,926.3,82.8,21.3
Nate Garcia,California Baptist Lancers,11,92.6,112.3,90.1,91.0,21.3
Yanis Ndjonga,Mcneese Cowboys,20,266.8,101.6,273.9,80.3,21.3
Jeremy Fears Jr.,Michigan State Spartans,25,1254.3,104.2,1255.0,83.0,21.2
Scotty Washington,High Point Panthers,25,751.5,109.5,735.0,88.3,21.2
Aitor Anabitarte,Jacksonville State Gamecocks,8,101.5,109.4,99.8,88.2,21.2
Papa Amadou Kante,Pittsburgh Panthers,8,163.6,97.8,168.5,76.6,21.2
Jalen Jackson,Butler Bulldogs,6,237.0,106.8,238.0,85.7,21.1
Nikolas Khamenia,Duke Blue Devils,25,609.1,100.2,612.4,79.0,21.1
Jaxon Kohler,Michigan State Spartans,25,1114.0,103.2,1106.9,82.1,21.1
Somtochukwu Cyril,Georgia Bulldogs,24,886.3,109.0,861.6,88.0,21.0
Kris Parker,Ucf Knights,15,167.4,111.7,176.4,90.7,21.0
Ari Gooch,Uab Blazers,13,182.0,100.5,184.8,79.5,21.0
Isaia Howard,Iowa Hawkeyes,25,702.1,109.5,697.7,88.6,21.0
Braden Hausen,High Point Panthers,24,809.2,106.2,796.8,85.2,20.9
Henri Veesaar,North Carolina Tar Heels,24,1210.6,104.1,1198.5,83.2,20.9
Kasean Pryor,Louisville Cardinals,16,201.9,102.5,205.5,81.7,20.8
Adlan Elamin,Utah State Aggies,21,654.8,107.1,651.1,86.3,20.7
Troy Henderson,Tennessee Volunteers,19,226.6,103.7,225.3,83.0,20.7
Nic McClain,Belmont Bruins,14,626.9,102.7,618.3,82.2,20.6
Bryant Selebangue,Western Kentucky Hilltoppers,8,284.8,102.9,281.8,82.3,20.5
Vincent Neugebauer,Florida Atlantic Owls,9,118.6,110.4,116.8,89.9,20.5
Milos Uzan,Houston Cougars,25,1162.9,98.0,1166.7,77.7,20.4
Brayden Barron,Portland State Vikings,10,47.6,109.2,51.7,88.9,20.3
Andrew McKeever,Saint Mary'S Gaels,25,902.8,105.6,924.1,85.4,20.2
Jevon Porter,Missouri Tigers,12,312.9,98.4,322.1,78.2,20.2
Musa Sagnia,Nc State Wolfpack,24,527.6,105.6,534.7,85.5,20.1
Sam Hoiberg,Nebraska Cornhuskers,25,1229.9,98.5,1251.7,78.5,20.1
Elijah Gertrude,Virginia Cavaliers,13,89.8,95.8,88.6,75.7,20.1
Javohn Garcia,Mcneese Cowboys,23,1017.7,103.4,1003.0,83.3,20.1
Steven Jamerson II,Ucla Bruins,24,433.3,105.2,436.6,85.2,20.0
Quentin Jones,Saint Louis Billikens,24,1073.4,102.9,1058.9,82.9,20.0
Rytis Petraitis,California Golden Bears,7,184.9,106.0,190.7,86.0,20.0
Cam Ward,Michigan State Spartans,24,560.8,105.8,552.8,85.7,20.0
Cam Morris III,East Tennessee State Buccaneers,25,1084.7,105.1,1099.2,85.2,19.9
Nate Heise,Iowa State Cyclones,25,923.7,102.7,921.9,82.9,19.9
Rienk Mast,Nebraska Cornhuskers,24,1102.9,99.8,1115.5,79.9,19.9
BJ Davis,San Diego State Aztecs,22,796.6,101.8,799.9,82.0,19.8
Darren Harris,Duke Blue Devils,23,274.6,100.5,264.0,80.7,19.8
Luke Brown,American University Eagles,15,102.3,101.7,104.9,82.0,19.7
Justin Bailey,Georgia Bulldogs,23,511.6,106.1,501.0,86.4,19.7
Karson Templin,Utah State Aggies,23,682.3,106.8,675.0,87.3,19.6
Lefteris Liotopoulos,St. John'S Red Storm,19,229.3,96.4,231.9,76.7,19.6
Terry Anderson,High Point Panthers,25,1167.3,109.4,1148.3,89.9,19.5
Luke Bamgboye,Texas Tech Red Raiders,12,240.1,98.7,248.6,79.2,19.5
Tyler Harris,Vanderbilt Commodores,24,597.3,102.8,605.4,83.2,19.5
Melakih Cunningham,Missouri State Bears,11,149.7,98.2,153.8,78.6,19.5
Salih Altuntas,Miami Hurricanes,24,351.5,107.5,329.4,88.0,19.5
Emil Skytta,North Dakota State Bison,15,282.4,100.6,282.4,81.1,19.5
Dion Brown,Saint Louis Billikens,24,942.2,103.3,930.7,83.8,19.5
Tyler Behrend,Tulsa Golden Hurricane,22,721.8,110.6,703.0,91.2,19.4
Taj DeGourville,San Diego State Aztecs,22,673.5,103.0,661.2,83.6,19.4
Mor Massamba Diop,Arizona State Sun Devils,5,191.5,100.8,196.6,81.4,19.4
Kyan Evans,North Carolina Tar Heels,25,802.4,100.1,799.8,80.8,19.3
Samuel Obenjo,Robert Morris Colonials,15,198.5,116.9,202.9,97.6,19.3
Bishop Boswell,Tennessee Volunteers,21,833.2,107.1,839.8,87.8,19.3
Timotej Malovec,Miami Hurricanes,24,608.1,105.2,608.9,86.0,19.2
Mantas Juzenas,Saint Mary'S Gaels,13,109.1,92.5,111.8,73.4,19.2
Dola Adebayo,George Mason Patriots,20,373.4,105.2,366.1,86.1,19.2
Mason Falslev,Utah State Aggies,23,1169.2,105.4,1167.4,86.2,19.2
Thomas Haugh,Florida Gators,25,1412.8,106.2,1402.3,87.0,19.2
Owen Aquino,High Point Panthers,25,1159.1,108.1,1150.6,89.0,19.1
Flory Bidunga,Kansas Jayhawks,25,1270.3,102.3,1284.0,83.2,19.1
Antwone Woolfolk,Miami (Oh) Redhawks,22,881.0,107.9,865.0,88.9,19.0
Jabez Jenkins,Belmont Bruins,26,1095.8,101.0,1115.7,82.0,19.0
Duke Miles,Vanderbilt Commodores,18,892.9,107.6,884.5,88.6,19.0
Devin McGlockton,Vanderbilt Commodores,25,1054.0,107.1,1062.0,88.2,18.9
Maliq Brown,Duke Blue Devils,25,712.7,103.5,711.1,84.8,18.8
Jack Benter,Purdue Boilermakers,24,474.7,101.3,469.1,82.5,18.8
Jacari White,Virginia Cavaliers,20,542.4,106.2,536.2,87.5,18.7
Joshua Dent,Saint Mary'S Gaels,25,1426.0,104.1,1432.1,85.4,18.7
Maki Johnson,East Tennessee State Buccaneers,25,813.1,105.5,821.3,86.8,18.7
RJ Godfrey,Clemson Tigers,26,987.4,102.8,955.0,84.2,18.6
Coen Carr,Michigan State Spartans,25,1126.1,102.9,1135.3,84.5,18.5
Tre Donaldson,Miami Hurricanes,24,1305.6,107.1,1270.2,88.6,18.5
Cam Manyawu,Iowa Hawkeyes,25,661.7,106.5,671.2,88.1,18.5
Trevor Mullin,Yale Bulldogs,21,917.3,109.8,905.8,91.3,18.5
Ja'Kobi Gillespie,Tennessee Volunteers,24,1284.6,107.0,1275.4,88.5,18.5
Cooper Haynes,Belmont Bruins,5,36.8,76.2,32.9,57.8,18.4
Jerald Colonel,Stephen F. Austin Lumberjacks,23,916.5,96.2,932.5,77.9,18.4
Paul Otieno,Saint Louis Billikens,24,587.3,101.3,600.8,82.9,18.4
Dillon Tingler,Drexel Dragons,21,328.9,97.3,336.7,79.0,18.3
JT Rock,New Mexico Lobos,24,478.8,98.8,483.0,80.5,18.3
Drake Allen,Utah State Aggies,22,858.8,108.1,853.5,89.8,18.3
Liam Campbell,Saint Mary'S Gaels,25,599.5,101.4,610.2,83.1,18.3
Robert Jennings II,Oklahoma State Cowboys,3,60.7,92.3,58.1,74.0,18.3
Dylan Darling,St. John'S Red Storm,23,758.8,100.2,745.8,81.9,18.2
Carson Cooper,Michigan State Spartans,25,1013.8,100.5,1017.0,82.4,18.1
Chance Mallory,Virginia Cavaliers,25,954.5,106.4,947.9,88.3,18.1
Casey Simmons,Yale Bulldogs,21,824.5,109.2,826.9,91.1,18.1
Babacar Diallo,High Point Panthers,11,98.5,93.4,92.9,75.4,18.1
Meleek Thomas,Arkansas Razorbacks,25,1194.9,109.9,1175.6,91.9,18.0
Pharaoh Compton,San Diego State Aztecs,22,535.7,107.5,530.8,89.5,18.0
Malik Reneau,Miami Hurricanes,24,1114.7,106.5,1080.7,88.5,18.0
Jordan McCullum,East Tennessee State Buccaneers,25,808.0,102.8,832.9,84.9,18.0
Kingston Price,Fordham Rams,15,162.8,101.9,158.3,84.0,17.9
Rene D'Amelio,California Baptist Lancers,12,244.2,106.1,255.1,88.2,17.9
Jonathan Powell,North Carolina Tar Heels,25,634.9,100.6,628.7,82.7,17.9
Richard Goods,Stony Brook Seawolves,24,934.3,110.3,917.2,92.5,17.9
Berke Buyuktuncel,Nebraska Cornhuskers,24,943.2,97.7,973.2,79.7,17.9
Trey Green,Saint Louis Billikens,23,940.6,104.4,934.8,86.5,17.9
Mikey Lewis,Saint Mary'S Gaels,25,1001.8,106.2,1005.0,88.6,17.7
Chris Riddle,Toledo Rockets,3,64.3,104.2,62.4,86.6,17.7
Jaydon Young,North Carolina Tar Heels,22,231.0,104.7,234.3,87.1,17.7
Jordan Scott,Michigan State Spartans,25,731.0,105.1,713.7,87.4,17.6
Isaiah West,Belmont Bruins,26,692.8,99.6,754.0,82.0,17.6
Michael Belle,Vcu Rams,25,896.7,109.1,913.7,91.5,17.6
Garwey Dual,Mcneese Cowboys,23,836.1,103.6,833.2,86.1,17.5
Youssouf Singare,High Point Panthers,20,216.7,99.2,211.8,81.7,17.5
Malachi Moreno,Kentucky Wildcats,25,842.5,106.6,864.5,89.2,17.4
Patrick Wessler,Unc Wilmington Seahawks,23,1001.0,102.1,989.2,84.7,17.4
Kalifa Sakho,Houston Cougars,22,401.3,98.7,414.2,81.4,17.3
Malique Ewin,Arkansas Razorbacks,25,753.7,111.0,751.0,93.7,17.3
Chrishawn Christmas,Stephen F. Austin Lumberjacks,23,1112.3,99.0,1124.5,81.6,17.3
Isiah Harwell,Houston Cougars,23,507.9,94.7,509.8,77.5,17.2
Austin Herro,St. Thomas-Minnesota Tommies,20,797.7,104.9,817.1,87.8,17.2
Chaze Harris,South Alabama Jaguars,22,1084.7,100.2,1081.7,83.0,17.2
Denham Wojcik,Michigan State Spartans,20,148.6,98.9,146.7,81.8,17.1
Cade Phillips,Tennessee Volunteers,10,262.7,97.8,261.4,80.7,17.1
Elijah Crawford,Uic Flames,14,523.3,102.6,540.2,85.5,17.1
Jai Anthoni Bearden,Ball State Cardinals,9,49.0,114.3,55.5,97.3,17.0
Shelton Henderson,Miami Hurricanes,24,1173.9,104.4,1142.1,87.4,17.0
Corey Washington,Smu Mustangs,25,1136.7,108.3,1141.7,91.4,16.9
Elijah Chol,Uc Irvine Anteaters,18,572.7,97.3,573.7,80.4,16.9
Xaivian Lee,Florida Gators,25,1128.3,101.7,1106.9,84.8,16.9
KC Ibekwe,Pacific Tigers,25,320.7,101.7,323.1,84.8,16.9
Kylan Boswell,Illinois Fighting Illini,18,871.2,105.7,858.6,88.9,16.9
Alex Condon,Florida Gators,24,1190.2,104.3,1172.8,87.4,16.9
Tyler Nickel,Vanderbilt Commodores,25,1259.4,108.5,1258.3,91.6,16.8
Jinup Dobuol,Monmouth Hawks,15,138.4,97.5,136.2,80.7,16.8
Allen Strothers,East Tennessee State Buccaneers,25,924.5,103.6,953.8,86.8,16.8
Darryn Peterson,Kansas Jayhawks,14,650.8,101.7,676.1,84.9,16.8
Paulius Murauskas,Saint Mary'S Gaels,25,1296.1,103.8,1293.9,87.0,16.8
Koren Johnson,Ole Miss Rebels,18,265.4,99.5,262.1,82.8,16.7
Tristan Smith,Northern Iowa Panthers,17,592.4,99.1,588.5,82.4,16.7
Jaylen Carey,Tennessee Volunteers,24,669.7,101.5,658.0,84.8,16.7
Nate Ament,Tennessee Volunteers,24,1136.2,103.2,1121.8,86.6,16.6
Jayden Cooper,South Alabama Jaguars,22,997.7,98.6,1002.4,82.0,16.6
Rory Hawke,Saint Mary'S Gaels,23,367.1,99.4,384.7,82.9,16.5
Isaac Johnson,Hawai'I Rainbow Warriors,21,800.4,99.3,774.7,82.9,16.5
Silas Demary Jr.,Uconn Huskies,26,1148.5,103.5,1150.8,87.1,16.5
Jonah Butler,Stony Brook Seawolves,22,405.4,104.3,411.9,87.9,16.4
Cale Jacobsen,Nebraska Cornhuskers,25,773.6,96.3,797.5,79.9,16.4
Jamarques Lawrence,Nebraska Cornhuskers,25,1114.1,98.9,1121.1,82.5,16.4
Aidan Kehoe,Navy Midshipmen,25,1309.7,98.4,1321.8,82.0,16.4
Aly Khalifa,Louisville Cardinals,25,517.9,96.5,511.4,80.2,16.4
Amaree Abram,Tennessee Volunteers,21,380.3,98.6,380.3,82.3,16.3
Marcus Allen,Miami Hurricanes,8,189.8,100.1,194.6,83.8,16.3
Dennis Evans,Grand Canyon Lopes,15,186.8,100.1,192.0,83.9,16.3
Tarris Reed Jr.,Uconn Huskies,21,865.9,103.8,857.9,87.5,16.3
Divine Ugochukwu,Michigan State Spartans,22,509.2,102.3,516.5,86.2,16.2
Jacob Crews,Missouri Tigers,24,889.7,105.5,864.0,89.3,16.2
Urban Klavzar,Florida Gators,25,857.8,107.3,842.5,91.0,16.2
London Jemison,Alabama Crimson Tide,22,526.4,106.6,523.5,90.3,16.2
Peteris Pinnis,Providence Friars,9,93.1,104.2,97.6,88.1,16.1
Billy Richmond III,Arkansas Razorbacks,25,984.1,107.6,987.6,91.5,16.1
Samson Aletan,Yale Bulldogs,21,855.4,106.5,849.4,90.4,16.1
KJ McClurg,Longwood Lancers,3,71.9,90.4,67.2,74.3,16.1
David Mirkovic,Illinois Fighting Illini,25,1103.5,104.4,1088.0,88.3,16.1
Zach Keller,Utah State Aggies,23,443.5,97.9,437.3,81.9,16.0
Zach Halligan,Akron Zips,18,383.6,103.0,413.7,87.0,16.0
Dillan Shaw,Saint Mary'S Gaels,25,1027.5,104.0,1028.8,88.1,16.0
Caleb Wilson,North Carolina Tar Heels,24,1208.3,103.5,1194.2,87.4,16.0
Dominick Nelson,Iowa State Cyclones,14,227.9,104.0,220.5,88.0,16.0
Josh Holloway,Texas A&M Aggies,24,492.6,100.1,492.7,84.0,16.0
Isaac Celiscar,Yale Bulldogs,21,1004.4,109.6,1007.5,93.6,16.0
Boopie Miller,Smu Mustangs,24,1394.0,106.8,1393.2,90.9,15.9
Jaylin Stewart,Uconn Huskies,26,698.7,100.8,722.8,85.0,15.8
Luka Bogavac,North Carolina Tar Heels,25,957.1,101.6,941.5,85.7,15.8
AJ Dybantsa,Byu Cougars,24,1313.0,106.1,1328.5,90.3,15.8
Caleb Johnson,Long Island University Sharks,14,275.9,97.9,273.1,82.0,15.8
Jasper Johnson,Kentucky Wildcats,24,450.3,105.3,475.1,89.5,15.8
Sebastian Mack,Missouri Tigers,18,408.1,98.8,420.0,83.1,15.7
Conrad Martinez,High Point Panthers,25,958.5,105.4,947.9,89.7,15.7
Stas Sivka,George Mason Patriots,22,375.7,103.0,377.8,87.3,15.7
Ernest Udeh Jr.,Miami Hurricanes,22,888.3,103.6,889.1,87.8,15.7
Mitchell Holmes,Smu Mustangs,19,183.2,108.0,181.7,92.4,15.6
Zac Foster,Clemson Tigers,12,337.2,101.7,319.4,86.1,15.6
Sananda Fru,Louisville Cardinals,25,940.1,103.5,921.3,87.9,15.6
Keaton Wagler,Illinois Fighting Illini,25,1248.9,105.5,1220.8,89.9,15.6
Chase Walker,Illinois State Redbirds,25,905.2,101.2,890.1,85.6,15.6
Simon Majok,Memphis Tigers,20,437.1,100.4,433.9,84.8,15.6
Kolby King,Utah State Aggies,23,649.4,104.9,651.1,89.2,15.6
Kenyon Goodin,Bellarmine Knights,22,1168.6,117.9,1152.8,102.4,15.6
Xavier Nesbitt,Harvard Crimson,19,144.4,92.1,146.3,76.6,15.5
DeSean Goode,Robert Morris Colonials,25,1218.2,114.6,1221.8,99.1,15.5
Mark Mitchell,Missouri Tigers,24,1285.4,105.3,1272.8,89.8,15.5
Kobe Rodgers,Louisville Cardinals,24,517.6,97.0,516.5,81.5,15.5
Calvin Robins Jr.,Howard Bison,18,174.7,87.6,185.9,72.1,15.5
Braden Frager,Nebraska Cornhuskers,23,824.2,99.6,822.7,84.1,15.5
Tru Washington,Miami Hurricanes,20,967.6,104.0,937.2,88.6,15.4
Zander Carter,Liberty Flames,22,377.5,98.8,379.7,83.5,15.3
Dillon Mitchell,St. John'S Red Storm,25,1134.3,103.1,1134.1,87.8,15.3
Jamari McDowell,Kansas Jayhawks,25,748.7,101.0,735.1,85.7,15.3
Richie Saunders,Byu Cougars,24,1243.1,106.7,1275.7,91.3,15.3
Brendan Hausen,Iowa Hawkeyes,18,228.0,113.6,224.7,98.4,15.2
Jestin Porter,Clemson Tigers,26,1136.8,99.8,1120.1,84.5,15.2
Brendan Coyle,Siena Saints,26,1180.3,105.6,1160.2,90.3,15.2
Elijah Mitchell,Prairie View A&M Panthers,10,47.5,113.8,60.9,98.6,15.2
Justice Shoats,Siena Saints,26,1394.9,105.0,1373.8,89.7,15.2
Antonio Chandler,Siena Saints,26,809.5,103.6,819.6,88.5,15.2
Adrian Wooley,Louisville Cardinals,25,864.8,101.4,851.3,86.2,15.2
Jaron Pierre Jr.,Smu Mustangs,25,1343.9,106.0,1341.3,90.9,15.1
Riley Mulvey,Siena Saints,17,350.8,102.1,347.2,87.0,15.1
Abdullah Ahmed,Byu Cougars,12,275.9,115.2,288.4,100.2,15.1
Mike James,Vanderbilt Commodores,17,281.5,110.8,295.5,95.8,15.1
