Player,Points_Per_Game,Assigned_Team_x,Unnamed: 0,Assigned_Team,Games_Tracked,Season_Off_Possessions,Weighted_ORtg,Season_Def_Possessions,Weighted_DRtg,Net_Efficiency_Rating,Net_Points_Produced,Balanced,Star,Defense,WAR
Gabe Kincy,4.3,Alabama Am,3258,Alabama A&M Bulldogs,18,544.7,90.1,547.0,96.3,-6.2,-33.8,-36.0,-33.8,-338.4,-33.7
James Flippin,2.7,Alabama Am,3510,Alabama A&M Bulldogs,24,345.6,84.5,355.9,97.8,-13.3,-45.9,-56.0,-46.0,-466.4,-45.7
Jalen Carruth,2.3,Alabama Am,1498,Alabama A&M Bulldogs,10,143.1,95.0,139.9,85.7,9.3,13.3,16.1,13.3,131.6,12.9
Angok Anyang,1.2,Alabama Am,2829,Alabama A&M Bulldogs,22,254.0,90.9,250.8,98.1,-7.1,-18.1,-15.1,-18.3,-181.7,-18.3
Tajden Davis,1.0,Alabama Am,2155,Alabama A&M Bulldogs,14,100.3,96.7,96.8,99.1,-2.4,-2.4,1.1,-2.4,-23.6,-2.4
Chance Westry,15.5,Alabama Birmingham,400,Uab Blazers,30,1561.7,100.0,1530.0,92.7,7.3,113.6,143.4,114.0,1128.4,111.7
Jacob Meyer,12.4,Alabama Birmingham,820,Uab Blazers,26,1276.9,99.3,1257.8,94.8,4.5,57.9,75.6,57.5,570.3,56.5
Daniel Rivera,12.0,Alabama Birmingham,706,Uab Blazers,30,1475.3,96.9,1462.7,92.3,4.6,68.4,79.5,67.9,675.7,66.9
Ahmad Robinson,9.5,Alabama Birmingham,841,Uab Blazers,24,1003.5,97.4,986.1,91.8,5.6,56.1,72.2,56.2,557.1,54.8
Evan Chatman,8.8,Alabama Birmingham,606,Uab Blazers,30,1459.2,95.3,1429.2,89.8,5.5,80.1,107.2,80.3,794.3,77.2
Dayjaun Anderson,5.4,Alabama Birmingham,889,Uab Blazers,27,762.3,97.3,758.0,90.5,6.8,52.1,55.7,51.8,516.9,51.4
Salim London,4.9,Alabama Birmingham,600,Uab Blazers,30,948.5,98.6,950.3,90.1,8.5,80.6,79.0,80.6,807.0,80.8
Quaran McPherson,4.4,Alabama Birmingham,1225,Uab Blazers,25,461.6,97.7,453.0,91.6,6.1,28.1,36.0,28.2,278.9,27.4
Ari Gooch,2.2,Alabama Birmingham,1027,Uab Blazers,15,197.5,100.3,202.8,79.4,20.9,41.2,37.1,41.3,418.3,42.4
Lance Carr,0.7,Alabama Birmingham,1974,Uab Blazers,2,5.0,80.8,6.4,77.8,3.0,0.1,-0.9,0.2,1.7,0.5
Asjon Anderson,14.2,Alabama State,4373,Alabama State Hornets,27,1236.5,86.7,1218.1,98.5,-11.8,-146.2,-127.8,-145.9,-1448.2,-146.2
Micah Simpson,13.9,Alabama State,4120,Alabama State Hornets,31,1675.9,90.2,1656.4,96.0,-5.8,-96.8,-78.5,-97.2,-966.4,-98.0
Tyler Byrd,10.3,Alabama State,2641,Alabama State Hornets,30,1170.4,90.7,1163.9,91.8,-1.1,-13.0,-6.9,-12.9,-128.4,-13.4
Jerquarius Stanback,8.8,Alabama State,2955,Alabama State Hornets,31,1272.5,91.4,1262.9,93.1,-1.7,-22.0,-12.7,-21.6,-215.5,-22.3
Trey Miller,7.3,Alabama State,3176,Alabama State Hornets,2,81.0,65.4,83.7,102.8,-37.4,-30.3,-33.1,-30.3,-307.9,-30.4
Tyler Mack,5.9,Alabama State,3419,Alabama State Hornets,16,559.9,82.9,549.0,90.2,-7.3,-40.8,-31.0,-40.9,-404.7,-41.9
Tyler Mason,5.0,Alabama State,3316,Alabama State Hornets,21,417.8,89.5,418.6,98.2,-8.7,-36.2,-37.1,-36.3,-363.8,-36.3
R'Chaun King,4.9,Alabama State,3324,Alabama State Hornets,28,579.1,89.6,577.4,96.0,-6.3,-36.6,-35.4,-37.1,-370.1,-37.1
Mario Andrews,1.6,Alabama State,3327,Alabama State Hornets,30,461.8,86.4,455.7,94.3,-7.9,-36.7,-30.7,-36.5,-362.4,-36.8
Kevin Alabi,1.0,Alabama State,2795,Alabama State Hornets,4,42.6,79.7,40.1,119.6,-39.9,-17.0,-14.0,-17.0,-164.9,-16.5
Jordon Marshall,0.7,Alabama State,2134,Alabama State Hornets,2,7.0,71.9,8.8,102.3,-30.3,-2.1,-4.0,-2.1,-23.9,-2.2
Aden Holloway,16.8,Alabama,451,Alabama Crimson Tide,28,1466.9,106.3,1439.0,99.0,7.2,106.3,134.7,107.1,1060.6,106.8
Amari Allen,11.4,Alabama,457,Alabama Crimson Tide,32,1581.5,103.7,1580.8,97.0,6.7,105.3,106.6,106.0,1059.4,105.9
Aiden Sherrell,11.1,Alabama,322,Alabama Crimson Tide,34,1475.1,104.5,1459.2,95.7,8.7,128.9,145.0,129.8,1291.1,129.1
Charles Bediako,10.0,Alabama,2639,Alabama Crimson Tide,5,192.6,101.8,196.3,108.5,-6.8,-13.0,-16.9,-12.9,-130.3,-13.2
Houston Mallette,6.6,Alabama,520,Alabama Crimson Tide,35,1408.7,103.5,1406.0,96.9,6.6,93.5,95.6,93.0,928.9,92.9
Taylor Bol Bowen,6.3,Alabama,2838,Alabama Crimson Tide,30,1030.1,98.0,1047.8,99.8,-1.8,-18.3,-36.2,-18.5,-187.0,-18.5
London Jemison,6.2,Alabama,508,Alabama Crimson Tide,33,871.0,103.1,872.1,92.1,11.0,96.0,94.8,95.8,958.7,95.9
Jalil Bethea,3.9,Alabama,2192,Alabama Crimson Tide,25,330.8,99.5,334.8,100.4,-0.9,-3.0,-7.0,-3.0,-30.0,-3.0
Keitenn Bristow,3.6,Alabama,2835,Alabama Crimson Tide,10,237.1,89.0,241.1,96.7,-7.7,-18.2,-22.1,-18.3,-184.1,-18.1
Davion Hannah,3.3,Alabama,1024,Alabama Crimson Tide,10,168.1,106.5,181.0,81.8,24.7,41.5,31.0,41.5,430.8,43.9
Noah Williamson,1.3,Alabama,939,Alabama Crimson Tide,33,416.7,102.7,430.5,91.3,11.4,47.6,34.9,47.5,482.8,48.7
Collins Onyejiaka,1.0,Alabama,2434,Alabama Crimson Tide,2,8.0,50.3,10.8,148.1,-97.8,-7.8,-12.0,-7.8,-90.9,-9.2
Amir Lindsey,17.9,Albany Ny,4066,Ualbany Great Danes,29,1685.8,90.7,1699.9,96.1,-5.4,-91.4,-104.6,-91.0,-914.1,-90.5
Okechukwu Okeke,10.8,Albany Ny,3738,Ualbany Great Danes,29,1334.4,93.5,1353.4,98.0,-4.5,-60.4,-78.7,-60.0,-604.7,-59.7
Jaden Kempson,10.2,Albany Ny,4242,Ualbany Great Danes,21,1041.1,90.0,1050.4,101.1,-11.1,-115.6,-125.0,-115.6,-1160.8,-115.7
Abdoulaye Fall,9.6,Albany Ny,1842,Ualbany Great Danes,7,307.5,91.1,311.9,90.1,1.0,3.0,-0.9,3.1,31.0,3.5
Isaac Abidde,9.4,Albany Ny,3102,Ualbany Great Danes,29,1122.0,91.6,1131.3,94.0,-2.4,-27.3,-35.7,-26.9,-270.4,-26.4
Ife West-Ingram,6.9,Albany Ny,3070,Ualbany Great Danes,6,105.7,95.6,110.6,120.2,-24.6,-26.0,-31.9,-26.0,-266.0,-27.0
Tarique Foster,5.9,Albany Ny,2009,Ualbany Great Danes,20,668.8,93.2,671.7,93.2,-0.0,-0.3,-2.7,0.0,0.0,0.2
Ma'Kye Taylor,3.4,Albany Ny,3910,Ualbany Great Danes,27,566.5,85.6,575.1,98.8,-13.2,-74.5,-83.3,-74.8,-753.4,-74.7
Miles Rose,3.3,Albany Ny,3308,Ualbany Great Danes,23,565.8,89.4,570.0,95.8,-6.4,-36.0,-40.2,-36.2,-363.5,-36.0
Yaya Keita,3.3,Albany Ny,3272,Ualbany Great Danes,10,142.5,72.3,140.8,96.6,-24.3,-34.5,-33.0,-34.6,-344.2,-34.7
Bautista Giralt,0.9,Albany Ny,2425,Ualbany Great Danes,5,15.0,53.3,15.4,104.1,-50.7,-7.6,-8.0,-7.6,-77.2,-7.6
Tycen McDaniels,12.0,Alcorn State,4457,Alcorn State Braves,32,1349.3,86.0,1349.7,99.3,-13.3,-179.7,-179.9,-179.5,-1794.8,-179.5
Jameel Morris,11.2,Alcorn State,4301,Alcorn State Braves,30,1352.9,87.8,1346.4,97.1,-9.3,-125.3,-119.5,-125.8,-1255.2,-126.0
Shane Lancaster,10.8,Alcorn State,4484,Alcorn State Braves,32,1410.1,86.7,1418.3,100.8,-14.0,-197.8,-207.1,-198.8,-1994.0,-198.9
Nick Woodard,8.6,Alcorn State,4495,Alcorn State Braves,32,1414.7,86.7,1436.8,101.2,-14.5,-205.7,-227.5,-205.1,-2067.3,-205.4
Davian Williams,7.8,Alcorn State,4489,Alcorn State Braves,32,1296.8,88.7,1314.8,104.1,-15.4,-199.3,-218.4,-199.7,-2010.9,-200.4
Omari Hamilton,7.8,Alcorn State,4081,Alcorn State Braves,32,1026.5,86.0,1036.8,95.1,-9.1,-93.2,-103.2,-93.4,-938.8,-92.9
Travis Roberts,3.6,Alcorn State,4486,Alcorn State Braves,30,777.0,82.4,791.7,108.0,-25.6,-199.0,-214.8,-198.9,-2007.8,-200.1
Mike Jones,3.5,Alcorn State,3817,Alcorn State Braves,13,268.4,81.6,266.7,106.5,-24.9,-66.8,-65.0,-66.8,-666.2,-66.7
Bryson Calamese,3.0,Alcorn State,3916,Alcorn State Braves,31,537.9,86.3,545.8,100.2,-14.0,-75.1,-82.7,-74.8,-753.2,-74.8
Jeremy Ellis,1.0,Alcorn State,3479,Alcorn State Braves,21,197.2,84.7,197.3,106.9,-22.2,-43.9,-43.9,-43.8,-437.9,-43.8
Madden Collins,13.4,American,3481,American University Eagles,30,1056.9,90.1,1044.2,94.2,-4.2,-44.0,-31.4,-43.3,-430.7,-44.1
Greg Jones,12.5,American,3456,American University Eagles,30,1480.4,92.3,1465.7,95.2,-2.9,-43.0,-28.9,-42.9,-427.2,-43.6
Julen Iturbe,10.5,American,2713,American University Eagles,30,1271.0,94.1,1238.5,95.3,-1.2,-14.9,15.7,-15.3,-150.6,-16.8
Geoff Sprouse,9.2,American,3688,American University Eagles,30,1315.6,93.3,1286.8,97.6,-4.3,-57.1,-28.5,-56.6,-559.5,-57.3
Matt Mayock,8.5,American,3909,American University Eagles,29,1361.8,91.9,1352.1,97.4,-5.5,-74.5,-65.5,-74.9,-746.3,-75.2
Wyatt Nausadis,7.8,American,4106,American University Eagles,30,1078.4,88.6,1048.0,97.4,-8.9,-95.6,-65.3,-94.9,-935.5,-95.7
Carson McDonald,7.3,American,2489,American University Eagles,3,93.0,74.2,91.8,83.9,-9.7,-9.0,-8.0,-9.0,-89.6,-9.2
Kade Sebastian,5.7,American,1419,American University Eagles,30,1003.7,94.0,1006.2,92.3,1.7,17.3,14.8,17.1,170.8,17.3
Chris Eagan,3.9,American,3880,American University Eagles,30,499.4,84.1,504.9,98.4,-14.3,-71.6,-76.8,-71.4,-718.1,-71.3
Dean Hogans,2.3,American,3398,American University Eagles,20,178.8,81.6,170.3,103.9,-22.3,-39.9,-31.0,-39.9,-389.1,-39.5
Luke Brown,1.1,American,1286,American University Eagles,16,105.3,102.6,107.9,79.7,22.9,24.1,22.0,24.1,244.1,24.6
