Player,Points_Per_Game,Assigned_Team_x,Unnamed: 0,Assigned_Team,Games_Tracked,Season_Off_Possessions,Weighted_ORtg,Season_Def_Possessions,Weighted_DRtg,Net_Efficiency_Rating,Net_Points_Produced,Balanced,Star,Defense,WAR
Alex Hemenway,6.7,Evansville,4482,Evansville Purple Aces,30,1272.0,83.8,1271.8,99.2,-15.4,-196.2,-195.7,-195.9,-1958.7,-195.9
Trent Hundley,5.3,Evansville,4234,Evansville Purple Aces,30,817.6,84.8,825.2,98.8,-14.0,-114.5,-122.0,-114.5,-1149.9,-114.4
James Dyson-Merwe,2.4,Evansville,3558,Evansville Purple Aces,19,374.5,80.6,371.2,93.8,-13.1,-49.1,-46.3,-49.4,-492.2,-49.6
Kaia Berridge,2.0,Evansville,3882,Evansville Purple Aces,25,426.9,85.7,443.9,102.5,-16.8,-71.6,-89.1,-71.7,-731.3,-72.1
Braden Sparks,17.2,Fairfield,1026,Fairfield Stags,33,1782.5,95.6,1766.8,93.3,2.3,41.4,55.6,41.0,408.2,39.9
Brandon Benjamin,14.2,Fairfield,1891,Fairfield Stags,32,1603.6,95.3,1582.4,95.2,0.1,1.8,21.8,1.6,15.9,0.6
Brandon Benjamin,14.2,Fairfield,1898,San Diego Toreros,17,181.7,99.6,178.3,98.7,0.9,1.7,5.0,1.6,16.2,1.6
Declan Wucherpfennig,12.1,Fairfield,962,Fairfield Stags,33,1675.4,95.6,1655.7,92.8,2.7,45.7,65.2,46.9,466.3,45.5
Deuce Turner,8.4,Fairfield,3267,Fairfield Stags,33,1076.7,92.9,1081.7,96.1,-3.2,-34.2,-39.3,-34.5,-345.3,-34.3
Tony Williams,6.5,Fairfield,2182,Fairfield Stags,32,1013.5,93.5,995.6,93.8,-0.3,-2.8,13.7,-3.0,-30.1,-4.2
Eric Mejia,4.9,Fairfield,3414,Fairfield Stags,33,964.0,92.2,966.6,96.4,-4.2,-40.5,-43.0,-40.5,-405.4,-40.4
Halon Rawlins,3.9,Fairfield,1923,Fairfield Stags,32,873.1,96.0,857.7,95.8,0.1,1.2,16.5,1.7,17.3,1.1
Cam Estevez,3.6,Fairfield,3010,Fairfield Stags,19,364.3,92.2,357.3,98.8,-6.6,-23.9,-17.1,-24.0,-238.1,-24.1
Isaac Munkadi,2.7,Fairfield,2384,Fairfield Stags,33,450.5,88.6,455.5,90.0,-1.5,-6.6,-10.8,-6.3,-63.4,-5.8
Nasir Rodriguez,2.7,Fairfield,2300,Fairfield Stags,21,213.6,85.2,214.0,87.4,-2.2,-4.7,-5.0,-4.7,-47.0,-4.6
Michael Rogan,1.4,Fairfield,2373,Fairfield Stags,10,162.2,92.4,165.0,96.4,-3.9,-6.4,-9.2,-6.5,-65.4,-6.4
Ryan Zan,1.1,Fairfield,3782,Fairfield Stags,26,347.8,86.0,351.2,104.5,-18.5,-64.4,-67.9,-64.3,-646.6,-64.5
Joey Niesman,12.3,Fairleigh Dickinson,4248,Fairleigh Dickinson Knights,29,1546.5,88.5,1540.2,96.1,-7.6,-117.0,-111.5,-117.5,-1172.9,-117.8
Eric Parnell,10.7,Fairleigh Dickinson,4327,Fairleigh Dickinson Knights,29,1148.0,86.5,1108.6,98.0,-11.5,-131.5,-93.4,-132.0,-1297.3,-132.8
Taeshaud Jackson,10.3,Fairleigh Dickinson,4187,Fairleigh Dickinson Knights,29,1353.2,87.9,1331.6,95.8,-7.9,-106.7,-86.2,-106.9,-1060.5,-107.8
Arthur Cox,8.8,Fairleigh Dickinson,3633,Fairleigh Dickinson Knights,27,847.0,90.6,820.0,96.8,-6.3,-53.1,-26.4,-52.5,-516.7,-53.4
Cyril Martynov,8.1,Fairleigh Dickinson,4194,Fairleigh Dickinson Knights,29,1147.1,87.6,1154.8,97.0,-9.4,-107.4,-115.3,-107.8,-1081.9,-107.6
David Jevtic,6.6,Fairleigh Dickinson,4029,Fairleigh Dickinson Knights,28,922.7,87.9,908.9,97.3,-9.4,-86.4,-73.3,-86.7,-860.8,-87.1
Noah Melson,6.0,Fairleigh Dickinson,4145,Fairleigh Dickinson Knights,22,581.1,85.2,585.3,102.5,-17.3,-100.7,-104.8,-100.5,-1008.9,-100.6
Raysean Johnson,4.6,Fairleigh Dickinson,3403,Fairleigh Dickinson Knights,28,716.9,91.1,730.1,96.7,-5.6,-40.2,-52.9,-40.1,-405.1,-39.7
Josiah Francis,1.3,Fairleigh Dickinson,3119,Fairleigh Dickinson Knights,10,82.2,65.7,93.2,99.8,-34.1,-28.0,-39.0,-28.0,-298.5,-28.0
Ras Elijah Godbolt,1.3,Fairleigh Dickinson,2496,Fairleigh Dickinson Knights,26,481.7,90.9,477.0,92.9,-1.9,-9.3,-5.3,-9.6,-95.9,-10.0
Sebastian Haubro,0.6,Fairleigh Dickinson,3062,Fairleigh Dickinson Knights,19,68.7,69.9,68.1,107.2,-37.3,-25.6,-25.0,-25.6,-255.1,-25.6
Tyler Shirley,12.0,Florida Am,3956,Florida A&M Rattlers,28,1400.0,87.7,1390.6,93.3,-5.6,-78.8,-69.6,-78.4,-781.4,-79.0
Jaquan Sanders,11.7,Florida Am,4225,Florida A&M Rattlers,27,1390.0,86.8,1410.8,94.9,-8.1,-112.3,-132.3,-112.6,-1134.3,-111.5
Micah Octave,10.0,Florida Am,1602,Florida A&M Rattlers,21,1116.8,93.1,1118.4,92.3,0.8,9.5,7.5,8.9,89.4,9.1
Jordan Chatman,9.1,Florida Am,4184,Florida A&M Rattlers,28,1163.5,87.1,1177.7,96.3,-9.1,-106.3,-120.7,-107.0,-1076.9,-106.5
Kaleb Washington,8.5,Florida Am,3858,Florida A&M Rattlers,25,793.9,83.4,810.0,92.2,-8.8,-70.1,-84.7,-69.9,-705.7,-68.6
Miles Ndalama,7.4,Florida Am,2443,Florida A&M Rattlers,22,845.7,88.0,858.0,88.9,-0.9,-8.0,-18.5,-7.6,-76.7,-6.2
Tuscan Onuoha,2.5,Florida Am,2257,Florida A&M Rattlers,3,24.3,86.5,22.4,102.8,-16.3,-4.0,-2.0,-4.0,-38.0,-3.9
Anthony Knowles,2.0,Florida Am,3554,Florida A&M Rattlers,15,239.6,78.5,232.8,98.8,-20.3,-48.7,-41.9,-48.6,-479.4,-48.7
Lenard Taylor Jr.,1.8,Florida Am,3027,Florida A&M Rattlers,16,199.9,83.5,206.8,95.7,-12.2,-24.4,-31.0,-24.4,-248.1,-24.1
Devin Vanterpool,15.8,Florida Atlantic,807,Florida Atlantic Owls,22,1178.3,95.8,1178.6,90.8,5.0,59.2,58.6,58.9,589.2,58.9
Kanaan Carlyle,14.3,Florida Atlantic,1008,Florida Atlantic Owls,27,1421.5,94.2,1435.1,91.2,3.0,42.4,30.2,42.6,428.5,43.8
Isaiah Elohim,12.4,Florida Atlantic,2419,Florida Atlantic Owls,30,1460.4,92.5,1461.1,93.0,-0.5,-7.3,-8.0,-7.3,-73.0,-7.3
Josiah Parker,9.6,Florida Atlantic,2682,Florida Atlantic Owls,30,1091.6,94.1,1118.6,95.4,-1.3,-14.2,-39.9,-14.2,-143.7,-12.9
Devin Williams,7.5,Florida Atlantic,1874,Florida Atlantic Owls,31,1241.8,91.3,1245.5,91.1,0.2,2.3,-0.9,2.5,24.9,2.8
Xander Pintelon,6.2,Florida Atlantic,1368,Florida Atlantic Owls,31,961.6,94.1,951.0,92.0,2.1,20.3,29.9,20.2,200.8,19.3
Niccolo Moretti,5.6,Florida Atlantic,2032,Florida Atlantic Owls,31,1346.3,93.3,1361.5,93.4,-0.1,-0.8,-15.5,-1.3,-13.5,-0.3
Amar Amkou,5.5,Florida Atlantic,1422,Florida Atlantic Owls,24,442.0,101.1,435.0,97.2,3.9,17.2,24.0,17.2,171.0,17.0
Maxim Logue,4.8,Florida Atlantic,1425,Florida Atlantic Owls,25,479.1,95.8,484.7,92.2,3.6,17.2,12.1,17.2,173.5,17.7
Max Langenfeld,3.5,Florida Atlantic,2880,Florida Atlantic Owls,14,127.7,83.8,126.1,99.1,-15.4,-19.6,-18.0,-19.5,-194.2,-19.6
Yohann Sissoko,3.3,Florida Atlantic,1808,Florida Atlantic Owls,25,400.9,96.8,403.8,95.8,0.9,3.7,1.2,4.0,40.2,4.1
Vincent Neugebauer,2.4,Florida Atlantic,1212,Florida Atlantic Owls,12,140.0,109.3,138.2,88.3,21.0,29.4,31.0,29.4,292.1,29.2
J.R. Konieczny,15.6,Florida Gulf Coast,2895,Florida Gulf Coast Eagles,28,1581.9,93.6,1559.6,94.9,-1.3,-20.2,0.6,-20.6,-204.2,-21.7
Jordan Ellerbee,13.1,Florida Gulf Coast,1412,Florida Gulf Coast Eagles,32,1474.6,96.5,1447.0,95.3,1.2,17.7,44.0,17.7,175.3,16.4
Rahmir Barno,11.7,Florida Gulf Coast,1648,Florida Gulf Coast Eagles,32,1725.6,95.9,1707.8,95.4,0.5,8.1,25.6,8.6,85.8,7.8
Isaiah Malone,10.5,Florida Gulf Coast,1628,Florida Gulf Coast Eagles,32,1236.5,93.0,1216.7,92.3,0.7,8.7,26.9,8.7,85.9,7.1
Michael Duax,7.7,Florida Gulf Coast,671,Florida Gulf Coast Eagles,32,1317.5,98.7,1337.3,93.2,5.5,72.5,54.0,72.5,730.0,73.8
Rory Stewart,7.1,Florida Gulf Coast,3656,Florida Gulf Coast Eagles,28,1029.8,93.3,1001.8,98.6,-5.3,-54.7,-27.0,-54.6,-538.3,-55.0
Darren Williams,6.2,Florida Gulf Coast,2468,Florida Gulf Coast Eagles,32,1002.4,96.4,1009.1,97.2,-0.8,-8.5,-14.5,-8.0,-80.5,-7.8
Tristen Guillouette,3.4,Florida Gulf Coast,2941,Florida Gulf Coast Eagles,27,559.8,94.7,576.5,98.5,-3.8,-21.5,-37.7,-21.3,-215.9,-21.0
George Washington III,3.1,Florida Gulf Coast,3755,Florida Gulf Coast Eagles,12,167.6,80.6,170.3,117.4,-36.9,-61.8,-64.8,-61.7,-621.7,-62.1
Gabe Tanner,2.8,Florida Gulf Coast,2176,Florida Gulf Coast Eagles,12,159.8,90.1,169.8,91.9,-1.8,-2.8,-12.1,-2.9,-29.7,-2.1
Jack Reddick,2.5,Florida Gulf Coast,3110,Florida Gulf Coast Eagles,30,481.7,88.2,499.0,94.0,-5.8,-27.7,-44.2,-27.9,-284.4,-26.9
Corey Stephenson,18.0,Florida International,472,Florida International Panthers,28,1493.0,98.3,1525.6,91.4,6.9,102.8,73.2,103.0,1041.4,105.8
Julian Mackey,12.4,Florida International,2971,Florida International Panthers,27,1046.4,94.4,1080.9,96.6,-2.2,-22.7,-56.3,-23.0,-234.0,-21.8
Zawdie Jackson,12.1,Florida International,602,Florida International Panthers,29,1410.3,95.9,1435.2,90.2,5.7,80.4,57.9,80.4,810.9,82.8
Eric Dibami,9.3,Florida International,677,Florida International Panthers,28,1384.5,93.8,1376.3,88.6,5.2,71.8,79.3,72.0,717.8,71.1
Ashton Williamson,7.7,Florida International,892,Florida International Panthers,23,871.2,92.9,887.1,86.9,6.0,51.8,38.5,52.3,527.5,54.4
Brit Harris,5.6,Florida International,2014,Florida International Panthers,29,891.4,93.1,925.4,93.1,-0.0,-0.3,-31.7,0.0,0.0,2.3
Thiago Sucatzky,3.6,Florida International,1886,Florida International Panthers,29,617.6,98.3,627.7,98.0,0.3,1.9,-8.0,1.9,18.7,2.1
Amarion Nimmers,1.6,Florida International,1848,Florida International Panthers,1,6.0,134.5,7.0,85.7,48.7,2.9,2.1,2.9,31.6,3.1
Kennedy Brown,1.5,Florida International,2584,Florida International Panthers,16,107.9,90.8,125.1,101.5,-10.6,-11.5,-29.0,-11.5,-124.3,-11.8
Robert McCray V,16.3,Florida State,904,Florida State Seminoles,33,1612.2,95.9,1600.8,92.8,3.1,50.4,60.6,50.0,498.0,49.2
Chauncey Wiggins,13.3,Florida State,1804,Florida State Seminoles,32,1481.7,92.9,1484.8,92.6,0.3,3.8,1.6,4.4,44.5,4.7
Lajae Jones,12.7,Florida State,855,Florida State Seminoles,33,1602.0,96.1,1582.5,92.6,3.4,54.9,74.1,56.1,557.3,54.6
Martin Somerville,8.0,Florida State,651,Florida State Seminoles,33,1425.1,95.2,1412.4,90.0,5.2,74.6,85.5,74.1,737.7,72.8
Kobe MaGee,7.9,Florida State,1708,Florida State Seminoles,33,1097.7,93.5,1089.6,92.9,0.6,6.4,14.1,6.6,65.6,6.0
Alex Steen,6.8,Florida State,1349,Florida State Seminoles,32,1084.6,97.9,1068.2,96.0,2.0,21.3,36.4,20.6,204.5,20.0
Thomas Bassong,5.9,Florida State,1053,Florida State Seminoles,33,983.0,94.6,1014.0,90.6,4.0,39.1,11.2,39.3,399.4,42.2
Cam Miles,5.4,Florida State,3348,Florida State Seminoles,25,556.6,91.1,536.2,97.9,-6.8,-37.9,-17.9,-37.8,-371.5,-38.3
AJ Swinton,4.5,Florida State,965,Florida State Seminoles,26,635.8,96.9,632.9,89.7,7.1,45.4,48.4,45.8,456.7,45.5
Alier Maluk,1.6,Florida State,1563,Florida State Seminoles,16,184.2,89.6,192.6,83.6,6.0,11.1,4.0,11.1,113.0,12.4
Thomas Haugh,17.1,Florida,16,Florida Gators,34,1874.5,107.1,1870.1,89.0,18.0,338.1,343.2,339.3,3388.9,338.8
Alex Condon,15.1,Florida,20,Florida Gators,34,1678.5,107.4,1668.0,88.4,18.9,317.7,328.2,318.9,3179.2,317.7
Boogie Fland,11.6,Florida,14,Florida Gators,35,1690.6,109.3,1705.1,89.0,20.3,344.0,330.3,343.2,3446.6,344.8
Xaivian Lee,11.6,Florida,27,Florida Gators,35,1585.8,105.4,1571.4,86.2,19.3,305.6,316.9,304.5,3030.9,302.5
Rueben Chinyelu,10.9,Florida,34,Florida Gators,35,1389.1,106.9,1369.5,85.4,21.5,299.3,315.4,298.7,2965.4,295.8
Urban Klavzar,9.6,Florida,142,Florida Gators,35,1159.5,108.3,1141.5,91.5,16.9,195.5,211.3,194.8,1932.8,193.3
Isaiah Brown,5.5,Florida,239,Florida Gators,32,664.9,113.6,667.3,90.2,23.3,155.2,153.4,155.6,1558.7,155.8
Isaiah Brown,5.5,Florida,1395,Howard Bison,29,483.8,88.7,482.1,84.8,3.8,18.5,20.3,18.9,188.4,18.6
Micah Handlogten,4.1,Florida,391,Florida Gators,34,775.3,107.0,800.5,92.2,14.9,115.1,91.5,114.7,1165.9,116.7
Viktor Mikic,1.3,Florida,2283,Florida Gators,3,11.4,70.3,11.2,106.9,-36.6,-4.2,-4.0,-4.2,-41.4,-4.2
Alex Lloyd,1.2,Florida,1551,Florida Gators,5,38.7,95.6,40.6,66.4,29.2,11.3,10.0,11.3,115.7,11.9
Alex Kovatchev,0.5,Florida,1722,Florida Gators,2,16.8,101.5,18.5,65.0,36.5,6.1,5.0,6.1,64.3,6.7
Dejour Reaves,17.9,Fordham,727,Fordham Rams,29,1565.4,93.2,1539.9,89.0,4.2,66.3,88.4,65.7,652.1,62.9
Zarique Nutter,12.7,Fordham,2293,Fordham Rams,2,56.6,84.9,48.4,92.9,-8.0,-4.6,3.1,-4.5,-41.9,-5.1
Christian Henry,10.7,Fordham,723,Fordham Rams,27,1244.5,93.1,1227.3,87.8,5.4,66.9,81.1,66.0,655.0,63.9
Rikus Schulte,10.7,Fordham,437,Fordham Rams,29,1397.1,94.7,1394.2,86.9,7.8,108.4,111.5,109.0,1088.6,108.6
Jack Whitbourn,8.4,Fordham,3080,Fordham Rams,11,409.3,88.7,399.4,95.1,-6.5,-26.5,-16.8,-26.2,-258.8,-26.7
Abass Bodija,7.3,Fordham,1463,Fordham Rams,24,721.8,90.2,728.6,88.1,2.1,14.9,9.2,15.2,152.3,16.0
Akira Jacobs,7.2,Fordham,1321,Fordham Rams,29,1317.3,92.2,1301.6,90.4,1.7,22.7,37.9,23.7,235.7,22.2
Roor Akhuar,6.1,Fordham,971,Fordham Rams,22,657.7,93.1,671.7,86.2,6.9,45.1,33.3,45.4,458.6,47.3
Marcus Greene,4.7,Fordham,3244,Fordham Rams,28,649.5,89.9,643.2,95.0,-5.1,-33.0,-27.1,-33.1,-329.6,-33.4
Jace Howard,4.5,Fordham,2025,Fordham Rams,1,11.5,78.4,12.0,83.3,-4.9,-0.6,-1.0,-0.6,-5.8,-0.5
Louis Lesmond,3.3,Fordham,3113,Fordham Rams,25,752.1,90.0,741.6,93.7,-3.7,-27.8,-18.0,-27.8,-276.3,-28.5
Ryan Pettis,2.2,Fordham,1852,Fordham Rams,4,60.0,86.6,60.9,82.2,4.5,2.7,1.9,2.6,26.6,2.8
Kingston Price,1.7,Fordham,1298,Fordham Rams,19,182.2,101.0,181.6,88.1,12.9,23.5,24.0,23.5,234.7,23.4
Jameson O'Toole,0.9,Fordham,2002,Fordham Rams,3,11.0,90.9,13.0,92.3,-1.4,-0.2,-2.0,-0.2,-1.7,0.0
Jake Heidbreder,17.0,Fresno State,3835,Fresno State Bulldogs,29,1806.8,90.4,1784.0,94.2,-3.8,-68.6,-47.2,-68.7,-682.2,-70.0
DeShawn Gory,13.7,Fresno State,3361,Fresno State Bulldogs,31,1491.0,93.8,1496.6,96.4,-2.6,-38.6,-44.2,-38.8,-388.4,-38.6
Zaon Collins,11.6,Fresno State,2045,Fresno State Bulldogs,25,1284.4,95.1,1264.5,95.1,-0.1,-0.9,18.9,0.0,0.0,-1.0
Wilson Jacques,8.8,Fresno State,2417,Fresno State Bulldogs,31,1417.8,93.7,1415.4,94.3,-0.5,-7.3,-6.2,-8.5,-85.0,-8.6
David Douglas Jr.,7.2,Fresno State,3190,Fresno State Bulldogs,17,522.6,89.2,519.3,95.1,-6.0,-31.1,-27.7,-30.8,-307.4,-31.0
Jac Mani,6.0,Fresno State,2381,Fresno State Bulldogs,25,476.8,90.2,461.0,91.5,-1.4,-6.5,8.3,-6.2,-60.9,-7.5
Cameron Faas,5.3,Fresno State,1503,Fresno State Bulldogs,31,989.0,92.1,982.5,90.8,1.3,13.1,18.8,12.9,128.1,12.3
Bastien Rieber,4.0,Fresno State,3003,Fresno State Bulldogs,30,813.5,91.7,812.9,94.6,-2.9,-23.6,-23.0,-23.6,-235.8,-23.6
DJ Stickman,3.5,Fresno State,1821,Fresno State Bulldogs,20,446.8,92.9,454.7,92.2,0.7,3.3,-4.2,3.1,31.6,3.7
Gasper Kocevar,3.3,Fresno State,2509,Fresno State Bulldogs,24,520.2,90.3,513.1,92.2,-1.9,-9.6,-3.3,-9.9,-98.2,-10.4
Aram Soqui Urbano,2.0,Fresno State,1673,Fresno State Bulldogs,12,187.1,103.1,183.5,99.2,4.0,7.4,10.9,7.3,72.3,7.3
Makhan Diouf,1.1,Fresno State,2780,Fresno State Bulldogs,14,83.0,71.1,84.4,91.2,-20.2,-16.7,-18.0,-16.7,-168.2,-16.6
Matteo Porto,0.6,Fresno State,2195,Fresno State Bulldogs,7,19.4,82.4,22.4,98.1,-15.7,-3.1,-6.0,-3.0,-32.7,-3.0
Alex Wilkins,17.8,Furman,821,Furman Paladins,32,1583.7,97.6,1534.6,94.0,3.7,57.9,103.2,57.0,561.2,54.1
Cooper Bowser,13.8,Furman,2228,Furman Paladins,22,1049.9,94.6,1047.1,94.9,-0.3,-3.6,-0.5,-3.1,-31.5,-3.3
Asa Thomas,11.9,Furman,1259,Furman Paladins,25,1125.2,96.3,1121.1,94.0,2.3,26.1,29.7,25.9,258.3,25.6
Charles Johnston,9.8,Furman,643,Furman Paladins,32,1453.5,96.2,1431.2,91.0,5.2,75.7,95.9,75.6,750.0,73.6
Tom House,8.5,Furman,1138,Furman Paladins,30,1219.9,94.7,1205.4,91.9,2.8,33.7,47.5,34.2,339.5,33.0
Eddrin Bronson,5.4,Furman,2361,Furman Paladins,31,959.7,93.1,973.4,93.7,-0.6,-6.1,-18.6,-5.8,-58.0,-4.9
Cole Bowser,5.2,Furman,1106,Furman Paladins,20,705.6,98.2,705.8,93.1,5.1,36.2,35.8,36.0,359.9,36.0
Abijah Franklin,4.4,Furman,1903,Furman Paladins,21,357.2,92.7,362.3,92.2,0.5,1.6,-2.9,1.8,18.0,2.2
Mason Smith,3.0,Furman,1629,Furman Paladins,4,82.5,90.9,83.4,80.3,10.6,8.7,8.0,8.7,87.9,8.9
Collin O'Neal,2.9,Furman,2569,Furman Paladins,15,236.7,93.0,251.9,97.7,-4.7,-11.1,-26.0,-11.1,-114.8,-10.8
Owen Ritger,1.7,Furman,2983,Furman Paladins,13,152.4,85.3,162.2,100.5,-15.2,-23.1,-33.0,-23.2,-239.0,-23.2
Jacob Hogarth,10.7,Gardner Webb,4530,Gardner-Webb Runnin' Bulldogs,30,1199.3,84.0,1188.6,106.9,-22.9,-274.5,-263.2,-274.6,-2734.1,-273.9
Jacob Hudson,10.7,Gardner Webb,4478,Gardner-Webb Runnin' Bulldogs,26,1096.2,86.0,1103.5,103.7,-17.6,-193.4,-201.6,-194.0,-1946.7,-194.3
Spence Sims,9.9,Gardner Webb,4547,Gardner-Webb Runnin' Bulldogs,29,1075.6,80.0,1052.3,109.6,-29.5,-317.5,-292.8,-318.4,-3149.1,-316.1
Colin Hawkins,8.2,Gardner Webb,4543,Gardner-Webb Runnin' Bulldogs,28,1186.8,82.7,1184.8,107.7,-25.0,-297.2,-294.5,-296.7,-2964.5,-296.5
Julius Clark,7.3,Gardner Webb,3648,Gardner-Webb Runnin' Bulldogs,7,148.6,79.4,154.6,115.7,-36.3,-54.0,-60.9,-53.9,-550.2,-54.9
Jamias Ferere,6.3,Gardner Webb,4449,Gardner-Webb Runnin' Bulldogs,28,825.4,84.0,816.3,105.4,-21.4,-176.5,-167.0,-176.6,-1756.6,-176.1
NaVuan Peterson,3.1,Gardner Webb,4302,Gardner-Webb Runnin' Bulldogs,24,531.2,82.6,546.8,106.3,-23.6,-125.5,-142.5,-125.9,-1277.3,-126.9
Riek Riek,1.4,Gardner Webb,3991,Gardner-Webb Runnin' Bulldogs,22,358.8,79.7,361.4,102.7,-23.0,-82.4,-85.2,-82.5,-828.2,-82.6
Bo Barber,1.1,Gardner Webb,3186,Gardner-Webb Runnin' Bulldogs,15,159.6,85.2,158.9,104.5,-19.3,-30.8,-30.1,-30.8,-307.4,-30.8
Paul Lindberg,0.6,Gardner Webb,2122,Gardner-Webb Runnin' Bulldogs,1,3.0,133.3,3.0,200.0,-66.7,-2.0,-2.0,-2.0,-20.0,-2.0
Isaiah Hicks,0.4,Gardner Webb,2121,Gardner-Webb Runnin' Bulldogs,1,3.0,133.3,3.0,200.0,-66.7,-2.0,-2.0,-2.0,-20.0,-2.0
Ahmadou Ndiaye,0.3,Gardner Webb,3206,Gardner-Webb Runnin' Bulldogs,7,41.9,43.0,42.1,118.7,-75.7,-31.7,-32.0,-31.7,-317.9,-31.8
Kory Mincy,14.3,George Mason,290,George Mason Patriots,32,1654.1,101.8,1658.6,93.3,8.5,140.2,136.4,140.6,1407.9,140.9
Riley Allenspach,13.6,George Mason,972,George Mason Patriots,31,1190.3,99.9,1193.5,96.1,3.8,45.1,42.2,45.2,452.9,45.4
Jahari Long,12.2,George Mason,235,George Mason Patriots,32,1672.7,100.9,1665.5,91.5,9.4,157.4,163.8,157.2,1569.0,156.6
Masai Troutman,8.4,George Mason,826,George Mason Patriots,31,1171.6,96.5,1154.9,91.6,4.9,57.7,72.7,57.4,570.0,56.0
Nick Ellington,4.7,George Mason,560,George Mason Patriots,30,588.4,97.2,581.3,82.6,14.7,86.2,91.8,85.9,853.9,84.7
Emmanuel Kanga,4.6,George Mason,684,George Mason Patriots,31,605.6,101.9,606.3,90.2,11.7,70.7,70.2,70.9,709.0,70.9
Brayden O'Connor,4.0,George Mason,1723,George Mason Patriots,1,23.0,69.6,22.9,43.7,25.9,6.0,6.0,6.0,59.4,5.9
Dola Adebayo,3.4,George Mason,595,George Mason Patriots,26,473.1,106.5,463.1,89.4,17.1,81.0,89.8,80.9,800.4,79.8
Malik Presley,3.2,George Mason,887,George Mason Patriots,32,776.0,97.8,780.6,91.1,6.7,52.2,47.8,52.0,521.5,52.4
Stas Sivka,2.3,George Mason,730,George Mason Patriots,26,433.7,104.7,434.9,89.4,15.2,66.1,65.3,66.4,664.5,66.5
Devin Booker,1.8,George Mason,1965,George Mason Patriots,23,271.7,95.3,275.2,95.2,0.1,0.3,-3.1,0.3,2.7,0.4
Rafael Castro,15.3,George Washington,575,George Washington Revolutionaries,28,1322.7,98.7,1279.3,92.4,6.3,82.9,123.4,83.3,819.5,80.0
Garrett Johnson,11.4,George Washington,1206,George Washington Revolutionaries,29,1100.6,100.7,1067.8,98.0,2.7,29.8,61.9,29.7,292.7,29.1
Trey Autry,11.0,George Washington,1209,George Washington Revolutionaries,33,1568.4,96.1,1519.0,94.2,1.9,29.5,76.3,29.8,293.3,26.9
Christian Jones,10.0,George Washington,429,George Washington Revolutionaries,34,1480.5,97.9,1462.4,90.5,7.4,109.6,125.9,109.6,1088.9,107.8
Christian Jones,10.0,George Washington,1177,Siena Saints,35,849.4,96.9,841.1,93.2,3.7,31.3,39.2,31.4,312.7,30.9
Christian Jones,10.0,George Washington,3424,Long Beach State Beach,17,262.5,88.8,267.2,104.4,-15.7,-41.1,-45.9,-41.0,-413.1,-41.2
Tre Dinkins,8.8,George Washington,1360,George Washington Revolutionaries,34,1146.8,98.9,1133.0,97.1,1.8,20.6,34.0,20.6,205.2,20.2
Luke Hunger,8.4,George Washington,758,George Washington Revolutionaries,32,951.7,98.5,948.8,91.8,6.7,63.4,66.4,63.8,636.7,63.5
Jean Aranguren,8.2,George Washington,502,George Washington Revolutionaries,34,1334.5,101.0,1315.3,93.7,7.3,97.0,115.4,97.4,967.2,96.2
Bubu Benjamin,5.8,George Washington,542,George Washington Revolutionaries,29,934.7,100.5,917.5,90.8,9.7,90.4,106.3,90.7,898.3,89.1
Ty Bevins,1.9,George Washington,1909,George Washington Revolutionaries,8,59.7,93.8,59.1,91.3,2.5,1.5,2.0,1.5,14.8,1.4
KJ Lewis,14.9,Georgetown,510,Georgetown Hoyas,28,1338.4,99.3,1320.0,92.1,7.2,96.0,113.3,96.4,957.0,94.9
Malik Mack,13.6,Georgetown,799,Georgetown Hoyas,34,1725.9,97.7,1696.1,94.3,3.5,60.0,86.8,58.7,581.7,57.0
Julius Halaifonua,9.5,Georgetown,1160,Georgetown Hoyas,32,988.9,99.5,972.2,96.3,3.2,32.0,47.7,31.6,313.8,31.0
Caleb Williams,8.8,Georgetown,1536,Georgetown Hoyas,33,1557.1,96.4,1543.4,95.6,0.8,11.9,25.6,12.5,124.0,11.9
Caleb Williams,8.8,Georgetown,4344,Lafayette Leopards,30,1524.7,91.0,1544.3,99.9,-8.9,-135.5,-155.3,-135.7,-1365.7,-135.7
Jeremiah Williams,5.9,Georgetown,822,Georgetown Hoyas,34,1068.9,97.8,1071.9,92.4,5.4,57.8,54.9,57.7,578.0,57.9
Kayvaun Mulready,5.4,Georgetown,1104,Georgetown Hoyas,32,814.0,96.6,827.3,92.1,4.5,36.3,24.4,36.6,369.3,37.7
DeShawn Harris-Smith,5.2,Georgetown,1539,Georgetown Hoyas,6,147.8,98.1,152.0,90.1,8.0,11.8,8.0,11.8,119.9,12.2
Isaiah Abraham,4.8,Georgetown,1012,Georgetown Hoyas,33,1046.9,98.0,1049.2,94.0,4.0,42.2,39.7,41.9,419.2,42.0
Jayden Fort,3.3,Georgetown,664,Georgetown Hoyas,34,718.5,98.3,727.0,88.0,10.2,73.4,66.5,74.0,744.4,75.0
Langston Love,3.1,Georgetown,1311,Georgetown Hoyas,22,410.9,97.8,411.9,92.3,5.6,22.9,21.7,22.6,226.3,22.7
Seal Diouf,0.6,Georgetown,2097,Georgetown Hoyas,11,52.0,101.9,52.1,105.6,-3.7,-1.9,-2.0,-1.9,-19.3,-1.9
